customer weight coord_x coord_y
1 12 0 10
2 56 0 100
3 85 0 101
4 82 0 102
5 25 0 103
6 24 0 104
7 33 0 105
8 68 0 106
9 69 0 107
10 33 0 108
11 54 0 109
12 87 0 11
13 77 0 12
14 20 0 13
15 90 0 14
16 34 0 15
17 83 0 153
18 90 0 154
19 72 0 155
20 8 0 16
21 59 0 17
22 65 0 18
23 47 0 19
24 58 0 2
25 82 0 20
26 57 0 200
27 57 0 201
28 26 0 202
29 69 0 21
30 82 0 22
31 49 0 23
32 63 0 24
33 69 0 25
34 96 0 26
35 9 0 27
36 9 0 28
37 9 0 29
38 33 0 3
39 76 0 30
40 60 0 31
41 85 0 32
42 67 0 33
43 98 0 34
44 40 0 35
45 77 0 36
46 28 0 361
47 11 0 362
48 20 0 363
49 67 0 364
50 14 0 365
51 96 0 366
52 67 0 367
53 75 0 368
54 50 0 369
55 54 0 37
56 79 0 370
57 62 0 371
58 48 0 372
59 53 0 373
60 36 0 374
61 52 0 375
62 34 0 376
63 35 0 377
64 54 0 378
65 1 0 379
66 2 0 38
67 6 0 380
68 71 0 381
69 83 0 382
70 16 0 383
71 28 0 384
72 7 0 385
73 26 0 386
74 51 0 387
75 97 0 388
76 40 0 389
77 57 0 39
78 62 0 390
79 5 0 391
80 85 0 392
81 89 0 393
82 20 0 394
83 82 0 395
84 22 0 396
85 99 0 397
86 20 0 398
87 73 0 399
88 31 0 4
89 45 0 40
90 16 0 400
91 32 0 401
92 80 0 402
93 48 0 403
94 68 0 404
95 70 0 405
96 82 0 406
97 73 0 407
98 86 0 408
99 16 0 409
100 53 0 41
101 11 0 410
102 81 0 411
103 41 0 412
104 11 0 413
105 12 0 414
106 32 0 415
107 75 0 416
108 2 0 417
109 98 0 418
110 29 0 419
111 15 0 42
112 68 0 420
113 27 0 421
114 83 0 422
115 37 0 423
116 24 0 424
117 79 0 425
118 11 0 426
119 55 0 427
120 10 0 428
121 94 0 429
122 85 0 43
123 2 0 430
124 73 0 431
125 55 0 432
126 20 0 433
127 85 0 434
128 78 0 435
129 62 0 436
