customer weight coord_x coord_y
1 29 13799 13821
2 50 13799 13827
3 59 13799 13832
4 86 13799 13836
5 28 13799 13851
6 85 13799 13855
7 44 13799 13857
8 53 13799 13861
9 90 13799 13875
10 41 13799 13947
11 15 13799 13952
12 96 13799 13957
13 28 13799 13975
14 95 13799 14000
15 80 13799 14036
16 50 13799 14042
17 76 13799 14177
18 81 13799 14758
19 46 13799 14816
20 55 13799 14822
21 71 13799 14829
22 2 13799 14859
23 4 13799 14862
24 53 13799 14864
25 24 13799 14865
26 48 13799 14887
27 22 13799 14911
28 15 13799 14949
29 52 13799 14955
30 39 13799 14960
31 22 13799 14973
32 63 13799 14999
33 1 13799 15039
34 76 13799 15045
35 11 13799 15047
36 10 13799 15062
37 15 13799 15079
38 38 13799 15081
39 76 13799 15093
40 48 13799 15113
41 21 13799 15115
42 36 13799 15120
43 12 13799 15125
44 89 13799 15130
45 20 13799 15132
46 85 13799 15135
47 80 13799 15141
48 32 13799 15146
49 80 13799 15147
50 30 13799 15149
51 84 13799 15150
52 88 13799 15152
53 41 13799 15153
54 59 13799 15156
55 29 13799 15161
56 33 13799 15164
57 53 13799 15165
58 22 13799 15166
59 90 13799 15168
60 50 13799 15170
61 47 13800 13827
62 68 13800 13831
63 76 13800 13869
64 30 13800 13875
65 18 13800 13893
66 42 13800 13894
67 4 13800 13898
68 36 13800 13950
69 76 13800 13953
70 93 13800 13989
71 25 13800 13998
72 29 13800 14009
73 59 13800 14013
74 81 13800 14042
75 47 13800 14762
76 30 13800 14787
77 56 13800 14792
78 93 13800 14797
79 15 13800 14815
80 98 13800 14817
81 80 13800 14828
82 45 13800 14831
83 99 13800 14840
84 21 13800 14853
85 25 13800 14858
86 91 13800 14859
87 7 13800 14869
88 1 13800 14907
89 19 13800 14934
90 4 13800 14937
91 8 13800 14948
92 82 13800 14959
93 7 13800 15002
94 65 13800 15045
95 56 13800 15068
96 30 13800 15074
97 72 13800 15078
98 66 13800 15080
99 26 13800 15086
100 30 13800 15101
101 44 13800 15139
102 67 13800 15147
103 41 13800 15151
104 23 13800 15166
105 53 13800 15170
106 37 13801 13854
107 95 13801 13856
108 50 13801 13861
109 63 13801 13884
110 83 13801 13894
111 1 13801 13898
112 94 13801 13941
113 81 13801 13951
114 55 13801 13974
115 43 13801 13977
116 99 13801 13989
117 63 13801 14016
118 7 13801 14037
119 97 13801 14038
120 5 13801 14042
121 8 13801 14790
122 65 13801 14793
123 8 13801 14814
124 94 13801 14816
125 47 13801 14822
126 46 13801 14839
127 87 13801 14854
128 30 13801 14863
129 50 13801 14869
130 68 13801 14882
131 42 13801 14935
132 84 13801 14955
133 23 13801 14983
134 93 13801 14986
135 47 13801 14993
136 42 13801 14997
137 18 13801 15002
138 36 13801 15051
139 62 13801 15079
140 48 13801 15117
141 58 13801 15128
142 4 13801 15140
143 29 13801 15147
144 24 13801 15161
145 27 13801 15170
146 51 13801 15192
147 13 13802 13855
148 41 13802 13861
149 51 13802 13875
150 45 13802 13879
151 7 13802 13880
152 92 13802 13884
153 36 13802 13898
154 54 13802 13928
155 2 13802 13936
156 27 13802 13964
157 98 13802 13965
158 29 13802 13966
159 29 13802 13970
160 77 13802 13975
161 96 13802 13984
162 56 13802 13994
163 37 13802 14038
164 66 13802 14042
165 77 13802 14791
166 32 13802 14815
167 13 13802 14835
168 98 13802 14840
169 84 13802 14842
170 75 13802 14845
171 76 13802 14858
172 12 13802 14877
173 78 13802 14882
174 36 13802 14900
175 53 13802 14901
176 19 13802 14903
177 33 13802 14984
178 77 13802 14993
179 34 13802 15051
180 99 13802 15054
181 53 13802 15062
182 48 13802 15063
183 51 13802 15069
184 18 13802 15072
185 53 13802 15074
186 31 13802 15116
187 83 13802 15118
188 65 13802 15122
189 66 13802 15123
190 58 13802 15127
191 44 13802 15129
192 25 13802 15158
193 9 13803 13845
194 80 13803 13875
195 12 13803 13923
196 59 13803 13926
197 16 13803 13929
198 96 13803 13946
199 13 13803 13961
200 26 13803 13967
201 94 13803 13970
202 65 13803 13989
203 92 13803 14001
204 83 13803 14012
205 29 13803 14015
206 66 13803 14042
207 64 13803 14757
208 6 13803 14762
209 23 13803 14875
210 32 13803 14883
211 6 13803 14885
212 87 13803 14887
213 65 13803 14894
214 2 13803 14902
215 10 13803 14906
216 59 13803 14907
217 33 13803 14912
218 14 13803 14974
219 29 13803 14975
220 97 13803 14982
221 92 13803 14998
222 6 13803 15002
223 39 13803 15003
224 24 13803 15005
225 61 13803 15007
226 26 13803 15014
227 84 13803 15054
228 81 13803 15057
229 10 13803 15119
230 79 13803 15126
231 7 13803 15135
232 94 13803 15144
233 78 13804 13806
234 30 13804 13807
235 7 13804 13815
236 7 13804 13821
237 7 13804 13841
238 56 13804 13845
239 21 13804 13846
240 54 13804 13855
241 25 13804 13898
242 31 13804 13899
243 61 13804 13903
244 42 13804 13904
245 36 13804 13905
246 24 13804 13912
247 27 13804 13917
248 27 13804 13922
249 76 13804 13927
250 79 13804 13941
251 61 13804 13961
252 8 13804 13965
253 16 13804 13970
254 63 13804 13971
255 58 13804 13974
256 42 13804 13976
257 35 13804 14013
258 4 13804 14038
259 51 13804 14758
260 93 13804 14839
261 60 13804 14845
262 10 13804 14901
263 32 13804 14906
264 57 13804 14911
265 55 13804 14955
266 27 13804 14960
267 95 13804 14997
268 2 13804 15055
269 49 13804 15071
270 96 13804 15147
271 54 13804 15170
272 71 13805 13820
273 14 13805 13822
274 45 13805 13832
275 98 13805 13836
276 83 13805 13864
277 69 13805 13869
278 51 13805 13874
279 97 13805 13894
280 79 13805 13899
281 31 13805 13902
282 44 13805 13908
283 69 13805 13916
284 46 13805 13918
285 4 13805 13942
286 64 13805 13952
287 82 13805 13953
288 97 13805 13965
289 85 13805 13970
290 72 13805 13971
291 34 13805 13975
292 45 13805 13988
293 10 13805 13991
294 58 13805 14762
295 36 13805 14853
296 32 13805 14858
297 87 13805 14886
298 17 13805 14906
299 5 13805 14907
300 27 13805 14943
301 80 13805 14949
302 10 13805 14959
303 84 13805 14998
304 5 13805 15002
305 44 13805 15006
306 46 13805 15039
307 41 13805 15045
308 5 13805 15101
309 59 13805 15135
310 85 13805 15142
311 49 13805 15147
312 26 13805 15150
313 37 13805 15158
314 68 13805 15161
315 43 13805 15166
316 5 13805 15170
317 80 13806 13815
318 86 13806 13821
319 58 13806 13823
320 15 13806 13827
321 12 13806 13830
322 36 13806 13833
323 31 13806 13841
324 52 13806 13850
325 8 13806 13868
326 86 13806 13870
327 81 13806 13880
328 77 13806 13884
329 23 13806 13892
330 61 13806 13899
331 16 13806 13904
332 46 13806 13908
333 98 13806 13912
334 65 13806 13917
335 94 13806 13919
336 45 13806 13922
337 16 13806 13936
338 48 13806 13946
339 24 13806 13950
340 10 13806 13971
341 58 13806 13999
342 41 13806 14007
343 40 13806 14013
344 96 13806 14792
345 12 13806 14793
346 30 13806 14835
347 29 13806 14854
348 6 13806 14859
349 7 13806 14864
350 25 13806 14906
351 57 13806 14948
352 90 13806 14950
353 7 13806 14955
354 91 13806 14974
355 90 13806 14985
356 34 13806 14997
357 4 13806 15044
358 91 13806 15046
359 58 13806 15051
360 64 13806 15055
361 86 13806 15056
362 66 13806 15057
363 49 13806 15075
364 64 13806 15077
365 66 13806 15078
366 27 13806 15080
367 25 13806 15081
368 71 13806 15084
369 85 13806 15099
370 41 13806 15150
371 5 13806 15153
372 91 13806 15164
373 15 13806 15167
374 74 13807 13807
375 59 13807 13821
376 56 13807 13831
377 14 13807 13836
378 54 13807 13841
379 28 13807 13845
380 49 13807 13846
381 34 13807 13850
382 15 13807 13864
383 30 13807 13869
384 84 13807 13871
385 86 13807 13874
386 75 13807 13877
387 38 13807 13895
388 55 13807 13899
389 53 13807 13903
390 33 13807 13917
391 22 13807 13947
392 39 13807 13999
393 58 13807 14007
394 29 13807 14014
395 2 13807 14019
396 6 13807 14024
397 52 13807 14029
398 32 13807 14790
399 38 13807 14811
400 52 13807 14813
401 39 13807 14814
402 61 13807 14816
403 84 13807 14817
404 84 13807 14820
405 42 13807 14858
406 23 13807 14863
407 36 13807 14882
408 98 13807 14902
409 13 13807 14943
410 64 13807 14949
411 28 13807 14951
412 62 13807 14996
413 4 13807 14999
414 38 13807 15002
415 3 13807 15015
416 97 13807 15021
417 77 13807 15024
418 52 13807 15026
419 32 13807 15039
420 98 13807 15045
421 98 13807 15047
422 10 13807 15051
423 26 13807 15054
424 70 13807 15060
425 99 13807 15075
426 79 13807 15079
427 64 13807 15151
428 28 13807 15165
429 12 13808 13806
430 92 13808 13841
431 39 13808 13869
432 72 13808 13928
433 21 13808 13934
434 27 13808 13936
435 42 13808 13946
436 11 13808 13971
437 57 13808 13989
438 55 13808 13995
439 86 13808 14000
440 43 13808 14004
441 60 13808 14022
442 15 13808 14025
443 33 13808 14787
444 74 13808 14811
445 2 13808 14815
446 4 13808 14859
447 15 13808 14872
448 56 13808 14882
449 23 13808 14900
450 60 13808 14903
451 71 13808 14931
452 42 13808 14936
453 82 13808 14938
454 38 13808 14942
455 12 13808 14949
456 64 13808 14997
457 90 13808 15045
458 49 13808 15051
459 83 13808 15056
460 9 13808 15060
461 60 13808 15074
462 37 13808 15075
463 50 13809 13848
464 9 13809 13851
465 4 13809 13855
466 50 13809 13857
467 94 13809 13861
468 60 13809 13878
469 6 13809 13881
470 13 13809 13893
471 11 13809 13927
472 72 13809 13934
473 53 13809 13951
474 17 13809 13974
475 47 13809 13989
476 95 13809 13990
477 8 13809 13994
478 62 13809 13999
479 32 13809 14004
480 49 13809 14023
481 43 13809 14756
482 28 13809 14759
483 62 13809 14811
484 23 13809 14878
485 79 13809 14883
486 31 13809 14901
487 68 13809 14910
488 40 13809 14913
489 96 13809 14983
490 10 13809 15023
491 59 13809 15051
492 78 13809 15055
493 20 13809 15069
494 15 13809 15074
495 10 13809 15086
496 63 13809 15087
497 92 13809 15091
498 53 13809 15092
499 99 13809 15098
500 58 13809 15135
501 91 13810 13802
502 94 13810 13815
503 20 13810 13820
504 71 13810 13822
505 38 13810 13826
506 61 13810 13844
507 69 13810 13847
508 95 13810 13879
509 82 13810 13896
510 39 13810 13898
511 56 13810 13964
512 32 13810 13966
513 83 13810 13970
514 99 13810 13977
515 22 13810 13990
516 69 13810 13994
517 54 13810 13995
518 40 13810 14012
519 30 13810 14015
520 43 13810 14038
521 17 13810 14791
522 39 13810 14799
523 55 13810 14805
524 48 13810 14822
525 71 13810 14838
526 63 13810 14841
527 61 13810 14876
528 13 13810 14879
529 86 13810 14883
530 68 13810 14888
531 42 13810 14919
532 17 13810 14924
533 91 13810 14926
534 86 13810 14930
535 33 13810 14935
536 45 13810 14942
537 74 13810 14943
538 16 13810 14947
539 7 13810 14948
540 11 13810 14954
541 21 13810 14958
542 82 13810 14961
543 78 13810 14983
544 51 13810 15003
545 98 13810 15008
546 27 13810 15067
547 87 13810 15101
548 75 13810 15120
549 71 13810 15125
550 88 13811 13845
551 80 13811 13854
552 96 13811 13856
553 91 13811 13861
554 87 13811 13889
555 57 13811 13893
556 87 13811 13894
557 24 13811 13898
558 12 13811 13940
559 86 13811 13943
560 98 13811 13967
561 95 13811 13974
562 31 13811 13994
563 15 13811 14036
564 20 13811 14757
565 71 13811 14804
566 5 13811 14806
567 78 13811 14823
568 18 13811 14827
569 80 13811 14828
570 20 13811 14834
571 64 13811 14839
572 48 13811 14852
573 25 13811 14855
574 34 13811 14859
575 75 13811 14864
576 71 13811 14877
577 77 13811 14890
578 66 13811 14911
579 85 13811 14979
580 83 13811 14983
581 87 13811 14984
582 29 13811 14985
583 83 13811 15075
584 19 13811 15087
585 9 13811 15094
586 78 13811 15102
587 92 13811 15122
588 20 13811 15123
589 28 13811 15140
590 68 13812 13815
591 67 13812 13821
592 68 13812 13823
593 44 13812 13855
594 5 13812 13861
595 27 13812 13898
596 8 13812 13912
597 16 13812 13922
598 64 13812 13926
599 19 13812 13929
600 37 13812 13952
601 10 13812 13953
602 50 13812 13970
603 22 13812 13998
604 29 13812 14001
605 48 13812 14039
606 61 13812 14792
607 99 13812 14798
608 83 13812 14799
609 89 13812 14805
610 87 13812 14807
611 99 13812 14811
612 53 13812 14863
613 4 13812 14872
614 45 13812 14875
615 6 13812 14876
616 45 13812 14882
617 62 13812 14919
618 71 13812 14925
619 81 13812 14927
620 85 13812 14931
621 12 13812 14943
622 95 13812 14950
623 19 13812 14959
624 45 13812 14979
625 57 13812 14982
626 66 13812 14988
627 68 13812 14996
628 31 13812 14997
629 12 13812 15027
630 79 13812 15031
631 19 13812 15032
632 92 13812 15033
633 41 13812 15075
634 1 13812 15078
635 96 13812 15086
636 99 13812 15105
637 58 13812 15141
638 5 13813 13806
639 4 13813 13815
640 28 13813 13822
641 81 13813 13863
642 63 13813 13869
643 78 13813 13870
644 57 13813 13874
645 63 13813 13917
646 30 13813 13950
647 35 13813 13951
648 90 13813 13961
649 39 13813 13965
650 92 13813 13970
651 80 13813 13975
652 69 13813 13994
653 39 13813 13999
654 23 13813 14013
655 89 13813 14019
656 22 13813 14023
657 51 13813 14024
658 59 13813 14025
659 23 13813 14791
660 4 13813 14793
661 34 13813 14805
662 91 13813 14811
663 90 13813 14814
664 63 13813 14822
665 88 13813 14823
666 64 13813 14830
667 1 13813 14840
668 45 13813 14853
669 30 13813 14859
670 63 13813 14919
671 21 13813 14926
672 99 13813 14979
673 13 13813 14984
674 71 13813 14988
675 9 13813 14998
676 97 13813 14999
677 28 13813 15026
678 48 13813 15027
679 78 13813 15030
680 29 13813 15036
681 4 13813 15045
682 84 13813 15078
683 49 13813 15081
684 39 13813 15098
685 35 13813 15103
686 70 13813 15137
687 11 13814 13802
688 78 13814 13855
689 3 13814 13863
690 64 13814 13870
691 44 13814 13874
692 53 13814 13961
693 18 13814 13971
694 53 13814 13973
695 11 13814 13990
696 87 13814 14013
697 71 13814 14014
698 48 13814 14018
699 41 13814 14019
700 18 13814 14022
701 25 13814 14028
702 82 13814 14790
703 35 13814 14792
704 55 13814 14798
705 48 13814 14814
706 13 13814 14817
707 18 13814 14838
708 64 13814 14841
709 69 13814 14872
710 21 13814 14878
711 30 13814 14900
712 79 13814 14901
713 48 13814 14902
714 8 13814 14906
715 48 13814 14907
716 12 13814 14911
717 48 13814 14913
718 52 13814 14918
719 96 13814 14954
720 16 13814 14979
721 70 13814 14983
722 79 13814 15021
723 70 13814 15026
724 48 13814 15027
725 13 13814 15032
726 10 13814 15036
727 39 13814 15044
728 14 13814 15047
729 23 13814 15050
730 53 13814 15051
731 38 13814 15055
732 35 13814 15057
733 28 13814 15062
734 22 13814 15074
735 21 13814 15079
736 18 13814 15099
737 89 13814 15103
738 44 13814 15108
739 6 13814 15146
740 36 13815 13821
741 61 13815 13874
742 28 13815 13916
743 40 13815 13919
744 30 13815 13927
745 17 13815 13941
746 2 13815 13966
747 3 13815 13970
748 77 13815 13971
749 75 13815 13975
750 62 13815 13976
751 16 13815 13980
752 57 13815 13988
753 91 13815 14014
754 72 13815 14018
755 84 13815 14019
756 75 13815 14024
757 61 13815 14028
758 68 13815 14037
759 4 13815 14791
760 51 13815 14815
761 59 13815 14834
762 82 13815 14852
763 3 13815 14853
764 75 13815 14883
765 77 13815 14897
766 47 13815 14903
767 32 13815 14906
768 38 13815 14925
769 32 13815 14967
770 72 13815 14971
771 91 13815 14972
772 56 13815 14978
773 1 13815 15019
774 25 13815 15027
775 87 13815 15031
776 29 13815 15045
777 97 13815 15063
778 36 13815 15074
779 81 13815 15104
780 86 13815 15120
781 44 13815 15125
782 55 13815 15141
783 66 13815 15147
784 51 13815 15149
785 98 13815 15150
786 13 13815 15152
787 56 13815 15153
788 39 13815 15156
789 16 13815 15164
790 30 13815 15165
791 17 13815 15167
792 77 13816 13839
793 34 13816 13845
794 81 13816 13863
795 67 13816 13870
796 9 13816 13875
797 39 13816 13885
798 74 13816 13888
799 44 13816 13892
800 26 13816 13894
801 56 13816 13898
802 14 13816 13926
803 26 13816 13929
804 56 13816 13933
805 54 13816 13941
806 80 13816 13942
807 54 13816 13946
808 82 13816 13965
809 84 13816 13971
810 89 13816 13991
811 59 13816 13995
812 17 13816 14005
813 95 13816 14018
814 63 13816 14019
815 96 13816 14023
816 53 13816 14757
817 6 13816 14762
818 23 13816 14780
819 72 13816 14781
820 33 13816 14855
821 49 13816 14882
822 56 13816 14883
