customer weight coord_x coord_y
1 6 0 101
2 28 0 105
3 37 0 113
4 62 0 121
5 69 0 126
6 16 0 127
7 62 0 128
8 42 0 129
9 47 0 130
10 62 0 137
11 49 0 141
12 63 0 145
13 35 0 153
14 90 0 161
15 11 0 169
16 44 0 17
17 23 0 177
18 79 0 181
19 74 0 185
20 26 0 193
21 57 0 201
22 69 0 205
23 23 0 209
24 39 0 211
25 69 0 217
26 46 0 221
27 4 0 225
28 19 0 231
29 58 0 233
30 82 0 241
31 70 0 249
32 7 0 25
33 38 0 257
34 27 0 265
35 36 0 273
36 22 0 281
37 3 0 289
38 51 0 297
39 19 0 301
40 75 0 305
41 7 0 313
42 21 0 32
43 42 0 321
44 11 0 329
45 58 0 33
46 51 0 337
47 30 0 341
48 60 0 345
49 88 0 353
50 39 0 361
51 69 0 369
52 30 0 370
53 88 0 377
54 60 0 385
55 26 0 393
56 75 0 396
57 36 0 397
58 96 0 400
59 95 0 41
60 43 0 49
61 26 0 57
62 76 0 65
63 71 0 73
64 55 0 81
65 37 0 89
66 9 0 9
67 56 0 97
68 74 2 105
69 17 2 106
70 45 2 11
71 28 2 110
72 2 2 111
73 72 2 114
74 59 2 115
75 92 2 116
76 39 2 12
77 42 2 121
78 10 2 128
79 73 2 130
80 3 2 138
81 56 2 145
82 26 2 147
83 71 2 151
84 65 2 157
85 60 2 158
86 88 2 159
87 93 2 16
88 5 2 160
89 92 2 162
90 88 2 17
91 71 2 170
92 70 2 172
93 44 2 175
94 18 2 176
95 27 2 177
96 12 2 178
97 95 2 180
98 47 2 183
99 31 2 189
100 40 2 191
101 78 2 195
102 29 2 20
103 21 2 205
104 75 2 207
105 66 2 21
106 5 2 211
107 78 2 22
108 48 2 229
109 48 2 230
110 53 2 232
111 40 2 234
112 49 2 235
113 16 2 236
114 6 2 238
115 16 2 239
116 38 2 240
117 85 2 241
118 51 2 244
119 88 2 245
120 50 2 248
121 89 2 249
122 3 2 253
123 91 2 27
124 54 2 274
125 5 2 287
126 37 2 29
127 84 2 300
128 25 2 309
129 2 2 319
130 23 2 335
131 13 2 339
132 40 2 346
133 15 2 353
134 46 2 365
135 24 2 367
136 98 2 370
137 31 2 377
138 47 2 379
139 97 2 383
140 81 2 52
141 34 2 53
142 72 2 63
143 17 2 64
144 59 2 66
145 53 2 78
146 71 2 79
147 37 2 80
148 65 2 81
149 43 3 108
150 40 3 14
151 63 3 67
152 80 5 134
153 43 5 151
154 6 5 156
155 77 5 166
156 29 5 183
157 32 5 187
158 71 5 203
159 12 5 234
160 19 5 272
161 30 5 316
162 94 5 362
163 27 5 393
164 64 5 397
165 47 5 8
166 9 9 0
167 25 9 232
168 47 9 97
169 13 10 137
170 41 10 150
171 22 10 182
172 41 10 194
173 73 10 209
174 71 10 232
175 45 10 251
176 74 10 273
177 73 10 284
178 95 10 299
179 13 10 308
180 3 10 338
181 22 10 345
182 91 10 352
183 31 10 369
184 45 10 382
185 27 11 123
186 47 11 132
187 15 11 137
188 82 11 150
189 13 11 164
190 2 11 182
191 15 11 185
192 94 11 194
193 57 11 201
194 71 11 209
195 16 11 232
196 87 11 251
197 76 11 270
198 58 11 273
199 41 11 284
200 76 11 299
201 78 11 308
202 52 11 31
203 57 11 315
204 95 11 325
205 35 11 338
206 68 11 345
207 31 11 352
208 80 11 369
209 91 11 382
210 3 11 391
211 73 11 97
212 81 12 153
213 81 12 359
214 18 12 394
215 55 12 5
216 11 15 151
217 44 15 156
218 87 15 183
219 67 15 316
220 7 15 362
221 24 15 397
222 21 15 8
223 52 16 138
224 37 16 195
225 15 16 309
226 96 16 339
227 36 16 346
228 46 16 353
229 5 16 370
230 83 17 105
231 27 17 11
232 65 17 111
233 43 17 114
234 17 17 121
235 13 17 128
236 92 17 130
237 98 17 145
238 96 17 147
239 43 17 158
240 52 17 159
241 44 17 160
242 35 17 162
243 66 17 17
244 26 17 170
245 34 17 172
246 51 17 176
247 40 17 177
248 14 17 178
249 73 17 180
250 1 17 189
251 64 17 191
252 76 17 20
253 60 17 205
254 15 17 207
255 28 17 230
256 30 17 236
257 29 17 239
258 8 17 240
259 11 17 241
260 36 17 244
261 1 17 245
262 8 17 248
263 48 17 249
264 26 17 27
265 61 17 29
266 31 17 319
267 28 17 365
268 58 17 367
269 65 17 377
270 74 17 379
271 70 17 52
272 58 17 78
273 45 17 80
274 43 18 109
275 76 18 115
276 56 18 15
277 9 18 21
278 55 18 335
279 86 18 51
280 30 18 62
281 35 18 68
282 87 18 81
283 97 25 101
284 86 25 102
285 26 25 106
286 77 25 107
287 18 25 110
288 70 25 111
289 98 25 112
290 71 25 117
291 13 25 119
292 72 25 126
293 56 25 13
294 18 25 138
295 99 25 147
296 34 25 159
297 30 25 160
298 10 25 161
299 83 25 162
300 75 25 164
301 28 25 17
302 59 25 171
303 70 25 176
304 82 25 18
305 28 25 185
306 25 25 189
