location capacity coord_x coord_y
1 30264 0 10
2 30264 0 100
3 30264 0 101
4 30264 0 102
5 30264 0 103
6 30264 0 104
7 30264 0 105
8 30264 0 106
9 30264 0 107
10 30264 0 108
11 30264 0 109
12 30264 0 11
13 30264 0 12
14 30264 0 13
15 30264 0 14
16 30264 0 15
17 30264 0 153
18 30264 0 154
19 30264 0 155
20 30264 0 16
21 30264 0 17
22 30264 0 18
23 30264 0 19
24 30264 0 2
25 30264 0 20
26 30264 0 200
27 30264 0 201
28 30264 0 202
29 30264 0 21
30 30264 0 22
31 30264 0 23
32 30264 0 24
33 30264 0 25
34 30264 0 26
35 30264 0 27
36 30264 0 28
37 30264 0 29
38 30264 0 3
39 30264 0 30
40 30264 0 31
41 30264 0 32
42 30264 0 33
43 30264 0 34
44 30264 0 35
45 30264 0 36
46 30264 0 361
47 30264 0 362
48 30264 0 363
49 30264 0 364
50 30264 0 365
51 30264 0 366
52 30264 0 367
53 30264 0 368
54 30264 0 369
55 30264 0 37
56 30264 0 370
57 30264 0 371
58 30264 0 372
59 30264 0 373
60 30264 0 374
61 30264 0 375
62 30264 0 376
63 30264 0 377
64 30264 0 378
65 30264 0 379
66 30264 0 38
67 30264 0 380
68 30264 0 381
69 30264 0 382
70 30264 0 383
71 30264 0 384
72 30264 0 385
73 30264 0 386
74 30264 0 387
75 30264 0 388
76 30264 0 389
77 30264 0 39
78 30264 0 390
79 30264 0 391
80 30264 0 392
81 30264 0 393
82 30264 0 394
83 30264 0 395
84 30264 0 396
85 30264 0 397
86 30264 0 398
87 30264 0 399
88 30264 0 4
89 30264 0 40
90 30264 0 400
91 30264 0 401
92 30264 0 402
93 30264 0 403
94 30264 0 404
95 30264 0 405
96 30264 0 406
97 30264 0 407
98 30264 0 408
99 30264 0 409
100 30264 0 41
101 30264 0 410
102 30264 0 411
103 30264 0 412
104 30264 0 413
105 30264 0 414
106 30264 0 415
107 30264 0 416
108 30264 0 417
109 30264 0 418
110 30264 0 419
111 30264 0 42
112 30264 0 420
113 30264 0 421
114 30264 0 422
115 30264 0 423
116 30264 0 424
117 30264 0 425
118 30264 0 426
119 30264 0 427
120 30264 0 428
121 30264 0 429
122 30264 0 43
123 30264 0 430
124 30264 0 431
125 30264 0 432
126 30264 0 433
127 30264 0 434
128 30264 0 435
129 30264 0 436
130 30264 0 437
131 30264 0 438
132 30264 0 439
133 30264 0 44
134 30264 0 440
135 30264 0 441
136 30264 0 442
137 30264 0 443
138 30264 0 444
139 30264 0 445
140 30264 0 446
141 30264 0 447
142 30264 0 448
143 30264 0 449
144 30264 0 45
145 30264 0 450
146 30264 0 451
147 30264 0 452
148 30264 0 453
149 30264 0 454
150 30264 0 455
151 30264 0 456
152 30264 0 457
153 30264 0 458
154 30264 0 459
155 30264 0 46
156 30264 0 460
157 30264 0 461
158 30264 0 462
159 30264 0 463
160 30264 0 464
161 30264 0 465
162 30264 0 466
163 30264 0 467
164 30264 0 468
165 30264 0 469
166 30264 0 47
167 30264 0 470
168 30264 0 471
169 30264 0 472
170 30264 0 473
171 30264 0 474
172 30264 0 475
173 30264 0 476
174 30264 0 477
175 30264 0 478
176 30264 0 479
177 30264 0 48
178 30264 0 480
179 30264 0 481
180 30264 0 482
181 30264 0 483
182 30264 0 484
183 30264 0 485
184 30264 0 486
185 30264 0 487
186 30264 0 488
187 30264 0 489
188 30264 0 49
189 30264 0 490
190 30264 0 491
191 30264 0 492
192 30264 0 493
193 30264 0 494
194 30264 0 495
