location capacity coord_x coord_y
1 61154 13799 13821
2 61154 13799 13827
3 61154 13799 13832
4 61154 13799 13836
5 61154 13799 13851
6 61154 13799 13855
7 61154 13799 13857
8 61154 13799 13861
9 61154 13799 13875
10 61154 13799 13947
11 61154 13799 13952
12 61154 13799 13957
13 61154 13799 13975
14 61154 13799 14000
15 61154 13799 14036
16 61154 13799 14042
17 61154 13799 14177
18 61154 13799 14758
19 61154 13799 14816
20 61154 13799 14822
21 61154 13799 14829
22 61154 13799 14859
23 61154 13799 14862
24 61154 13799 14864
25 61154 13799 14865
26 61154 13799 14887
27 61154 13799 14911
28 61154 13799 14949
29 61154 13799 14955
30 61154 13799 14960
31 61154 13799 14973
32 61154 13799 14999
33 61154 13799 15039
34 61154 13799 15045
35 61154 13799 15047
36 61154 13799 15062
37 61154 13799 15079
38 61154 13799 15081
39 61154 13799 15093
40 61154 13799 15113
41 61154 13799 15115
42 61154 13799 15120
43 61154 13799 15125
44 61154 13799 15130
45 61154 13799 15132
46 61154 13799 15135
47 61154 13799 15141
48 61154 13799 15146
49 61154 13799 15147
50 61154 13799 15149
51 61154 13799 15150
52 61154 13799 15152
53 61154 13799 15153
54 61154 13799 15156
55 61154 13799 15161
56 61154 13799 15164
57 61154 13799 15165
58 61154 13799 15166
59 61154 13799 15168
60 61154 13799 15170
61 61154 13800 13827
62 61154 13800 13831
63 61154 13800 13869
64 61154 13800 13875
65 61154 13800 13893
66 61154 13800 13894
67 61154 13800 13898
68 61154 13800 13950
69 61154 13800 13953
70 61154 13800 13989
71 61154 13800 13998
72 61154 13800 14009
73 61154 13800 14013
74 61154 13800 14042
75 61154 13800 14762
76 61154 13800 14787
77 61154 13800 14792
78 61154 13800 14797
79 61154 13800 14815
80 61154 13800 14817
81 61154 13800 14828
82 61154 13800 14831
83 61154 13800 14840
84 61154 13800 14853
85 61154 13800 14858
86 61154 13800 14859
87 61154 13800 14869
88 61154 13800 14907
89 61154 13800 14934
90 61154 13800 14937
91 61154 13800 14948
92 61154 13800 14959
93 61154 13800 15002
94 61154 13800 15045
95 61154 13800 15068
96 61154 13800 15074
97 61154 13800 15078
98 61154 13800 15080
99 61154 13800 15086
100 61154 13800 15101
101 61154 13800 15139
102 61154 13800 15147
103 61154 13800 15151
104 61154 13800 15166
105 61154 13800 15170
106 61154 13801 13854
107 61154 13801 13856
108 61154 13801 13861
109 61154 13801 13884
110 61154 13801 13894
111 61154 13801 13898
112 61154 13801 13941
113 61154 13801 13951
114 61154 13801 13974
115 61154 13801 13977
116 61154 13801 13989
117 61154 13801 14016
118 61154 13801 14037
119 61154 13801 14038
120 61154 13801 14042
121 61154 13801 14790
122 61154 13801 14793
123 61154 13801 14814
124 61154 13801 14816
125 61154 13801 14822
126 61154 13801 14839
127 61154 13801 14854
128 61154 13801 14863
129 61154 13801 14869
130 61154 13801 14882
131 61154 13801 14935
132 61154 13801 14955
133 61154 13801 14983
134 61154 13801 14986
135 61154 13801 14993
136 61154 13801 14997
