location capacity coord_x coord_y
1 5927 0 101
2 5927 0 105
3 5927 0 113
4 5927 0 121
5 5927 0 126
6 5927 0 127
7 5927 0 128
8 5927 0 129
9 5927 0 130
10 5927 0 137
11 5927 0 141
12 5927 0 145
13 5927 0 153
14 5927 0 161
15 5927 0 169
16 5927 0 17
17 5927 0 177
18 5927 0 181
19 5927 0 185
20 5927 0 193
21 5927 0 201
22 5927 0 205
23 5927 0 209
24 5927 0 211
25 5927 0 217
26 5927 0 221
27 5927 0 225
28 5927 0 231
29 5927 0 233
30 5927 0 241
31 5927 0 249
32 5927 0 25
33 5927 0 257
34 5927 0 265
35 5927 0 273
36 5927 0 281
37 5927 0 289
38 5927 0 297
39 5927 0 301
40 5927 0 305
41 5927 0 313
42 5927 0 32
43 5927 0 321
44 5927 0 329
45 5927 0 33
46 5927 0 337
47 5927 0 341
48 5927 0 345
49 5927 0 353
50 5927 0 361
51 5927 0 369
52 5927 0 370
53 5927 0 377
54 5927 0 385
55 5927 0 393
56 5927 0 396
57 5927 0 397
58 5927 0 400
59 5927 0 41
60 5927 0 49
61 5927 0 57
62 5927 0 65
63 5927 0 73
64 5927 0 81
65 5927 0 89
66 5927 0 9
67 5927 0 97
68 5927 2 105
69 5927 2 106
70 5927 2 11
71 5927 2 110
72 5927 2 111
73 5927 2 114
74 5927 2 115
75 5927 2 116
76 5927 2 12
77 5927 2 121
78 5927 2 128
79 5927 2 130
80 5927 2 138
81 5927 2 145
82 5927 2 147
83 5927 2 151
84 5927 2 157
85 5927 2 158
86 5927 2 159
87 5927 2 16
88 5927 2 160
89 5927 2 162
90 5927 2 17
91 5927 2 170
92 5927 2 172
93 5927 2 175
94 5927 2 176
95 5927 2 177
96 5927 2 178
97 5927 2 180
98 5927 2 183
99 5927 2 189
100 5927 2 191
101 5927 2 195
102 5927 2 20
103 5927 2 205
104 5927 2 207
105 5927 2 21
106 5927 2 211
107 5927 2 22
108 5927 2 229
109 5927 2 230
110 5927 2 232
111 5927 2 234
112 5927 2 235
113 5927 2 236
114 5927 2 238
115 5927 2 239
116 5927 2 240
117 5927 2 241
118 5927 2 244
119 5927 2 245
120 5927 2 248
121 5927 2 249
122 5927 2 253
123 5927 2 27
124 5927 2 274
125 5927 2 287
126 5927 2 29
127 5927 2 300
128 5927 2 309
129 5927 2 319
130 5927 2 335
131 5927 2 339
132 5927 2 346
133 5927 2 353
134 5927 2 365
135 5927 2 367
136 5927 2 370
137 5927 2 377
138 5927 2 379
139 5927 2 383
140 5927 2 52
141 5927 2 53
142 5927 2 63
143 5927 2 64
144 5927 2 66
145 5927 2 78
146 5927 2 79
147 5927 2 80
148 5927 2 81
149 5927 3 108
150 5927 3 14
151 5927 3 67
152 5927 5 134
153 5927 5 151
154 5927 5 156
155 5927 5 166
156 5927 5 183
157 5927 5 187
158 5927 5 203
159 5927 5 234
160 5927 5 272
161 5927 5 316
162 5927 5 362
163 5927 5 393
164 5927 5 397
165 5927 5 8
166 5927 9 0
167 5927 9 232
168 5927 9 97
169 5927 10 137
170 5927 10 150
171 5927 10 182
172 5927 10 194
173 5927 10 209
174 5927 10 232
175 5927 10 251
176 5927 10 273
177 5927 10 284
178 5927 10 299
179 5927 10 308
180 5927 10 338
181 5927 10 345
182 5927 10 352
183 5927 10 369
184 5927 10 382
185 5927 11 123
186 5927 11 132
187 5927 11 137
188 5927 11 150
189 5927 11 164
190 5927 11 182
191 5927 11 185
192 5927 11 194
193 5927 11 201
194 5927 11 209
195 5927 11 232
196 5927 11 251
197 5927 11 270
198 5927 11 273
199 5927 11 284
200 5927 11 299
201 5927 11 308
202 5927 11 31
203 5927 11 315
204 5927 11 325
205 5927 11 338
206 5927 11 345
207 5927 11 352
208 5927 11 369
209 5927 11 382
210 5927 11 391
211 5927 11 97
212 5927 12 153
213 5927 12 359
214 5927 12 394
215 5927 12 5
216 5927 15 151
217 5927 15 156
218 5927 15 183
219 5927 15 316
220 5927 15 362
221 5927 15 397
222 5927 15 8
223 5927 16 138
224 5927 16 195
225 5927 16 309
226 5927 16 339
227 5927 16 346
228 5927 16 353
229 5927 16 370
230 5927 17 105
231 5927 17 11
232 5927 17 111
233 5927 17 114
234 5927 17 121
235 5927 17 128
236 5927 17 130
237 5927 17 145
238 5927 17 147
239 5927 17 158
240 5927 17 159
241 5927 17 160
242 5927 17 162
243 5927 17 17
244 5927 17 170
245 5927 17 172
246 5927 17 176
247 5927 17 177
248 5927 17 178
249 5927 17 180
250 5927 17 189
251 5927 17 191
252 5927 17 20
253 5927 17 205
254 5927 17 207
255 5927 17 230
256 5927 17 236
257 5927 17 239
258 5927 17 240
259 5927 17 241
260 5927 17 244
261 5927 17 245
262 5927 17 248
263 5927 17 249
264 5927 17 27
265 5927 17 29
266 5927 17 319
267 5927 17 365
268 5927 17 367
269 5927 17 377
270 5927 17 379
271 5927 17 52
272 5927 17 78
273 5927 17 80
274 5927 18 109
275 5927 18 115
276 5927 18 15
277 5927 18 21
278 5927 18 335
279 5927 18 51
280 5927 18 62
281 5927 18 68
282 5927 18 81
283 5927 25 101
284 5927 25 102
285 5927 25 106
286 5927 25 107
287 5927 25 110
288 5927 25 111
289 5927 25 112
290 5927 25 117
291 5927 25 119
292 5927 25 126
293 5927 25 13
294 5927 25 138
295 5927 25 147
296 5927 25 159
297 5927 25 160
298 5927 25 161
299 5927 25 162
300 5927 25 164
301 5927 25 17
302 5927 25 171
303 5927 25 176
304 5927 25 18
305 5927 25 185
306 5927 25 189
307 5927 25 202
308 5927 25 204
309 5927 25 214
310 5927 25 217
311 5927 25 22
312 5927 25 23
313 5927 25 245
314 5927 25 249
315 5927 25 252
316 5927 25 258
317 5927 25 259
318 5927 25 26
319 5927 25 260
320 5927 25 263
321 5927 25 265
322 5927 25 27
323 5927 25 272
324 5927 25 277
325 5927 25 278
326 5927 25 279
327 5927 25 28
328 5927 25 280
329 5927 25 284
330 5927 25 290
331 5927 25 291
332 5927 25 292
333 5927 25 295
334 5927 25 297
335 5927 25 299
336 5927 25 302
337 5927 25 306
338 5927 25 308
339 5927 25 311
340 5927 25 313
341 5927 25 315
342 5927 25 319
343 5927 25 323
344 5927 25 325
345 5927 25 33
346 5927 25 340
347 5927 25 35
348 5927 25 350
349 5927 25 352
350 5927 25 353
351 5927 25 354
352 5927 25 355
353 5927 25 357
354 5927 25 358
355 5927 25 359
356 5927 25 360
357 5927 25 38
358 5927 25 39
359 5927 25 394
360 5927 25 396
361 5927 25 43
362 5927 25 44
363 5927 25 47
364 5927 25 48
365 5927 25 49
366 5927 25 54
367 5927 25 56
368 5927 25 59
369 5927 25 6
370 5927 25 60
371 5927 25 64
372 5927 25 65
373 5927 25 68
374 5927 25 69
375 5927 25 70
376 5927 25 75
377 5927 25 77
378 5927 25 80
379 5927 25 81
380 5927 25 85
381 5927 25 86
382 5927 25 89
383 5927 25 90
384 5927 25 91
385 5927 25 96
386 5927 25 98
387 5927 26 104
388 5927 26 20
389 5927 26 41
390 5927 26 62
391 5927 26 83
392 5927 28 122
393 5927 28 136
394 5927 28 196
395 5927 28 198
396 5927 28 209
397 5927 28 211
398 5927 28 214
399 5927 28 216
400 5927 28 218
401 5927 28 223
402 5927 28 231
403 5927 28 239
404 5927 28 245
405 5927 28 247
406 5927 28 249
407 5927 28 251
408 5927 28 253
409 5927 28 256
410 5927 28 264
411 5927 28 296
412 5927 28 300
413 5927 28 302
414 5927 28 304
415 5927 28 306
416 5927 28 308
417 5927 28 311
418 5927 28 313
419 5927 28 315
420 5927 28 317
421 5927 28 319
422 5927 28 321
423 5927 28 323
424 5927 28 325
425 5927 28 327
426 5927 28 347
427 5927 28 366
428 5927 28 374
429 5927 28 382
430 5927 28 389
431 5927 31 219
432 5927 31 225
433 5927 31 233
434 5927 31 241
435 5927 31 362
436 5927 31 368
437 5927 31 376
438 5927 31 384
439 5927 32 219
440 5927 32 225
441 5927 32 233
442 5927 32 241
443 5927 32 262
444 5927 32 294
445 5927 32 362
446 5927 32 368
447 5927 32 376
448 5927 32 384
449 5927 33 125
450 5927 33 137
451 5927 33 144
452 5927 33 175
453 5927 33 188
454 5927 33 213
455 5927 33 217
456 5927 33 219
457 5927 33 225
458 5927 33 233
459 5927 33 241
460 5927 33 244
461 5927 33 248
462 5927 33 252
463 5927 33 262
464 5927 33 283
465 5927 33 294
466 5927 33 299
467 5927 33 301
468 5927 33 305
469 5927 33 310
470 5927 33 318
471 5927 33 322
472 5927 33 339
473 5927 33 362
474 5927 33 368
475 5927 33 376
476 5927 33 384
477 5927 34 121
478 5927 34 125
479 5927 34 134
480 5927 34 137
481 5927 34 144
482 5927 34 175
483 5927 34 188
484 5927 34 195
485 5927 34 210
486 5927 34 213
487 5927 34 217
488 5927 34 219
489 5927 34 226
490 5927 34 234
491 5927 34 242
492 5927 34 244
493 5927 34 248
494 5927 34 252
495 5927 34 254
496 5927 34 262
497 5927 34 283
498 5927 34 294
499 5927 34 299
500 5927 34 301
501 5927 34 305
502 5927 34 310
503 5927 34 318
504 5927 34 322
505 5927 34 332
506 5927 34 339
507 5927 34 346
508 5927 34 362
509 5927 34 369
510 5927 34 377
511 5927 34 385
512 5927 34 387
513 5927 34 390
514 5927 35 206
515 5927 35 219
516 5927 35 362
517 5927 38 122
518 5927 38 196
519 5927 38 198
520 5927 38 209
521 5927 38 211
522 5927 38 214
523 5927 38 216
524 5927 38 218
525 5927 38 245
526 5927 38 247
527 5927 38 249
528 5927 38 251
529 5927 38 253
530 5927 38 300
531 5927 38 302
532 5927 38 304
533 5927 38 306
534 5927 38 308
535 5927 38 311
536 5927 38 313
537 5927 38 315
538 5927 38 317
539 5927 38 319
540 5927 38 321
541 5927 38 323
542 5927 38 325
543 5927 38 327
544 5927 38 347
545 5927 39 138
546 5927 39 189
547 5927 39 284
548 5927 39 340
549 5927 40 101
550 5927 40 107
551 5927 40 110
552 5927 40 117
553 5927 40 119
554 5927 40 160
555 5927 40 161
556 5927 40 162
557 5927 40 164
558 5927 40 17
559 5927 40 185
560 5927 40 202
561 5927 40 204
562 5927 40 23
563 5927 40 259
564 5927 40 26
565 5927 40 260
566 5927 40 291
567 5927 40 292
568 5927 40 33
569 5927 40 35
570 5927 40 350
571 5927 40 353
572 5927 40 354
573 5927 40 355
574 5927 40 358
575 5927 40 359
576 5927 40 360
577 5927 40 38
578 5927 40 44
579 5927 40 47
580 5927 40 54
581 5927 40 56
582 5927 40 59
583 5927 40 6
584 5927 40 65
585 5927 40 68
586 5927 40 75
587 5927 40 77
588 5927 40 80
589 5927 40 86
590 5927 40 89
591 5927 40 96
592 5927 40 98
593 5927 41 105
