customer weight coord_x coord_y
1 5.0 90.0 32.0
2 19.0 82.0 53.0
3 13.0 90.0 60.0
4 12.0 22.0 98.0
5 14.0 72.0 67.0
6 20.0 71.0 22.0
7 11.0 63.0 76.0
8 1.0 67.0 85.0
9 14.0 86.0 36.0
10 17.0 63.0 7.0
11 5.0 34.0 38.0
12 20.0 71.0 22.0
13 18.0 95.0 32.0
14 16.0 13.0 77.0
15 13.0 79.0 62.0
16 12.0 35.0 4.0
17 6.0 77.0 8.0
18 20.0 97.0 16.0
19 20.0 60.0 77.0
20 8.0 26.0 2.0
21 16.0 89.0 8.0
22 14.0 9.0 10.0
23 20.0 99.0 72.0
24 15.0 56.0 55.0
25 11.0 90.0 78.0
26 20.0 68.0 83.0
27 2.0 10.0 30.0
28 16.0 79.0 92.0
29 17.0 39.0 76.0
30 9.0 59.0 69.0
31 10.0 3.0 62.0
32 9.0 9.0 10.0
33 3.0 61.0 74.0
34 17.0 74.0 32.0
35 17.0 64.0 30.0
36 18.0 53.0 87.0
37 13.0 76.0 58.0
38 5.0 88.0 36.0
39 16.0 92.0 69.0
40 2.0 65.0 50.0
41 10.0 5.0 15.0
42 9.0 44.0 46.0
43 3.0 12.0 92.0
44 16.0 20.0 69.0
45 16.0 40.0 17.0
46 5.0 62.0 82.0
47 11.0 57.0 3.0
48 7.0 3.0 16.0
49 6.0 83.0 3.0
50 8.0 62.0 13.0
51 9.0 16.0 96.0
52 4.0 22.0 47.0
53 5.0 54.0 45.0
54 13.0 11.0 100.0
55 2.0 52.0 43.0
56 5.0 34.0 48.0
57 13.0 70.0 19.0
58 6.0 82.0 72.0
59 14.0 87.0 89.0
60 7.0 91.0 4.0
61 17.0 89.0 60.0
62 10.0 41.0 58.0
63 8.0 60.0 26.0
64 4.0 13.0 31.0
65 17.0 26.0 16.0
66 6.0 45.0 54.0
67 11.0 47.0 74.0
68 20.0 63.0 37.0
69 19.0 36.0 97.0
70 1.0 60.0 38.0
71 1.0 60.0 45.0
72 15.0 61.0 37.0
73 1.0 64.0 12.0
74 12.0 2.0 26.0
75 14.0 1.0 7.0
76 19.0 99.0 6.0
77 7.0 70.0 5.0
78 14.0 92.0 78.0
79 9.0 100.0 41.0
80 5.0 86.0 73.0
81 5.0 17.0 83.0
82 15.0 31.0 36.0
83 10.0 5.0 89.0
84 3.0 6.0 72.0
85 7.0 26.0 38.0
86 8.0 97.0 21.0
87 5.0 61.0 98.0
88 18.0 98.0 19.0
89 9.0 9.0 60.0
90 15.0 56.0 57.0
91 15.0 36.0 59.0
92 4.0 52.0 46.0
93 15.0 60.0 51.0
94 4.0 92.0 54.0
95 1.0 31.0 35.0
96 3.0 28.0 74.0
97 1.0 23.0 21.0
98 10.0 62.0 27.0
99 12.0 56.0 89.0
100 20.0 88.0 29.0
