customer weight coord_x coord_y
1 50.0 409154.0 435528.0
2 4.0 409151.0 435683.0
3 33.0 409277.0 435420.0
4 15.0 409260.0 435538.0
5 1.0 409240.0 435695.0
6 5.0 409213.0 435897.0
7 87.0 409199.0 435982.0
8 91.0 409178.0 436078.0
9 45.0 409174.0 436171.0
10 1.0 409147.0 436256.0
11 41.0 409469.0 435389.0
12 23.0 409378.0 435463.0
13 26.0 409378.0 435563.0
14 301.0 409351.0 435734.0
15 53.0 409328.0 435891.0
16 1.0 409275.0 435982.0
17 80.0 409289.0 436065.0
18 118.0 409272.0 436188.0
19 1.0 409208.0 436263.0
20 1.0 409754.0 435326.0
21 15.0 409609.0 435201.0
22 12.0 409565.0 435307.0
23 60.0 409577.0 435510.0
24 35.0 409515.0 435614.0
25 138.0 409478.0 435707.0
26 1.0 409442.0 435810.0
27 173.0 409442.0 435913.0
28 61.0 409408.0 436075.0
29 1.0 409344.0 436201.0
30 21.0 409398.0 436213.0
31 8.0 409638.0 435143.0
32 18.0 409683.0 435349.0
33 35.0 409670.0 435514.0
34 17.0 409620.0 435615.0
35 22.0 409688.0 435618.0
36 60.0 409624.0 435752.0
37 65.0 409570.0 435942.0
38 54.0 409541.0 436090.0
39 39.0 409512.0 436236.0
40 1.0 409216.0 435826.0
41 1.0 409158.0 435820.0
42 5.0 408777.0 434870.0
43 115.0 408731.0 434657.0
44 30.0 408808.0 434639.0
45 98.0 408840.0 435022.0
46 61.0 408932.0 434976.0
47 79.0 408897.0 434650.0
48 8.0 409050.0 434674.0
49 193.0 409033.0 434769.0
50 4.0 408906.0 434723.0
51 654.0 409262.0 434873.0
52 63.0 409090.0 434982.0
53 22.0 409020.0 435056.0
54 283.0 409262.0 435017.0
55 150.0 409210.0 435093.0
56 153.0 409109.0 435153.0
57 20.0 409192.0 435244.0
58 10.0 409298.0 435127.0
59 13.0 409302.0 435225.0
60 3.0 409264.0 435295.0
61 19.0 409372.0 434355.0
62 444.0 409426.0 434622.0
63 54.0 409452.0 434831.0
64 25.0 409553.0 435074.0
65 21.0 409434.0 435030.0
66 13.0 409479.0 434592.0
67 19.0 409517.0 434818.0
68 26.0 409539.0 434954.0
69 90.0 409038.0 435235.0
70 105.0 409167.0 435416.0
71 73.0 408778.0 434739.0
72 3.0 409411.0 434362.0
73 1.0 409822.0 435466.0
74 46.0 409811.0 435545.0
75 28.0 409765.0 435617.0
76 160.0 409812.0 435857.0
77 1.0 409792.0 435978.0
78 65.0 409837.0 436155.0
79 152.0 409711.0 436281.0
80 1.0 409969.0 435509.0
81 61.0 409944.0 435714.0
82 102.0 410041.0 435866.0
83 49.0 409946.0 436015.0
84 43.0 410015.0 436193.0
85 1.0 410067.0 435592.0
86 48.0 410073.0 436039.0
87 27.0 410113.0 436329.0
88 6.0 410204.0 436314.0
89 49.0 409645.0 436119.0
90 27.0 410120.0 436189.0
91 19.0 409875.0 435755.0
92 33.0 410180.0 436398.0
93 1.0 410244.0 436276.0
94 1.0 410224.0 436222.0
95 37.0 410435.0 436784.0
96 49.0 409573.0 436533.0
97 54.0 409575.0 436677.0
98 30.0 409553.0 436813.0
99 12.0 409546.0 436882.0
100 34.0 409701.0 436391.0
