customer weight coord_x coord_y
1 29.0 2830.0 40.0
2 59.0 2830.0 77.0
3 3.0 2830.0 114.0
4 71.0 2831.0 155.0
5 35.0 2830.0 194.0
6 20.0 2831.0 231.0
7 87.0 2831.0 269.0
8 78.0 2831.0 309.0
9 89.0 2830.0 347.0
10 58.0 2830.0 384.0
11 16.0 2792.0 35.0
12 44.0 2792.0 75.0
13 50.0 2790.0 115.0
14 28.0 2792.0 153.0
15 56.0 2791.0 191.0
16 34.0 2791.0 231.0
17 18.0 2790.0 271.0
18 99.0 2791.0 306.0
19 16.0 2791.0 345.0
20 90.0 2792.0 384.0
21 80.0 2800.0 460.0
22 73.0 2801.0 499.0
23 93.0 2801.0 538.0
24 25.0 2800.0 578.0
25 8.0 2802.0 620.0
26 17.0 2800.0 654.0
27 23.0 2800.0 694.0
28 15.0 2802.0 732.0
29 33.0 2800.0 772.0
30 14.0 2800.0 810.0
31 27.0 2762.0 459.0
32 33.0 2761.0 497.0
33 65.0 2761.0 540.0
34 72.0 2761.0 578.0
35 89.0 2762.0 591.0
36 13.0 2763.0 656.0
37 35.0 2762.0 694.0
38 31.0 2761.0 731.0
39 5.0 2762.0 770.0
40 50.0 2761.0 808.0
41 17.0 2801.0 946.0
42 22.0 2803.0 1034.0
43 33.0 2723.0 943.0
44 35.0 2724.0 1029.0
45 89.0 2702.0 1003.0
46 26.0 2800.0 1098.0
47 51.0 2799.0 1137.0
48 23.0 2831.0 1158.0
49 5.0 2801.0 1178.0
50 44.0 2800.0 1216.0
51 37.0 2829.0 1237.0
52 98.0 2801.0 1254.0
53 23.0 2800.0 1292.0
54 45.0 2800.0 1331.0
55 77.0 2801.0 1370.0
56 51.0 2799.0 1409.0
57 38.0 2804.0 1450.0
58 12.0 2759.0 1098.0
59 87.0 2762.0 1138.0
60 66.0 2762.0 1178.0
61 10.0 2761.0 1213.0
62 76.0 2763.0 1255.0
63 76.0 2761.0 1293.0
64 29.0 2763.0 1330.0
65 53.0 2761.0 1369.0
66 70.0 2759.0 1411.0
67 71.0 2761.0 1446.0
68 64.0 2762.0 617.0
