location capacity coord_x coord_y
1 273.0 2830.0 40.0
2 273.0 2830.0 77.0
3 273.0 2830.0 114.0
4 273.0 2831.0 155.0
5 273.0 2830.0 194.0
6 273.0 2831.0 231.0
7 273.0 2831.0 269.0
8 273.0 2831.0 309.0
9 273.0 2830.0 347.0
10 273.0 2830.0 384.0
11 273.0 2792.0 35.0
12 273.0 2792.0 75.0
13 273.0 2790.0 115.0
14 273.0 2792.0 153.0
15 273.0 2791.0 191.0
16 273.0 2791.0 231.0
17 273.0 2790.0 271.0
18 273.0 2791.0 306.0
19 273.0 2791.0 345.0
20 273.0 2792.0 384.0
21 273.0 2800.0 460.0
22 273.0 2801.0 499.0
23 273.0 2801.0 538.0
24 273.0 2800.0 578.0
25 273.0 2802.0 620.0
26 273.0 2800.0 654.0
27 273.0 2800.0 694.0
28 273.0 2802.0 732.0
29 273.0 2800.0 772.0
30 273.0 2800.0 810.0
31 273.0 2762.0 459.0
32 273.0 2761.0 497.0
33 273.0 2761.0 540.0
34 273.0 2761.0 578.0
35 273.0 2762.0 591.0
36 273.0 2763.0 656.0
37 273.0 2762.0 694.0
38 273.0 2761.0 731.0
39 273.0 2762.0 770.0
40 273.0 2761.0 808.0
41 273.0 2801.0 946.0
42 273.0 2803.0 1034.0
43 273.0 2723.0 943.0
44 273.0 2724.0 1029.0
45 273.0 2702.0 1003.0
46 273.0 2800.0 1098.0
47 273.0 2799.0 1137.0
48 273.0 2831.0 1158.0
49 273.0 2801.0 1178.0
50 273.0 2800.0 1216.0
51 273.0 2829.0 1237.0
52 273.0 2801.0 1254.0
53 273.0 2800.0 1292.0
54 273.0 2800.0 1331.0
55 273.0 2801.0 1370.0
56 273.0 2799.0 1409.0
57 273.0 2804.0 1450.0
58 273.0 2759.0 1098.0
59 273.0 2762.0 1138.0
60 273.0 2762.0 1178.0
61 273.0 2761.0 1213.0
62 273.0 2763.0 1255.0
63 273.0 2761.0 1293.0
64 273.0 2763.0 1330.0
65 273.0 2761.0 1369.0
66 273.0 2759.0 1411.0
67 273.0 2761.0 1446.0
68 273.0 2762.0 617.0
69 273.0 2801.0 1507.0
70 273.0 2800.0 1548.0
71 273.0 2801.0 1581.0
72 273.0 2801.0 1619.0
73 273.0 2799.0 1656.0
74 273.0 2800.0 1698.0
75 273.0 2800.0 1738.0
76 273.0 2800.0 1781.0
77 273.0 2799.0 1820.0
78 273.0 2800.0 1856.0
79 273.0 2760.0 1506.0
80 273.0 2760.0 1543.0
81 273.0 2763.0 1586.0
82 273.0 2761.0 1621.0
83 273.0 2761.0 1659.0
84 273.0 2761.0 1698.0
85 273.0 2762.0 1737.0
86 273.0 2761.0 1775.0
87 273.0 2762.0 1821.0
88 273.0 2762.0 1853.0
89 273.0 2800.0 2067.0
90 273.0 2798.0 2102.0
91 273.0 2799.0 2143.0
92 273.0 2801.0 2183.0
93 273.0 2800.0 2221.0
94 273.0 2801.0 2262.0
95 273.0 2800.0 2299.0
96 273.0 2800.0 2337.0
97 273.0 2801.0 2376.0
98 273.0 2800.0 2414.0
99 273.0 2760.0 2066.0
100 273.0 2760.0 2105.0
101 273.0 2761.0 2144.0
102 273.0 2761.0 2184.0
103 273.0 2763.0 2222.0
104 273.0 2760.0 2259.0
105 273.0 2761.0 2297.0
106 273.0 2760.0 2338.0
107 273.0 2761.0 2372.0
108 273.0 2800.0 2411.0
109 273.0 2800.0 2491.0
110 273.0 2772.0 2512.0
111 273.0 2732.0 2491.0
112 273.0 2788.0 2167.0
113 273.0 2762.0 2676.0
114 273.0 2732.0 2618.0
115 273.0 2761.0 2903.0
116 273.0 2761.0 2983.0
117 273.0 2799.0 3041.0
118 273.0 2800.0 3083.0
119 273.0 2799.0 3117.0
120 273.0 2799.0 3085.0
121 273.0 2799.0 3195.0
122 273.0 2798.0 3234.0
123 273.0 2799.0 3274.0
124 273.0 2798.0 3312.0
125 273.0 2798.0 3350.0
126 273.0 2797.0 3389.0
127 273.0 2799.0 3427.0
128 273.0 2800.0 3464.0
129 273.0 2864.0 3474.0
130 273.0 2865.0 3515.0
131 273.0 2798.0 3563.0
132 273.0 2798.0 3796.0
133 273.0 2797.0 3794.0
134 273.0 2698.0 39.0
135 273.0 2697.0 116.0
136 273.0 2716.0 191.0
137 273.0 2696.0 540.0
138 273.0 2704.0 1437.0
139 273.0 2704.0 1583.0
140 273.0 2703.0 1680.0
141 273.0 2694.0 2221.0
142 273.0 2704.0 2317.0
143 273.0 2714.0 2345.0
144 273.0 2733.0 2374.0
145 273.0 2720.0 3100.0
146 273.0 2721.0 3147.0
147 273.0 2752.0 3198.0
148 273.0 2712.0 3194.0
149 273.0 2683.0 3196.0
150 273.0 2642.0 3195.0
151 273.0 2763.0 3292.0
152 273.0 2761.0 3332.0
153 273.0 2761.0 3369.0
154 273.0 2760.0 3409.0
155 273.0 2732.0 3467.0
156 273.0 2701.0 3621.0
157 273.0 2699.0 3852.0
158 273.0 2781.0 3940.0
159 273.0 2701.0 3940.0
160 273.0 2623.0 3945.0
161 273.0 2621.0 -5.0
162 273.0 2744.0 18.0
163 273.0 2649.0 25.0
164 273.0 2609.0 48.0
165 273.0 2659.0 94.0
166 273.0 2658.0 134.0
167 273.0 2659.0 171.0
168 273.0 2658.0 208.0
169 273.0 2657.0 248.0
170 273.0 2660.0 285.0
171 273.0 2659.0 325.0
172 273.0 2659.0 368.0
173 273.0 2545.0 92.0
174 273.0 2543.0 131.0
175 273.0 2543.0 170.0
176 273.0 2541.0 212.0
177 273.0 2538.0 248.0
178 273.0 2544.0 288.0
179 273.0 2541.0 246.0
180 273.0 2541.0 362.0
181 273.0 2571.0 270.0
182 273.0 2571.0 325.0
183 273.0 2485.0 36.0
184 273.0 2524.0 54.0
185 273.0 2494.0 249.0
186 273.0 2590.0 393.0
187 273.0 2641.0 411.0
188 273.0 2659.0 441.0
189 273.0 2660.0 500.0
190 273.0 2660.0 538.0
191 273.0 2658.0 577.0
192 273.0 2659.0 618.0
193 273.0 2660.0 656.0
194 273.0 2661.0 701.0
195 273.0 2658.0 733.0
196 273.0 2659.0 772.0
197 273.0 2582.0 439.0
198 273.0 2592.0 521.0
199 273.0 2581.0 770.0
200 273.0 2543.0 497.0
201 273.0 2542.0 536.0
202 273.0 2543.0 579.0
203 273.0 2542.0 615.0
204 273.0 2542.0 657.0
205 273.0 2543.0 691.0
206 273.0 2543.0 734.0
207 273.0 2541.0 771.0
208 273.0 2542.0 808.0
209 273.0 2543.0 847.0
210 273.0 2540.0 877.0
211 273.0 2617.0 847.0
212 273.0 2620.0 916.0
213 273.0 2570.0 1004.0
214 273.0 2529.0 1003.0
215 273.0 2656.0 1042.0
216 273.0 2658.0 1082.0
217 273.0 2656.0 1118.0
218 273.0 2657.0 1159.0
219 273.0 2656.0 1200.0
220 273.0 2657.0 1236.0
221 273.0 2657.0 1272.0
222 273.0 2657.0 1314.0
223 273.0 2616.0 1137.0
224 273.0 2617.0 1195.0
225 273.0 2624.0 1273.0
226 273.0 2598.0 1314.0
227 273.0 2558.0 1214.0
228 273.0 2542.0 1040.0
229 273.0 2540.0 1079.0
230 273.0 2541.0 1121.0
231 273.0 2540.0 1156.0
232 273.0 2539.0 1195.0
233 273.0 2539.0 1231.0
234 273.0 2540.0 1272.0
235 273.0 2540.0 1311.0
236 273.0 2501.0 1342.0
237 273.0 2540.0 1358.0
238 273.0 2540.0 1398.0
239 273.0 2512.0 1436.0
