location subarea coor_x coord_y
1 494 2830.0 40.0
2 494 2830.0 77.0
3 494 2830.0 114.0
4 110 2831.0 155.0
5 110 2830.0 194.0
6 604 2831.0 231.0
7 604 2831.0 269.0
8 224 2831.0 309.0
9 224 2830.0 347.0
10 224 2830.0 384.0
11 494 2792.0 35.0
12 494 2792.0 75.0
13 110 2790.0 115.0
14 110 2792.0 153.0
15 110 2791.0 191.0
16 604 2791.0 231.0
17 604 2790.0 271.0
18 604 2791.0 306.0
19 224 2791.0 345.0
20 224 2792.0 384.0
21 256 2800.0 460.0
22 256 2801.0 499.0
23 576 2801.0 538.0
24 576 2800.0 578.0
25 23 2802.0 620.0
26 23 2800.0 654.0
27 744 2800.0 694.0
28 744 2802.0 732.0
29 264 2800.0 772.0
30 264 2800.0 810.0
31 256 2762.0 459.0
32 256 2761.0 497.0
33 576 2761.0 540.0
34 576 2761.0 578.0
35 576 2762.0 591.0
36 23 2763.0 656.0
37 744 2762.0 694.0
38 744 2761.0 731.0
39 264 2762.0 770.0
40 264 2761.0 808.0
41 381 2801.0 946.0
42 381 2803.0 1034.0
43 636 2723.0 943.0
44 636 2724.0 1029.0
45 636 2702.0 1003.0
46 115 2800.0 1098.0
47 115 2799.0 1137.0
48 115 2831.0 1158.0
49 115 2801.0 1178.0
50 242 2800.0 1216.0
51 242 2829.0 1237.0
52 242 2801.0 1254.0
53 731 2800.0 1292.0
54 731 2800.0 1331.0
55 168 2801.0 1370.0
56 168 2799.0 1409.0
57 168 2804.0 1450.0
58 115 2759.0 1098.0
59 115 2762.0 1138.0
60 115 2762.0 1178.0
61 242 2761.0 1213.0
62 242 2763.0 1255.0
63 731 2761.0 1293.0
64 731 2763.0 1330.0
65 168 2761.0 1369.0
66 168 2759.0 1411.0
67 168 2761.0 1446.0
68 23 2762.0 617.0
69 393 2801.0 1507.0
70 393 2800.0 1548.0
71 393 2801.0 1581.0
72 31 2801.0 1619.0
73 31 2799.0 1656.0
74 547 2800.0 1698.0
75 547 2800.0 1738.0
76 547 2800.0 1781.0
77 187 2799.0 1820.0
78 187 2800.0 1856.0
79 393 2760.0 1506.0
80 393 2760.0 1543.0
81 393 2763.0 1586.0
82 31 2761.0 1621.0
83 31 2761.0 1659.0
84 31 2761.0 1698.0
85 547 2762.0 1737.0
86 547 2761.0 1775.0
87 187 2762.0 1821.0
88 187 2762.0 1853.0
89 36 2800.0 2067.0
90 36 2798.0 2102.0
91 497 2799.0 2143.0
92 497 2801.0 2183.0
93 497 2800.0 2221.0
94 333 2801.0 2262.0
95 333 2800.0 2299.0
96 333 2800.0 2337.0
97 546 2801.0 2376.0
98 546 2800.0 2414.0
99 36 2760.0 2066.0
100 36 2760.0 2105.0
101 497 2761.0 2144.0
102 497 2761.0 2184.0
103 497 2763.0 2222.0
104 333 2760.0 2259.0
105 333 2761.0 2297.0
106 98 2760.0 2338.0
107 98 2761.0 2372.0
108 546 2800.0 2411.0
109 354 2800.0 2491.0
110 354 2772.0 2512.0
111 354 2732.0 2491.0
112 497 2788.0 2167.0
113 202 2762.0 2676.0
114 202 2732.0 2618.0
115 539 2761.0 2903.0
116 539 2761.0 2983.0
117 74 2799.0 3041.0
118 74 2800.0 3083.0
119 74 2799.0 3117.0
120 74 2799.0 3085.0
121 314 2799.0 3195.0
122 314 2798.0 3234.0
123 102 2799.0 3274.0
124 102 2798.0 3312.0
125 102 2798.0 3350.0
126 624 2797.0 3389.0
127 624 2799.0 3427.0
128 191 2800.0 3464.0
129 380 2864.0 3474.0
130 380 2865.0 3515.0
131 380 2798.0 3563.0
132 528 2798.0 3796.0
133 528 2797.0 3794.0
134 408 2698.0 39.0
135 373 2697.0 116.0
136 373 2716.0 191.0
137 243 2696.0 540.0
138 168 2704.0 1437.0
139 513 2704.0 1583.0
140 31 2703.0 1680.0
141 250 2694.0 2221.0
142 735 2704.0 2317.0
143 98 2714.0 2345.0
144 98 2733.0 2374.0
145 74 2720.0 3100.0
146 314 2721.0 3147.0
147 314 2752.0 3198.0
148 314 2712.0 3194.0
149 651 2683.0 3196.0
150 651 2642.0 3195.0
151 102 2763.0 3292.0
152 102 2761.0 3332.0
153 624 2761.0 3369.0
154 624 2760.0 3409.0
155 191 2732.0 3467.0
156 646 2701.0 3621.0
157 50 2699.0 3852.0
158 683 2781.0 3940.0
159 683 2701.0 3940.0
160 541 2623.0 3945.0
161 44 2621.0 -5.0
162 408 2744.0 18.0
163 44 2649.0 25.0
164 44 2609.0 48.0
165 373 2659.0 94.0
166 373 2658.0 134.0
167 373 2659.0 171.0
168 637 2658.0 208.0
169 637 2657.0 248.0
170 637 2660.0 285.0
171 65 2659.0 325.0
172 65 2659.0 368.0
173 593 2545.0 92.0
174 593 2543.0 131.0
175 641 2543.0 170.0
176 641 2541.0 212.0
177 641 2538.0 248.0
178 641 2544.0 288.0
179 641 2541.0 246.0
180 507 2541.0 362.0
181 641 2571.0 270.0
182 507 2571.0 325.0
183 593 2485.0 36.0
184 593 2524.0 54.0
185 119 2494.0 249.0
186 507 2590.0 393.0
187 65 2641.0 411.0
188 65 2659.0 441.0
189 243 2660.0 500.0
190 243 2660.0 538.0
191 243 2658.0 577.0
192 243 2659.0 618.0
193 489 2660.0 656.0
194 489 2661.0 701.0
195 489 2658.0 733.0
196 489 2659.0 772.0
197 348 2582.0 439.0
198 348 2592.0 521.0
199 693 2581.0 770.0
200 348 2543.0 497.0
201 348 2542.0 536.0
202 379 2543.0 579.0
203 109 2542.0 615.0
204 109 2542.0 657.0
205 109 2543.0 691.0
206 693 2543.0 734.0
207 693 2541.0 771.0
208 322 2542.0 808.0
209 322 2543.0 847.0
210 322 2540.0 877.0
211 677 2617.0 847.0
212 677 2620.0 916.0
213 426 2570.0 1004.0
214 426 2529.0 1003.0
215 201 2656.0 1042.0
216 201 2658.0 1082.0
217 201 2656.0 1118.0
218 614 2657.0 1159.0
219 614 2656.0 1200.0
220 14 2657.0 1236.0
221 14 2657.0 1272.0
222 14 2657.0 1314.0
223 614 2616.0 1137.0
224 614 2617.0 1195.0
225 14 2624.0 1273.0
226 14 2598.0 1314.0
227 586 2558.0 1214.0
228 426 2542.0 1040.0
229 426 2540.0 1079.0
230 346 2541.0 1121.0
231 346 2540.0 1156.0
232 586 2539.0 1195.0
233 586 2539.0 1231.0
234 586 2540.0 1272.0
235 315 2540.0 1311.0
236 315 2501.0 1342.0
237 315 2540.0 1358.0
238 315 2540.0 1398.0
239 93 2512.0 1436.0
240 291 2628.0 1435.0
241 291 2643.0 1484.0
242 291 2667.0 1524.0
243 513 2666.0 1560.0
244 513 2665.0 1601.0
245 513 2667.0 1640.0
246 372 2665.0 1679.0
247 372 2665.0 1728.0
248 372 2666.0 1755.0
249 372 2666.0 1794.0
250 433 2665.0 1836.0
251 433 2667.0 1873.0
252 291 2646.0 1486.0
253 291 2617.0 1525.0
254 372 2628.0 1715.0
255 372 2618.0 1756.0
256 167 2548.0 1524.0
257 167 2550.0 1561.0
258 167 2552.0 1600.0
259 657 2550.0 1640.0
260 469 2550.0 1677.0
261 469 2551.0 1717.0
262 469 2551.0 1756.0
263 131 2551.0 1798.0
264 131 2549.0 1832.0
265 486 2550.0 1874.0
266 486 2579.0 1893.0
267 433 2665.0 1935.0
268 596 2647.0 1991.0
269 596 2667.0 2025.0
270 596 2667.0 2064.0
271 250 2667.0 2104.0
272 250 2665.0 2139.0
273 250 2666.0 2178.0
274 250 2665.0 2220.0
275 735 2665.0 2254.0
276 128 2548.0 2258.0
277 128 2549.0 2218.0
278 128 2549.0 2180.0
279 374 2550.0 2141.0
280 374 2549.0 2103.0
281 374 2548.0 2064.0
282 75 2548.0 2025.0
283 75 2538.0 1987.0
284 735 2590.0 2333.0
285 735 2666.0 2328.0
286 438 2667.0 2394.0
287 438 2667.0 2432.0
288 438 2666.0 2470.0
289 574 2666.0 2508.0
290 574 2665.0 2550.0
291 574 2665.0 2586.0
292 202 2666.0 2626.0
293 535 2549.0 2393.0
294 535 2548.0 2431.0
295 205 2549.0 2473.0
296 205 2548.0 2512.0
297 570 2546.0 2548.0
298 57 2550.0 2591.0
299 57 2548.0 2627.0
300 519 2687.0 2716.0
301 148 2686.0 2868.0
302 519 2647.0 2711.0
303 148 2645.0 2866.0
304 148 2643.0 2906.0
305 589 2645.0 2984.0
306 148 2604.0 2905.0
307 320 2605.0 3109.0
308 320 2605.0 3136.0
309 10 2606.0 3290.0
310 10 2606.0 3333.0
311 468 2606.0 3368.0
