customer weight coord_x coord_y
1 394.0 -4.65 40.28
2 324.0 -5.08 40.28
3 1257.0 -5.13 40.14
4 458.0 -4.58 40.46
5 1166.0 -5.28 40.18
6 463.0 -4.77 40.3
7 844.0 -4.43 40.46
8 153.0 -5.03 40.29
9 50.0 -4.94 40.72
10 130.0 -5.08 40.94
11 70.0 -4.91 40.7
12 229.0 -4.86 40.26
13 206.0 -5.13 40.21
14 135.0 -4.53 40.59
15 191.0 -5.1 41.07
16 147.0 -5.14 40.26
17 172.0 -4.99 40.41
18 461.0 -4.39 40.5
19 128.0 -4.85 41.0
20 238.0 -4.93 40.19
21 187.0 -4.54 40.8
22 271.0 -4.82 40.28
23 359.0 -5.03 40.23
24 115.0 -4.89 40.6
25 221.0 -4.77 41.0
26 160.0 -5.49 40.25
27 192.0 -4.92 40.39
28 545.0 -4.69 40.4
29 141.0 -5.11 40.35
30 164.0 -4.87 40.36
31 78.0 -4.77 40.85
32 135.0 -4.76 41.11
33 486.0 -4.91 40.25
34 481.0 -4.7 40.32
35 240.0 -5.16 40.17
36 59.0 -4.8 40.84
37 329.0 -4.94 40.29
38 201.0 -4.68 40.47
39 183.0 -5.0 40.21
40 203.0 -5.41 40.51
41 147.0 -4.9 40.33
42 179.0 -4.83 40.38
43 682.0 -4.62 40.27
44 266.0 -4.54 40.31
45 813.0 -4.48 40.37
46 653.0 -4.29 40.62
47 210.0 -4.48 40.53
48 153.0 -4.68 40.77
49 143.0 -4.65 40.89
50 1119.0 -4.87 41.01
51 430.0 -4.99 41.07
52 208.0 -4.96 40.97
53 147.0 -5.02 40.84
54 70.0 -5.03 40.72
55 174.0 -4.92 40.62
56 316.0 -5.47 40.41
57 199.0 -5.64 40.38
58 508.0 -5.55 40.29
59 257.0 -5.4 40.32
60 157.0 -5.28 40.34
61 261.0 -4.86 40.55
62 83.0 -4.76 40.6
63 350.0 -4.87 40.4
64 242.0 -4.8 40.46
65 185.0 -5.21 40.69
66 42.0 -4.78 40.91
67 90.0 -4.88 40.8
68 105.0 -4.72 40.93
69 230.0 -4.43 40.67
70 172.0 -5.05 40.37
71 171.0 -5.1 40.57
72 557.0 -5.29 40.51
73 88.0 -5.17 40.33
74 172.0 -4.79 40.77
75 721.3 -4.66 40.65
76 96.0 -3.03 41.92
77 33.0 -3.66 42.29
78 40.0 -3.6 42.33
79 104.0 -3.13 42.5
80 235.0 -3.61 43.12
81 49.0 -3.67 41.62
82 58.0 -3.8 41.74
83 458.0 -3.31 42.99
84 92.0 -3.44 42.86
85 141.0 -3.47 43.07
86 113.0 -3.65 43.04
87 98.0 -3.77 43.02
88 107.0 -3.55 42.83
89 119.0 -3.11 41.95
90 60.0 -2.98 41.95
91 212.0 -4.02 42.4
92 52.0 -3.85 42.05
93 92.0 -3.93 41.85
94 79.0 -4.02 41.83
95 0.0 -3.29 43.12
96 88.0 -3.07 41.94
97 60.0 -3.75 41.68
98 74.0 -3.65 42.04
99 415.0 -3.57 42.94
100 103.0 -3.58 42.45
101 45.0 -3.74 42.39
102 116.0 -3.22 42.98
103 149.0 -3.23 42.79
104 129.0 -3.38 42.8
105 0.0 -3.8 42.94
106 74.0 -3.74 42.74
107 309.0 -3.98 42.59
108 120.0 -4.2 42.61
109 211.0 -4.23 42.44
110 124.0 -4.12 42.28
111 980.1 -3.67 42.35
112 36.0 -3.78 42.3
113 87.0 -3.83 42.48
114 53.0 -3.88 42.4
115 52.0 -3.83 42.34
116 122.0 -3.88 42.24
117 49.0 -3.96 42.22
118 60.0 -3.86 42.09
119 78.0 -3.97 42.07
120 189.0 -3.78 42.0
121 48.0 -3.71 42.13
122 107.0 -3.51 42.26
123 56.0 -3.66 42.22
124 80.0 -3.52 42.03
125 82.0 -3.8 41.81
126 70.0 -3.87 41.75
127 99.0 -4.0 41.73
128 78.0 -3.82 41.59
129 223.0 -3.91 41.66
130 1653.0 -3.67 41.65
131 65.0 -3.7 41.53
132 68.0 -3.52 41.64
133 94.0 -3.44 41.7
134 80.0 -3.57 41.8
135 75.0 -3.45 41.86
136 169.0 -3.33 41.84
137 169.0 -3.17 41.85
138 74.0 -3.4 42.35
139 459.0 -3.35 42.56
140 255.0 -3.39 42.69
141 50.0 -3.15 42.63
142 2768.0 -2.99 42.69
143 131.0 -2.69 42.71
144 246.0 -3.16 42.42
145 169.0 -3.21 42.31
146 198.0 -3.27 42.03
147 231.0 -3.06 42.06
148 97.0 -3.66 41.83
149 17.0 -3.31 42.16
150 4.0 -3.48 42.45
151 152.0 -3.67 42.55
152 386.0 -5.85 42.16
153 270.0 -4.98 42.68
154 216.0 -5.67 42.16
155 245.0 -5.56 42.43
156 323.0 -6.67 42.65
157 188.0 -6.91 42.71
158 1821.0 -5.9 42.29
159 146.0 -6.97 42.61
160 1539.0 -6.44 42.65
161 694.0 -5.94 42.51
162 243.0 -6.67 42.38
163 216.0 -5.68 42.34
164 100.0 -6.57 42.74
165 223.0 -4.85 42.98
166 209.0 -6.72 42.49
167 506.0 -5.81 42.45
168 263.0 -6.62 42.62
169 175.0 -5.52 42.4
170 361.0 -6.16 42.97
171 952.0 -6.72 42.6
172 592.0 -6.67 42.58
173 175.0 -6.77 42.84
174 137.0 -5.55 42.97
175 817.0 -6.72 42.55
176 593.0 -5.83 42.59
177 209.0 -5.75 42.8
178 253.0 -6.78 42.49
179 441.0 -6.17 42.19
180 449.0 -6.45 42.57
181 221.0 -5.84 42.25
182 179.0 -5.6 42.11
183 344.0 -5.77 42.61
184 443.0 -6.5 42.61
185 413.0 -6.85 42.57
186 383.0 -5.1 42.93
187 495.0 -5.66 42.73
188 231.0 -5.15 42.64
189 303.0 -6.58 42.64
190 576.0 -5.68 42.47
191 317.0 -6.63 42.27
192 287.0 -5.22 42.78
193 333.0 -6.33 42.66
194 340.0 -5.53 42.74
195 539.0 -5.26 42.66
196 294.0 -5.87 42.46
197 386.0 -6.26 42.74
198 193.0 -5.75 42.31
199 363.0 -5.65 42.24
200 2486.4 -5.57 42.57
201 247.0 -6.37 42.38
202 397.0 -6.24 42.31
203 424.0 -5.87 42.64
204 256.0 -6.11 42.57
205 299.0 -5.38 42.5
206 137.0 -5.44 42.5
207 501.0 -5.52 42.85
208 175.0 -6.45 42.52
209 319.0 -6.18 42.83
210 282.0 -6.39 42.72
211 210.0 -6.98 42.55
212 217.0 -5.86 42.69
213 313.0 -5.56 42.52
214 200.0 -5.93 42.31
215 336.0 -6.4 42.87
216 370.0 -6.51 42.81
217 152.0 -5.66 42.3
218 964.9 -6.57 42.51
219 279.0 -6.68 42.48
220 165.0 -4.96 42.89
221 387.0 -6.77 42.42
222 402.0 -6.01 42.65
223 175.0 -5.86 42.2
224 323.0 -6.07 42.26
225 140.0 -5.85 42.29
226 386.0 -5.97 42.36
227 465.0 -6.01 42.82
228 233.0 -5.76 42.7
229 835.0 -5.61 42.81
230 219.0 -5.78 42.23
231 396.0 -5.16 42.84
232 3249.0 -5.65 42.61
233 183.0 -6.63 42.66
234 381.0 -5.91 42.39
235 313.0 -5.99 42.99
236 555.0 -6.0 42.47
237 103.0 -5.72 42.41
238 270.0 -5.4 42.76
239 212.0 -6.27 42.44
240 416.0 -5.91 42.24
241 216.0 -5.92 42.36
242 508.0 -5.73 42.35
243 214.0 -5.83 42.74
244 644.0 -5.84 42.48
245 273.0 -5.62 42.54
246 319.0 -5.63 42.65
247 233.0 -6.86 42.5
248 595.0 -5.89 42.33
249 758.0 -6.5 42.71
250 522.0 -6.32 42.55
251 225.0 -6.85 42.66
252 420.0 -5.87 42.54
253 232.0 -5.78 42.38
254 419.0 -5.46 42.59
255 115.0 -5.82 42.31
256 152.0 -5.41 42.98
257 145.0 -5.42 42.88
258 460.0 -5.23 42.55
259 259.0 -6.03 42.4
260 272.0 -6.11 42.43
261 385.0 -5.63 42.41
262 569.0 -5.68 42.57
263 151.0 -5.41 42.83
264 659.0 -6.76 42.76
265 241.0 -5.54 42.49
266 362.0 -6.95 42.66
267 263.0 -5.33 42.77
268 588.0 -5.38 42.67
269 2022.0 -6.35 42.98
270 215.0 -5.77 42.5
271 667.0 -6.77 42.56
272 127.0 -5.58 42.27
273 1119.0 -6.8 42.71
274 270.0 -6.18 42.64
275 151.0 -5.58 42.18
276 395.0 -5.6 42.34
277 380.0 -6.01 42.58
278 403.0 -6.02 42.29
279 220.0 -6.05 42.5
280 270.0 -5.54 42.11
281 932.0 -5.54 42.65
282 846.0 -5.92 42.43
283 346.0 -5.92 42.47
284 344.0 -5.38 42.53
285 477.0 -5.49 42.52
286 301.0 -5.84 42.38
287 322.0 -4.97 42.54
288 180.0 -5.72 42.26
289 306.0 -5.7 42.95
290 142.0 -5.52 42.19
291 892.0 -6.65 42.83
292 201.0 -5.93 42.88
293 307.0 -5.89 42.77
294 1179.0 -5.66 42.87
295 360.0 -6.43 42.3
296 2713.0 -6.14 42.46
297 327.0 -6.1 42.32
298 418.0 -5.98 42.18
299 208.0 -5.75 42.15
300 202.0 -5.56 42.22
301 556.0 -5.45 42.1
302 227.0 -5.47 42.43
303 196.0 -5.51 42.35
304 164.0 -5.22 42.29
305 930.0 -5.01 42.36
306 318.0 -5.19 42.43
307 220.0 -5.43 42.17
308 753.0 -5.47 42.29
309 307.0 -5.35 42.39
310 269.0 -5.01 42.57
311 181.0 -5.12 42.52
312 429.0 -4.97 42.82
313 1116.0 -5.09 42.77
314 664.0 -5.26 42.9
315 90.0 -5.04 43.01
316 209.0 -4.96 43.16
317 198.0 -5.26 43.03
318 143.0 -4.45 42.16
319 35.0 -4.02 42.78
320 198.0 -4.59 42.81
321 565.0 -4.56 41.88
322 196.0 -4.3 42.33
323 170.0 -4.16 42.78
324 177.0 -4.83 42.51
325 95.0 -4.46 41.88
326 396.0 -4.77 42.87
327 279.0 -4.49 41.95
328 181.0 -4.61 42.08
329 178.0 -4.32 41.96
330 185.0 -4.84 42.62
331 173.0 -4.51 43.01
332 813.0 -4.33 42.9
333 752.0 -4.54 42.89
334 1419.0 -4.34 42.78
335 1344.0 -4.84 42.74
336 387.0 -4.67 42.76
337 144.0 -4.57 42.61
338 427.0 -4.31 42.67
339 689.0 -4.37 42.56
340 581.0 -4.74 42.59
341 184.0 -4.78 42.54
342 113.0 -4.69 42.44
343 258.0 -4.41 42.25
344 377.0 -4.91 42.32
345 197.0 -4.87 42.23
346 262.0 -4.88 42.04
347 179.0 -4.76 41.91
348 1327.4 -4.55 42.0
349 177.0 -4.46 42.09
350 325.0 -4.63 42.09
351 157.0 -4.77 42.04
352 112.0 -4.41 41.97
353 390.0 -4.21 41.9
354 1151.0 -4.43 41.92
355 247.0 -4.36 41.82
356 293.0 -4.24 42.05
357 340.0 -4.3 42.16
358 143.0 -4.06 41.96
359 440.0 -4.39 42.41
360 137.0 -4.67 42.23
361 622.0 -4.68 42.17
362 220.0 -4.79 42.1
363 92.0 -4.26 42.26
364 600.0 -4.55 42.41
365 92.0 -4.51 42.19
366 161.0 -6.78 40.71
367 67.0 -5.54 40.99
368 150.0 -5.39 41.05
369 86.0 -5.64 40.9
370 190.0 -5.43 40.99
371 193.0 -6.62 40.83
