customer weight coord_x coord_y
1 41.0 63.0 71.0
2 25.0 94.0 71.0
3 6.0 142.0 370.0
4 28.0 173.0 1276.0
5 46.0 205.0 1213.0
6 88.0 213.0 69.0
7 64.0 244.0 69.0
8 75.0 276.0 630.0
9 50.0 283.0 732.0
10 11.0 362.0 69.0
11 44.0 394.0 69.0
12 82.0 449.0 370.0
13 32.0 480.0 1276.0
14 14.0 512.0 1213.0
15 17.0 528.0 157.0
16 59.0 583.0 630.0
17 69.0 591.0 732.0
18 36.0 638.0 654.0
19 56.0 638.0 496.0
20 29.0 638.0 314.0
21 70.0 638.0 142.0
22 73.0 669.0 142.0
23 90.0 677.0 315.0
24 74.0 677.0 496.0
25 97.0 677.0 654.0
26 12.0 709.0 654.0
27 55.0 709.0 496.0
28 71.0 709.0 315.0
29 89.0 701.0 142.0
30 95.0 764.0 220.0
31 56.0 811.0 189.0
32 11.0 843.0 173.0
33 49.0 858.0 370.0
34 66.0 890.0 1276.0
35 6.0 921.0 1213.0
36 21.0 992.0 630.0
37 65.0 1000.0 732.0
38 51.0 1197.0 1276.0
39 100.0 1228.0 1213.0
40 78.0 1276.0 205.0
41 6.0 1299.0 630.0
42 31.0 1307.0 732.0
43 4.0 1362.0 654.0
44 59.0 1362.0 496.0
45 35.0 1362.0 291.0
46 13.0 1425.0 654.0
47 50.0 1425.0 496.0
48 24.0 1425.0 291.0
49 6.0 1417.0 173.0
50 52.0 1488.0 291.0
51 49.0 1488.0 496.0
52 52.0 1488.0 654.0
53 28.0 1551.0 654.0
54 25.0 1551.0 496.0
55 93.0 1551.0 291.0
56 91.0 1614.0 291.0
57 51.0 1614.0 496.0
58 33.0 1614.0 654.0
59 50.0 1732.0 189.0
60 56.0 1811.0 1276.0
61 37.0 1843.0 1213.0
62 48.0 1913.0 630.0
63 73.0 1921.0 732.0
64 43.0 2087.0 370.0
65 55.0 2118.0 1276.0
66 11.0 2150.0 1213.0
67 65.0 2189.0 205.0
68 71.0 2220.0 189.0
69 30.0 2220.0 630.0
70 88.0 2228.0 732.0
71 96.0 2244.0 142.0
72 10.0 2276.0 315.0
73 57.0 2276.0 496.0
74 34.0 2276.0 654.0
75 86.0 2315.0 654.0
76 54.0 2315.0 496.0
77 5.0 2315.0 315.0
78 38.0 2331.0 142.0
79 98.0 2346.0 315.0
80 30.0 2346.0 496.0
81 46.0 2346.0 654.0
82 88.0 2362.0 142.0
83 61.0 2402.0 157.0
84 5.0 2402.0 220.0
85 32.0 2480.0 142.0
86 87.0 2496.0 370.0
87 37.0 2528.0 1276.0
88 75.0 2559.0 1213.0
89 63.0 2630.0 630.0
90 54.0 2638.0 732.0
91 65.0 2756.0 69.0
92 61.0 2787.0 69.0
93 90.0 2803.0 370.0
94 96.0 2835.0 1276.0
95 84.0 2866.0 1213.0
96 96.0 2906.0 69.0
97 93.0 2937.0 69.0
98 86.0 2937.0 630.0
99 97.0 2945.0 732.0
100 80.0 3016.0 1276.0
101 85.0 3055.0 69.0
102 91.0 3087.0 69.0
103 19.0 606.0 220.0
104 18.0 1165.0 370.0
105 32.0 1780.0 370.0
106 81.0 63.0 1402.0
107 83.0 94.0 1402.0
108 55.0 142.0 1701.0
109 19.0 173.0 2607.0
110 67.0 205.0 2544.0
111 32.0 213.0 1400.0
112 85.0 244.0 1400.0
113 34.0 276.0 1961.0
114 2.0 283.0 2063.0
115 87.0 362.0 1400.0
116 90.0 394.0 1400.0
117 36.0 449.0 1701.0
118 88.0 480.0 2607.0
119 13.0 512.0 2544.0
120 20.0 528.0 1488.0
121 46.0 583.0 1961.0
122 24.0 591.0 2063.0
123 76.0 638.0 1985.0
124 27.0 638.0 1827.0
125 34.0 638.0 1645.0
126 41.0 638.0 1473.0
127 92.0 669.0 1473.0
128 95.0 677.0 1646.0
129 40.0 677.0 1827.0
130 97.0 677.0 1985.0
131 34.0 709.0 1985.0
132 71.0 709.0 1827.0
133 78.0 709.0 1646.0
134 82.0 701.0 1473.0
135 49.0 764.0 1551.0
136 52.0 811.0 1520.0
137 47.0 843.0 1504.0
138 7.0 858.0 1701.0
139 64.0 890.0 2607.0
140 33.0 921.0 2544.0
141 6.0 992.0 1961.0
142 50.0 1000.0 2063.0
143 72.0 1197.0 2607.0
144 46.0 1228.0 2544.0
145 60.0 1276.0 1536.0
146 13.0 1299.0 1961.0
147 36.0 1307.0 2063.0
148 28.0 1362.0 1985.0
149 78.0 1362.0 1827.0
150 29.0 1362.0 1622.0
151 52.0 1425.0 1985.0
152 54.0 1425.0 1827.0
153 7.0 1425.0 1622.0
154 2.0 1417.0 1504.0
155 74.0 1488.0 1622.0
156 100.0 1488.0 1827.0
157 1.0 1488.0 1985.0
158 48.0 1551.0 1985.0
159 41.0 1551.0 1827.0
160 69.0 1551.0 1622.0
161 7.0 1614.0 1622.0
162 76.0 1614.0 1827.0
163 16.0 1614.0 1985.0
164 93.0 1732.0 1520.0
165 64.0 1811.0 2607.0
166 42.0 1843.0 2544.0
167 64.0 1913.0 1961.0
168 42.0 1921.0 2063.0
169 22.0 2087.0 1701.0
170 97.0 2118.0 2607.0
171 65.0 2150.0 2544.0
172 85.0 2189.0 1536.0
173 96.0 2220.0 1520.0
174 1.0 2220.0 1961.0
175 66.0 2228.0 2063.0
176 81.0 2244.0 1473.0
177 94.0 2276.0 1646.0
178 91.0 2276.0 1827.0
179 90.0 2276.0 1985.0
180 47.0 2315.0 1985.0
181 19.0 2315.0 1827.0
182 41.0 2315.0 1646.0
183 79.0 2331.0 1473.0
184 51.0 2346.0 1646.0
185 36.0 2346.0 1827.0
186 35.0 2346.0 1985.0
187 55.0 2362.0 1473.0
188 32.0 2402.0 1488.0
189 90.0 2402.0 1551.0
190 58.0 2480.0 1473.0
191 81.0 2496.0 1701.0
192 70.0 2528.0 2607.0
193 55.0 2559.0 2544.0
194 17.0 2630.0 1961.0
195 44.0 2638.0 2063.0
196 33.0 2756.0 1400.0
197 6.0 2787.0 1400.0
198 24.0 2803.0 1701.0
199 8.0 2835.0 2607.0
200 23.0 2866.0 2544.0
201 64.0 2906.0 1400.0
202 39.0 2937.0 1400.0
203 67.0 2937.0 1961.0
204 2.0 2945.0 2063.0
205 83.0 3016.0 2607.0
206 26.0 3055.0 1400.0
207 58.0 3087.0 1400.0
208 28.0 606.0 1551.0
209 72.0 1165.0 1701.0
210 6.0 1780.0 1701.0
211 1.0 63.0 2733.0
212 40.0 94.0 2733.0
213 10.0 142.0 3032.0
214 38.0 173.0 3938.0
215 95.0 205.0 3875.0
216 28.0 213.0 2731.0
217 35.0 244.0 2731.0
218 62.0 276.0 3292.0
219 42.0 283.0 3394.0
220 93.0 362.0 2731.0
221 72.0 394.0 2731.0
222 72.0 449.0 3032.0
223 15.0 480.0 3938.0
224 94.0 512.0 3875.0
225 98.0 528.0 2819.0
226 83.0 583.0 3292.0
227 4.0 591.0 3394.0
228 63.0 638.0 3316.0
229 27.0 638.0 3158.0
230 22.0 638.0 2976.0
231 72.0 638.0 2804.0
232 30.0 669.0 2804.0
233 25.0 677.0 2977.0
234 79.0 677.0 3158.0
235 10.0 677.0 3316.0
236 94.0 709.0 3316.0
237 76.0 709.0 3158.0
238 74.0 709.0 2977.0
239 100.0 701.0 2804.0
240 15.0 764.0 2882.0
241 80.0 811.0 2851.0
242 48.0 843.0 2835.0
243 57.0 858.0 3032.0
244 73.0 890.0 3938.0
245 36.0 921.0 3875.0
246 33.0 992.0 3292.0
247 88.0 1000.0 3394.0
248 39.0 1197.0 3938.0
249 1.0 1228.0 3875.0
250 18.0 1276.0 2867.0
251 16.0 1299.0 3292.0
252 56.0 1307.0 3394.0
253 91.0 1362.0 3316.0
254 75.0 1362.0 3158.0
255 23.0 1362.0 2953.0
256 45.0 1425.0 3316.0
257 55.0 1425.0 3158.0
258 83.0 1425.0 2953.0
259 64.0 1417.0 2835.0
260 96.0 1488.0 2953.0
261 25.0 1488.0 3158.0
262 5.0 1488.0 3316.0
263 49.0 1551.0 3316.0
264 72.0 1551.0 3158.0
265 96.0 1551.0 2953.0
266 12.0 1614.0 2953.0
267 80.0 1614.0 3158.0
268 77.0 1614.0 3316.0
269 73.0 1732.0 2851.0
270 61.0 1811.0 3938.0
271 84.0 1843.0 3875.0
272 29.0 1913.0 3292.0
273 17.0 1921.0 3394.0
274 28.0 2087.0 3032.0
275 8.0 2118.0 3938.0
276 95.0 2150.0 3875.0
277 85.0 2189.0 2867.0
278 35.0 2220.0 2851.0
279 56.0 2220.0 3292.0
280 7.0 2228.0 3394.0
281 83.0 2244.0 2804.0
282 72.0 2276.0 2977.0
283 96.0 2276.0 3158.0
284 57.0 2276.0 3316.0
285 83.0 2315.0 3316.0
286 93.0 2315.0 3158.0
287 6.0 2315.0 2977.0
288 85.0 2331.0 2804.0
289 19.0 2346.0 2977.0
290 92.0 2346.0 3158.0
291 91.0 2346.0 3316.0
292 41.0 2362.0 2804.0
293 12.0 2402.0 2819.0
294 90.0 2402.0 2882.0
295 55.0 2480.0 2804.0
296 24.0 2496.0 3032.0
297 78.0 2528.0 3938.0
298 91.0 2559.0 3875.0
299 33.0 2630.0 3292.0
300 81.0 2638.0 3394.0
301 32.0 2756.0 2731.0
302 80.0 2787.0 2731.0
303 23.0 2803.0 3032.0
304 43.0 2835.0 3938.0
305 22.0 2866.0 3875.0
306 16.0 2906.0 2731.0
307 100.0 2937.0 2731.0
308 55.0 2937.0 3292.0
309 41.0 2945.0 3394.0
310 96.0 3016.0 3938.0
311 82.0 3055.0 2731.0
312 13.0 3087.0 2731.0
313 67.0 606.0 2882.0
314 24.0 1165.0 3032.0
315 35.0 1780.0 3032.0
316 53.0 1417.0 -79.0
317 75.0 1496.0 -79.0
318 47.0 1693.0 4055.0
