customer weight coord_x coord_y
1 76.0 1639.0 2156.0
2 70.0 1875.0 2925.0
3 44.0 2150.0 2925.0
4 66.0 2425.0 2925.0
5 47.0 2525.0 2675.0
6 4.0 2525.0 2575.0
7 80.0 2525.0 2375.0
8 63.0 2525.0 2275.0
9 24.0 2525.0 2175.0
10 2.0 2786.0 2148.0
11 66.0 2786.0 2249.0
12 14.0 2786.0 2352.0
13 5.0 2785.0 2451.0
14 91.0 2785.0 2552.0
15 11.0 2787.0 2651.0
16 56.0 2925.0 2925.0
17 33.0 3198.0 2925.0
18 39.0 3475.0 2925.0
19 98.0 3725.0 2925.0
20 34.0 3675.0 2675.0
21 15.0 3675.0 2575.0
22 71.0 3675.0 2375.0
23 16.0 3675.0 2275.0
24 51.0 3675.0 2175.0
25 82.0 4189.0 2156.0
26 54.0 4190.0 2256.0
27 65.0 4190.0 2355.0
28 3.0 4189.0 2456.0
29 91.0 4189.0 2556.0
30 31.0 4190.0 2656.0
31 9.0 4275.0 2975.0
32 77.0 4425.0 2925.0
33 78.0 4700.0 2925.0
34 50.0 4975.0 2925.0
35 76.0 5075.0 2675.0
36 42.0 5075.0 2575.0
37 88.0 5075.0 2375.0
38 43.0 5075.0 2275.0
39 57.0 5075.0 2175.0
40 62.0 5336.0 2148.0
41 60.0 5336.0 2249.0
42 55.0 5336.0 2352.0
43 35.0 5335.0 2451.0
44 27.0 5335.0 2552.0
45 36.0 5337.0 2651.0
46 78.0 5475.0 2925.0
47 19.0 5748.0 2925.0
48 75.0 6025.0 2925.0
49 14.0 6275.0 2925.0
50 65.0 6225.0 2675.0
51 94.0 6225.0 2575.0
52 52.0 6225.0 2375.0
53 11.0 6225.0 2275.0
54 52.0 6225.0 2175.0
55 35.0 6739.0 2156.0
56 27.0 6740.0 2256.0
57 16.0 6740.0 2355.0
58 57.0 6739.0 2456.0
59 43.0 6739.0 2556.0
60 72.0 6740.0 2656.0
61 72.0 6825.0 2975.0
62 22.0 6975.0 2925.0
63 43.0 7250.0 2925.0
64 46.0 7525.0 2925.0
65 11.0 7625.0 2675.0
66 37.0 7625.0 2575.0
