customer weight coord_x coord_y
1 80.0 15440.0 8888.0
2 73.0 15440.0 9328.0
3 2.0 15440.0 9768.0
4 29.0 15440.0 11264.0
5 30.0 15440.0 13288.0
6 36.0 15440.0 14058.0
7 77.0 15536.0 8228.0
8 20.0 15616.0 8228.0
9 23.0 15824.0 8228.0
10 68.0 16048.0 8228.0
11 56.0 16176.0 8228.0
12 29.0 16384.0 8228.0
13 57.0 16512.0 8228.0
14 84.0 16624.0 8228.0
15 98.0 16704.0 8228.0
16 56.0 16784.0 8228.0
17 45.0 16880.0 8228.0
18 76.0 17024.0 8228.0
19 28.0 17312.0 8228.0
20 7.0 17440.0 8228.0
21 38.0 17600.0 8228.0
22 18.0 17872.0 8228.0
23 6.0 17936.0 4400.0
24 96.0 6320.0 10626.0
25 25.0 6320.0 12012.0
26 34.0 6432.0 9680.0
27 15.0 6480.0 4180.0
28 49.0 6480.0 4796.0
29 33.0 6480.0 5544.0
30 77.0 6480.0 6732.0
31 7.0 1232.0 5918.0
32 55.0 1232.0 7304.0
33 87.0 1232.0 12012.0
34 9.0 1232.0 14432.0
35 96.0 1456.0 5588.0
36 36.0 1520.0 4730.0
37 18.0 4272.0 11154.0
38 53.0 4272.0 11858.0
39 49.0 4304.0 10296.0
40 42.0 4416.0 10296.0
41 78.0 4496.0 10296.0
42 81.0 4528.0 5544.0
43 50.0 4528.0 7040.0
44 8.0 4592.0 10296.0
45 44.0 4704.0 10296.0
46 37.0 4784.0 10296.0
47 88.0 4880.0 10296.0
48 2.0 4944.0 10296.0
49 41.0 5120.0 10296.0
50 92.0 5200.0 10296.0
51 48.0 5360.0 10296.0
52 54.0 5504.0 10296.0
53 73.0 5616.0 10296.0
54 90.0 5648.0 7942.0
55 92.0 5648.0 9020.0
56 39.0 5680.0 6952.0
57 94.0 5808.0 6952.0
58 53.0 5952.0 6952.0
59 77.0 6096.0 6952.0
60 12.0 6160.0 6952.0
61 65.0 6240.0 6952.0
62 17.0 5648.0 14322.0
63 40.0 6288.0 4180.0
64 9.0 6288.0 4796.0
65 89.0 6288.0 5544.0
66 53.0 6288.0 8052.0
67 97.0 6688.0 9020.0
68 13.0 6800.0 9020.0
69 24.0 6912.0 9020.0
70 64.0 7072.0 9020.0
71 73.0 7120.0 5280.0
72 15.0 7120.0 6732.0
73 40.0 7120.0 7172.0
74 37.0 7120.0 7942.0
75 93.0 18432.0 4422.0
76 43.0 18720.0 4422.0
77 57.0 18912.0 4422.0
78 74.0 19040.0 4422.0
79 63.0 14128.0 5610.0
80 7.0 14128.0 7480.0
81 33.0 14128.0 8888.0
82 55.0 14128.0 9328.0
83 63.0 14320.0 9548.0
84 90.0 14464.0 9548.0
85 38.0 14608.0 9548.0
86 100.0 14672.0 9548.0
87 41.0 14736.0 9548.0
88 100.0 14800.0 9548.0
89 20.0 14896.0 9548.0
90 37.0 15024.0 9548.0
91 88.0 15280.0 9768.0
92 82.0 15280.0 11264.0
93 43.0 15280.0 13288.0
94 75.0 15280.0 14058.0
95 53.0 3504.0 9240.0
96 18.0 3504.0 10142.0
97 9.0 3504.0 12012.0
98 84.0 3648.0 9020.0
99 70.0 3760.0 9020.0
100 88.0 3872.0 9020.0
101 2.0 4096.0 9020.0
102 77.0 4304.0 9020.0
103 5.0 4784.0 9020.0
104 15.0 4880.0 9020.0
105 97.0 4960.0 9020.0
106 44.0 5136.0 9020.0
107 81.0 5216.0 9020.0
108 97.0 5344.0 9020.0
109 25.0 5776.0 9020.0
110 92.0 5808.0 4488.0
111 21.0 5808.0 5544.0
112 40.0 5808.0 8052.0
113 55.0 784.0 4400.0
114 29.0 784.0 5500.0
