customer weight coord_x coord_y
1 96.0 605.61 796.6
2 44.0 681.8 1025.2
3 5.0 605.61 1152.21
4 53.0 605.61 1253.81
5 72.0 656.41 1736.41
6 43.0 808.81 2041.19
7 90.0 726.25 1825.29
8 45.0 758.01 1863.4
9 81.0 783.4 1736.41
10 46.0 808.81 1736.41
11 46.0 758.01 1101.41
12 100.0 758.01 796.6
13 46.0 758.01 821.99
14 56.0 872.3 733.11
15 7.0 885.0 2066.6
16 14.0 872.3 1787.21
17 22.0 935.8 1965.0
18 64.0 910.39 707.7
19 72.0 935.8 1812.6
20 58.0 935.8 1761.8
21 98.0 935.8 1177.6
22 82.0 986.6 1380.8
23 98.0 1011.99 898.2
24 16.0 986.6 1203.01
25 9.0 986.6 1152.21
26 35.0 986.6 821.99
27 3.0 1011.99 796.6
28 55.0 986.6 923.59
29 93.0 1062.79 1126.8
30 47.0 1113.59 1431.6
31 14.0 1139.0 1482.4
32 41.0 1189.8 949.0
33 53.0 1189.8 1253.81
34 18.0 1240.61 1507.79
35 56.0 1291.41 1355.39
36 89.0 1266.0 1253.81
37 27.0 1189.8 1101.41
38 62.0 1189.8 1380.8
39 32.0 1113.59 1152.21
40 27.0 1113.59 821.99
41 22.0 1189.8 707.7
42 20.0 1151.7 733.11
43 19.0 1113.59 923.59
44 85.0 1113.59 1101.41
45 80.0 1113.59 1228.4
46 51.0 1113.59 949.0
47 32.0 1113.59 1406.19
48 89.0 1139.0 860.1
49 54.0 1189.8 733.11
50 99.0 1240.61 1711.0
51 23.0 1266.0 1736.41
52 43.0 1291.41 1863.4
53 73.0 1278.69 2047.56
54 2.0 1285.06 2053.91
55 51.0 1291.41 2041.19
56 35.0 1329.49 1958.65
57 81.0 1291.41 1965.0
58 41.0 1323.14 1952.3
59 31.0 1316.8 1787.21
60 92.0 1342.21 1863.4
61 56.0 1329.49 1945.96
62 58.0 1335.86 1952.3
63 6.0 1164.39 2244.39
64 26.0 1164.39 2091.99
65 9.0 1189.8 1584.0
66 17.0 1215.2 1711.0
67 21.0 1164.39 1634.8
68 25.0 1164.39 1787.21
69 41.0 1189.8 1863.4
70 93.0 1189.8 2244.39
71 52.0 1266.0 2168.2
72 99.0 1278.69 2060.25
73 67.0 1272.34 2053.91
74 22.0 1240.61 2041.19
75 58.0 1227.89 1958.65
76 44.0 1234.26 1952.3
77 48.0 1240.61 1965.0
78 72.0 1291.41 1609.39
79 70.0 1291.41 1076.0
80 28.0 1266.0 707.7
81 58.0 1189.8 847.4
82 97.0 1139.0 1533.2
83 87.0 1113.59 2028.5
84 14.0 1088.2 2244.39
85 27.0 1088.2 2079.3
86 33.0 999.3 2180.9
87 97.0 1011.99 1736.41
88 92.0 1062.79 1685.61
89 70.0 1037.4 1634.8
90 51.0 1113.59 1863.4
91 73.0 1062.79 771.19
92 71.0 1062.79 821.99
93 53.0 1024.71 1279.2
94 90.0 986.6 1507.79
95 33.0 1037.4 872.79
96 17.0 1037.4 1482.4
97 93.0 1011.99 1609.39
98 57.0 961.19 1711.0
99 7.0 999.3 733.11
100 24.0 1011.99 1901.5
101 89.0 1037.4 1914.2
102 58.0 1062.79 1736.41
103 90.0 1062.79 1609.39
104 42.0 1240.61 2244.39
105 13.0 1342.21 1939.61
106 33.0 1291.41 2168.2
107 54.0 1316.8 1584.0
108 13.0 1266.0 1685.61
109 5.0 1215.2 1787.21
110 50.0 1189.8 1965.0
111 73.0 1215.2 2041.19
112 63.0 1240.61 1863.4
113 81.0 1227.89 1945.96
114 61.0 1221.54 1952.3
115 61.0 1189.8 2091.99
116 80.0 1215.2 2168.2
117 70.0 1367.6 1634.8
118 53.0 1494.61 2244.39
119 69.0 1520.0 2028.5
120 15.0 1570.8 1812.6
121 74.0 1596.19 1812.6
122 57.0 1570.8 2244.39
123 17.0 1672.4 1939.61
124 25.0 1710.51 1996.76
125 28.0 1716.86 2003.11
126 82.0 1748.59 2015.8
127 34.0 1850.2 2142.79
128 43.0 1875.61 2244.39
129 46.0 1951.8 2091.99
130 33.0 1913.69 2079.3
131 70.0 1977.21 2244.39
132 95.0 1799.39 2168.2
133 47.0 1850.2 2219.0
134 9.0 1824.8 1634.8
135 51.0 1774.0 1736.41
136 34.0 1723.2 1761.8
137 24.0 1799.39 1507.79
138 16.0 1799.39 1456.99
139 20.0 1799.39 1228.4
140 31.0 1761.31 1228.4
141 74.0 1748.59 1431.6
142 23.0 1862.89 949.0
143 69.0 1786.7 707.7
144 11.0 1901.0 898.2
145 28.0 1926.41 872.79
146 35.0 1774.0 1939.61
147 87.0 1774.0 1812.6
148 89.0 1748.59 1634.8
149 94.0 1748.59 1888.81
150 31.0 1672.4 1761.8
151 88.0 1672.4 1812.6
152 81.0 1723.2 1406.19
153 27.0 1723.2 1330.0
154 96.0 1723.2 999.8
155 24.0 1710.51 733.11
156 85.0 1697.79 821.99
157 16.0 1723.2 1152.21
158 38.0 1672.4 1076.0
159 68.0 1646.99 1304.61
160 12.0 1723.2 1076.0
161 40.0 1748.59 898.2
162 25.0 1723.2 1203.01
163 66.0 1799.39 796.6
164 87.0 1748.59 733.11
165 73.0 1799.39 999.8
166 100.0 1824.8 987.11
167 62.0 1723.2 1990.39
168 83.0 1697.79 1939.61
169 42.0 1704.14 2003.11
170 25.0 1710.51 2009.45
171 57.0 1646.99 2244.39
172 94.0 1774.0 1965.0
173 20.0 1926.41 923.59
174 4.0 1913.69 707.7
175 35.0 2002.6 923.59
176 67.0 1951.8 707.7
177 55.0 1926.41 796.6
178 83.0 1989.9 707.7
179 46.0 1977.21 796.6
180 79.0 2028.01 796.6
181 2.0 2066.09 733.11
182 74.0 2104.2 796.6
183 43.0 2028.01 707.7
184 50.0 2002.6 872.79
185 24.0 2155.0 1253.81
186 77.0 2161.35 1266.5
187 8.0 2167.7 1272.85
188 10.0 2205.8 1558.59
189 82.0 2281.99 1761.8
190 38.0 2332.79 1558.59
191 27.0 2358.2 1126.8
192 92.0 2447.11 1584.0
193 35.0 2383.59 2142.79
194 100.0 2358.2 2066.6
195 15.0 2383.59 2015.8
196 73.0 2434.39 1406.19
197 31.0 2409.0 2015.8
198 5.0 2434.39 2053.91
199 64.0 2434.39 1355.39
200 87.0 2459.8 796.6
201 53.0 2459.8 1330.0
202 80.0 2421.7 974.39
203 7.0 2409.0 872.79
204 38.0 2459.8 974.39
205 14.0 2485.2 1279.2
206 67.0 2536.0 796.6
207 96.0 2523.3 1355.39
208 53.0 2523.3 1584.0
209 1.0 2561.41 1939.61
210 12.0 2561.41 2244.39
211 28.0 2510.61 2142.79
212 7.0 2713.81 2244.39
213 49.0 2713.81 2142.79
214 19.0 2701.09 2079.3
215 36.0 2688.4 1126.8
216 36.0 2663.01 1761.8
217 90.0 2663.01 1050.61
218 63.0 2637.6 1101.41
219 28.0 2612.21 1152.21
220 99.0 2637.6 1355.39
221 90.0 2561.41 1558.59
222 82.0 2586.8 1939.61
223 56.0 2612.21 1812.6
224 8.0 2586.8 1761.8
225 81.0 2561.41 1812.6
226 80.0 2561.41 1761.8
227 39.0 2612.21 999.8
228 11.0 2701.09 1291.89
229 20.0 2764.61 1126.8
230 96.0 2790.0 1152.21
231 67.0 2840.8 1126.8
232 87.0 2790.0 821.99
233 70.0 2739.2 821.99
234 21.0 2713.81 872.79
235 52.0 2612.21 796.6
236 49.0 2434.39 1304.61
237 67.0 2497.89 834.71
238 10.0 2536.0 872.79
239 41.0 2561.41 821.99
240 35.0 2612.21 834.71
241 29.0 2574.1 949.0
242 34.0 2561.41 796.6
243 71.0 2561.41 999.8
244 75.0 2586.8 1101.41
245 39.0 2510.61 1177.6
246 52.0 2536.0 1203.01
247 53.0 2472.5 1558.59
248 36.0 2561.41 2066.6
249 54.0 2637.6 2219.0
250 29.0 2586.8 2104.71
251 24.0 2561.41 2104.71
252 33.0 2637.6 2244.39
253 61.0 2637.6 2142.79
254 58.0 2536.0 1456.99
255 55.0 2497.89 1101.41
256 24.0 2447.11 1558.59
257 11.0 2383.59 1469.71
258 55.0 2281.99 1812.6
259 42.0 2231.19 2041.19
260 32.0 2434.39 2219.0
261 61.0 2440.74 2231.7
262 4.0 2459.8 2244.39
263 33.0 2453.46 2231.7
264 79.0 2447.11 2225.35
265 38.0 2358.2 1812.6
266 36.0 2383.59 1939.61
267 15.0 2307.4 2142.79
268 32.0 2256.6 2142.79
269 13.0 2332.79 1939.61
270 61.0 2370.9 1101.41
271 24.0 2231.19 2142.79
272 42.0 2167.7 2079.3
273 55.0 2129.61 2244.39
274 64.0 2129.61 2041.19
275 56.0 2180.39 2219.0
276 16.0 2078.81 2142.79
277 87.0 2078.81 2244.39
278 24.0 2078.81 2066.6
279 86.0 2028.01 2244.39
280 22.0 2053.4 2117.4
281 63.0 2028.01 2142.79
282 5.0 2053.4 2219.0
283 87.0 2002.6 2066.6
284 44.0 1977.21 2066.6
285 93.0 3018.59 2193.59
286 36.0 3044.0 2142.79
287 49.0 3044.0 2219.0
288 59.0 2967.79 2168.2
289 63.0 2980.51 2104.71
290 50.0 3069.39 2219.0
291 81.0 3069.39 2142.79
292 87.0 3132.91 2117.4
293 59.0 3209.1 1952.3
294 51.0 3196.41 2066.6
295 54.0 3120.2 2015.8
296 12.0 3171.0 1812.6
297 65.0 3107.5 1584.0
298 66.0 3094.8 1965.0
299 43.0 3069.39 2015.8
300 64.0 2993.2 1939.61
301 8.0 2993.2 2015.8
302 14.0 2967.79 2066.6
303 15.0 2993.2 898.2
304 25.0 3018.59 1050.61
305 44.0 3044.0 872.79
306 38.0 3069.39 949.0
307 72.0 3069.39 796.6
308 51.0 3069.39 898.2
309 73.0 3120.2 796.6
310 61.0 3171.0 923.59
311 65.0 3120.2 1050.61
312 7.0 3171.0 999.8
313 56.0 3145.61 1050.61
314 7.0 3120.2 1126.8
315 84.0 3145.61 872.79
316 71.0 3094.8 1304.61
317 33.0 2993.2 949.0
318 35.0 2967.79 796.6
319 54.0 2993.2 796.6
320 5.0 2840.8 872.79
321 76.0 2815.41 796.6
322 4.0 2802.7 1215.7
323 12.0 2828.11 1330.0
324 96.0 2790.0 1380.8
325 68.0 2802.7 1330.0
326 96.0 2891.6 1101.41
327 77.0 2866.19 1050.61
328 64.0 2853.5 974.39
329 71.0 2866.19 1253.81
330 67.0 2739.2 796.6
331 17.0 2764.61 1279.2
332 17.0 2840.8 1279.2
333 26.0 2916.99 1253.81
334 81.0 2904.3 1025.2
335 55.0 2916.99 1406.19
336 27.0 2891.6 1342.7
337 92.0 2866.19 1342.7
338 8.0 2815.41 1431.6
