customer location distance
1 2 31.0
2 1 31.0
1 3 309.2604080706096
3 1 309.2604080706096
1 4 1210.0103305344132
4 1 1210.0103305344132
1 5 1150.7945081551268
5 1 1150.7945081551268
1 6 150.0133327407934
6 1 150.0133327407934
1 7 181.01104938649465
7 1 181.01104938649465
1 8 598.2056502575014
8 1 598.2056502575014
1 9 696.6498403071661
9 1 696.6498403071661
1 10 299.0066888883926
10 1 299.0066888883926
1 11 331.0060422409235
11 1 331.0060422409235
1 12 488.2591524999813
12 1 488.2591524999813
1 13 1275.113328296744
13 1 1275.113328296744
1 14 1227.0961657506716
14 1 1227.0961657506716
1 15 472.8858213141942
15 1 472.8858213141942
1 16 763.4664367213531
16 1 763.4664367213531
1 17 845.9934987929872
17 1 845.9934987929872
1 18 818.8491924646443
18 1 818.8491924646443
1 19 715.0174823037546
19 1 715.0174823037546
1 20 624.2387363821633
20 1 624.2387363821633
1 21 579.3668958440757
21 1 579.3668958440757
1 22 610.1450647182193
22 1 610.1450647182193
1 23 660.7056833416827
23 1 660.7056833416827
1 24 746.7402493504686
24 1 746.7402493504686
1 25 846.6906164591645
25 1 846.6906164591645
1 26 870.175269701455
26 1 870.175269701455
1 27 773.2664482570028
27 1 773.2664482570028
1 28 690.5447125277262
28 1 690.5447125277262
1 29 641.938470571752
29 1 641.938470571752
1 30 716.6603100493287
30 1 716.6603100493287
1 31 757.2502888741608
31 1 757.2502888741608
1 32 786.6409600319577
32 1 786.6409600319577
1 33 849.3680003390756
33 1 849.3680003390756
1 34 1461.4903352400247
34 1 1461.4903352400247
1 35 1428.4005040603984
35 1 1428.4005040603984
1 36 1084.2149233431535
36 1 1084.2149233431535
1 37 1146.6865308356944
37 1 1146.6865308356944
1 38 1654.6845620842662
38 1 1654.6845620842662
1 39 1631.3764127263823
39 1 1631.3764127263823
1 40 1220.3790394791283
40 1 1220.3790394791283
1 41 1356.531238121703
41 1 1356.531238121703
1 42 1408.7075636909174
42 1 1408.7075636909174
1 43 1423.8293437066116
43 1 1423.8293437066116
1 44 1366.7574766578011
44 1 1366.7574766578011
1 45 1317.4980075886263
45 1 1317.4980075886263
1 46 1481.530627425569
46 1 1481.530627425569
1 47 1426.768726879027
47 1 1426.768726879027
1 48 1379.653579707602
48 1 1379.653579707602
1 49 1357.8365144596753
49 1 1357.8365144596753
1 50 1441.8824501324648
50 1 1441.8824501324648
1 51 1487.0272357963051
51 1 1487.0272357963051
1 52 1539.6473622229214
52 1 1539.6473622229214
1 53 1598.1342246507331
53 1 1598.1342246507331
1 54 1547.5041195421743
54 1 1547.5041195421743
1 55 1504.1755216729196
55 1 1504.1755216729196
1 56 1566.5251354510722
56 1 1566.5251354510722
1 57 1608.174741749167
57 1 1608.174741749167
1 58 1656.9520210313876
58 1 1656.9520210313876
1 59 1673.166160308055
59 1 1673.166160308055
1 60 2123.0942042217534
60 1 2123.0942042217534
1 61 2114.843729451422
61 1 2114.843729451422
1 62 1932.6098933825212
62 1 1932.6098933825212
1 63 1972.076316981673
63 1 1972.076316981673
1 64 2045.9660309985597
64 1 2045.9660309985597
1 65 2382.236344278208
65 1 2382.236344278208
1 66 2379.019335776824
66 1 2379.019335776824
1 67 2130.2187681081023
67 1 2130.2187681081023
1 68 2160.2252197398307
68 1 2160.2252197398307
1 69 2228.2571664868487
69 1 2228.2571664868487
1 70 2263.6576596296536
70 1 2263.6576596296536
1 71 2182.1553565225367
71 1 2182.1553565225367
1 72 2226.4107886910715
72 1 2226.4107886910715
1 73 2253.4404806872535
73 1 2253.4404806872535
1 74 2288.505625948951
74 1 2288.505625948951
1 75 2326.2400993878514
75 1 2326.2400993878514
1 76 2291.75238627562
76 1 2291.75238627562
1 77 2265.1799045550442
77 1 2265.1799045550442
1 78 2269.111059423932
78 1 2269.111059423932
1 79 2296.001959929477
79 1 2296.001959929477
1 80 2322.2217809675285
80 1 2322.2217809675285
1 81 2356.263567600195
81 1 2356.263567600195
1 82 2300.0960849494963
82 1 2300.0960849494963
1 83 2340.580483555308
83 1 2340.580483555308
1 84 2343.741026649489
84 1 2343.741026649489
1 85 2418.042596812554
85 1 2418.042596812554
1 86 2451.303734750143
86 1 2451.303734750143
1 87 2743.765660547562
87 1 2743.765660547562
1 88 2744.84607947331
88 1 2744.84607947331
1 89 2627.1600636428684
