location capacity coord_x coord_y
1 1310.0 36.49 7.49
2 1310.0 57.06 9.51
3 1310.0 30.22 48.14
4 1310.0 5.15 -3.56
5 1310.0 34.59 -106.37
6 1310.0 57.12 -2.12
7 1310.0 16.45 -99.45
8 1310.0 5.36 -0.1
9 1310.0 28.56 -13.36
10 1310.0 8.59 38.48
11 1310.0 12.5 45.02
12 1310.0 -34.48 138.38
13 1310.0 30.23 -9.33
14 1310.0 56.18 12.51
15 1310.0 36.4 -4.3
16 1310.0 40.38 8.17
17 1310.0 35.11 -3.5
18 1310.0 41.55 8.48
19 1310.0 -37.01 174.47
20 1310.0 38.17 -0.34
21 1310.0 36.42 3.13
22 1310.0 36.11 37.14
23 1310.0 35.14 -101.42
24 1310.0 31.58 35.59
25 1310.0 52.18 4.46
26 1310.0 61.1 -149.59
27 1310.0 39.57 32.41
28 1310.0 51.11 4.28
29 1310.0 17.08 -61.47
30 1310.0 43.37 13.22
31 1310.0 29.38 35.01
32 1310.0 59.39 17.55
33 1310.0 15.18 38.55
34 1310.0 -25.14 -57.31
35 1310.0 23.58 32.47
36 1310.0 37.54 23.44
37 1310.0 33.46 -84.31
38 1310.0 12.3 -70.01
39 1310.0 24.26 54.28
40 1310.0 36.55 30.48
41 1310.0 26.16 50.38
42 1310.0 40.29 50.01
43 1310.0 39.11 -76.4
44 1310.0 10.48 -74.52
45 1310.0 -16.11 -52.3
46 1310.0 10.25 45.01
47 1310.0 41.18 2.05
48 1310.0 32.22 -64.42
49 1310.0 41.56 -72.41
50 1310.0 40.39 17.57
51 1310.0 44.49 20.19
52 1310.0 9.21 34.31
53 1310.0 32.06 20.16
54 1310.0 52.29 13.24
55 1310.0 48.27 -4.25
56 1310.0 -19.48 3.45
57 1310.0 33.49 35.29
58 1310.0 54.39 -6.14
59 1310.0 35.48 -101.22
60 1310.0 4.24 18.31
61 1310.0 13.04 -59.3
62 1310.0 60.17 5.13
63 1310.0 44.48 -68.5
64 1310.0 33.14 44.14
65 1310.0 45.4 9.24
66 1310.0 33.34 -86.45
67 1310.0 52.27 -1.45
68 1310.0 42.33 9.29
69 1310.0 45.48 -108.37
70 1310.0 43.28 -1.32
71 1310.0 13.21 -16.4
72 1310.0 -3.19 29.19
73 1310.0 13.55 100.36
74 1310.0 12.38 -8.02
75 1310.0 55.44 9.09
76 1310.0 44.32 11.18
77 1310.0 12.57 77.4
78 1310.0 -15.41 34.58
79 1310.0 27.13 56.22
80 1310.0 -27.25 153.05
81 1310.0 44.5 -0.43
82 1310.0 4.42 -74.09
83 1310.0 50.47 -1.51
84 1310.0 19.05 72.52
85 1310.0 67.16 14.22
86 1310.0 42.22 -71.0
87 1310.0 53.03 8.48
88 1310.0 41.08 16.47
89 1310.0 46.55 7.3
90 1310.0 51.31 -2.35
91 1310.0 50.54 4.29
92 1310.0 -15.52 -47.55
93 1310.0 47.35 7.32
94 1310.0 48.1 16.13
95 1310.0 47.27 19.15
96 1310.0 -34.49 -58.32
97 1310.0 42.55 -78.38
98 1310.0 44.3 26.06
99 1310.0 49.27 2.07
100 1310.0 -4.15 15.15
101 1310.0 39.15 9.04
102 1310.0 30.08 31.24
103 1310.0 23.11 113.16
104 1310.0 33.33 -7.4
105 1310.0 -11.54 22.45
106 1310.0 4.49 -52.22
107 1310.0 52.13 0.11
108 1310.0 -35.19 149.12
109 1310.0 10.36 -66.59
110 1310.0 22.39 88.27
111 1310.0 52.5 -1.19
112 1310.0 49.01 2.33
113 1310.0 43.33 6.57
114 1310.0 45.4 -0.19
115 1310.0 39.37 19.55
116 1310.0 50.52 7.09
117 1310.0 41.59 -87.54
118 1310.0 41.48 12.36
119 1310.0 9.34 -13.37
120 1310.0 41.25 -81.51
121 1310.0 3.26 -76.25
122 1310.0 42.31 8.48
123 1310.0 -28.02 145.37
124 1310.0 7.11 79.53
125 1310.0 40.04 -83.04
126 1310.0 33.22 -7.35
127 1310.0 48.07 7.22
128 1310.0 44.22 28.29
129 1310.0 45.4 -0.19
130 1310.0 6.21 2.23
131 1310.0 55.37 12.39
132 1310.0 -33.58 18.36
133 1310.0 37.28 15.04
134 1310.0 10.27 -75.31
135 1310.0 -26.25 146.14
136 1310.0 39.0 17.05
137 1310.0 12.12 -68.57
138 1310.0 39.09 -84.2
139 1310.0 39.03 -84.2
140 1310.0 51.24 -3.12
141 1310.0 29.11 -81.03
142 1310.0 23.46 90.23
143 1310.0 14.45 42.59
144 1310.0 32.5 -96.51
145 1310.0 33.25 36.31
146 1310.0 -6.53 39.12
147 1310.0 42.34 18.16
148 1310.0 -29.58 30.57
149 1310.0 38.51 -77.02
150 1310.0 28.34 77.07
151 1310.0 39.46 -104.53
152 1310.0 32.46 -96.24
153 1310.0 26.16 50.1
154 1310.0 47.16 5.05
155 1310.0 33.52 10.47
156 1310.0 14.45 -17.3
157 1310.0 4.01 9.43
158 1310.0 19.08 30.26
159 1310.0 25.16 51.34
160 1310.0 49.22 0.1
161 1310.0 -8.45 115.1
162 1310.0 51.08 13.46
163 1310.0 -12.25 130.52
164 1310.0 42.14 -83.32
165 1310.0 42.13 -83.21
166 1310.0 53.26 -6.15
167 1310.0 51.17 6.45
168 1310.0 25.15 55.2
169 1310.0 0.03 32.26
170 1310.0 45.32 4.18
171 1310.0 55.57 -3.22
172 1310.0 51.27 5.23
173 1310.0 31.48 -106.16
174 1310.0 52.5 -1.19
175 1310.0 48.19 6.04
176 1310.0 40.07 33.0
177 1310.0 40.09 82.4
178 1310.0 40.42 -74.1
179 1310.0 50.44 -3.25
180 1310.0 -34.49 -58.32
181 1310.0 64.49 -147.51
182 1310.0 37.01 -7.58
183 1310.0 -11.35 27.31
184 1310.0 59.54 10.37
185 1310.0 41.49 12.15
186 1310.0 14.35 -61.0
187 1310.0 33.56 45.8
188 1310.0 -4.23 15.26
189 1310.0 43.49 11.12
190 1310.0 8.37 -13.12
191 1310.0 41.26 15.32
192 1310.0 50.02 8.34
193 1310.0 44.12 12.04
194 1310.0 -21.13 27.29
195 1310.0 28.27 -13.52
196 1310.0 53.29 -1.0
197 1310.0 -19.27 29.52
198 1310.0 54.23 18.28
199 1310.0 60.12 11.05
200 1310.0 24.57 10.1
201 1310.0 -22.5 -43.15
202 1310.0 55.52 -4.26
203 1310.0 45.22 5.2
204 1310.0 7.09 41.43
205 1310.0 44.25 8.5
206 1310.0 57.4 18.18
207 1310.0 41.54 2.46
208 1310.0 37.11 -3.47
