location capacity coord_x coord_y
1 281.0 5639.0 6909.0
2 281.0 5652.0 6142.0
3 281.0 5654.0 6101.0
4 281.0 5659.0 6910.0
5 281.0 5659.0 6920.0
6 281.0 5661.0 6182.0
7 281.0 5663.0 6830.0
8 281.0 5669.0 6213.0
9 281.0 5670.0 6425.0
10 281.0 5671.0 6870.0
11 281.0 5673.0 6132.0
12 281.0 5682.0 6840.0
13 281.0 5690.0 6891.0
14 281.0 5694.0 6801.0
15 281.0 5698.0 6265.0
16 281.0 5698.0 6952.0
17 281.0 5701.0 6184.0
18 281.0 5701.0 6407.0
19 281.0 5712.0 6154.0
20 281.0 5716.0 6296.0
21 281.0 5720.0 6438.0
22 281.0 5722.0 6397.0
23 281.0 5722.0 6873.0
24 281.0 5730.0 6458.0
25 281.0 5731.0 6893.0
26 281.0 5736.0 6317.0
27 281.0 5737.0 6064.0
28 281.0 5738.0 6034.0
29 281.0 5738.0 6267.0
30 281.0 5740.0 5984.0
31 281.0 5741.0 6206.0
32 281.0 5741.0 6418.0
33 281.0 5744.0 6368.0
34 281.0 5744.0 6823.0
35 281.0 5746.0 6783.0
36 281.0 5748.0 6490.0
37 281.0 5748.0 6965.0
38 281.0 5749.0 6944.0
39 281.0 5750.0 6227.0
40 281.0 5756.0 6308.0
41 281.0 5758.0 6733.0
42 281.0 5761.0 6440.0
43 281.0 5762.0 6187.0
44 281.0 5763.0 6389.0
45 281.0 5774.0 6127.0
46 281.0 5776.0 6319.0
47 281.0 5776.0 6774.0
48 281.0 5777.0 6289.0
49 281.0 5779.0 6026.0
50 281.0 5780.0 6916.0
51 281.0 5783.0 6168.0
52 281.0 5784.0 6137.0
53 281.0 5788.0 6744.0
54 281.0 5789.0 6249.0
55 281.0 5790.0 5996.0
56 281.0 5797.0 6077.0
57 281.0 5799.0 6482.0
58 281.0 5799.0 6957.0
59 281.0 5800.0 6472.0
60 281.0 5802.0 6411.0
61 281.0 5804.0 6836.0
62 281.0 5805.0 6350.0
63 281.0 5806.0 6563.0
64 281.0 5808.0 6047.0
65 281.0 5810.0 6229.0
66 281.0 5813.0 6159.0
67 281.0 5817.0 6311.0
68 281.0 5818.0 6988.0
69 281.0 5820.0 6472.0
70 281.0 5822.0 6200.0
71 281.0 5822.0 6432.0
72 281.0 5822.0 6877.0
73 281.0 5825.0 6594.0
74 281.0 5827.0 6089.0
75 281.0 5829.0 6726.0
76 281.0 5833.0 6392.0
77 281.0 5833.0 6635.0
78 281.0 5838.0 6281.0
79 281.0 5840.0 6948.0
80 281.0 5841.0 6686.0
81 281.0 5842.0 6665.0
82 281.0 5844.0 6160.0
83 281.0 5846.0 6807.0
84 281.0 5847.0 6544.0
85 281.0 5847.0 6999.0
86 281.0 5848.0 6049.0
87 281.0 5850.0 6251.0
88 281.0 5851.0 6919.0
89 281.0 5853.0 6413.0
90 281.0 5855.0 6120.0
91 281.0 5859.0 6272.0
92 281.0 5860.0 6009.0
93 281.0 5860.0 6484.0
94 281.0 5861.0 6687.0
95 281.0 5863.0 6869.0
96 281.0 5864.0 6616.0
97 281.0 5867.0 6090.0
98 281.0 5867.0 7010.0
99 281.0 5872.0 6909.0
100 281.0 5873.0 6171.0
101 281.0 5874.0 6151.0
102 281.0 5876.0 6333.0
103 281.0 5878.0 6768.0
104 281.0 5879.0 6738.0
105 281.0 5879.0 6970.0
106 281.0 5884.0 6394.0
107 281.0 5890.0 6253.0
108 281.0 5890.0 6718.0
109 281.0 5891.0 6000.0
110 281.0 5892.0 6668.0
111 281.0 5893.0 6880.0
112 281.0 5895.0 6840.0
113 281.0 5896.0 6122.0
114 281.0 5897.0 6324.0
115 281.0 5898.0 6304.0
116 281.0 5900.0 6496.0
117 281.0 5902.0 5971.0
118 281.0 5902.0 6911.0
119 281.0 5905.0 6365.0
120 281.0 5905.0 6618.0
121 281.0 5906.0 7042.0
122 281.0 5908.0 6759.0
123 281.0 5908.0 7002.0
124 281.0 5909.0 6042.0
125 281.0 5910.0 6264.0
126 281.0 5911.0 6941.0
127 281.0 5912.0 6456.0
128 281.0 5913.0 6891.0
129 281.0 5914.0 6163.0
130 281.0 5917.0 6568.0
131 281.0 5920.0 6022.0
132 281.0 5928.0 6083.0
133 281.0 5932.0 6225.0
134 281.0 5939.0 6983.0
135 281.0 5940.0 6275.0
136 281.0 5940.0 6953.0
137 281.0 5941.0 6245.0
138 281.0 5944.0 6185.0
139 281.0 5945.0 5922.0
140 281.0 5945.0 6144.0
141 281.0 5946.0 6367.0
142 281.0 5947.0 7034.0
143 281.0 5949.0 6296.0
144 281.0 5949.0 6529.0
145 281.0 5953.0 6195.0
146 281.0 5956.0 6832.0
147 281.0 5957.0 6114.0
148 281.0 5959.0 6064.0
149 281.0 5961.0 6479.0
150 281.0 5961.0 6944.0
151 281.0 5962.0 6923.0
152 281.0 5963.0 6438.0
153 281.0 5963.0 6671.0
154 281.0 5964.0 6418.0
155 281.0 5964.0 6651.0
156 281.0 5965.0 7095.0
157 281.0 5966.0 6610.0
158 281.0 5968.0 7025.0
159 281.0 5973.0 6894.0
160 281.0 5975.0 6388.0
161 281.0 5975.0 6398.0
162 281.0 5977.0 5873.0
163 281.0 5977.0 6803.0
164 281.0 5978.0 6783.0
165 281.0 5980.0 6742.0
166 281.0 5981.0 6712.0
167 281.0 5981.0 6945.0
168 281.0 5982.0 6004.0
169 281.0 5984.0 5964.0
170 281.0 5984.0 7117.0
171 281.0 5986.0 6844.0
172 281.0 5986.0 7076.0
173 281.0 5989.0 5833.0
174 281.0 5990.0 6975.0
175 281.0 5991.0 6247.0
176 281.0 5997.0 5884.0
177 281.0 5997.0 7036.0
178 281.0 5998.0 6096.0
179 281.0 6004.0 5965.0
180 281.0 6009.0 6996.0
181 281.0 6010.0 6289.0
182 281.0 6011.0 6723.0
183 281.0 6012.0 6926.0
184 281.0 6015.0 6178.0
185 281.0 6016.0 6147.0
186 281.0 6017.0 6360.0
187 281.0 6019.0 5854.0
188 281.0 6019.0 6552.0
189 281.0 6019.0 7007.0
190 281.0 6020.0 6977.0
191 281.0 6023.0 6906.0
192 281.0 6024.0 6663.0
193 281.0 6025.0 5935.0
194 281.0 6026.0 6603.0
195 281.0 6028.0 6107.0
196 281.0 6029.0 6785.0
197 281.0 6031.0 6047.0
198 281.0 6031.0 6259.0
199 281.0 6033.0 6229.0
200 281.0 6034.0 6209.0
201 281.0 6035.0 6168.0
202 281.0 6036.0 7078.0
203 281.0 6041.0 5805.0
204 281.0 6041.0 6502.0
205 281.0 6041.0 6735.0
206 281.0 6042.0 6017.0
207 281.0 6042.0 6472.0
208 281.0 6045.0 6179.0
209 281.0 6046.0 5916.0
210 281.0 6046.0 6856.0
211 281.0 6052.0 6938.0
212 281.0 6054.0 6200.0
213 281.0 6055.0 6422.0
214 281.0 6058.0 6351.0
215 281.0 6060.0 6058.0
216 281.0 6060.0 6523.0
217 281.0 6062.0 6483.0
218 281.0 6063.0 6453.0
219 281.0 6065.0 5957.0
220 281.0 6065.0 6645.0
221 281.0 6068.0 6817.0
222 281.0 6070.0 6999.0
223 281.0 6071.0 6736.0
224 281.0 6074.0 6666.0
225 281.0 6076.0 6403.0
226 281.0 6076.0 6615.0
227 281.0 6076.0 7090.0
228 281.0 6077.0 6372.0
229 281.0 6077.0 9153.0
230 281.0 6078.0 5887.0
231 281.0 6078.0 6110.0
232 281.0 6080.0 5847.0
233 281.0 6081.0 5817.0
234 281.0 6081.0 6969.0
235 281.0 6082.0 5796.0
236 281.0 6085.0 6423.0
237 281.0 6086.0 6868.0
238 281.0 6087.0 6150.0
239 281.0 6088.0 6130.0
240 281.0 6089.0 6322.0
241 281.0 6090.0 6777.0
242 281.0 6093.0 6474.0
243 281.0 6094.0 5989.0
244 281.0 6097.0 7071.0
245 281.0 6098.0 6808.0
246 281.0 6102.0 6950.0
247 281.0 6105.0 6424.0
248 281.0 6106.0 6394.0
249 281.0 6106.0 7102.0
250 281.0 6108.0 5899.0
251 281.0 6109.0 6091.0
252 281.0 6110.0 7011.0
253 281.0 6111.0 6050.0
254 281.0 6111.0 6293.0
255 281.0 6114.0 5767.0
256 281.0 6114.0 5990.0
257 281.0 6115.0 6667.0
258 281.0 6116.0 6637.0
259 281.0 6116.0 9195.0
260 281.0 6117.0 6607.0
261 281.0 6118.0 9144.0
262 281.0 6120.0 5859.0
263 281.0 6120.0 6536.0
264 281.0 6121.0 6759.0
265 281.0 6122.0 6506.0
266 281.0 6123.0 6253.0
267 281.0 6123.0 6708.0
268 281.0 6124.0 7608.0
269 281.0 6126.0 5940.0
270 281.0 6126.0 6172.0
271 281.0 6127.0 6850.0
272 281.0 6128.0 7527.0
273 281.0 6131.0 6991.0
274 281.0 6133.0 6951.0
275 281.0 6134.0 5758.0
276 281.0 6135.0 6901.0
277 281.0 6135.0 9206.0
278 281.0 6136.0 7103.0
279 281.0 6139.0 6335.0
280 281.0 6141.0 6072.0
281 281.0 6141.0 6304.0
282 281.0 6141.0 9064.0
283 281.0 6142.0 6042.0
284 281.0 6142.0 7659.0
285 281.0 6143.0 6476.0
286 281.0 6143.0 7639.0
287 281.0 6145.0 9671.0
288 281.0 6146.0 5708.0
289 281.0 6146.0 7579.0
290 281.0 6147.0 5931.0
291 281.0 6147.0 6628.0
292 281.0 6147.0 7073.0
293 281.0 6148.0 6841.0
294 281.0 6149.0 7498.0
295 281.0 6150.0 6325.0
296 281.0 6150.0 6548.0
297 281.0 6151.0 5840.0
298 281.0 6153.0 5800.0
299 281.0 6154.0 6689.0
300 281.0 6154.0 7144.0
301 281.0 6155.0 5982.0
302 281.0 6156.0 7346.0
303 281.0 6158.0 5901.0
304 281.0 6158.0 9601.0
305 281.0 6159.0 5648.0
306 281.0 6159.0 6113.0
307 281.0 6160.0 6791.0
308 281.0 6161.0 6295.0
309 281.0 6161.0 7468.0
310 281.0 6162.0 6508.0
311 281.0 6164.0 6457.0
312 281.0 6166.0 6892.0
313 281.0 6166.0 7114.0
314 281.0 6167.0 7327.0
315 281.0 6169.0 7034.0
316 281.0 6172.0 6053.0
317 281.0 6172.0 6973.0
318 281.0 6173.0 9258.0
319 281.0 6174.0 6458.0
320 281.0 6174.0 7165.0
321 281.0 6176.0 5730.0
322 281.0 6176.0 5962.0
323 281.0 6176.0 7580.0
324 281.0 6176.0 9662.0
325 281.0 6177.0 6862.0
326 281.0 6177.0 7550.0
327 281.0 6177.0 9167.0
328 281.0 6180.0 6802.0
329 281.0 6181.0 5841.0
330 281.0 6181.0 7459.0
331 281.0 6182.0 6519.0
332 281.0 6182.0 6751.0
333 281.0 6183.0 9046.0
334 281.0 6184.0 5781.0
335 281.0 6185.0 6903.0
336 281.0 6185.0 8520.0
337 281.0 6186.0 6428.0
338 281.0 6187.0 6397.0
339 281.0 6189.0 6590.0
340 281.0 6189.0 7277.0
341 281.0 6190.0 5862.0
342 281.0 6190.0 6327.0
343 281.0 6190.0 6559.0
344 281.0 6190.0 9562.0
345 281.0 6191.0 7237.0
346 281.0 6193.0 6964.0
347 281.0 6193.0 7661.0
348 281.0 6196.0 6651.0
349 281.0 6196.0 9198.0
350 281.0 6199.0 5670.0
351 281.0 6199.0 7055.0
352 281.0 6200.0 7500.0
353 281.0 6201.0 6782.0
354 281.0 6201.0 9320.0
355 281.0 6202.0 7450.0
356 281.0 6204.0 6247.0
357 281.0 6204.0 7409.0
358 281.0 6204.0 9724.0
359 281.0 6206.0 9674.0
360 281.0 6207.0 6166.0
361 281.0 6208.0 6853.0
362 281.0 6209.0 8441.0
363 281.0 6209.0 9361.0
364 281.0 6210.0 5863.0
365 281.0 6210.0 9108.0
366 281.0 6211.0 7005.0
367 281.0 6212.0 6297.0
368 281.0 6213.0 5802.0
369 281.0 6213.0 6955.0
370 281.0 6215.0 5984.0
371 281.0 6215.0 6692.0
372 281.0 6215.0 7602.0
373 281.0 6217.0 5701.0
374 281.0 6217.0 5944.0
375 281.0 6217.0 7329.0
376 281.0 6217.0 7571.0
377 281.0 6218.0 6621.0
378 281.0 6218.0 7531.0
379 281.0 6219.0 5903.0
380 281.0 6219.0 9604.0
381 281.0 6223.0 6490.0
382 281.0 6224.0 7643.0
383 281.0 6225.0 8532.0
384 281.0 6225.0 9230.0
385 281.0 6227.0 7107.0
386 281.0 6228.0 9159.0
387 281.0 6232.0 9068.0
388 281.0 6233.0 5803.0
389 281.0 6233.0 7431.0
390 281.0 6234.0 5793.0
391 281.0 6234.0 6723.0
