location capacity coord_x coord_y
1 2031.0 1639.0 2156.0
2 2031.0 1875.0 2925.0
3 2031.0 2150.0 2925.0
4 2031.0 2425.0 2925.0
5 2031.0 2525.0 2675.0
6 2031.0 2525.0 2575.0
7 2031.0 2525.0 2375.0
8 2031.0 2525.0 2275.0
9 2031.0 2525.0 2175.0
10 2031.0 2786.0 2148.0
11 2031.0 2786.0 2249.0
12 2031.0 2786.0 2352.0
13 2031.0 2785.0 2451.0
14 2031.0 2785.0 2552.0
15 2031.0 2787.0 2651.0
16 2031.0 2925.0 2925.0
17 2031.0 3198.0 2925.0
18 2031.0 3475.0 2925.0
19 2031.0 3725.0 2925.0
20 2031.0 3675.0 2675.0
21 2031.0 3675.0 2575.0
22 2031.0 3675.0 2375.0
23 2031.0 3675.0 2275.0
24 2031.0 3675.0 2175.0
25 2031.0 4189.0 2156.0
26 2031.0 4190.0 2256.0
27 2031.0 4190.0 2355.0
28 2031.0 4189.0 2456.0
29 2031.0 4189.0 2556.0
30 2031.0 4190.0 2656.0
31 2031.0 4275.0 2975.0
32 2031.0 4425.0 2925.0
33 2031.0 4700.0 2925.0
34 2031.0 4975.0 2925.0
35 2031.0 5075.0 2675.0
36 2031.0 5075.0 2575.0
37 2031.0 5075.0 2375.0
38 2031.0 5075.0 2275.0
39 2031.0 5075.0 2175.0
40 2031.0 5336.0 2148.0
41 2031.0 5336.0 2249.0
42 2031.0 5336.0 2352.0
43 2031.0 5335.0 2451.0
44 2031.0 5335.0 2552.0
45 2031.0 5337.0 2651.0
46 2031.0 5475.0 2925.0
47 2031.0 5748.0 2925.0
48 2031.0 6025.0 2925.0
49 2031.0 6275.0 2925.0
50 2031.0 6225.0 2675.0
51 2031.0 6225.0 2575.0
52 2031.0 6225.0 2375.0
53 2031.0 6225.0 2275.0
54 2031.0 6225.0 2175.0
55 2031.0 6739.0 2156.0
56 2031.0 6740.0 2256.0
57 2031.0 6740.0 2355.0
58 2031.0 6739.0 2456.0
59 2031.0 6739.0 2556.0
60 2031.0 6740.0 2656.0
61 2031.0 6825.0 2975.0
62 2031.0 6975.0 2925.0
63 2031.0 7250.0 2925.0
64 2031.0 7525.0 2925.0
65 2031.0 7625.0 2675.0
66 2031.0 7625.0 2575.0
67 2031.0 7625.0 2375.0
68 2031.0 7625.0 2275.0
69 2031.0 7625.0 2175.0
70 2031.0 7886.0 2148.0
71 2031.0 7886.0 2249.0
72 2031.0 7886.0 2352.0
73 2031.0 7885.0 2451.0
74 2031.0 7885.0 2552.0
75 2031.0 7887.0 2651.0
76 2031.0 8025.0 2925.0
77 2031.0 8298.0 2925.0
78 2031.0 8575.0 2925.0
79 2031.0 8825.0 2925.0
80 2031.0 8775.0 2675.0
81 2031.0 8775.0 2575.0
82 2031.0 8775.0 2375.0
83 2031.0 8775.0 2275.0
84 2031.0 8775.0 2175.0
85 2031.0 9289.0 2156.0
86 2031.0 9290.0 2256.0
87 2031.0 9290.0 2355.0
88 2031.0 9289.0 2456.0
89 2031.0 9289.0 2556.0
90 2031.0 9290.0 2656.0
91 2031.0 9375.0 2975.0
92 2031.0 9525.0 2925.0
93 2031.0 9800.0 2925.0
94 2031.0 10075.0 2925.0
95 2031.0 10175.0 2675.0
96 2031.0 10175.0 2575.0
97 2031.0 10175.0 2375.0
98 2031.0 10175.0 2275.0
99 2031.0 10175.0 2175.0
100 2031.0 10436.0 2148.0
101 2031.0 10436.0 2249.0
102 2031.0 10436.0 2352.0
103 2031.0 10435.0 2451.0
104 2031.0 10435.0 2552.0
105 2031.0 10437.0 2651.0
106 2031.0 10575.0 2925.0
107 2031.0 10848.0 2925.0
108 2031.0 11125.0 2925.0
109 2031.0 11325.0 2175.0
110 2031.0 11325.0 2275.0
111 2031.0 11325.0 2375.0
112 2031.0 11325.0 2575.0
113 2031.0 11325.0 2675.0
114 2031.0 11375.0 2925.0
115 2031.0 11375.0 3125.0
116 2031.0 11400.0 3225.0
117 2031.0 11400.0 3325.0
118 2031.0 11400.0 3475.0
119 2031.0 11400.0 3625.0
120 2031.0 11300.0 3825.0
121 2031.0 11125.0 3825.0
122 2031.0 11125.0 3925.0
123 2031.0 11025.0 3975.0
124 2031.0 10925.0 3975.0
125 2031.0 10925.0 3875.0
126 2031.0 10550.0 3925.0
127 2031.0 10550.0 3725.0
128 2031.0 10550.0 3325.0
129 2031.0 10100.0 3325.0
130 2031.0 10100.0 3725.0
131 2031.0 10100.0 3925.0
132 2031.0 9725.0 3875.0
133 2031.0 9725.0 3975.0
134 2031.0 9625.0 3975.0
135 2031.0 9550.0 3875.0
136 2031.0 9425.0 3875.0
137 2031.0 9275.0 3900.0
138 2031.0 9250.0 3700.0
139 2031.0 9250.0 3575.0
140 2031.0 9250.0 3475.0
141 2031.0 9250.0 3375.0
142 2031.0 9250.0 3275.0
143 2031.0 8825.0 3125.0
144 2031.0 8850.0 3225.0
145 2031.0 8850.0 3325.0
146 2031.0 8850.0 3475.0
147 2031.0 8850.0 3625.0
148 2031.0 8750.0 3825.0
149 2031.0 8575.0 3825.0
150 2031.0 8575.0 3925.0
151 2031.0 8475.0 3975.0
152 2031.0 8375.0 3875.0
153 2031.0 8375.0 3975.0
154 2031.0 8400.0 4125.0
155 2031.0 8300.0 4175.0
156 2031.0 8400.0 4275.0
157 2031.0 8500.0 4175.0
158 2031.0 8675.0 4325.0
159 2031.0 8775.0 4425.0
160 2031.0 8825.0 4325.0
161 2031.0 9275.0 4275.0
162 2031.0 9375.0 4275.0
163 2031.0 9325.0 4375.0
164 2031.0 9400.0 4450.0
