location capacity coord_x coord_y
1 7237.0 15440.0 8888.0
2 7237.0 15440.0 9328.0
3 7237.0 15440.0 9768.0
4 7237.0 15440.0 11264.0
5 7237.0 15440.0 13288.0
6 7237.0 15440.0 14058.0
7 7237.0 15536.0 8228.0
8 7237.0 15616.0 8228.0
9 7237.0 15824.0 8228.0
10 7237.0 16048.0 8228.0
11 7237.0 16176.0 8228.0
12 7237.0 16384.0 8228.0
13 7237.0 16512.0 8228.0
14 7237.0 16624.0 8228.0
15 7237.0 16704.0 8228.0
16 7237.0 16784.0 8228.0
17 7237.0 16880.0 8228.0
18 7237.0 17024.0 8228.0
19 7237.0 17312.0 8228.0
20 7237.0 17440.0 8228.0
21 7237.0 17600.0 8228.0
22 7237.0 17872.0 8228.0
23 7237.0 17936.0 4400.0
24 7237.0 6320.0 10626.0
25 7237.0 6320.0 12012.0
26 7237.0 6432.0 9680.0
27 7237.0 6480.0 4180.0
28 7237.0 6480.0 4796.0
29 7237.0 6480.0 5544.0
30 7237.0 6480.0 6732.0
31 7237.0 1232.0 5918.0
32 7237.0 1232.0 7304.0
33 7237.0 1232.0 12012.0
34 7237.0 1232.0 14432.0
35 7237.0 1456.0 5588.0
36 7237.0 1520.0 4730.0
37 7237.0 4272.0 11154.0
38 7237.0 4272.0 11858.0
39 7237.0 4304.0 10296.0
40 7237.0 4416.0 10296.0
41 7237.0 4496.0 10296.0
42 7237.0 4528.0 5544.0
43 7237.0 4528.0 7040.0
44 7237.0 4592.0 10296.0
45 7237.0 4704.0 10296.0
46 7237.0 4784.0 10296.0
47 7237.0 4880.0 10296.0
48 7237.0 4944.0 10296.0
49 7237.0 5120.0 10296.0
50 7237.0 5200.0 10296.0
51 7237.0 5360.0 10296.0
52 7237.0 5504.0 10296.0
53 7237.0 5616.0 10296.0
54 7237.0 5648.0 7942.0
55 7237.0 5648.0 9020.0
56 7237.0 5680.0 6952.0
57 7237.0 5808.0 6952.0
58 7237.0 5952.0 6952.0
59 7237.0 6096.0 6952.0
60 7237.0 6160.0 6952.0
61 7237.0 6240.0 6952.0
62 7237.0 5648.0 14322.0
63 7237.0 6288.0 4180.0
64 7237.0 6288.0 4796.0
65 7237.0 6288.0 5544.0
66 7237.0 6288.0 8052.0
67 7237.0 6688.0 9020.0
68 7237.0 6800.0 9020.0
69 7237.0 6912.0 9020.0
70 7237.0 7072.0 9020.0
71 7237.0 7120.0 5280.0
72 7237.0 7120.0 6732.0
73 7237.0 7120.0 7172.0
74 7237.0 7120.0 7942.0
75 7237.0 18432.0 4422.0
76 7237.0 18720.0 4422.0
77 7237.0 18912.0 4422.0
78 7237.0 19040.0 4422.0
79 7237.0 14128.0 5610.0
80 7237.0 14128.0 7480.0
81 7237.0 14128.0 8888.0
82 7237.0 14128.0 9328.0
83 7237.0 14320.0 9548.0
84 7237.0 14464.0 9548.0
85 7237.0 14608.0 9548.0
86 7237.0 14672.0 9548.0
87 7237.0 14736.0 9548.0
88 7237.0 14800.0 9548.0
89 7237.0 14896.0 9548.0
90 7237.0 15024.0 9548.0
91 7237.0 15280.0 9768.0
92 7237.0 15280.0 11264.0
93 7237.0 15280.0 13288.0
94 7237.0 15280.0 14058.0
95 7237.0 3504.0 9240.0
96 7237.0 3504.0 10142.0
97 7237.0 3504.0 12012.0
98 7237.0 3648.0 9020.0
99 7237.0 3760.0 9020.0
100 7237.0 3872.0 9020.0
101 7237.0 4096.0 9020.0
102 7237.0 4304.0 9020.0
103 7237.0 4784.0 9020.0
104 7237.0 4880.0 9020.0
105 7237.0 4960.0 9020.0
106 7237.0 5136.0 9020.0
107 7237.0 5216.0 9020.0
108 7237.0 5344.0 9020.0
109 7237.0 5776.0 9020.0
110 7237.0 5808.0 4488.0
111 7237.0 5808.0 5544.0
112 7237.0 5808.0 8052.0
113 7237.0 784.0 4400.0
114 7237.0 784.0 5500.0
115 7237.0 816.0 6776.0
116 7237.0 912.0 6776.0
117 7237.0 1056.0 7524.0
118 7237.0 1104.0 12012.0
119 7237.0 1104.0 14432.0
120 7237.0 9104.0 10472.0
121 7237.0 9104.0 11704.0
122 7237.0 9104.0 12540.0
123 7237.0 9104.0 13508.0
124 7237.0 9104.0 14058.0
125 7237.0 9216.0 9548.0
126 7237.0 9296.0 9548.0
127 7237.0 9456.0 9548.0
128 7237.0 9568.0 9548.0
129 7237.0 9664.0 9548.0
130 7237.0 9776.0 9548.0
131 7237.0 9840.0 9548.0
132 7237.0 9904.0 9548.0
133 7237.0 10080.0 9548.0
134 7237.0 10336.0 9548.0
135 7237.0 10448.0 9548.0
136 7237.0 10544.0 9548.0
137 7237.0 10640.0 9548.0
138 7237.0 10768.0 9548.0
139 7237.0 10864.0 9548.0
140 7237.0 10960.0 9548.0
141 7237.0 11088.0 9548.0
142 7237.0 11168.0 9548.0
143 7237.0 11344.0 9548.0
144 7237.0 11568.0 9548.0
145 7237.0 11696.0 9548.0
146 7237.0 11792.0 9548.0
147 7237.0 11824.0 5324.0
148 7237.0 11824.0 6512.0
149 7237.0 11824.0 7172.0
150 7237.0 11824.0 7612.0
151 7237.0 11824.0 8492.0
152 7237.0 10768.0 11484.0
153 7237.0 10768.0 12540.0
154 7237.0 10768.0 13068.0
155 7237.0 10768.0 13970.0
156 7237.0 11024.0 8932.0
157 7237.0 11088.0 8932.0
158 7237.0 11184.0 8932.0
159 7237.0 11280.0 8932.0
160 7237.0 11584.0 8932.0
161 7237.0 11760.0 5324.0
162 7237.0 11760.0 6512.0
163 7237.0 11760.0 7172.0
164 7237.0 11760.0 7612.0
165 7237.0 11760.0 8382.0
166 7237.0 10064.0 11704.0
167 7237.0 10064.0 12540.0
168 7237.0 10064.0 13068.0
169 7237.0 10064.0 13508.0
170 7237.0 10064.0 14190.0
171 7237.0 10128.0 11484.0
172 7237.0 10192.0 11484.0
173 7237.0 10336.0 11484.0
174 7237.0 10448.0 11484.0
175 7237.0 10640.0 11484.0
176 7237.0 10864.0 11484.0
177 7237.0 10960.0 11484.0
178 7237.0 11024.0 11484.0
179 7237.0 11088.0 5324.0
180 7237.0 11088.0 6842.0
181 7237.0 9072.0 8976.0
182 7237.0 10480.0 8492.0
183 7237.0 10544.0 8492.0
184 7237.0 10640.0 8492.0
185 7237.0 10736.0 8492.0
186 7237.0 11216.0 8492.0
187 7237.0 11280.0 8492.0
188 7237.0 11408.0 8492.0
189 7237.0 11536.0 8492.0
190 7237.0 11936.0 8492.0
191 7237.0 12064.0 8492.0
192 7237.0 12112.0 5104.0
193 7237.0 12112.0 5764.0
194 7237.0 12112.0 6512.0
195 7237.0 12112.0 7172.0
196 7237.0 12112.0 7612.0
197 7237.0 8688.0 11594.0
198 7237.0 8688.0 12540.0
199 7237.0 8688.0 13508.0
200 7237.0 8688.0 14058.0
201 7237.0 8720.0 10956.0
202 7237.0 8800.0 10956.0
203 7237.0 8944.0 10956.0
204 7237.0 9488.0 10956.0
205 7237.0 9712.0 10956.0
206 7237.0 9904.0 10956.0
207 7237.0 9968.0 10956.0
208 7237.0 10112.0 10956.0
209 7237.0 10192.0 10956.0
210 7237.0 10544.0 10956.0
211 7237.0 10640.0 10956.0
212 7237.0 11600.0 10956.0
213 7237.0 11728.0 10956.0
