location capacity coord_x coord_y
1 222.0 605.61 796.6
2 222.0 681.8 1025.2
3 222.0 605.61 1152.21
4 222.0 605.61 1253.81
5 222.0 656.41 1736.41
6 222.0 808.81 2041.19
7 222.0 726.25 1825.29
8 222.0 758.01 1863.4
9 222.0 783.4 1736.41
10 222.0 808.81 1736.41
11 222.0 758.01 1101.41
12 222.0 758.01 796.6
13 222.0 758.01 821.99
14 222.0 872.3 733.11
15 222.0 885.0 2066.6
16 222.0 872.3 1787.21
17 222.0 935.8 1965.0
18 222.0 910.39 707.7
19 222.0 935.8 1812.6
20 222.0 935.8 1761.8
21 222.0 935.8 1177.6
22 222.0 986.6 1380.8
23 222.0 1011.99 898.2
24 222.0 986.6 1203.01
25 222.0 986.6 1152.21
26 222.0 986.6 821.99
27 222.0 1011.99 796.6
28 222.0 986.6 923.59
29 222.0 1062.79 1126.8
30 222.0 1113.59 1431.6
31 222.0 1139.0 1482.4
32 222.0 1189.8 949.0
33 222.0 1189.8 1253.81
34 222.0 1240.61 1507.79
35 222.0 1291.41 1355.39
36 222.0 1266.0 1253.81
37 222.0 1189.8 1101.41
38 222.0 1189.8 1380.8
39 222.0 1113.59 1152.21
40 222.0 1113.59 821.99
41 222.0 1189.8 707.7
42 222.0 1151.7 733.11
43 222.0 1113.59 923.59
44 222.0 1113.59 1101.41
45 222.0 1113.59 1228.4
46 222.0 1113.59 949.0
47 222.0 1113.59 1406.19
48 222.0 1139.0 860.1
49 222.0 1189.8 733.11
50 222.0 1240.61 1711.0
51 222.0 1266.0 1736.41
52 222.0 1291.41 1863.4
53 222.0 1278.69 2047.56
54 222.0 1285.06 2053.91
55 222.0 1291.41 2041.19
56 222.0 1329.49 1958.65
57 222.0 1291.41 1965.0
58 222.0 1323.14 1952.3
59 222.0 1316.8 1787.21
60 222.0 1342.21 1863.4
61 222.0 1329.49 1945.96
62 222.0 1335.86 1952.3
63 222.0 1164.39 2244.39
64 222.0 1164.39 2091.99
65 222.0 1189.8 1584.0
66 222.0 1215.2 1711.0
67 222.0 1164.39 1634.8
68 222.0 1164.39 1787.21
69 222.0 1189.8 1863.4
70 222.0 1189.8 2244.39
71 222.0 1266.0 2168.2
72 222.0 1278.69 2060.25
73 222.0 1272.34 2053.91
74 222.0 1240.61 2041.19
75 222.0 1227.89 1958.65
76 222.0 1234.26 1952.3
77 222.0 1240.61 1965.0
78 222.0 1291.41 1609.39
79 222.0 1291.41 1076.0
80 222.0 1266.0 707.7
81 222.0 1189.8 847.4
82 222.0 1139.0 1533.2
83 222.0 1113.59 2028.5
84 222.0 1088.2 2244.39
85 222.0 1088.2 2079.3
86 222.0 999.3 2180.9
87 222.0 1011.99 1736.41
88 222.0 1062.79 1685.61
89 222.0 1037.4 1634.8
90 222.0 1113.59 1863.4
91 222.0 1062.79 771.19
92 222.0 1062.79 821.99
93 222.0 1024.71 1279.2
94 222.0 986.6 1507.79
95 222.0 1037.4 872.79
96 222.0 1037.4 1482.4
97 222.0 1011.99 1609.39
98 222.0 961.19 1711.0
99 222.0 999.3 733.11
100 222.0 1011.99 1901.5
101 222.0 1037.4 1914.2
102 222.0 1062.79 1736.41
103 222.0 1062.79 1609.39
104 222.0 1240.61 2244.39
105 222.0 1342.21 1939.61
106 222.0 1291.41 2168.2
107 222.0 1316.8 1584.0
108 222.0 1266.0 1685.61
109 222.0 1215.2 1787.21
110 222.0 1189.8 1965.0
111 222.0 1215.2 2041.19
112 222.0 1240.61 1863.4
113 222.0 1227.89 1945.96
114 222.0 1221.54 1952.3
115 222.0 1189.8 2091.99
116 222.0 1215.2 2168.2
117 222.0 1367.6 1634.8
118 222.0 1494.61 2244.39
119 222.0 1520.0 2028.5
120 222.0 1570.8 1812.6
121 222.0 1596.19 1812.6
122 222.0 1570.8 2244.39
123 222.0 1672.4 1939.61
124 222.0 1710.51 1996.76
125 222.0 1716.86 2003.11
126 222.0 1748.59 2015.8
127 222.0 1850.2 2142.79
128 222.0 1875.61 2244.39
129 222.0 1951.8 2091.99
130 222.0 1913.69 2079.3
131 222.0 1977.21 2244.39
132 222.0 1799.39 2168.2
133 222.0 1850.2 2219.0
134 222.0 1824.8 1634.8
135 222.0 1774.0 1736.41
136 222.0 1723.2 1761.8
137 222.0 1799.39 1507.79
138 222.0 1799.39 1456.99
139 222.0 1799.39 1228.4
140 222.0 1761.31 1228.4
141 222.0 1748.59 1431.6
142 222.0 1862.89 949.0
143 222.0 1786.7 707.7
144 222.0 1901.0 898.2
145 222.0 1926.41 872.79
146 222.0 1774.0 1939.61
147 222.0 1774.0 1812.6
148 222.0 1748.59 1634.8
149 222.0 1748.59 1888.81
150 222.0 1672.4 1761.8
151 222.0 1672.4 1812.6
152 222.0 1723.2 1406.19
153 222.0 1723.2 1330.0
154 222.0 1723.2 999.8
155 222.0 1710.51 733.11
156 222.0 1697.79 821.99
157 222.0 1723.2 1152.21
158 222.0 1672.4 1076.0
159 222.0 1646.99 1304.61
160 222.0 1723.2 1076.0
161 222.0 1748.59 898.2
162 222.0 1723.2 1203.01
163 222.0 1799.39 796.6
164 222.0 1748.59 733.11
165 222.0 1799.39 999.8
166 222.0 1824.8 987.11
167 222.0 1723.2 1990.39
168 222.0 1697.79 1939.61
169 222.0 1704.14 2003.11
170 222.0 1710.51 2009.45
171 222.0 1646.99 2244.39
172 222.0 1774.0 1965.0
173 222.0 1926.41 923.59
174 222.0 1913.69 707.7
175 222.0 2002.6 923.59
176 222.0 1951.8 707.7
177 222.0 1926.41 796.6
178 222.0 1989.9 707.7
179 222.0 1977.21 796.6
180 222.0 2028.01 796.6
181 222.0 2066.09 733.11
182 222.0 2104.2 796.6
183 222.0 2028.01 707.7
184 222.0 2002.6 872.79
185 222.0 2155.0 1253.81
186 222.0 2161.35 1266.5
187 222.0 2167.7 1272.85
188 222.0 2205.8 1558.59
189 222.0 2281.99 1761.8
190 222.0 2332.79 1558.59
191 222.0 2358.2 1126.8
192 222.0 2447.11 1584.0
193 222.0 2383.59 2142.79
194 222.0 2358.2 2066.6
195 222.0 2383.59 2015.8
196 222.0 2434.39 1406.19
197 222.0 2409.0 2015.8
198 222.0 2434.39 2053.91
199 222.0 2434.39 1355.39
200 222.0 2459.8 796.6
201 222.0 2459.8 1330.0
202 222.0 2421.7 974.39
203 222.0 2409.0 872.79
204 222.0 2459.8 974.39
205 222.0 2485.2 1279.2
206 222.0 2536.0 796.6
207 222.0 2523.3 1355.39
208 222.0 2523.3 1584.0
209 222.0 2561.41 1939.61
210 222.0 2561.41 2244.39
211 222.0 2510.61 2142.79
212 222.0 2713.81 2244.39
213 222.0 2713.81 2142.79
214 222.0 2701.09 2079.3
215 222.0 2688.4 1126.8
216 222.0 2663.01 1761.8
217 222.0 2663.01 1050.61
218 222.0 2637.6 1101.41
219 222.0 2612.21 1152.21
220 222.0 2637.6 1355.39
221 222.0 2561.41 1558.59
222 222.0 2586.8 1939.61
223 222.0 2612.21 1812.6
224 222.0 2586.8 1761.8
225 222.0 2561.41 1812.6
226 222.0 2561.41 1761.8
227 222.0 2612.21 999.8
228 222.0 2701.09 1291.89
229 222.0 2764.61 1126.8
230 222.0 2790.0 1152.21
231 222.0 2840.8 1126.8
232 222.0 2790.0 821.99
233 222.0 2739.2 821.99
234 222.0 2713.81 872.79
235 222.0 2612.21 796.6
236 222.0 2434.39 1304.61
237 222.0 2497.89 834.71
238 222.0 2536.0 872.79
239 222.0 2561.41 821.99
240 222.0 2612.21 834.71
241 222.0 2574.1 949.0
242 222.0 2561.41 796.6
243 222.0 2561.41 999.8
244 222.0 2586.8 1101.41
245 222.0 2510.61 1177.6
246 222.0 2536.0 1203.01
247 222.0 2472.5 1558.59
248 222.0 2561.41 2066.6
249 222.0 2637.6 2219.0
250 222.0 2586.8 2104.71
251 222.0 2561.41 2104.71
252 222.0 2637.6 2244.39
253 222.0 2637.6 2142.79
254 222.0 2536.0 1456.99
255 222.0 2497.89 1101.41
256 222.0 2447.11 1558.59
257 222.0 2383.59 1469.71
258 222.0 2281.99 1812.6
259 222.0 2231.19 2041.19
260 222.0 2434.39 2219.0
261 222.0 2440.74 2231.7
262 222.0 2459.8 2244.39
263 222.0 2453.46 2231.7
264 222.0 2447.11 2225.35
265 222.0 2358.2 1812.6
266 222.0 2383.59 1939.61
267 222.0 2307.4 2142.79
268 222.0 2256.6 2142.79
269 222.0 2332.79 1939.61
270 222.0 2370.9 1101.41
271 222.0 2231.19 2142.79
272 222.0 2167.7 2079.3
273 222.0 2129.61 2244.39
274 222.0 2129.61 2041.19
275 222.0 2180.39 2219.0
276 222.0 2078.81 2142.79
277 222.0 2078.81 2244.39
278 222.0 2078.81 2066.6
279 222.0 2028.01 2244.39
