location subarea coor_x coord_y
1 1 1639.0 2156.0
2 1 1875.0 2925.0
3 1 2150.0 2925.0
4 1 2425.0 2925.0
5 1 2525.0 2675.0
6 1 2525.0 2575.0
7 1 2525.0 2375.0
8 1 2525.0 2275.0
9 1 2525.0 2175.0
10 1 2786.0 2148.0
11 1 2786.0 2249.0
12 1 2786.0 2352.0
13 1 2785.0 2451.0
14 1 2785.0 2552.0
15 1 2787.0 2651.0
16 1 2925.0 2925.0
17 1 3198.0 2925.0
18 1 3475.0 2925.0
19 2 3725.0 2925.0
20 2 3675.0 2675.0
21 2 3675.0 2575.0
22 2 3675.0 2375.0
23 2 3675.0 2275.0
24 2 3675.0 2175.0
25 2 4189.0 2156.0
26 2 4190.0 2256.0
27 2 4190.0 2355.0
28 2 4189.0 2456.0
29 2 4189.0 2556.0
30 2 4190.0 2656.0
31 2 4275.0 2975.0
32 2 4425.0 2925.0
33 2 4700.0 2925.0
34 2 4975.0 2925.0
35 2 5075.0 2675.0
36 2 5075.0 2575.0
37 2 5075.0 2375.0
38 2 5075.0 2275.0
39 2 5075.0 2175.0
40 2 5336.0 2148.0
41 2 5336.0 2249.0
42 2 5336.0 2352.0
43 2 5335.0 2451.0
44 2 5335.0 2552.0
45 2 5337.0 2651.0
46 2 5475.0 2925.0
47 3 5748.0 2925.0
48 3 6025.0 2925.0
49 3 6275.0 2925.0
50 3 6225.0 2675.0
51 3 6225.0 2575.0
52 3 6225.0 2375.0
53 3 6225.0 2275.0
54 3 6225.0 2175.0
55 3 6739.0 2156.0
56 3 6740.0 2256.0
57 3 6740.0 2355.0
58 3 6739.0 2456.0
59 3 6739.0 2556.0
60 3 6740.0 2656.0
61 3 6825.0 2975.0
62 3 6975.0 2925.0
63 3 7250.0 2925.0
64 4 7525.0 2925.0
65 4 7625.0 2675.0
66 4 7625.0 2575.0
67 4 7625.0 2375.0
68 4 7625.0 2275.0
69 4 7625.0 2175.0
70 4 7886.0 2148.0
71 4 7886.0 2249.0
72 4 7886.0 2352.0
73 4 7885.0 2451.0
74 4 7885.0 2552.0
75 4 7887.0 2651.0
76 4 8025.0 2925.0
77 4 8298.0 2925.0
78 4 8575.0 2925.0
79 4 8825.0 2925.0
80 4 8775.0 2675.0
81 4 8775.0 2575.0
82 4 8775.0 2375.0
83 4 8775.0 2275.0
84 4 8775.0 2175.0
85 4 9289.0 2156.0
86 4 9290.0 2256.0
87 4 9290.0 2355.0
88 4 9289.0 2456.0
89 4 9289.0 2556.0
90 4 9290.0 2656.0
91 4 9375.0 2975.0
92 5 9525.0 2925.0
93 5 9800.0 2925.0
94 5 10075.0 2925.0
