location subarea coor_x coord_y
1 20 36.49 7.49
2 3 57.06 9.51
3 6 30.22 48.14
4 15 5.15 -3.56
5 8 34.59 -106.37
6 19 57.12 -2.12
7 2 16.45 -99.45
8 15 5.36 -0.1
9 9 28.56 -13.36
10 14 8.59 38.48
11 14 12.5 45.02
12 7 -34.48 138.38
13 9 30.23 -9.33
14 3 56.18 12.51
15 18 36.4 -4.3
16 20 40.38 8.17
17 18 35.11 -3.5
18 20 41.55 8.48
19 7 -37.01 174.47
20 18 38.17 -0.34
21 18 36.42 3.13
22 22 36.11 37.14
23 8 35.14 -101.42
24 22 31.58 35.59
25 3 52.18 4.46
26 24 61.1 -149.59
27 13 39.57 32.41
28 3 51.11 4.28
29 17 17.08 -61.47
30 20 43.37 13.22
31 22 29.38 35.01
32 3 59.39 17.55
33 14 15.18 38.55
34 11 -25.14 -57.31
35 22 23.58 32.47
36 13 37.54 23.44
37 8 33.46 -84.31
38 17 12.3 -70.01
39 6 24.26 54.28
40 22 36.55 30.48
41 6 26.16 50.38
42 6 40.29 50.01
43 16 39.11 -76.4
44 17 10.48 -74.52
45 5 -16.11 -52.3
46 14 10.25 45.01
47 18 41.18 2.05
48 16 32.22 -64.42
49 16 41.56 -72.41
50 20 40.39 17.57
51 13 44.49 20.19
52 14 9.21 34.31
53 20 32.06 20.16
54 3 52.29 13.24
55 19 48.27 -4.25
56 15 -19.48 3.45
57 22 33.49 35.29
58 19 54.39 -6.14
59 8 35.48 -101.22
60 15 4.24 18.31
61 17 13.04 -59.3
62 3 60.17 5.13
63 16 44.48 -68.5
64 6 33.14 44.14
65 20 45.4 9.24
66 8 33.34 -86.45
67 19 52.27 -1.45
68 20 42.33 9.29
69 12 45.48 -108.37
70 18 43.28 -1.32
71 25 13.21 -16.4
72 14 -3.19 29.19
73 4 13.55 100.36
74 25 12.38 -8.02
75 3 55.44 9.09
76 20 44.32 11.18
77 21 12.57 77.4
78 1 -15.41 34.58
79 6 27.13 56.22
80 7 -27.25 153.05
81 18 44.5 -0.43
82 17 4.42 -74.09
83 19 50.47 -1.51
84 21 19.05 72.52
85 3 67.16 14.22
86 16 42.22 -71.0
87 3 53.03 8.48
88 20 41.08 16.47
89 3 46.55 7.3
90 19 51.31 -2.35
91 3 50.54 4.29
92 5 -15.52 -47.55
93 3 47.35 7.32
94 3 48.1 16.13
95 13 47.27 19.15
96 11 -34.49 -58.32
97 16 42.55 -78.38
98 13 44.3 26.06
99 19 49.27 2.07
100 15 -4.15 15.15
101 20 39.15 9.04
102 22 30.08 31.24
103 4 23.11 113.16
104 9 33.33 -7.4
105 1 -11.54 22.45
106 17 4.49 -52.22
107 19 52.13 0.11
108 7 -35.19 149.12
109 17 10.36 -66.59
110 21 22.39 88.27
111 19 52.5 -1.19
112 19 49.01 2.33
113 20 43.33 6.57
114 18 45.4 -0.19
115 20 39.37 19.55
116 3 50.52 7.09
117 8 41.59 -87.54
118 20 41.48 12.36
119 25 9.34 -13.37
120 16 41.25 -81.51
121 17 3.26 -76.25
122 20 42.31 8.48
123 7 -28.02 145.37
124 21 7.11 79.53
125 16 40.04 -83.04
126 9 33.22 -7.35
127 3 48.07 7.22
128 13 44.22 28.29
129 18 45.4 -0.19
130 15 6.21 2.23
131 3 55.37 12.39
132 1 -33.58 18.36
133 20 37.28 15.04
134 17 10.27 -75.31
135 7 -26.25 146.14
136 20 39.0 17.05
137 17 12.12 -68.57
138 16 39.09 -84.2
139 16 39.03 -84.2
140 19 51.24 -3.12
141 2 29.11 -81.03
142 21 23.46 90.23
143 14 14.45 42.59
144 8 32.5 -96.51
145 22 33.25 36.31
146 14 -6.53 39.12
147 20 42.34 18.16
148 1 -29.58 30.57
149 16 38.51 -77.02
150 21 28.34 77.07
151 8 39.46 -104.53
152 8 32.46 -96.24
153 6 26.16 50.1
154 3 47.16 5.05
155 20 33.52 10.47
156 25 14.45 -17.3
157 15 4.01 9.43
158 22 19.08 30.26
159 6 25.16 51.34
160 19 49.22 0.1
161 23 -8.45 115.1
162 3 51.08 13.46
163 23 -12.25 130.52
164 16 42.14 -83.32
