location subarea coor_x coord_y
1 331 5639.0 6909.0
2 218 5652.0 6142.0
3 218 5654.0 6101.0
4 331 5659.0 6910.0
5 331 5659.0 6920.0
6 218 5661.0 6182.0
7 842 5663.0 6830.0
8 218 5669.0 6213.0
9 494 5670.0 6425.0
10 331 5671.0 6870.0
11 218 5673.0 6132.0
12 842 5682.0 6840.0
13 331 5690.0 6891.0
14 842 5694.0 6801.0
15 128 5698.0 6265.0
16 331 5698.0 6952.0
17 218 5701.0 6184.0
18 494 5701.0 6407.0
19 218 5712.0 6154.0
20 128 5716.0 6296.0
21 494 5720.0 6438.0
22 590 5722.0 6397.0
23 51 5722.0 6873.0
24 494 5730.0 6458.0
25 608 5731.0 6893.0
26 128 5736.0 6317.0
27 973 5737.0 6064.0
28 516 5738.0 6034.0
29 128 5738.0 6267.0
30 516 5740.0 5984.0
31 416 5741.0 6206.0
32 590 5741.0 6418.0
33 590 5744.0 6368.0
34 51 5744.0 6823.0
35 814 5746.0 6783.0
36 50 5748.0 6490.0
37 608 5748.0 6965.0
38 608 5749.0 6944.0
39 957 5750.0 6227.0
40 128 5756.0 6308.0
41 814 5758.0 6733.0
42 50 5761.0 6440.0
43 416 5762.0 6187.0
44 590 5763.0 6389.0
45 416 5774.0 6127.0
46 713 5776.0 6319.0
47 814 5776.0 6774.0
48 957 5777.0 6289.0
49 973 5779.0 6026.0
50 608 5780.0 6916.0
51 416 5783.0 6168.0
52 416 5784.0 6137.0
53 814 5788.0 6744.0
54 957 5789.0 6249.0
55 516 5790.0 5996.0
56 973 5797.0 6077.0
57 50 5799.0 6482.0
58 608 5799.0 6957.0
59 50 5800.0 6472.0
60 813 5802.0 6411.0
61 51 5804.0 6836.0
62 713 5805.0 6350.0
63 676 5806.0 6563.0
64 973 5808.0 6047.0
65 957 5810.0 6229.0
66 984 5813.0 6159.0
67 713 5817.0 6311.0
68 772 5818.0 6988.0
69 50 5820.0 6472.0
70 984 5822.0 6200.0
71 813 5822.0 6432.0
72 404 5822.0 6877.0
73 676 5825.0 6594.0
74 32 5827.0 6089.0
75 122 5829.0 6726.0
76 813 5833.0 6392.0
77 676 5833.0 6635.0
78 854 5838.0 6281.0
79 404 5840.0 6948.0
80 122 5841.0 6686.0
81 122 5842.0 6665.0
82 984 5844.0 6160.0
83 574 5846.0 6807.0
84 676 5847.0 6544.0
85 772 5847.0 6999.0
86 973 5848.0 6049.0
87 854 5850.0 6251.0
88 404 5851.0 6919.0
89 813 5853.0 6413.0
90 32 5855.0 6120.0
91 854 5859.0 6272.0
92 570 5860.0 6009.0
93 337 5860.0 6484.0
94 122 5861.0 6687.0
95 404 5863.0 6869.0
96 676 5864.0 6616.0
97 32 5867.0 6090.0
98 772 5867.0 7010.0
99 404 5872.0 6909.0
100 984 5873.0 6171.0
101 984 5874.0 6151.0
102 214 5876.0 6333.0
103 574 5878.0 6768.0
104 574 5879.0 6738.0
105 772 5879.0 6970.0
106 813 5884.0 6394.0
107 854 5890.0 6253.0
108 122 5890.0 6718.0
109 570 5891.0 6000.0
110 122 5892.0 6668.0
111 404 5893.0 6880.0
112 574 5895.0 6840.0
113 32 5896.0 6122.0
114 214 5897.0 6324.0
115 214 5898.0 6304.0
116 337 5900.0 6496.0
117 570 5902.0 5971.0
118 131 5902.0 6911.0
119 214 5905.0 6365.0
120 891 5905.0 6618.0
121 772 5906.0 7042.0
122 574 5908.0 6759.0
123 772 5908.0 7002.0
124 570 5909.0 6042.0
125 894 5910.0 6264.0
126 131 5911.0 6941.0
127 337 5912.0 6456.0
128 131 5913.0 6891.0
129 395 5914.0 6163.0
130 891 5917.0 6568.0
131 570 5920.0 6022.0
132 32 5928.0 6083.0
133 894 5932.0 6225.0
134 131 5939.0 6983.0
135 894 5940.0 6275.0
136 131 5940.0 6953.0
137 894 5941.0 6245.0
138 395 5944.0 6185.0
139 643 5945.0 5922.0
140 395 5945.0 6144.0
141 587 5946.0 6367.0
142 263 5947.0 7034.0
143 894 5949.0 6296.0
144 891 5949.0 6529.0
145 395 5953.0 6195.0
146 435 5956.0 6832.0
147 809 5957.0 6114.0
148 809 5959.0 6064.0
149 337 5961.0 6479.0
150 131 5961.0 6944.0
151 131 5962.0 6923.0
152 587 5963.0 6438.0
153 343 5963.0 6671.0
154 587 5964.0 6418.0
155 343 5964.0 6651.0
156 776 5965.0 7095.0
157 891 5966.0 6610.0
158 263 5968.0 7025.0
159 581 5973.0 6894.0
160 587 5975.0 6388.0
161 587 5975.0 6398.0
162 643 5977.0 5873.0
163 435 5977.0 6803.0
164 435 5978.0 6783.0
165 828 5980.0 6742.0
166 828 5981.0 6712.0
167 131 5981.0 6945.0
168 304 5982.0 6004.0
169 304 5984.0 5964.0
170 776 5984.0 7117.0
171 435 5986.0 6844.0
172 776 5986.0 7076.0
173 643 5989.0 5833.0
174 940 5990.0 6975.0
175 894 5991.0 6247.0
176 643 5997.0 5884.0
177 263 5997.0 7036.0
178 809 5998.0 6096.0
179 304 6004.0 5965.0
180 940 6009.0 6996.0
181 894 6010.0 6289.0
182 828 6011.0 6723.0
183 581 6012.0 6926.0
184 407 6015.0 6178.0
185 809 6016.0 6147.0
186 587 6017.0 6360.0
187 643 6019.0 5854.0
188 651 6019.0 6552.0
189 940 6019.0 7007.0
190 940 6020.0 6977.0
191 581 6023.0 6906.0
192 343 6024.0 6663.0
193 304 6025.0 5935.0
194 343 6026.0 6603.0
195 809 6028.0 6107.0
196 435 6029.0 6785.0
197 761 6031.0 6047.0
198 407 6031.0 6259.0
199 407 6033.0 6229.0
200 407 6034.0 6209.0
201 407 6035.0 6168.0
202 776 6036.0 7078.0
203 824 6041.0 5805.0
204 651 6041.0 6502.0
205 828 6041.0 6735.0
206 761 6042.0 6017.0
207 651 6042.0 6472.0
208 407 6045.0 6179.0
209 189 6046.0 5916.0
210 581 6046.0 6856.0
211 581 6052.0 6938.0
212 407 6054.0 6200.0
213 192 6055.0 6422.0
214 192 6058.0 6351.0
215 761 6060.0 6058.0
216 651 6060.0 6523.0
217 651 6062.0 6483.0
218 651 6063.0 6453.0
219 304 6065.0 5957.0
220 569 6065.0 6645.0
221 231 6068.0 6817.0
222 30 6070.0 6999.0
223 231 6071.0 6736.0
224 569 6074.0 6666.0
225 192 6076.0 6403.0
226 569 6076.0 6615.0
227 495 6076.0 7090.0
228 192 6077.0 6372.0
229 445 6077.0 9153.0
230 189 6078.0 5887.0
231 126 6078.0 6110.0
232 189 6080.0 5847.0
233 824 6081.0 5817.0
234 30 6081.0 6969.0
235 824 6082.0 5796.0
236 192 6085.0 6423.0
237 916 6086.0 6868.0
238 126 6087.0 6150.0
239 126 6088.0 6130.0
240 89 6089.0 6322.0
241 231 6090.0 6777.0
242 651 6093.0 6474.0
243 739 6094.0 5989.0
244 495 6097.0 7071.0
245 231 6098.0 6808.0
246 30 6102.0 6950.0
247 192 6105.0 6424.0
248 192 6106.0 6394.0
249 495 6106.0 7102.0
250 189 6108.0 5899.0
251 369 6109.0 6091.0
252 30 6110.0 7011.0
253 369 6111.0 6050.0
254 89 6111.0 6293.0
255 824 6114.0 5767.0
256 739 6114.0 5990.0
257 569 6115.0 6667.0
258 569 6116.0 6637.0
259 445 6116.0 9195.0
260 569 6117.0 6607.0
261 445 6118.0 9144.0
262 189 6120.0 5859.0
263 13 6120.0 6536.0
264 231 6121.0 6759.0
265 13 6122.0 6506.0
266 89 6123.0 6253.0
267 997 6123.0 6708.0
268 23 6124.0 7608.0
269 901 6126.0 5940.0
270 126 6126.0 6172.0
271 916 6127.0 6850.0
272 23 6128.0 7527.0
273 30 6131.0 6991.0
274 30 6133.0 6951.0
275 115 6134.0 5758.0
276 916 6135.0 6901.0
277 445 6135.0 9206.0
278 495 6136.0 7103.0
279 89 6139.0 6335.0
280 369 6141.0 6072.0
281 89 6141.0 6304.0
282 90 6141.0 9064.0
283 369 6142.0 6042.0
284 788 6142.0 7659.0
285 566 6143.0 6476.0
286 788 6143.0 7639.0
287 793 6145.0 9671.0
288 958 6146.0 5708.0
289 23 6146.0 7579.0
290 901 6147.0 5931.0
291 569 6147.0 6628.0
292 495 6147.0 7073.0
293 916 6148.0 6841.0
294 487 6149.0 7498.0
