location subarea coor_x coord_y
1 28 63.0 71.0
2 28 94.0 71.0
3 88 142.0 370.0
4 33 173.0 1276.0
5 33 205.0 1213.0
6 54 213.0 69.0
7 54 244.0 69.0
8 18 276.0 630.0
9 18 283.0 732.0
10 54 362.0 69.0
11 54 394.0 69.0
12 64 449.0 370.0
13 14 480.0 1276.0
14 14 512.0 1213.0
15 64 528.0 157.0
16 27 583.0 630.0
17 27 591.0 732.0
18 27 638.0 654.0
19 96 638.0 496.0
20 64 638.0 314.0
21 8 638.0 142.0
22 8 669.0 142.0
23 64 677.0 315.0
24 96 677.0 496.0
25 27 677.0 654.0
26 27 709.0 654.0
27 96 709.0 496.0
28 64 709.0 315.0
29 8 701.0 142.0
30 8 764.0 220.0
31 8 811.0 189.0
32 8 843.0 173.0
33 96 858.0 370.0
34 71 890.0 1276.0
35 71 921.0 1213.0
36 93 992.0 630.0
37 93 1000.0 732.0
38 45 1197.0 1276.0
39 45 1228.0 1213.0
40 87 1276.0 205.0
41 76 1299.0 630.0
42 76 1307.0 732.0
43 76 1362.0 654.0
44 2 1362.0 496.0
45 87 1362.0 291.0
46 91 1425.0 654.0
47 2 1425.0 496.0
48 29 1425.0 291.0
49 87 1417.0 173.0
50 29 1488.0 291.0
51 2 1488.0 496.0
52 91 1488.0 654.0
53 91 1551.0 654.0
54 47 1551.0 496.0
55 29 1551.0 291.0
56 29 1614.0 291.0
57 47 1614.0 496.0
58 91 1614.0 654.0
59 97 1732.0 189.0
60 40 1811.0 1276.0
61 40 1843.0 1213.0
62 60 1913.0 630.0
63 60 1921.0 732.0
64 56 2087.0 370.0
65 46 2118.0 1276.0
66 46 2150.0 1213.0
67 10 2189.0 205.0
68 10 2220.0 189.0
69 20 2220.0 630.0
70 20 2228.0 732.0
71 10 2244.0 142.0
72 56 2276.0 315.0
73 89 2276.0 496.0
74 20 2276.0 654.0
75 20 2315.0 654.0
76 89 2315.0 496.0
77 56 2315.0 315.0
78 100 2331.0 142.0
79 56 2346.0 315.0
80 89 2346.0 496.0
81 20 2346.0 654.0
82 100 2362.0 142.0
83 100 2402.0 157.0
84 100 2402.0 220.0
85 100 2480.0 142.0
86 89 2496.0 370.0
87 70 2528.0 1276.0
88 70 2559.0 1213.0
89 48 2630.0 630.0
90 48 2638.0 732.0
91 69 2756.0 69.0
92 69 2787.0 69.0
93 82 2803.0 370.0
94 68 2835.0 1276.0
95 68 2866.0 1213.0
96 69 2906.0 69.0
97 15 2937.0 69.0
98 4 2937.0 630.0
99 4 2945.0 732.0
100 22 3016.0 1276.0
101 15 3055.0 69.0
102 15 3087.0 69.0
103 64 606.0 220.0
104 87 1165.0 370.0
105 97 1780.0 370.0
106 33 63.0 1402.0
107 33 94.0 1402.0
108 92 142.0 1701.0
109 19 173.0 2607.0
110 19 205.0 2544.0
111 33 213.0 1400.0
112 33 244.0 1400.0
113 36 276.0 1961.0
114 36 283.0 2063.0
115 14 362.0 1400.0
116 14 394.0 1400.0
117 86 449.0 1701.0
118 58 480.0 2607.0
119 58 512.0 2544.0
120 57 528.0 1488.0
121 78 583.0 1961.0
122 78 591.0 2063.0
123 78 638.0 1985.0
124 5 638.0 1827.0
125 57 638.0 1645.0
126 57 638.0 1473.0
127 57 669.0 1473.0
128 57 677.0 1646.0
129 5 677.0 1827.0
130 78 677.0 1985.0
131 78 709.0 1985.0
132 5 709.0 1827.0
133 57 709.0 1646.0
134 57 701.0 1473.0
135 31 764.0 1551.0
136 31 811.0 1520.0
137 31 843.0 1504.0
138 5 858.0 1701.0
139 41 890.0 2607.0
140 41 921.0 2544.0
141 43 992.0 1961.0
142 43 1000.0 2063.0
143 55 1197.0 2607.0
144 55 1228.0 2544.0
145 80 1276.0 1536.0
146 94 1299.0 1961.0
147 94 1307.0 2063.0
148 94 1362.0 1985.0
149 26 1362.0 1827.0
150 80 1362.0 1622.0
151 73 1425.0 1985.0
152 26 1425.0 1827.0
153 12 1425.0 1622.0
154 12 1417.0 1504.0
155 12 1488.0 1622.0
156 26 1488.0 1827.0
157 73 1488.0 1985.0
158 73 1551.0 1985.0
