location subarea coor_x coord_y
1 90 1639.0 2156.0
2 114 1875.0 2925.0
3 114 2150.0 2925.0
4 84 2425.0 2925.0
5 84 2525.0 2675.0
6 84 2525.0 2575.0
7 292 2525.0 2375.0
8 292 2525.0 2275.0
9 292 2525.0 2175.0
10 292 2786.0 2148.0
11 292 2786.0 2249.0
12 292 2786.0 2352.0
13 292 2785.0 2451.0
14 84 2785.0 2552.0
15 84 2787.0 2651.0
16 84 2925.0 2925.0
17 84 3198.0 2925.0
18 49 3475.0 2925.0
19 49 3725.0 2925.0
20 218 3675.0 2675.0
21 218 3675.0 2575.0
22 218 3675.0 2375.0
23 218 3675.0 2275.0
24 218 3675.0 2175.0
25 73 4189.0 2156.0
26 73 4190.0 2256.0
27 73 4190.0 2355.0
28 73 4189.0 2456.0
29 73 4189.0 2556.0
30 73 4190.0 2656.0
31 73 4275.0 2975.0
32 271 4425.0 2925.0
33 271 4700.0 2925.0
34 271 4975.0 2925.0
35 244 5075.0 2675.0
36 244 5075.0 2575.0
37 160 5075.0 2375.0
38 160 5075.0 2275.0
39 160 5075.0 2175.0
40 160 5336.0 2148.0
41 160 5336.0 2249.0
42 160 5336.0 2352.0
43 244 5335.0 2451.0
44 244 5335.0 2552.0
45 244 5337.0 2651.0
46 23 5475.0 2925.0
47 23 5748.0 2925.0
48 219 6025.0 2925.0
49 219 6275.0 2925.0
50 65 6225.0 2675.0
51 65 6225.0 2575.0
52 65 6225.0 2375.0
53 65 6225.0 2275.0
54 65 6225.0 2175.0
55 197 6739.0 2156.0
56 197 6740.0 2256.0
57 197 6740.0 2355.0
58 197 6739.0 2456.0
59 290 6739.0 2556.0
60 290 6740.0 2656.0
61 290 6825.0 2975.0
62 290 6975.0 2925.0
63 147 7250.0 2925.0
64 147 7525.0 2925.0
65 20 7625.0 2675.0
66 20 7625.0 2575.0
67 20 7625.0 2375.0
68 20 7625.0 2275.0
69 20 7625.0 2175.0
70 20 7886.0 2148.0
71 20 7886.0 2249.0
72 20 7886.0 2352.0
73 20 7885.0 2451.0
74 20 7885.0 2552.0
75 20 7887.0 2651.0
76 147 8025.0 2925.0
77 281 8298.0 2925.0
78 281 8575.0 2925.0
79 281 8825.0 2925.0
80 118 8775.0 2675.0
81 118 8775.0 2575.0
82 118 8775.0 2375.0
83 118 8775.0 2275.0
84 118 8775.0 2175.0
85 167 9289.0 2156.0
86 167 9290.0 2256.0
87 167 9290.0 2355.0
88 167 9289.0 2456.0
89 167 9289.0 2556.0
90 167 9290.0 2656.0
91 167 9375.0 2975.0
92 167 9525.0 2925.0
93 167 9800.0 2925.0
94 193 10075.0 2925.0
95 45 10175.0 2675.0
96 45 10175.0 2575.0
97 45 10175.0 2375.0
98 45 10175.0 2275.0
99 45 10175.0 2175.0
100 45 10436.0 2148.0
101 45 10436.0 2249.0
102 45 10436.0 2352.0
103 45 10435.0 2451.0
104 45 10435.0 2552.0
105 45 10437.0 2651.0
106 193 10575.0 2925.0
107 193 10848.0 2925.0
108 56 11125.0 2925.0
109 211 11325.0 2175.0
110 211 11325.0 2275.0
111 211 11325.0 2375.0
112 211 11325.0 2575.0
113 56 11325.0 2675.0
114 56 11375.0 2925.0
115 56 11375.0 3125.0
116 56 11400.0 3225.0
117 210 11400.0 3325.0
118 210 11400.0 3475.0
119 210 11400.0 3625.0
120 210 11300.0 3825.0
121 262 11125.0 3825.0
122 262 11125.0 3925.0
123 262 11025.0 3975.0
124 262 10925.0 3975.0
125 262 10925.0 3875.0
126 276 10550.0 3925.0
127 276 10550.0 3725.0
128 193 10550.0 3325.0
129 193 10100.0 3325.0
