location subarea coor_x coord_y
1 66 15440.0 8888.0
2 66 15440.0 9328.0
3 90 15440.0 9768.0
4 25 15440.0 11264.0
5 10 15440.0 13288.0
6 76 15440.0 14058.0
7 9 15536.0 8228.0
8 9 15616.0 8228.0
9 9 15824.0 8228.0
10 9 16048.0 8228.0
11 9 16176.0 8228.0
12 94 16384.0 8228.0
13 94 16512.0 8228.0
14 94 16624.0 8228.0
15 94 16704.0 8228.0
16 94 16784.0 8228.0
17 94 16880.0 8228.0
18 94 17024.0 8228.0
19 94 17312.0 8228.0
20 94 17440.0 8228.0
21 94 17600.0 8228.0
22 51 17872.0 8228.0
23 1 17936.0 4400.0
24 82 6320.0 10626.0
25 93 6320.0 12012.0
26 33 6432.0 9680.0
27 61 6480.0 4180.0
28 61 6480.0 4796.0
29 60 6480.0 5544.0
30 83 6480.0 6732.0
31 14 1232.0 5918.0
32 56 1232.0 7304.0
33 42 1232.0 12012.0
34 64 1232.0 14432.0
35 14 1456.0 5588.0
36 34 1520.0 4730.0
37 22 4272.0 11154.0
38 22 4272.0 11858.0
39 48 4304.0 10296.0
40 48 4416.0 10296.0
41 48 4496.0 10296.0
42 37 4528.0 5544.0
43 40 4528.0 7040.0
44 48 4592.0 10296.0
45 48 4704.0 10296.0
46 48 4784.0 10296.0
47 48 4880.0 10296.0
48 48 4944.0 10296.0
49 48 5120.0 10296.0
50 48 5200.0 10296.0
51 48 5360.0 10296.0
52 48 5504.0 10296.0
53 48 5616.0 10296.0
54 19 5648.0 7942.0
55 33 5648.0 9020.0
56 96 5680.0 6952.0
57 96 5808.0 6952.0
58 96 5952.0 6952.0
59 96 6096.0 6952.0
60 96 6160.0 6952.0
61 96 6240.0 6952.0
62 95 5648.0 14322.0
63 61 6288.0 4180.0
64 61 6288.0 4796.0
65 60 6288.0 5544.0
66 19 6288.0 8052.0
67 33 6688.0 9020.0
68 2 6800.0 9020.0
69 2 6912.0 9020.0
70 2 7072.0 9020.0
71 13 7120.0 5280.0
72 83 7120.0 6732.0
73 83 7120.0 7172.0
74 32 7120.0 7942.0
75 1 18432.0 4422.0
76 1 18720.0 4422.0
77 1 18912.0 4422.0
78 1 19040.0 4422.0
79 41 14128.0 5610.0
80 88 14128.0 7480.0
81 71 14128.0 8888.0
82 81 14128.0 9328.0
83 23 14320.0 9548.0
84 23 14464.0 9548.0
85 23 14608.0 9548.0
86 23 14672.0 9548.0
87 23 14736.0 9548.0
88 23 14800.0 9548.0
89 23 14896.0 9548.0
90 23 15024.0 9548.0
91 23 15280.0 9768.0
92 25 15280.0 11264.0
93 10 15280.0 13288.0
94 76 15280.0 14058.0
95 5 3504.0 9240.0
96 5 3504.0 10142.0
97 54 3504.0 12012.0
98 5 3648.0 9020.0
99 5 3760.0 9020.0
100 5 3872.0 9020.0
101 91 4096.0 9020.0
102 91 4304.0 9020.0
103 91 4784.0 9020.0
104 91 4880.0 9020.0
105 91 4960.0 9020.0
106 91 5136.0 9020.0
107 91 5216.0 9020.0
108 91 5344.0 9020.0
109 33 5776.0 9020.0
110 61 5808.0 4488.0
111 60 5808.0 5544.0
112 19 5808.0 8052.0
113 55 784.0 4400.0
114 14 784.0 5500.0
115 56 816.0 6776.0
116 56 912.0 6776.0
117 56 1056.0 7524.0
118 42 1104.0 12012.0
119 64 1104.0 14432.0
120 26 9104.0 10472.0
121 49 9104.0 11704.0
122 45 9104.0 12540.0
123 24 9104.0 13508.0
124 24 9104.0 14058.0
125 47 9216.0 9548.0
126 47 9296.0 9548.0
127 47 9456.0 9548.0
128 47 9568.0 9548.0
129 47 9664.0 9548.0
130 47 9776.0 9548.0
131 47 9840.0 9548.0
132 47 9904.0 9548.0
133 47 10080.0 9548.0
134 47 10336.0 9548.0
135 98 10448.0 9548.0
136 98 10544.0 9548.0
137 98 10640.0 9548.0
138 98 10768.0 9548.0
139 98 10864.0 9548.0
140 98 10960.0 9548.0
141 98 11088.0 9548.0
142 98 11168.0 9548.0
143 98 11344.0 9548.0
144 98 11568.0 9548.0
145 98 11696.0 9548.0
146 98 11792.0 9548.0
147 62 11824.0 5324.0
