location subarea coor_x coord_y
1 23 605.61 796.6
2 53 681.8 1025.2
3 6 605.61 1152.21
4 6 605.61 1253.81
5 15 656.41 1736.41
6 41 808.81 2041.19
7 15 726.25 1825.29
8 15 758.01 1863.4
9 15 783.4 1736.41
10 15 808.81 1736.41
11 53 758.01 1101.41
12 23 758.01 796.6
13 23 758.01 821.99
14 35 872.3 733.11
15 41 885.0 2066.6
16 15 872.3 1787.21
17 41 935.8 1965.0
18 35 910.39 707.7
19 22 935.8 1812.6
20 22 935.8 1761.8
21 17 935.8 1177.6
22 69 986.6 1380.8
23 35 1011.99 898.2
24 17 986.6 1203.01
25 17 986.6 1152.21
26 35 986.6 821.99
27 35 1011.99 796.6
28 35 986.6 923.59
29 17 1062.79 1126.8
30 36 1113.59 1431.6
31 36 1139.0 1482.4
32 67 1189.8 949.0
33 17 1189.8 1253.81
34 36 1240.61 1507.79
35 27 1291.41 1355.39
36 27 1266.0 1253.81
37 17 1189.8 1101.41
38 36 1189.8 1380.8
39 17 1113.59 1152.21
40 67 1113.59 821.99
41 10 1189.8 707.7
42 10 1151.7 733.11
43 67 1113.59 923.59
44 17 1113.59 1101.41
45 17 1113.59 1228.4
46 67 1113.59 949.0
47 36 1113.59 1406.19
48 67 1139.0 860.1
49 10 1189.8 733.11
50 65 1240.61 1711.0
51 65 1266.0 1736.41
52 4 1291.41 1863.4
53 72 1278.69 2047.56
54 72 1285.06 2053.91
55 72 1291.41 2041.19
56 4 1329.49 1958.65
57 4 1291.41 1965.0
58 4 1323.14 1952.3
59 65 1316.8 1787.21
60 4 1342.21 1863.4
61 4 1329.49 1945.96
62 4 1335.86 1952.3
63 29 1164.39 2244.39
64 72 1164.39 2091.99
65 65 1189.8 1584.0
66 65 1215.2 1711.0
67 65 1164.39 1634.8
68 65 1164.39 1787.21
69 4 1189.8 1863.4
70 29 1189.8 2244.39
71 29 1266.0 2168.2
72 72 1278.69 2060.25
73 72 1272.34 2053.91
74 72 1240.61 2041.19
75 4 1227.89 1958.65
76 4 1234.26 1952.3
77 4 1240.61 1965.0
78 65 1291.41 1609.39
79 32 1291.41 1076.0
80 10 1266.0 707.7
81 67 1189.8 847.4
82 36 1139.0 1533.2
83 72 1113.59 2028.5
84 29 1088.2 2244.39
85 72 1088.2 2079.3
86 29 999.3 2180.9
87 22 1011.99 1736.41
88 22 1062.79 1685.61
89 22 1037.4 1634.8
90 22 1113.59 1863.4
91 35 1062.79 771.19
92 35 1062.79 821.99
93 17 1024.71 1279.2
94 69 986.6 1507.79
95 35 1037.4 872.79
96 36 1037.4 1482.4
97 22 1011.99 1609.39
98 22 961.19 1711.0
99 35 999.3 733.11
100 22 1011.99 1901.5
101 22 1037.4 1914.2
102 22 1062.79 1736.41
103 22 1062.79 1609.39
104 29 1240.61 2244.39
105 4 1342.21 1939.61
106 29 1291.41 2168.2
107 65 1316.8 1584.0
108 65 1266.0 1685.61
109 65 1215.2 1787.21
110 72 1189.8 1965.0
111 72 1215.2 2041.19
112 4 1240.61 1863.4
113 4 1227.89 1945.96
114 4 1221.54 1952.3
115 72 1189.8 2091.99
116 29 1215.2 2168.2
117 65 1367.6 1634.8
118 47 1494.61 2244.39
119 47 1520.0 2028.5
120 51 1570.8 1812.6
121 51 1596.19 1812.6
122 47 1570.8 2244.39
123 42 1672.4 1939.61
124 42 1710.51 1996.76
125 42 1716.86 2003.11
126 42 1748.59 2015.8
127 56 1850.2 2142.79
128 56 1875.61 2244.39
129 56 1951.8 2091.99
130 56 1913.69 2079.3
131 56 1977.21 2244.39
132 56 1799.39 2168.2
133 56 1850.2 2219.0
134 20 1824.8 1634.8
135 20 1774.0 1736.41
136 20 1723.2 1761.8
137 75 1799.39 1507.79
138 75 1799.39 1456.99
139 2 1799.39 1228.4
140 2 1761.31 1228.4
141 75 1748.59 1431.6
142 59 1862.89 949.0
143 54 1786.7 707.7
144 59 1901.0 898.2
145 59 1926.41 872.79
146 42 1774.0 1939.61
