customer weight coord_x coord_y identif
1 11707.5 4052040.7789005297 2295714.520662711 458
2 7843.0 4050718.3565902766 2280814.286278179 336
3 1101.0 4065936.519457346 2279691.1498286263 339
4 917.5 4051599.846658856 2290747.4551183837 419
5 1.0 4056590.289987911 2290293.966003109 420
6 15.0 4057031.2665019305 2295260.9899526946 459
7 2380.5 4060377.048900794 2279724.869826264 338
8 846.5 4061139.872562105 2284874.04343206 385
9 588.5 4041619.0832116576 2291655.121476919 380
10 1.0 4046310.52730621 2286394.7082172045 381
11 4851.5 4051159.039073369 2285780.7091139704 383
12 7430.5 4055907.7762230695 2280501.687042392 337
13 1804.5 4056149.4359979983 2285327.261916717 384
14 1149.0 4058258.615712211 2280388.399579606 1416
15 10356.0 4052233.343046335 2279048.211688296 1415
16 1249.5 4050277.7996549928 2275848.1902365647 296
17 1.0 4055268.0973835792 2275394.8278427776 297
18 597.5 4070239.2224135753 2274036.105570079 300
19 1.0 4072042.891294426 2270545.1771210013 1413
20 351.0 4076111.410731968 2283515.7597511066 388
21 30646.5 4075670.483693703 2278549.542137161 341
22 8031.5 4078799.149279071 2278567.45799867 1419
23 1.0 4080661.0199673353 2278097.277242141 342
24 41.5 4053364.319088672 2310617.5982013727 591
25 1.0 4071120.860865525 2283968.2924016463 387
26 5028.5 4070994.3563965247 2279053.2097978294 340
27 956.5 4068777.7968329634 2314225.5210104506 638
28 16104.5 4052481.835351387 2300681.902115138 502
29 1.0 4057472.3650907935 2300228.330134236 503
30 1.0 4063787.072894877 2314678.7502137846 637
31 22.0 4062195.8226546086 2299494.9798388137 504
32 2112.0 4067501.3975005 2298962.9957149248 505
33 1.0 4062904.195435181 2304742.6011133348 548
34 116.0 4064306.402883797 2311074.8990157507 593
35 1.0 4068336.262709936 2309257.3327114363 594
36 1.0 4058354.926692015 2310163.9446526747 592
37 261.5 4057644.026430818 2304648.654298395 547
38 1.0 4058980.602637754 2311486.5149634024 1469
39 97.0 4067342.134574811 2312744.0626873905 1468
40 42.5 4059404.109529687 2301082.3387344307 1476
41 459.0 4066791.2492202 2289696.651224159 422
42 4524.5 4067224.8826842695 2294158.366999865 461
43 3004.0 4062021.794117008 2294807.689158613 460
44 607.5 4061580.773143285 2289840.7062011044 421
