customer weight coord_x coord_y identif
1 4869.806396382422 4052040.7789005297 2295714.520662711 458
2 3732.0683566314347 4050718.3565902766 2280814.286278179 336
3 3399.931975058966 4065936.519457346 2279691.1498286263 339
4 532.8296019685957 4051599.846658856 2290747.4551183837 419
5 4469.11041755956 4056590.289987911 2290293.966003109 420
6 5195.262429383311 4057031.2665019305 2295260.9899526946 459
7 5171.254081497918 4060377.048900794 2279724.869826264 338
8 5936.377951818616 4061139.872562105 2284874.04343206 385
9 1611.8320010843809 4041619.0832116576 2291655.121476919 380
10 4613.538628677292 4046310.52730621 2286394.7082172045 381
11 4638.449859980557 4051159.039073369 2285780.7091139704 383
12 4203.105424035553 4055907.7762230695 2280501.687042392 337
13 3337.6508390122326 4056149.4359979983 2285327.261916717 384
14 4877.925294532394 4058258.615712211 2280388.399579606 1416
15 494.11575051387285 4052233.343046335 2279048.211688296 1415
16 4120.404120736276 4050277.7996549928 2275848.1902365647 296
17 1422.3540259920567 4055268.0973835792 2275394.8278427776 297
18 4566.76592363165 4070239.2224135753 2274036.105570079 300
19 2790.5426454916596 4072042.891294426 2270545.1771210013 1413
20 3806.968231609229 4076111.410731968 2283515.7597511066 388
21 67.12566221299083 4075670.483693703 2278549.542137161 341
22 3613.4625647700395 4078799.149279071 2278567.45799867 1419
23 2339.340066977292 4080661.0199673353 2278097.277242141 342
24 3568.556877118655 4053364.319088672 2310617.5982013727 591
25 6076.246045708197 4071120.860865525 2283968.2924016463 387
26 4759.0812897866435 4070994.3563965247 2279053.2097978294 340
27 5423.998953447248 4068777.7968329634 2314225.5210104506 638
28 6174.915512085754 4052481.835351387 2300681.902115138 502
29 5396.500560540992 4057472.3650907935 2300228.330134236 503
30 2687.8111693007268 4063787.072894877 2314678.7502137846 637
31 2072.0931942585567 4062195.8226546086 2299494.9798388137 504
32 2678.494431556549 4067501.3975005 2298962.9957149248 505
33 5928.262467616304 4062904.195435181 2304742.6011133348 548
34 5626.468756866415 4064306.402883797 2311074.8990157507 593
35 3247.9828565913167 4068336.262709936 2309257.3327114363 594
36 603.9931933014587 4058354.926692015 2310163.9446526747 592
37 3508.7940027265686 4057644.026430818 2304648.654298395 547
38 3222.3196909614617 4058980.602637754 2311486.5149634024 1469
39 953.3939477874753 4067342.134574811 2312744.0626873905 1468
40 2725.6292206347916 4059404.109529687 2301082.3387344307 1476
41 429.4254720238221 4066791.2492202 2289696.651224159 422
42 2630.7701207074488 4067224.8826842695 2294158.366999865 461
43 5226.574189617452 4062021.794117008 2294807.689158613 460
44 1168.2561040854298 4061580.773143285 2289840.7062011044 421
45 923.5505493796659 4065802.966770343 2284404.893364084 386
46 5552.5668506526 4068554.4459779873 2288630.901427396 1422
47 2365.7006905756853 4068674.645533799 2285907.052365625 1421
48 4159.927729130079 4066875.419277928 2288189.793949292 1423
49 5984.453576990271 4074050.742035543 2280015.099865971 1420
50 1025.6995177674587 4071561.855198052 2288934.8743359484 423
51 3842.776164003245 4017549.330788915 2303863.3643702334 494
52 595.724817364658 4026917.504584708 2298213.24157332 496
53 1720.3493940900903 4010797.102148826 2284449.7431747625 328
54 4637.857547037609 4016227.4490004014 2288961.247133765 371
55 4124.645520974973 4007128.344562965 2299806.6504985727 450
56 411.65539178937513 4016667.936812255 2293928.3034247505 417
57 4172.524314969324 4012118.4302030974 2299351.0486378567 451
58 295.0003199853713 4017108.564218807 2298895.67704886 452
59 1866.2560184222634 4021217.5422907528 2288506.197749388 372
60 4823.333360587688 4015111.9752652026 2303628.676144244 1479
61 3916.9666688894436 4047491.346742478 2301135.70466523 501
62 1533.829139808387 4037510.4966294905 2302044.0016566734 499
63 1710.9344727289276 4042500.900192525 2301589.7378309746 500
64 4057.621441201688 4032079.2472449774 2297530.9435917805 454
65 2379.7219062782165 4032905.653812447 2302859.2548088864 498
66 921.7785678957254 4046441.0895369137 2304248.277080512 1477
67 3415.8541388725657 4020777.147216055 2283539.508869479 330
68 1600.660913266221 4020336.890464965 2278573.14489311 290
69 1486.9150374242013 4006687.802684592 2294839.1833995907 415
70 4738.788510728523 4011237.402817491 2289416.5255477144 370
71 3159.8181180025713 4011677.8456449434 2294383.6285798447 416
72 5151.438643693004 3979707.288484876 2387499.7415580447 1063
73 4560.459514555522 3980457.436502462 2385456.3873437103 1298
