location subarea coor_x coord_y
1 69 6.6694318086 43.7168133634
2 148 6.6608073589 43.5819896413
3 158 6.8491762731 43.5778010749
4 86 6.6665524837 43.6718708411
5 86 6.7284658782 43.6697648852
6 20 6.7313936799 43.7147056924
7 86 6.7805531493 43.5759767849
8 86 6.7874030809 43.6226859034
9 139 6.5427122345 43.6759770386
10 148 6.6034755219 43.6305014807
11 148 6.6636776706 43.6269295915
12 86 6.7250092437 43.5812346785
13 86 6.7255426641 43.6248253495
14 86 6.7540781432 43.581134751
15 148 6.6804118914 43.5666774665
16 148 6.6579415379 43.5370510167
17 42 6.7197099554 43.5349501978
18 138 6.9049875759 43.528436876
19 138 6.928886699 43.4976332963
20 18 6.9729561165 43.616056382
21 18 6.9698442858 43.571125279
22 18 7.0084445137 43.5724189677
23 18 7.0316373715 43.5688469134
24 43 6.6780969614 43.8516483036
25 158 6.9111098824 43.6183014154
26 158 6.9119012895 43.5739465721
27 88 6.8674500519 43.8901458895
28 69 6.6723156561 43.7617571323
29 20 6.7343260799 43.7596477446
30 88 6.8053028743 43.892331184
31 20 6.7931652072 43.7548764375
32 62 6.8591009055 43.7521064895
33 20 6.7993175212 43.8024445908
34 88 6.8135414672 43.860052285
35 88 6.8644062628 43.8452037894
36 88 6.7402047182 43.8495354781
37 20 6.7342023789 43.7995525735
38 88 6.7472902418 43.8616993271
39 88 6.8503664754 43.8762520594
40 20 6.7578079919 43.7681003635
41 158 6.8548464071 43.6683155342
42 62 6.8580281386 43.7086959696
43 20 6.7933509528 43.7125627601
44 86 6.7903746853 43.6676236968
45 158 6.84522364 43.6202415188
46 158 6.8771568263 43.6593732459
47 158 6.8799618526 43.634865244
48 158 6.8566224429 43.6547647095
49 18 6.9491641587 43.5837454856
50 158 6.9141782344 43.6632356383
51 101 6.23812002 43.7755343964
52 32 6.3573061018 43.7287984911
53 131 6.1661186784 43.5975430935
54 131 6.2305009087 43.6406732423
55 96 6.111580561 43.734195
56 101 6.2330366277 43.6856256867
57 101 6.1735804021 43.7324048544
58 101 6.2355763283 43.7305794136
59 131 6.2923958251 43.6388155377
60 101 6.2080861494 43.77231314
61 69 6.6103006992 43.763831226
62 139 6.4862574899 43.7678735156
63 139 6.5482812851 43.7658700218
64 139 6.4215398569 43.7248913549
65 32 6.4288011436 43.7732579647
66 69 6.5956489091 43.7914512864
67 131 6.2898156825 43.5938659142
68 55 6.2872395784 43.5489176245
69 96 6.1091379829 43.68923833
70 131 6.16860202 43.6424957125
71 101 6.1710892582 43.6874496416
72 189 5.7137309916 44.5103327825
73 189 5.7245244143 44.4923288236
74 189 5.7788076666 44.5537518034
75 189 5.7829245239 44.5957398192
76 117 5.6607687709 44.5532262666
77 189 5.7186548925 44.5552927744
78 117 5.6261956627 44.5699224608
79 117 5.6538550927 44.599968831
80 117 5.7158326939 44.6023585254
81 117 5.6572132645 44.6468219794
82 107 5.9728662133 44.5862163697
83 107 5.9675269364 44.5488394246
84 107 6.0195114231 44.5973375315
85 53 5.8992361612 44.6555676437
86 53 5.9158735418 44.6890929018
87 185 5.9551487591 44.6848553046
88 53 5.9119452134 44.727416246
89 53 5.8478144469 44.6392606348
90 53 5.85336267 44.6889307989
91 84 5.8394545945 44.507167953
92 84 5.8371950641 44.4621865397
93 189 5.7743849614 44.4637855554
94 84 5.9023110352 44.5055318265
95 84 5.8756018245 44.5363990836
96 84 5.904624175 44.550512718
97 84 5.8514281003 44.5933792927
98 84 5.9073194539 44.5982761113
99 189 5.7765945535 44.5087682727
100 84 5.8357948098 44.5511493629
101 97 6.2216666433 44.5867625512
102 97 6.1562122952 44.5436045809
103 97 6.2190995082 44.5417879898
104 97 6.1305716227 44.5460752066
105 97 6.1587293877 44.5885806234
106 97 6.1644459435 44.5081607058
107 97 6.153699209 44.4986293178
108 97 6.1890432262 44.5308133124
109 145 6.2114225779 44.4068690825
110 97 6.2351654572 44.4982421784
111 145 6.1606785631 44.4706058993
112 145 6.2139774853 44.4518412287
113 191 6.2793696327 44.494963309
114 97 6.2165364588 44.4968142067
115 25 6.0883987665 44.4554327325
116 145 6.1511901195 44.4536548611
117 87 6.2268132095 44.6767139014
118 40 6.2898466741 44.6748569595
119 40 6.3427869163 44.6793301388
120 40 6.3512625262 44.719962806
121 87 6.2491733103 44.7393512693
122 87 6.2592056957 44.719600865
123 3 6.1007340151 44.6803200718
124 185 6.0039948531 44.7014143841
125 87 6.1637756298 44.67853494
126 87 6.2242378738 44.631737864
127 40 6.2872211463 44.6298824351
128 3 6.0783183603 44.703662691
129 3 6.1456852695 44.6574788326
130 3 6.161250496 44.6335574188
131 77 6.0437043381 44.7496741062
132 3 6.0600128618 44.6674014697
133 3 6.1387550016 44.6318478278
134 3 6.0991369897 44.7134955697
135 3 6.0726967912 44.6427352462
136 142 6.1511156668 44.7263783748
137 142 6.1083626556 44.7459411738
138 185 6.0376884452 44.6820692932
139 77 6.0401170215 44.7270503959
140 3 6.1280123913 44.6647838943
141 3 6.0982590928 44.635341096
142 87 6.2088325883 44.6478098543
143 77 6.0099769834 44.7570320857
144 77 6.0269321744 44.7923274913
145 142 6.1333053166 44.8213750053
146 77 5.9814096844 44.8003026467
147 77 5.9892291232 44.733907201
148 77 5.9793993363 44.7737482769
149 142 6.1844416964 44.8179609138
150 142 6.2387445773 44.824900005
151 77 6.0425494822 44.7720321732
152 142 6.1093505769 44.8055010379
153 146 7.1842852567 43.6817386971
154 56 7.2368936545 43.8313607264
155 104 7.2402297537 43.8762915528
156 56 7.2335627957 43.786431053
157 39 7.2416037077 43.7743157562
158 56 7.2223260098 43.7592333535
159 104 7.2794759191 43.8943642707
160 56 7.2030412652 43.8334166848
161 56 7.2347150874 43.8163580028
162 56 7.199140856 43.8162089631
163 39 7.2642905122 43.7890710905
164 176 7.3125281139 44.0086519601
165 176 7.3159793133 44.0509098311
166 64 7.3743132155 44.0008431839
167 176 7.3829311592 44.0523081168
168 56 7.1748250796 43.833756211
169 181 7.183683562 43.8601352935
170 187 7.0232446768 44.1895867216
171 187 7.0763338288 44.1979641548
172 187 7.1388045041 44.1956241168
173 174 6.871230519 44.3052445356
174 174 6.8355145366 44.3418281543
175 95 6.8889210589 44.2175393058
176 95 6.9375897429 44.2109385382
177 95 6.8919739334 44.2497213585
178 95 6.9386452364 44.2383270257
179 176 7.2619386261 44.102404436
180 176 7.2536268016 44.0560258575
181 4 7.0746993546 44.0253523569
182 187 7.010681893 44.1553228068
183 91 7.1972923448 44.0096263547
184 91 7.1289960134 44.0608009061
185 91 7.1286810861 44.0693701179
186 187 7.0698880938 44.1080772186
187 91 7.1895193107 44.0639570765
188 187 7.1279294137 44.1296331929
189 91 7.1454786773 44.0353588051
190 104 7.2401950362 43.9205516165
191 104 7.2668451813 43.9122172189
192 104 7.2662937944 43.9325623301
193 104 7.307876715 43.9651453656
194 64 7.3713315517 43.9612476845
195 146 7.1649937849 43.6989649139
196 56 7.168265739 43.7438941474
197 146 7.0991195501 43.7469144458
198 104 7.2008858434 43.9671056559
199 181 7.1765834034 43.9242958681
200 4 7.1184586537 43.9784284545
201 178 7.354164294 43.736613622
202 178 7.3303493856 43.6878439513
203 178 7.3316703211 43.708773818
204 122 7.3990783532 43.7236177157
205 178 7.321251711 43.713575585
206 178 7.2922033752 43.7390757159
207 178 7.3430353512 43.7441824415
208 39 7.265240623 43.752409844
209 56 7.1715428332 43.7888245886
210 56 7.1669131117 43.7644206252
211 56 7.1676726871 43.8145561301
212 146 7.1515259203 43.672123492
213 178 7.2269167499 43.6965752714
214 178 7.2888345115 43.6941504023
215 56 7.230237165 43.7415025592
216 58 6.6533707719 44.4381447977
217 58 6.6532467975 44.476664539
218 28 6.7190810788 44.4810053113
219 58 6.5623483128 44.3938123688
220 28 6.7220434673 44.5259662067
221 161 6.8371381415 44.5908669844
222 58 6.5877599994 44.3952459834
223 58 6.6041455735 44.4189631699
224 67 6.6504675111 44.3931838071
225 67 6.7102221182 44.3461274959
226 67 6.7131704154 44.3910859291
227 67 6.6780390982 44.4138496016
228 174 6.7758686338 44.3889523532
229 67 6.7335909217 44.4178202569
230 174 6.7868037428 44.4129622614
231 174 6.8536136668 44.4459144872
232 28 6.7818787982 44.4788682562
233 67 6.6431154036 44.3185163239
234 67 6.7076245783 44.3193991995
235 174 6.7694390901 44.3179045326
236 58 6.5849110007 44.3502841625
237 67 6.6475688577 44.3482236656
238 9 6.4687079945 44.3649539857
239 9 6.4773859433 44.3592697743
240 58 6.5250479589 44.3972724537
241 118 6.2767607849 44.4499918388
242 9 6.3996106061 44.4012182613
243 9 6.4623314682 44.3992632143
244 9 6.4023148696 44.4461858008
245 9 6.4351152033 44.4343480104
246 191 6.3395399393 44.4481066949
247 48 5.8703094857 43.8758966729
248 48 5.8725718988 43.9208637795
249 48 5.8081449259 43.8775142402
250 127 6.0616035157 43.9607587075
251 127 6.064020229 44.0057239679
252 127 5.9969880687 43.917519731
253 48 5.9347818061 43.9192094671
254 127 5.9993520084 43.9624852698
255 168 5.7993256781 43.6976526555
256 99 5.8015252949 43.7426161816
257 48 5.8864625241 43.9336909928
258 78 5.9899185441 43.7826301513
259 78 6.0519746468 43.7809092053
260 78 5.9875694382 43.7376693919
261 19 6.1140269779 43.7791529286
262 19 6.1164772427 43.8241120893
263 19 6.0543761843 43.825869797
264 19 6.1189313645 43.8690724556
265 96 6.0495768809 43.735949847
266 96 6.0688777242 43.722380979
267 48 5.868050632 43.8309307502
268 78 5.9301628024 43.8292791308
269 78 5.9922713454 43.8275921453
270 48 5.9324704862 43.8742437075
271 78 5.9946278507 43.8725553474
272 19 6.0567815023 43.8708315956
273 99 5.8635435689 43.7410025624
274 99 5.8657953292 43.7859660378
275 78 5.9278587461 43.7843157632
276 78 5.956281178 43.7778418027
277 168 5.7450055151 43.760440402
278 99 5.7723214334 43.7814875533
279 24 5.6816931212 43.8356733805
280 99 5.7416579439 43.7891605625
281 99 5.8037283696 43.787580972
282 24 5.7438157148 43.8341278781
283 99 5.8059349106 43.8325470003
284 48 5.8103584238 43.9224826651
285 85 5.7503094463 43.9690369948
286 85 5.8125754125 43.9674522486
287 44 5.8771074368 44.0108014387
288 85 5.7259893929 43.9908267987
289 48 5.8505788231 43.9331442564
290 48 5.8414890827 43.9575059326
291 48 5.8748378797 43.9658320436
292 162 5.6901623827 44.0155595492
293 85 5.7524808565 44.014009002
294 44 5.8793805785 44.0557719382
295 85 5.8170198955 44.0573947854
296 5 5.8192474064 44.1023676856
297 162 5.69228806 44.060533927
298 5 5.7568339753 44.1039563101
299 85 5.8147959003 44.0124229642
300 85 5.7546556968 44.058982116
301 85 5.7915919767 44.0135273288
302 75 6.6252130677 44.9798172797
303 129 6.685613895 44.9327640553
304 129 6.748918706 44.9306455613
305 116 6.5381959736 45.042887976
306 75 6.5647107658 45.0268382883
307 75 6.6281264649 45.0247885627
308 116 6.5181718252 45.06547776
309 75 6.6310445451 45.0697603193
310 54 6.3744363828 45.0327707371
311 54 6.2475648697 45.0365450576
312 54 6.3092243361 45.0481062111
313 116 6.5589901293 44.9368928835
314 10 6.6223043425 44.9348464974
315 116 6.4984786458 44.9838773006
316 116 6.5618481522 44.9818653348
317 116 6.4378656434 45.0308293794
318 129 6.7429129693 44.8407124501
319 129 6.7401445998 44.8761423772
320 10 6.619400278 44.8898762428
321 10 6.5655167764 44.8939506513
322 129 6.6826592202 44.8877954976
323 191 6.2819826356 44.539935583
324 191 6.2845998034 44.584908634
325 191 6.3448615979 44.5380473641
326 71 6.4733739162 44.5791318496
327 71 6.5362898996 44.5771345897
328 152 6.5971517815 44.5867438805
329 58 6.5989133138 44.5389647516
330 71 6.4979775713 44.5090520208
331 71 6.481355604 44.6136350392
332 152 6.5391115901 44.6221020525
333 71 6.4678439074 44.4891959326
334 71 6.4706067104 44.5341635046
335 58 6.5386536704 44.4888063106
336 71 6.5334727019 44.5321678717
337 191 6.3661791255 44.4945585746
338 191 6.3475287887 44.5830188755
339 40 6.3345314483 44.6077935541
340 71 6.4077363159 44.5361233367
341 191 6.3421986515 44.4930766283
342 71 6.4104535194 44.5810932795
343 71 6.4378517439 44.5557642249
344 191 6.3552116837 44.5566385622
345 10 6.6107159368 44.7549689155
346 10 6.5977642868 44.8061405462
347 10 6.5655730846 44.8481838313
348 82 6.4594586856 44.7374849025
349 82 6.5096101398 44.7480328591
350 82 6.5394415614 44.7493647025
351 82 6.5560514755 44.798894258
352 82 6.4844452402 44.7181659884
353 152 6.5487725572 44.7085077435
354 116 6.4392118427 44.899253311
355 116 6.4928685258 44.8939296492
356 82 6.489207543 44.8049660465
357 82 6.4900702032 44.8489566464
358 82 6.5382104408 44.8243949007
359 10 6.6239295003 44.8552747838
360 106 4.8635539589 43.5376955011
361 35 4.8031443414 43.5837147543
362 106 4.8650143678 43.5826699092
363 35 4.8045585513 43.6286913976
364 106 4.8664770669 43.6276457009
365 106 4.9283932868 43.6265647373
366 63 4.8059749809 43.6736693989
367 182 4.8679420617 43.6726228498
368 156 4.3667825367 43.455104874
369 156 4.4285213597 43.4543086974
370 156 4.3678521483 43.5000824301
371 156 4.429639266 43.4992856045
372 124 4.6149898118 43.4966839735
373 156 4.3689234351 43.5450614273
374 156 4.4307589231 43.5442639522
375 45 4.4902746426 43.5580115864
376 140 4.6264589406 43.5628997768
377 6 4.68467901 43.7656198142
378 102 4.6860045256 43.8106033541
379 102 4.6873321283 43.8555881479
380 102 4.656437905 43.8618174228
381 130 4.7961064055 43.3588528266
382 124 4.6741494366 43.4057997988
383 130 4.735830575 43.4048286062
384 124 4.6754584305 43.4507723592
385 130 4.737187766 43.4498003751
386 124 4.6767694727 43.4957463839
387 35 4.7385470806 43.4947736077
388 35 4.8003225599 43.4937656467
389 106 4.8620958351 43.4927225027
390 140 4.678082568 43.5407218469
391 35 4.7399085238 43.5397482778
392 35 4.801732346 43.5387394952
393 45 4.4937625101 43.5884103382
394 45 4.55564285 43.587541713
395 140 4.617521279 43.5866378403
396 140 4.6793977212 43.5856987217
397 35 4.7412721006 43.584724359
398 45 4.4949341991 43.633390809
399 45 4.5568630526 43.6325214757
400 140 4.6187899906 43.6316168662
401 140 4.6807149371 43.6306769821
402 35 4.742637816 43.6297018253
403 45 4.4961077275 43.678372641
404 45 4.5580851706 43.6775025991
405 6 4.6200606937 43.6765972521
406 6 4.6820342206 43.6756566019
407 63 4.7440056751 43.6746806502
408 6 4.621333393 43.7215789718
409 102 4.7508773025 43.8995942329
410 102 4.8116630009 43.853594457
411 27 4.8738251067 43.8525444913
412 102 4.7494986491 43.8546090098
413 120 4.8130906077 43.8985788529
414 120 4.8753016615 43.8975280312
415 27 4.9017881301 43.8659998163
416 27 4.9359848895 43.8514591147
417 76 4.9950008281 43.7603785448
418 27 4.9344617919 43.8064776843
419 109 4.9965703149 43.805357812
420 27 4.9467232888 43.8321607656
421 27 4.9165674104 43.8404354155
422 102 4.7796090008 43.8216532469
423 15 5.8367957598 43.2015469186
424 160 5.7139125118 43.2047078011
425 160 5.7753558168 43.2031448458
426 160 5.7160268309 43.2496569561
427 160 5.7775179263 43.2480927276
428 160 5.7118014806 43.1597602266
429 46 5.8390056518 43.2464934989
430 29 5.9004899331 43.2448592728
431 136 5.7796834058 43.2930421628
432 46 5.8412189881 43.2914416314
433 46 5.902751118 43.2898060742
434 136 5.7544254429 43.3088684655
435 15 5.8345893041 43.1566019167
436 15 5.8982322666 43.1999140226
437 160 5.7731970695 43.1581985434
438 160 5.7495455827 43.1467588117
439 98 6.0825204289 43.1948055531
440 121 6.0210946752 43.1965433366
441 121 6.0079457552 43.1749855162
442 29 6.0022236842 43.2370679223
443 121 6.0423590966 43.1641958976
444 133 5.9735519189 43.4679322371
445 23 5.9758790347 43.5128850357
446 133 6.0398257612 43.5093942409
447 135 6.0389722203 43.379694891
448 133 6.0262854181 43.4211174775
449 113 6.0945626275 43.4195262147
450 113 6.0921466704 43.374579092
451 113 6.146452228 43.37330677
452 135 5.968908584 43.378030923
453 135 5.9072840764 43.3797042255
454 111 5.9095558664 43.424655523
455 133 5.9691048345 43.4210970963
456 113 6.1519682984 43.4210385163
457 133 6.0512005405 43.4447228478
458 7 6.1586919416 43.4626933598
459 190 6.2203976623 43.4608768159
460 133 6.035268995 43.4662210738
461 7 6.0963954938 43.4669260598
462 7 6.0994058794 43.5094247624
463 7 6.1611636483 43.5076418908
464 190 6.222917548 43.5058238672
465 7 6.1287766128 43.4809238329
466 46 5.8434357766 43.3363912899
467 46 5.9050158297 43.3347544005
468 29 5.9619706958 43.2431900527
469 29 5.9642797212 43.2881354944
470 98 6.0873260499 43.2846892797
471 113 6.0897344808 43.3296334382
472 135 6.0281652564 43.3313754714
473 29 6.0258047233 43.2864298952
474 135 5.9665923478 43.3330824599
475 113 6.1235067778 43.333668012
476 136 5.7840245062 43.3829455885
477 111 5.7951132582 43.5179095893
478 111 5.8397875223 43.514597373
479 136 5.7202653639 43.3395599031
480 136 5.7818522631 43.3379931251
481 111 5.7894396073 43.4502459812
482 111 5.786638314 43.4707705197
483 119 5.7232005071 43.4758507312
484 51 5.7287822252 43.5193836121
485 46 5.8456560255 43.3813424483
486 111 5.847879743 43.4262950804
487 111 5.850106937 43.47124916
488 111 5.9118312079 43.4696082669
489 131 6.2279691619 43.5957221067
490 1 6.5343913372 43.5411471977
491 1 6.4753307119 43.5880861378
492 1 6.5399342552 43.6310324474
493 148 6.5961686401 43.5391166846
494 1 6.5371606261 43.5860891583
495 148 6.5989862002 43.5840569915
496 164 6.4183635224 43.6381911471
497 1 6.479046372 43.6289507958
498 148 6.5876612032 43.5986721201
499 139 6.5454945744 43.7209229055
500 139 6.4835193631 43.7229247687
501 69 6.6074654149 43.7188857691
502 69 6.6344593897 43.7550077023
503 55 6.2846675033 43.5039706949
504 1 6.5316263783 43.4962065919
505 164 6.3516581647 43.5919745194
506 164 6.4075242699 43.5876597375
507 164 6.3542866936 43.6369226023
508 164 6.356919346 43.6818719913
509 55 6.4108238169 43.5451027437
510 1 6.4726097044 43.543142552
511 55 6.3490337498 43.5470277691
512 1 6.4698929516 43.4982003224
513 151 6.4671804436 43.4532594753
514 108 6.5288657391 43.4512673672
515 151 6.4054909133 43.4552164779
516 55 6.3392469447 43.4591282152
517 55 6.3464134391 43.5020823776
518 55 6.4081552802 43.5001589189
519 151 6.4028307064 43.4102754471
520 151 6.4644721705 43.408320037
521 108 6.5261094096 43.4063295499
522 131 6.2254413781 43.5507723062
523 7 6.1636392242 43.5525918108
524 108 6.5933554851 43.4941777311
525 108 6.5233573798 43.3613931663
526 60 6.4563726613 43.2735104373
527 60 6.5178661788 43.2715248051
528 60 6.5151269876 43.2265928799
529 22 6.3948749483 43.275461078
530 60 6.4590682892 43.3184454918
531 60 6.5206096395 43.3164582426
532 151 6.4617681223 43.3633820337
533 52 6.5821467103 43.3144359772
534 52 6.6436794273 43.3123786993
535 108 6.5849423477 43.3593692541
536 52 6.6465229516 43.3573103011
537 108 6.5877423492 43.4043039896
538 175 6.5765684868 43.2245739038
539 169 6.5123920561 43.1816624933
540 169 6.4509939819 43.1836448958
541 169 6.4536812288 43.2285768966
542 175 6.6351753815 43.177592899
543 175 6.6380056525 43.2225199721
544 52 6.640840331 43.2674485809
545 175 6.5774992219 43.2013656797
546 169 6.4722313675 43.1634150022
547 190 6.2153696871 43.3709869817
548 157 6.2744193042 43.3241971043
549 22 6.3359730471 43.3223149263
550 157 6.271867233 43.2792573698
551 113 6.1512999466 43.3278563637
552 157 6.2128615792 43.3260442513
553 190 6.2178817117 43.4159311786
554 157 6.210357379 43.2811030136
555 98 6.1488436265 43.2829136514
556 190 6.2820994477 43.4590251519
557 22 6.3975227336 43.3203977209
558 151 6.4001746497 43.3653358527
559 190 6.3411850921 43.4121957765
560 190 6.2738458102 43.3695481305
561 22 6.3385770366 43.3672546194
562 190 6.2795354023 43.4140810216
563 22 6.3588684583 43.305468665
564 31 5.3728997964 43.8878458135
565 61 5.497271424 43.8850709997
566 31 5.4331703024 43.8415015778
567 61 5.4940493661 43.8432486817
568 61 5.5012121338 43.9750213315
569 61 5.4992402261 43.9300455837
570 61 5.435087121 43.8864761158
571 125 5.3125314224 43.9341580237
