location subarea coord_x coord_y
1 38 4052040.7789005293 2295714.520662711
2 39 4050718.3565902766 2280814.286278179
3 43 4065936.5194573468 2279691.1498286263
4 38 4051599.8466588557 2290747.4551183833
5 42 4056590.289987911 2290293.9660031092
6 42 4057031.2665019305 2295260.989952694
7 43 4060377.0489007942 2279724.8698262637
8 43 4061139.872562105 2284874.04343206
9 38 4041619.0832116576 2291655.121476919
10 39 4046310.5273062093 2286394.7082172045
11 39 4051159.0390733685 2285780.7091139704
12 43 4055907.77622307 2280501.687042392
13 43 4056149.4359979983 2285327.2619167175
14 43 4058258.6157122115 2280388.399579606
15 39 4052233.3430463355 2279048.211688296
16 39 4050277.7996549928 2275848.190236565
17 43 4055268.0973835792 2275394.8278427776
18 47 4070239.2224135753 2274036.105570079
19 48 4072042.891294426 2270545.1771210013
20 47 4076111.410731968 2283515.7597511066
21 47 4075670.483693703 2278549.542137161
22 47 4078799.1492790715 2278567.45799867
23 47 4080661.019967335 2278097.277242141
24 37 4053364.3190886714 2310617.5982013727
25 47 4071120.8608655245 2283968.2924016463
26 47 4070994.356396525 2279053.2097978294
27 41 4068777.796832963 2314225.5210104506
28 38 4052481.835351387 2300681.902115138
29 42 4057472.3650907935 2300228.3301342353
30 41 4063787.072894877 2314678.7502137846
31 42 4062195.822654609 2299494.9798388137
32 42 4067501.3975004996 2298962.995714925
33 41 4062904.195435181 2304742.6011133348
34 41 4064306.402883798 2311074.8990157507
35 41 4068336.262709936 2309257.3327114363
36 41 4058354.9266920155 2310163.9446526747
37 42 4057644.0264308183 2304648.654298395
38 41 4058980.6026377548 2311486.5149634024
39 41 4067342.1345748114 2312744.0626873905
40 42 4059404.109529687 2301082.3387344307
41 42 4066791.2492202003 2289696.651224159
42 42 4067224.8826842695 2294158.3669998655
43 42 4062021.794117008 2294807.689158613
44 42 4061580.7731432854 2289840.7062011044
45 43 4065802.966770343 2284404.893364084
46 47 4068554.4459779873 2288630.9014273956
47 47 4068674.645533799 2285907.052365625
48 43 4066875.4192779274 2288189.7939492916
49 47 4074050.7420355426 2280015.099865971
50 46 4071561.8551980522 2288934.8743359484
51 78 4017549.330788915 2303863.3643702334
52 84 4026917.5045847083 2298213.2415733193
53 79 4010797.102148826 2284449.7431747625
54 79 4016227.4490004024 2288961.247133765
55 181 4007128.344562965 2299806.650498573
56 78 4016667.9368122546 2293928.3034247505
57 78 4012118.430203098 2299351.0486378567
58 78 4017108.564218806 2298895.67704886
59 79 4021217.5422907528 2288506.197749388
60 78 4015111.9752652026 2303628.676144244
61 38 4047491.3467424787 2301135.70466523
62 84 4037510.4966294905 2302044.001656674
63 38 4042500.900192525 2301589.7378309746
64 84 4032079.247244978 2297530.9435917805
65 84 4032905.653812447 2302859.2548088864
66 38 4046441.0895369137 2304248.2770805117
67 79 4020777.147216055 2283539.508869479
68 79 4020336.890464965 2278573.14489311
69 181 4006687.802684592 2294839.1833995907
70 79 4011237.4028174914 2289416.5255477144
71 78 4011677.845644942 2294383.6285798447
72 116 3979707.288484876 2387499.741558045
73 117 3980457.436502462 2385456.3873437103
74 116 3985140.4248539703 2392014.505414344
75 116 3985716.717212666 2396647.1224089097
76 116 3975757.27929574 2392493.819795346
77 116 3980369.5557579 2392457.2650429346
78 116 3973112.82044575 2394503.3492991487
79 116 3975493.739816836 2397703.148002254
80 116 3980429.008615127 2397683.504491749
81 115 3976046.8073667334 2402877.4484872036
82 122 4000747.2500966475 2394759.538858653
83 122 4000111.069490733 2390641.6933084284
84 24 4004514.937203564 2395793.0172061888
85 121 3995298.8998952885 2402760.6887224596
86 121 3996811.688970767 2406402.5418192963
87 121 3999901.631226986 2405763.5363190346
88 121 3996721.005363983 2410665.4421237856
89 121 3991124.159676214 2401179.6031622887
90 121 3991854.530092908 2406657.763742674
91 122 3989687.5420321915 2386583.8995632897
92 123 3989244.647812142 2381611.3887157897
93 117 3984254.497266738 2382069.143526794
94 122 3994677.7542252596 2386126.3402157286
95 122 3992732.2032718863 2389662.523325058
96 122 3995120.7983879694 2391099.0556223947
97 122 3991142.972041729 2396080.9522738727
98 122 3995610.0655606184 2396378.5326907393
99 116 3984697.3864894975 2387041.700002858
100 122 3989653.9961397895 2391472.0188003248
101 2 4020515.890505265 2393787.409679268
102 24 4015082.2095037173 2389271.0563453985
103 2 4020072.695451813 2388814.660574045
104 24 4013057.0429995595 2389650.0070672194
105 24 4015525.4029023685 2394243.8465865143
106 24 4015545.677699982 2385310.5391637767
107 24 4014639.1517315097 2384298.5131953596
108 2 4017623.998941369 2387720.1494425144
109 3 4018743.912743666 2373897.91246294
110 2 4021119.647225543 2383925.500322991
111 126 4015043.283039517 2381165.298368335
112 3 4019186.7061282825 2378869.9082758566
113 2 4024620.1672733063 2383386.045459722
114 2 4019629.6338451095 2383842.1588757355
115 126 4009205.805955416 2379782.773679258
116 126 4014196.230026595 2379326.2208284773
117 1 4021402.6791759403 2403733.635329414
118 1 4026393.215566612 2403277.360592358
119 1 4030616.164890318 2403565.9067033837
120 1 4031497.444113429 2408035.7449256284
121 1 4023507.5115677216 2410585.152851845
122 1 4024198.311458153 2408356.682541914
123 23 4011421.7633554284 2404646.915318987
124 23 4003868.254337822 2407389.642003648
125 23 4016412.1948116436 2404190.1535586533
126 1 4020959.218561545 2398760.4024968906
127 1 4025949.757484965 2398304.16761205
128 23 4009772.933242052 2407326.353541727
129 23 4014862.9871903104 2401930.992547145
130 23 4015968.7314858213 2399216.8802236174
131 23 4007285.4449010734 2412569.1631593006
132 23 4008120.4395321365 2403385.0949823647
133 23 4014173.724632063 2399119.505451418
134 23 4011477.4551892155 2408329.400244232
