location subarea coord_x coord_y
1 160 4052040.7789005293 2295714.520662711
2 162 4050718.3565902766 2280814.286278179
3 189 4065936.5194573468 2279691.1498286263
4 161 4051599.8466588557 2290747.4551183833
5 170 4056590.289987911 2290293.9660031092
6 169 4057031.2665019305 2295260.989952694
7 180 4060377.0489007942 2279724.8698262637
8 179 4061139.872562105 2284874.04343206
9 387 4041619.0832116576 2291655.121476919
10 387 4046310.5273062093 2286394.7082172045
11 161 4051159.0390733685 2285780.7091139704
12 171 4055907.77622307 2280501.687042392
13 170 4056149.4359979983 2285327.2619167175
14 171 4058258.6157122115 2280388.399579606
15 162 4052233.3430463355 2279048.211688296
16 163 4050277.7996549928 2275848.190236565
17 172 4055268.0973835792 2275394.8278427776
18 190 4070239.2224135753 2274036.105570079
19 200 4072042.891294426 2270545.1771210013
20 197 4076111.410731968 2283515.7597511066
21 198 4075670.483693703 2278549.542137161
22 207 4078799.1492790715 2278567.45799867
23 207 4080661.019967335 2278097.277242141
24 157 4053364.3190886714 2310617.5982013727
25 188 4071120.8608655245 2283968.2924016463
26 189 4070994.356396525 2279053.2097978294
27 184 4068777.796832963 2314225.5210104506
28 159 4052481.835351387 2300681.902115138
29 168 4057472.3650907935 2300228.3301342353
30 175 4063787.072894877 2314678.7502137846
31 177 4062195.822654609 2299494.9798388137
32 186 4067501.3975004996 2298962.995714925
33 176 4062904.195435181 2304742.6011133348
34 175 4064306.402883798 2311074.8990157507
35 184 4068336.262709936 2309257.3327114363
36 166 4058354.9266920155 2310163.9446526747
37 167 4057644.0264308183 2304648.654298395
38 166 4058980.6026377548 2311486.5149634024
39 175 4067342.1345748114 2312744.0626873905
40 168 4059404.109529687 2301082.3387344307
41 188 4066791.2492202003 2289696.651224159
42 187 4067224.8826842695 2294158.3669998655
43 178 4062021.794117008 2294807.689158613
44 179 4061580.7731432854 2289840.7062011044
45 188 4065802.966770343 2284404.893364084
46 188 4068554.4459779873 2288630.9014273956
47 188 4068674.645533799 2285907.052365625
48 188 4066875.4192779274 2288189.7939492916
49 198 4074050.7420355426 2280015.099865971
50 188 4071561.8551980522 2288934.8743359484
51 333 4017549.330788915 2303863.3643702334
52 347 4026917.5045847083 2298213.2415733193
53 323 4010797.102148826 2284449.7431747625
54 335 4016227.4490004024 2288961.247133765
55 857 4007128.344562965 2299806.650498573
56 335 4016667.9368122546 2293928.3034247505
57 321 4012118.430203098 2299351.0486378567
58 334 4017108.564218806 2298895.67704886
59 335 4021217.5422907528 2288506.197749388
60 320 4015111.9752652026 2303628.676144244
61 385 4047491.3467424787 2301135.70466523
62 372 4037510.4966294905 2302044.001656674
63 385 4042500.900192525 2301589.7378309746
64 360 4032079.247244978 2297530.9435917805
65 359 4032905.653812447 2302859.2548088864
66 385 4046441.0895369137 2304248.2770805117
67 336 4020777.147216055 2283539.508869479
68 337 4020336.890464965 2278573.14489311
69 858 4006687.802684592 2294839.1833995907
70 322 4011237.4028174914 2289416.5255477144
71 322 4011677.845644942 2294383.6285798447
72 542 3979707.288484876 2387499.741558045
73 553 3980457.436502462 2385456.3873437103
74 552 3985140.4248539703 2392014.505414344
75 551 3985716.717212666 2396647.1224089097
76 542 3975757.27929574 2392493.819795346
