location subarea coor_x coord_y
1 10 6.6694318086 43.7168133634
2 10 6.6608073589 43.5819896413
3 10 6.8491762731 43.5778010749
4 10 6.6665524837 43.6718708411
5 10 6.7284658782 43.6697648852
6 10 6.7313936799 43.7147056924
7 10 6.7805531493 43.5759767849
8 10 6.7874030809 43.6226859034
9 8 6.5427122345 43.6759770386
10 18 6.6034755219 43.6305014807
11 10 6.6636776706 43.6269295915
12 10 6.7250092437 43.5812346785
13 10 6.7255426641 43.6248253495
14 10 6.7540781432 43.581134751
15 10 6.6804118914 43.5666774665
16 18 6.6579415379 43.5370510167
17 10 6.7197099554 43.5349501978
18 10 6.9049875759 43.528436876
19 10 6.928886699 43.4976332963
20 10 6.9729561165 43.616056382
21 10 6.9698442858 43.571125279
22 10 7.0084445137 43.5724189677
23 10 7.0316373715 43.5688469134
24 8 6.6780969614 43.8516483036
25 10 6.9111098824 43.6183014154
26 10 6.9119012895 43.5739465721
27 2 6.8674500519 43.8901458895
28 8 6.6723156561 43.7617571323
29 10 6.7343260799 43.7596477446
30 2 6.8053028743 43.892331184
31 10 6.7931652072 43.7548764375
32 10 6.8591009055 43.7521064895
33 10 6.7993175212 43.8024445908
34 2 6.8135414672 43.860052285
35 2 6.8644062628 43.8452037894
36 10 6.7402047182 43.8495354781
37 10 6.7342023789 43.7995525735
38 2 6.7472902418 43.8616993271
39 2 6.8503664754 43.8762520594
40 10 6.7578079919 43.7681003635
41 10 6.8548464071 43.6683155342
42 10 6.8580281386 43.7086959696
43 10 6.7933509528 43.7125627601
44 10 6.7903746853 43.6676236968
45 10 6.84522364 43.6202415188
46 10 6.8771568263 43.6593732459
47 10 6.8799618526 43.634865244
48 10 6.8566224429 43.6547647095
49 10 6.9491641587 43.5837454856
50 10 6.9141782344 43.6632356383
51 17 6.23812002 43.7755343964
52 8 6.3573061018 43.7287984911
53 17 6.1661186784 43.5975430935
54 17 6.2305009087 43.6406732423
55 17 6.111580561 43.734195
56 17 6.2330366277 43.6856256867
57 17 6.1735804021 43.7324048544
58 17 6.2355763283 43.7305794136
59 17 6.2923958251 43.6388155377
60 17 6.2080861494 43.77231314
61 8 6.6103006992 43.763831226
62 8 6.4862574899 43.7678735156
63 8 6.5482812851 43.7658700218
64 8 6.4215398569 43.7248913549
65 8 6.4288011436 43.7732579647
66 8 6.5956489091 43.7914512864
67 17 6.2898156825 43.5938659142
68 18 6.2872395784 43.5489176245
69 17 6.1091379829 43.68923833
70 17 6.16860202 43.6424957125
71 17 6.1710892582 43.6874496416
72 9 5.7137309916 44.5103327825
73 9 5.7245244143 44.4923288236
74 9 5.7788076666 44.5537518034
75 9 5.7829245239 44.5957398192
76 9 5.6607687709 44.5532262666
77 9 5.7186548925 44.5552927744
78 9 5.6261956627 44.5699224608
79 9 5.6538550927 44.599968831
80 9 5.7158326939 44.6023585254
81 9 5.6572132645 44.6468219794
82 7 5.9728662133 44.5862163697
83 7 5.9675269364 44.5488394246
84 7 6.0195114231 44.5973375315
85 7 5.8992361612 44.6555676437
86 7 5.9158735418 44.6890929018
87 7 5.9551487591 44.6848553046
88 7 5.9119452134 44.727416246
89 9 5.8478144469 44.6392606348
90 7 5.85336267 44.6889307989
91 9 5.8394545945 44.507167953
92 9 5.8371950641 44.4621865397
93 9 5.7743849614 44.4637855554
94 9 5.9023110352 44.5055318265
95 9 5.8756018245 44.5363990836
96 9 5.904624175 44.550512718
97 9 5.8514281003 44.5933792927
98 7 5.9073194539 44.5982761113
99 9 5.7765945535 44.5087682727
100 9 5.8357948098 44.5511493629
101 7 6.2216666433 44.5867625512
102 7 6.1562122952 44.5436045809
103 7 6.2190995082 44.5417879898
104 7 6.1305716227 44.5460752066
105 7 6.1587293877 44.5885806234
106 7 6.1644459435 44.5081607058
107 7 6.153699209 44.4986293178
108 7 6.1890432262 44.5308133124
109 7 6.2114225779 44.4068690825
110 7 6.2351654572 44.4982421784
111 7 6.1606785631 44.4706058993
112 7 6.2139774853 44.4518412287
113 7 6.2793696327 44.494963309
114 7 6.2165364588 44.4968142067
115 7 6.0883987665 44.4554327325
116 7 6.1511901195 44.4536548611
117 7 6.2268132095 44.6767139014
118 7 6.2898466741 44.6748569595
119 7 6.3427869163 44.6793301388
120 7 6.3512625262 44.719962806
121 7 6.2491733103 44.7393512693
122 7 6.2592056957 44.719600865
123 7 6.1007340151 44.6803200718
124 7 6.0039948531 44.7014143841
125 7 6.1637756298 44.67853494
126 7 6.2242378738 44.631737864
127 7 6.2872211463 44.6298824351
128 7 6.0783183603 44.703662691
129 7 6.1456852695 44.6574788326
130 7 6.161250496 44.6335574188
131 7 6.0437043381 44.7496741062
132 7 6.0600128618 44.6674014697
133 7 6.1387550016 44.6318478278
134 7 6.0991369897 44.7134955697
135 7 6.0726967912 44.6427352462
136 7 6.1511156668 44.7263783748
137 7 6.1083626556 44.7459411738
138 7 6.0376884452 44.6820692932
139 7 6.0401170215 44.7270503959
140 7 6.1280123913 44.6647838943
141 7 6.0982590928 44.635341096
142 7 6.2088325883 44.6478098543
143 7 6.0099769834 44.7570320857
144 7 6.0269321744 44.7923274913
145 7 6.1333053166 44.8213750053
146 7 5.9814096844 44.8003026467
147 7 5.9892291232 44.733907201
148 7 5.9793993363 44.7737482769
149 7 6.1844416964 44.8179609138
150 7 6.2387445773 44.824900005
151 7 6.0425494822 44.7720321732
152 7 6.1093505769 44.8055010379
153 16 7.1842852567 43.6817386971
154 16 7.2368936545 43.8313607264
155 16 7.2402297537 43.8762915528
156 16 7.2335627957 43.786431053
157 16 7.2416037077 43.7743157562
158 16 7.2223260098 43.7592333535
159 16 7.2794759191 43.8943642707
160 16 7.2030412652 43.8334166848
161 16 7.2347150874 43.8163580028
162 16 7.199140856 43.8162089631
163 16 7.2642905122 43.7890710905
164 16 7.3125281139 44.0086519601
