3072 101904
 1 2 1.8
 1 3 1.2
 1 4 18.8
 1 5 8.01
 1 6 65.0475
 1 7 240.075
 1 8 16.87
 1 9 3.08
 1 10 0.3375
 2 10 0.135
 3 10 0.2025
 1 11 3.99
 2 11 2.1
 4 11 1.89
 1 12 1.575
 2 12 0.9
 5 12 0.675
 1 13 1.35
 3 13 0.9
 5 13 0.45
 1 14 15.29
 4 14 8.34
 5 14 6.95
 1 15 14.445
 2 15 7.2225
 6 15 7.2225
 1 16 12.0375
 3 16 7.2225
 6 16 4.815
 1 17 142.928
 4 17 67.7025
 6 17 75.225
 1 18 56.1225
 5 18 24.0525
 6 18 32.07
 1 19 50.6825
 2 19 26.675
 7 19 24.0075
 1 20 42.68
 3 20 26.675
 7 20 16.005
 1 21 499.75
 4 21 249.875
 7 21 249.875
 1 22 195.36
 5 22 88.8
 7 22 106.56
 1 23 1824.67
 6 23 960.35
 7 23 864.315
 1 24 6.0775
 2 24 1.87
 8 24 4.2075
 1 25 4.675
 3 25 1.87
 8 25 2.805
 1 26 61.425
 4 26 17.55
 8 26 43.875
 1 27 24.96
 5 27 6.24
 8 27 18.72
 1 28 219.245
 6 28 67.46
 8 28 151.785
 1 29 784.28
 7 29 224.08
 8 29 560.2
 1 30 0.7225
 2 30 0.34
 9 30 0.3825
 1 31 0.595
 3 31 0.34
 9 31 0.255
 1 32 7.2
 4 32 3.2
 9 32 4
 1 33 2.85
 5 33 1.14
 9 33 1.71
 1 34 26.2225
 6 34 12.34
 9 34 13.8825
 1 35 92.205
 7 35 40.98
 9 35 51.225
 1 36 10.8
 8 36 7.2
 9 36 3.6
 1 37 3.2625
 9 37 1.5225
 1 38 3.78
 3 38 2.52
 4 38 1.68
 1 39 0.2025
 2 39 0.135
 3 39 0.1575
 5 39 0.1125
 10 39 0.09
 12 39 0.045
 13 39 0.0675
 1 40 2.4025
 2 40 1.705
 4 40 1.6275
 5 40 1.4725
 11 40 0.93
 12 40 0.775
 14 40 0.6975
 1 41 2.16
 2 41 1.35
 3 41 1.62
 6 41 1.35
 10 41 0.81
 15 41 0.54
 16 41 0.81
 1 42 23.38
 2 42 15.865
 4 42 15.03
 6 42 15.865
 11 42 7.515
 15 42 8.35
 17 42 7.515
 1 43 8.925
 2 43 6.2475
 5 43 5.355
 6 43 6.2475
 12 43 2.6775
 15 43 3.57
 18 43 2.6775
 1 44 8.0325
 3 44 6.2475
 5 44 4.4625
 6 44 5.355
 13 44 2.6775
 16 44 3.57
 18 44 1.785
 1 45 86.2575
 4 45 58.4325
 5 45 52.8675
 6 45 61.215
 14 45 25.0425
 17 45 33.39
 18 45 27.825
 1 46 7.4375
 2 46 4.76
 3 46 5.6525
 7 46 4.4625
 10 46 2.975
 19 46 1.785
 20 46 2.6775
 1 47 80.5475
 2 47 55.55
 4 47 52.7725
 7 47 52.7725
 11 47 27.775
 19 47 27.775
 21 47 24.9975
 1 48 30.6125
 2 48 21.725
 5 48 18.7625
 7 48 20.7375
 12 48 9.875
 19 48 11.85
 22 48 8.8875
 1 49 27.65
 3 49 21.725
 5 49 15.8
 7 49 17.775
 13 49 9.875
 20 49 11.85
 22 49 5.925
 1 50 295.76
 4 50 203.335
 5 50 184.85
 7 50 203.335
 14 50 92.425
 21 50 110.91
 22 50 92.425
 1 51 298.76
 2 51 202.73
 6 51 202.73
 7 51 192.06
 15 51 106.7
 19 51 96.03
 23 51 96.03
 1 52 266.75
 3 52 202.73
 6 52 170.72
 7 52 160.05
 16 52 106.7
 20 52 96.03
 23 52 64.02
 1 53 2898.62
 4 53 1899.1
 6 53 1999.05
 7 53 1899.1
 17 53 999.525
 21 53 899.573
 23 53 999.525
 1 54 1101.12
 5 54 674.88
 6 54 781.44
 7 54 745.92
 18 54 355.2
 22 54 319.68
 23 54 426.24
 1 55 0.9975
 2 55 0.525
 3 55 0.6825
 8 55 0.7875
 10 55 0.21
 24 55 0.315
 25 55 0.4725
 1 56 11.2125
 2 56 6.825
 4 56 6.3375
 8 56 9.2625
 11 56 1.95
 24 56 4.875
 26 56 4.3875
 1 57 4.3125
 2 57 2.76
 5 57 2.2425
 8 57 3.6225
 12 57 0.69
 24 57 2.07
 27 57 1.5525
 1 58 3.795
 3 58 2.76
 5 58 1.725
 8 58 3.105
 13 58 0.69
 25 58 2.07
 27 58 1.035
 1 59 42.185
 4 59 25.96
 5 59 22.715
 8 59 35.695
 14 59 6.49
 26 59 19.47
 27 59 16.225
 1 60 41.25
 2 60 24.375
 6 60 24.375
 8 60 33.75
 15 60 7.5
 24 60 16.875
 28 60 16.875
 1 61 35.625
 3 61 24.375
 6 61 18.75
 8 61 28.125
 16 61 7.5
 25 61 16.875
 28 61 11.25
 1 62 403.765
 4 62 228.215
 6 62 245.77
 8 62 333.545
 17 62 70.22
 26 62 157.995
 28 62 175.55
 1 63 155.938
 5 63 81.0875
 6 63 99.8
 8 63 130.988
 18 63 24.95
 27 63 56.1375
 28 63 74.85
 1 64 143.175
 2 64 87.15
 7 64 80.925
 8 64 118.275
 19 64 24.9
 24 64 62.25
 29 64 56.025
 1 65 124.5
 3 65 87.15
 7 65 62.25
 8 65 99.6
 20 65 24.9
 25 65 62.25
 29 65 37.35
 1 66 1399.38
 4 66 816.305
 7 66 816.305
 8 66 1166.15
 21 66 233.23
 26 66 583.075
 29 66 583.075
 1 67 538.72
 5 67 290.08
 7 67 331.52
 8 67 455.84
 22 67 82.88
 27 67 207.2
 29 67 248.64
 1 68 5153.84
 6 68 3137.12
 7 68 2913.04
 8 68 4257.52
 23 68 896.32
 28 68 2240.8
 29 68 2016.72
 1 69 0.115
 2 69 0.07
 3 69 0.085
 9 69 0.075
 10 69 0.04
 30 69 0.03
 31 69 0.045
 1 70 1.215
 2 70 0.81
 4 70 0.765
 9 70 0.855
 11 70 0.36
 30 70 0.45
 32 70 0.405
 1 71 0.435
 2 71 0.3
 5 71 0.255
 9 71 0.315
 12 71 0.12
 30 71 0.18
 33 71 0.135
 1 72 0.39
 3 72 0.3
 5 72 0.21
 9 72 0.27
 13 72 0.12
 31 72 0.18
 33 72 0.09
 1 73 4.425
 4 73 2.95
 5 73 2.655
 9 73 3.245
 14 73 1.18
 32 73 1.77
 33 73 1.475
 1 74 4.485
 2 74 2.9325
 6 74 2.9325
 9 74 3.105
 15 74 1.38
 30 74 1.5525
 34 74 1.5525
 1 75 3.9675
 3 75 2.9325
 6 75 2.415
 9 75 2.5875
 16 75 1.38
 31 75 1.5525
 34 75 1.035
 1 76 43.335
 4 76 27.285
 6 76 28.89
 9 76 30.495
 17 76 12.84
 32 76 14.445
 34 76 16.05
 1 77 16.53
 5 77 9.69
 6 77 11.4
