fid,AAV2020,AN,BV2012,COUVERT,DEP,DEPCOM,DOM,ECLAIRE,EPCI,DCIRIS,LAMBERT_X,LAMBERT_Y,QP,QUALI_IRIS,QUALI_QP,QUALI_QVA,QUALI_ZFU,QUALI_ZUS,QUALITE_XY,QVA,REG,SDOM,TYPEQU,UU2020,ZFU,ZUS,NB_SALLES,NB_AIREJEU,codearondo
"1",CSZ,"2021","05065",OUI,"05","05007",F,OUI,"200067452","050070000","995731.8","6414557",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,CSZ,CSZ,CSZ,,"1","105"
"2","251","2021","04070",OUI,"04","04001",F,OUI,"200067437","040010000","951911.1","6333020",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"04101",CSZ,CSZ,,"1","304"
"3","251","2021","04070",NON,"04","04001",F,OUI,"200067437","040010000","951773.9","6332881",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"04101",CSZ,CSZ,,"1","304"
"4","251","2021","04070",NON,"04","04001",F,NON,"200067437","040010000","951716.5","6332831",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"04101",CSZ,CSZ,,"1","304"
"5","251","2021","04070",OUI,"04","04001",F,OUI,"200067437","040010000","951716","6332865",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"04101",CSZ,CSZ,,"1","304"
"6","251","2021","04070",OUI,"04","04001",F,OUI,"200067437","040010000","951702.7","6332835",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"04101",CSZ,CSZ,,"1","304"
"7","251","2021","04070",NON,"04","04001",F,NON,"200067437","040010000","951697.1","6332835",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"04101",CSZ,CSZ,,"1","304"
"8","137","2021","04166",OUI,"04","04004",F,OUI,"200034700","040040000","942223.8","6302671",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,CSZ,CSZ,CSZ,,"1","304"
"9",CSZ,"2021","04173",NON,"04","04006",F,NON,"200068625","040060000","989221.3","6355739",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,CSZ,CSZ,CSZ,,"1","204"
"10",CSZ,"2021","04173",NON,"04","04006",F,NON,"200068625","040060000","989267.4","6355778",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,CSZ,CSZ,CSZ,,"1","204"
"11",CSZ,"2021","04173",NC,"04","04006",F,NC,"200068625","040060000","989288.2","6355587",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F201,CSZ,CSZ,CSZ,,"1","204"
"12",CSZ,"2021","04173",NON,"04","04006",F,NON,"200068625","040060000","989429.6","6355729",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F112,CSZ,CSZ,CSZ,,"1","204"
"13","018","2021","83064",OUI,"83","83064",F,OUI,"200068104","830640000","946739.7","6251988",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F121,"83204",CSZ,CSZ,,"2","383"
"14","018","2021","83064",OUI,"83","83064",F,OUI,"200068104","830640000","946739.7","6251988",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F112,"83204",CSZ,CSZ,,"1","383"
"15","018","2021","83064",OUI,"83","83064",F,OUI,"200068104","830640000","946901.4","6252365",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"83204",CSZ,CSZ,,"1","383"
"16","018","2021","83064",NON,"83","83064",F,NON,"200068104","830640000","946989.8","6251841",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"83204",CSZ,CSZ,,"1","383"
"17","018","2021","83064",NON,"83","83064",F,NON,"200068104","830640000","946986","6251857",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F117,"83204",CSZ,CSZ,,"1","383"
"18","018","2021","83064",NON,"83","83064",F,OUI,"200068104","830640000","947281.2","6252876",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83204",CSZ,CSZ,,"3","383"
"19","018","2021","83064",NON,"83","83064",F,OUI,"200068104","830640000","947203.7","6252761",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F101,"83204",CSZ,CSZ,,"2","383"
"20","018","2021","83064",OUI,"83","83064",F,OUI,"200068104","830640000","947151.2","6252627",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"83204",CSZ,CSZ,,"1","383"
"21","018","2021","83064",NC,"83","83064",F,NC,"200068104","830640000","947607.4","6255550",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,"83204",CSZ,CSZ,,"1","383"
"22","018","2021","83064",NC,"83","83064",F,NC,"200068104","830640000","946083.7","6254222",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,"83204",CSZ,CSZ,,"1","383"
"23","018","2021","83064",OUI,"83","83064",F,OUI,"200068104","830640000","947035","6252018",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"83204",CSZ,CSZ,,"1","383"
"24","018","2021","83064",NON,"83","83064",F,OUI,"200068104","830640000","947056","6252609",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83204",CSZ,CSZ,,"1","383"
"25","492","2021","83119",OUI,"83","83065",F,OUI,"200036077","830650000","991009.6","6245876",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,"83207",CSZ,CSZ,,"1","183"
"26","492","2021","83119",NON,"83","83065",F,OUI,"200036077","830650000","989864.2","6242423",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83207",CSZ,CSZ,,"5","183"
"27","492","2021","83119",NON,"83","83065",F,NON,"200036077","830650000","989835.8","6242313",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F108,"83207",CSZ,CSZ,,"1","183"
"28","492","2021","83119",NON,"83","83065",F,OUI,"200036077","830650000","991344.3","6243486",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83207",CSZ,CSZ,,"3","183"
"29","492","2021","83119",OUI,"83","83065",F,OUI,"200036077","830650000","991420.4","6242921",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"83207",CSZ,CSZ,,"1","183"
"30","492","2021","83119",NON,"83","83065",F,NON,"200036077","830650000","991061.2","6242193",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,"83207",CSZ,CSZ,,"3","183"
"31","492","2021","83119",NON,"83","83065",F,NON,"200036077","830650000","993474.5","6245996",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F108,"83207",CSZ,CSZ,,"2","183"
"32",CSZ,"2021","04039",NON,"83","83074",F,NON,"200040210","830740000","990065.2","6303723",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,CSZ,CSZ,CSZ,,"1","183"
"33",CSZ,"2021","04039",NON,"83","83074",F,OUI,"200040210","830740000","990046.2","6303719",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,CSZ,CSZ,CSZ,,"1","183"
"34",CSZ,"2021","04039",NON,"83","83074",F,OUI,"200040210","830740000","992091.5","6303654",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,CSZ,CSZ,CSZ,,"1","183"
"35",CSZ,"2021","04039",NON,"83","83074",F,OUI,"200040210","830740000","991708.2","6303635",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,CSZ,CSZ,CSZ,,"6","183"
"36",CSZ,"2021","04039",NON,"83","83074",F,OUI,"200040210","830740000","992141.8","6304064",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F108,CSZ,CSZ,CSZ,,"4","183"
"37","301","2021","83073",NON,"83","83075",F,OUI,"248300550","830750000","972418.1","6252088",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"1","183"
"38","301","2021","83073",NON,"83","83075",F,NON,"248300550","830750000","972513.6","6252363",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,CSZ,CSZ,CSZ,,"1","183"
"39","003","2021","83064",NON,"83","83076",F,NON,"200068104","830760000","936986","6254359",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,CSZ,CSZ,CSZ,,"1","383"
"40","003","2021","83064",NC,"83","83076",F,NC,"200068104","830760000","936999.9","6254203",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,CSZ,CSZ,CSZ,,"1","383"
"41","003","2021","83064",NON,"83","83076",F,NON,"200068104","830760000","936353.5","6254916",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,CSZ,CSZ,CSZ,,"1","383"
"42","003","2021","83064",NON,"83","83076",F,OUI,"200068104","830760000","936996.7","6254298",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"2","383"
"43","003","2021","83064",NC,"83","83076",F,NC,"200068104","830760000","936999.9","6254203",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,CSZ,CSZ,CSZ,,"1","383"
"44","003","2021","83064",NON,"83","83076",F,NON,"200068104","830760000","936951.9","6254578",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,CSZ,CSZ,CSZ,,"1","383"
"45","018","2021","83064",NON,"83","83077",F,NON,"200068104","830770000","941098.9","6246712",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,CSZ,CSZ,CSZ,,"2","383"
"46","018","2021","83064",NC,"83","83077",F,NC,"200068104","830770000","941104.2","6246958",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,CSZ,CSZ,CSZ,,"1","383"
"47","018","2021","83064",NON,"83","83077",F,OUI,"200068104","830770000","941036.5","6246491",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,CSZ,CSZ,CSZ,,"1","383"
"48","018","2021","83064",NON,"83","83077",F,NON,"200068104","830770000","942837.1","6247557",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,CSZ,CSZ,CSZ,,"2","383"
"49","018","2021","83064",NON,"83","83077",F,OUI,"200068104","830770000","940929.4","6246959",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"1","383"
"50","018","2021","83064",OUI,"83","83077",F,OUI,"200068104","830770000","940946.9","6246994",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,CSZ,CSZ,CSZ,,"1","383"
"51",CSZ,"2021","83007",NON,"83","83078",F,NON,"200040210","830780000","955296.5","6289091",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83112",CSZ,CSZ,,"1","383"
