fid,id,left,top,right,bottom,codearondo,NOM_CHF,CODE_DEPT,NOM_DEPT,numcant,CODE_EPCI,NOM_EPCI,INSEE_COM,NOM_COMM,STATUT,POPULATION,CODE_DEPT_2,NOM_DEPT_2,codearondo_2,longitude,latitude
"51","51",478861.72591274,5390061.79565943,483861.72591274,5395061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",478861.72591274,5390061.79565943
"52","52",478861.72591274,5385061.79565943,483861.72591274,5390061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",478861.72591274,5385061.79565943
"119","119",483861.72591274,5390061.79565943,488861.72591274,5395061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",483861.72591274,5390061.79565943
"120","120",483861.72591274,5385061.79565943,488861.72591274,5390061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",483861.72591274,5385061.79565943
"186","186",488861.72591274,5395061.79565943,493861.72591274,5400061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",488861.72591274,5395061.79565943
"187","187",488861.72591274,5390061.79565943,493861.72591274,5395061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",488861.72591274,5390061.79565943
"188","188",488861.72591274,5385061.79565943,493861.72591274,5390061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",488861.72591274,5385061.79565943
"253","253",493861.72591274,5400061.79565943,498861.72591274,5405061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",493861.72591274,5400061.79565943
"254","254",493861.72591274,5395061.79565943,498861.72591274,5400061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",493861.72591274,5395061.79565943
"255","255",493861.72591274,5390061.79565943,498861.72591274,5395061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",493861.72591274,5390061.79565943
"256","256",493861.72591274,5385061.79565943,498861.72591274,5390061.79565943,"213",SAINTES-MARIES-DE-LA-MER,"13",BOUCHES-DU-RHONE,"1330","241300417",CA d'Arles-Crau-Camargue-Montagnette,"13096",SAINTES-MARIES-DE-LA-MER,Chef-lieu canton,2.3,"13",BOUCHES-DU-RHONE,"213",493861.72591274,5385061.79565943
