fid,idcar_1km,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,codearondo
"12",CRS3035RES1000mN2221000E4005000,"0","83069",34,17,1.9,7.9,1,12,0,1299883.1,2117.1,1.9,15.1,0.9,12,1,3.1,0,0,0,0,0,3,4,1.9,5,7.1,5.9,7.1,0,"283"
"13",CRS3035RES1000mN2221000E4006000,"1","83069",150.5,77.4,12.7,37.4,3.7,45,4.7,4125495.6,7057.7,37.5,39.9,15.8,8.7,24.7,28.2,0,0,6.7,1.1,6.7,7.7,11.3,11.9,35.5,19.6,37.3,12.7,0,"283"
"14",CRS3035RES1000mN2221000E4007000,"1","83069",3,1.5,0.2,0.6,0.1,0.9,0.1,86458.4,151.2,0.6,0.9,0.4,0.2,0.3,0.6,0,0,0,0,0.2,0.2,0.3,0.2,0.7,0.4,0.7,0.3,0,"283"
"15",CRS3035RES1000mN2222000E4002000,"0","83069",93,46,6,17.9,1,28,2,2437460.4,3575,2,44,2,30.9,7,6.1,0,0,4,4,4,2,7,12,12.1,14,26.9,7,0,"283"
"16",CRS3035RES1000mN2222000E4003000,"0","83069",362,183,22,68.9,6.1,108.1,24.1,9176008.2,13996,52,131,17.9,54.1,52.9,58.1,0,0,10.5,7,11,18.5,26,46.9,61,63.1,92,26,0,"283"
"17",CRS3035RES1000mN2222000E4004000,"0","83069",418,220.1,37.1,91.9,4,120.7,27.1,10558288.3,18920.9,103.2,116.9,33.9,64.9,76.1,41.2,4,29,9.1,5,16.3,25.7,26,37.9,83.1,59,116,39.9,0,"283"
"18",CRS3035RES1000mN2222000E4005000,"0","83069",856,425.9,63.1,194.1,21,145.1,56,19867165.4,28007.9,328.9,97,25,109.8,160.1,131,0,65,32,26.9,49.4,69.4,42.7,174.1,189.2,107.2,119.1,46,0,"283"
"19",CRS3035RES1000mN2222000E4006000,"0","83069",290.5,143.9,7,51.9,2,90,12,7857287.9,11336,52,91.9,12.1,16,46,67.9,1.9,0,2,2.1,10,16.1,17.5,36,51.9,48,79.9,27,0,"283"
"20",CRS3035RES1000mN2222000E4007000,"1","83069",1,0.5,0.1,0.2,0,0.4,0.1,32952.6,73.4,0.2,0.3,0,0.2,0.1,0.2,0,0,0,0,0,0,0.2,0.1,0.2,0.1,0.3,0,0.1,"283"
"21",CRS3035RES1000mN2223000E4002000,"1","83069",24,12.2,0.8,5.7,0,8.9,0.8,656369.3,1128.4,2.4,9.8,4.1,2.4,4.8,0.9,0,0,1.7,0,1.2,0,2.4,1.7,3.3,4.8,6.5,2.4,0,"283"
"22",CRS3035RES1000mN2223000E4003000,"1","83069",5.5,2.8,0.2,1.3,0,2.1,0.2,150418,258.6,0.6,2.2,0.9,0.6,1.1,0.2,0,0,0.4,0,0.3,0,0.5,0.4,0.7,1.1,1.5,0.6,0,"283"
"23",CRS3035RES1000mN2223000E4004000,"0","83069",22.5,11,2,3,0,5,3,619847,959,2,9,2,3,3,2,1,0,0,0,5,0.5,1,2,4,1,5,4,0,"283"
"24",CRS3035RES1000mN2223000E4005000,"0","83069",125.5,63.9,9,32.9,2,28,6,3008821.2,4617,31,32.9,1,11,41.9,10,0,18,4,0,9.5,9,7,13,27.9,18.1,28,9,0,"283"
"25",CRS3035RES1000mN2223000E4006000,"1","83069",191,106.5,17.9,50.9,1,64.7,8.9,5186122.1,8457.6,73.7,32.8,0,43.8,11.9,50.8,0,0,4.5,2,4.5,8,8.9,31.8,40.8,27.9,47.7,13,1.9,"283"
"26",CRS3035RES1000mN2224000E4006000,"0","83069",60.5,34,5.9,20,1,14.9,2.9,1465069,2174.9,23,11,2,20.1,0,11.9,0,0,1,2,3.6,4.9,1,6.9,22.1,10.9,6.1,2,0,"283"
"27",CRS3035RES1000mN2225000E4006000,"0","83069",322,165,12.9,71,4,106,11.9,8398668.2,12304,69.1,95.9,39.9,69.2,16,38.9,1,4,4,6,15.4,25.5,12.9,35,76.1,46.9,70.1,30.1,0,"283"
"28",CRS3035RES1000mN2226000E3979000,"0","83129",70,27.1,3.9,3.9,3.9,20.1,7,1931684.8,2768.9,0.9,26.2,9.2,10.1,3.9,3.9,0,0,0.8,1,3.9,3.1,4.8,7,17.1,12.2,16.2,3.9,0,"283"
"29",CRS3035RES1000mN2226000E3980000,"1","83129",1,0.4,0.1,0.1,0.1,0.3,0,23380.4,39.1,0,0.4,0,0.1,0.1,0.2,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0,"283"
"30",CRS3035RES1000mN2226000E3983000,"1","83126",2,0.7,0,0.1,0,0.6,0.1,67455.8,94.4,0.1,0.6,0.1,0,0.5,0.1,0,0,0,0,0.1,0.2,0.3,0.2,0.3,0.3,0.5,0.1,0,"283"
"31",CRS3035RES1000mN2226000E3987000,"0","83153",126.5,75,10,40,1,53,4,3429332.6,4750,50,25,0,18,46,11,0,0,4,1,2,2.5,8,14,25.9,16,41.1,12,0,"283"
"32",CRS3035RES1000mN2226000E4006000,"0","83069",250.5,139.9,25.9,76,4,73,15,6936990,11576,79.9,60,2,103,17,16.9,1,0,1,3,7.8,14.6,22,38.1,41,42,58,23,0,"283"
"33",CRS3035RES1000mN2226000E4007000,"1","83069",12,5.9,0.8,1.3,0,2.1,2.1,246688.8,484.5,4.8,1.1,0,2.1,1.6,2.2,0,0,0.5,0.3,1,0.8,0.3,2.4,1.9,1.6,2.1,1.1,0,"283"
"34",CRS3035RES1000mN2227000E3977000,"0","83129",27,14,3,6,0.9,10,0,819407.2,1726,3.1,10.9,0.9,8.1,4.1,0.9,0,0,0,0,0,2,3,0.9,4,4.1,10.9,2.1,0,"283"
"35",CRS3035RES1000mN2227000E3978000,"0","83129",301,128,15,28.1,10.1,111,11.8,9228810.8,15233,19,109,12.1,48.9,43,22,2,0,3.1,4.2,12.9,33.8,11.9,23.1,53.9,41,81.1,36,0,"283"
"36",CRS3035RES1000mN2227000E3979000,"0","83129",291.5,126.2,15.9,26.2,3,97.2,16,8354016.6,14043,21.1,105.1,18.1,36,31.6,38.9,1.6,0,3.1,2,5.8,15.6,29.3,32.8,51.9,54.3,77,18.7,1,"283"
"37",CRS3035RES1000mN2227000E3980000,"1","83129",137,53.6,9.8,16.6,7.3,41,5.9,3203109.3,5361.9,3.8,49.8,4.8,12.8,16.8,19.2,0,0,1.9,2.7,10,8,8.2,14.9,34.8,17.9,27.6,11,0,"283"
"38",CRS3035RES1000mN2227000E3982000,"1","83126",206.5,81.2,5,16,4,67.4,6,6163034,9311.6,20.1,61.1,9.8,0,55.4,15,1,0,2.8,2,13.4,17,14.7,10.8,46.6,26.6,54.7,17.9,0,"283"
"39",CRS3035RES1000mN2227000E3983000,"0","83126",352.5,162.1,15,46.9,4.9,131,8.9,10111812.1,16146.9,43,119.1,25.1,35,70,32,0,0,2.9,1,12.6,20.4,19.4,35,72.9,61.1,94.1,33.1,0,"283"
"40",CRS3035RES1000mN2227000E3984000,"0","83126",1102,543,47,207,11,397.9,48,31356453.5,45069,235,308,59,100.9,236,147.1,0,0,28.5,14.5,41,65.9,67,165,187,194,278.1,60,1,"283"
"41",CRS3035RES1000mN2227000E3985000,"0","83126",23,11,1,6,1,5,0,611458.5,1094,4,7,3,6,1,1,0,0,0,0,0,2,5,0,2,8,5,1,0,"283"
"42",CRS3035RES1000mN2227000E3986000,"0","8315383126",391.5,245.9,36,148,4,139,17,8994472.5,13232,171,74.9,18.9,45,178,4,0,0,7,0,11.5,15.9,20,54,68,59.1,111,45,0,"283"
