customer weight coord_x coord_y
1 17.0 2.0 4.0
2 18.0 98.0 70.0
3 5.0 88.0 78.0
4 6.0 20.0 49.0
5 17.0 14.0 77.0
6 6.0 19.0 47.0
7 7.0 77.0 38.0
8 2.0 54.0 53.0
9 12.0 98.0 13.0
10 15.0 41.0 47.0
11 11.0 40.0 63.0
12 13.0 44.0 98.0
13 13.0 16.0 60.0
14 6.0 44.0 43.0
15 7.0 35.0 56.0
16 5.0 18.0 47.0
17 10.0 93.0 29.0
18 20.0 24.0 7.0
19 9.0 7.0 23.0
20 4.0 86.0 12.0
21 3.0 64.0 33.0
22 14.0 15.0 8.0
23 2.0 11.0 7.0
24 1.0 17.0 18.0
25 6.0 32.0 68.0
26 14.0 72.0 97.0
27 18.0 62.0 68.0
28 17.0 83.0 62.0
29 4.0 55.0 40.0
30 7.0 30.0 86.0
31 16.0 2.0 5.0
32 17.0 76.0 69.0
33 17.0 46.0 38.0
34 8.0 23.0 26.0
35 15.0 82.0 24.0
36 2.0 91.0 36.0
37 20.0 89.0 42.0
38 8.0 84.0 72.0
39 4.0 69.0 50.0
40 19.0 75.0 73.0
41 20.0 79.0 86.0
42 9.0 99.0 51.0
43 1.0 68.0 79.0
44 8.0 52.0 37.0
45 17.0 79.0 56.0
46 7.0 41.0 10.0
47 3.0 60.0 77.0
48 19.0 12.0 61.0
49 3.0 97.0 37.0
50 1.0 70.0 75.0
51 5.0 67.0 22.0
52 15.0 65.0 72.0
53 12.0 77.0 1.0
54 20.0 98.0 87.0
55 13.0 26.0 93.0
56 12.0 76.0 14.0
57 9.0 15.0 42.0
58 5.0 28.0 43.0
59 14.0 89.0 93.0
60 9.0 53.0 49.0
61 15.0 89.0 46.0
62 12.0 57.0 25.0
63 16.0 39.0 27.0
64 16.0 16.0 64.0
65 16.0 10.0 18.0
66 12.0 53.0 29.0
67 6.0 25.0 19.0
68 16.0 31.0 68.0
69 3.0 94.0 44.0
70 6.0 94.0 76.0
71 2.0 14.0 71.0
72 12.0 8.0 81.0
73 11.0 45.0 96.0
74 3.0 83.0 34.0
75 10.0 66.0 67.0
76 17.0 78.0 19.0
77 13.0 66.0 86.0
78 7.0 26.0 15.0
79 3.0 23.0 22.0
80 20.0 25.0 71.0
81 14.0 82.0 60.0
82 5.0 81.0 81.0
83 3.0 22.0 78.0
84 14.0 2.0 72.0
85 18.0 87.0 38.0
86 11.0 79.0 34.0
87 17.0 19.0 31.0
88 13.0 3.0 67.0
89 19.0 5.0 95.0
90 3.0 6.0 6.0
91 19.0 41.0 18.0
92 5.0 12.0 71.0
93 16.0 71.0 88.0
94 2.0 61.0 37.0
95 12.0 50.0 39.0
96 11.0 15.0 22.0
97 6.0 36.0 27.0
98 13.0 79.0 52.0
99 14.0 28.0 21.0
100 8.0 85.0 29.0
