location capacity coord_x coord_y
1 120.0 3.0 60.0
2 120.0 68.0 49.0
3 120.0 81.0 53.0
4 120.0 62.0 94.0
5 120.0 1.0 57.0
6 120.0 7.0 98.0
7 120.0 24.0 94.0
8 120.0 59.0 95.0
9 120.0 19.0 13.0
10 120.0 70.0 86.0
11 120.0 94.0 60.0
12 120.0 66.0 72.0
13 120.0 70.0 88.0
14 120.0 98.0 85.0
15 120.0 4.0 34.0
16 120.0 47.0 90.0
17 120.0 71.0 64.0
18 120.0 97.0 94.0
19 120.0 51.0 53.0
20 120.0 91.0 66.0
21 120.0 83.0 50.0
22 120.0 30.0 65.0
23 120.0 90.0 57.0
24 120.0 11.0 21.0
25 120.0 72.0 17.0
26 120.0 72.0 26.0
27 120.0 32.0 76.0
28 120.0 18.0 21.0
29 120.0 84.0 89.0
30 120.0 41.0 93.0
31 120.0 51.0 64.0
32 120.0 51.0 14.0
33 120.0 47.0 72.0
34 120.0 90.0 83.0
35 120.0 21.0 73.0
36 120.0 86.0 65.0
37 120.0 86.0 23.0
38 120.0 76.0 17.0
39 120.0 67.0 74.0
40 120.0 7.0 75.0
41 120.0 55.0 72.0
42 120.0 89.0 13.0
43 120.0 28.0 24.0
44 120.0 54.0 6.0
45 120.0 94.0 81.0
46 120.0 59.0 79.0
47 120.0 54.0 68.0
48 120.0 28.0 89.0
49 120.0 1.0 46.0
50 120.0 21.0 97.0
