customer location distance
1 2 155.0290295396317
2 1 155.0290295396317
1 3 163.68567438844488
3 1 163.68567438844488
1 4 106.47065323364932
4 1 106.47065323364932
1 5 187.8430195668713
5 1 187.8430195668713
1 6 373.68703482994965
6 1 373.68703482994965
1 7 456.2247253273325
7 1 456.2247253273325
1 8 550.5233873324547
8 1 550.5233873324547
1 9 643.3109667959967
9 1 643.3109667959967
1 10 728.033653068318
10 1 728.033653068318
1 11 344.30509726113553
11 1 344.30509726113553
1 12 233.2402195162747
12 1 233.2402195162747
1 13 226.71788636982305
13 1 226.71788636982305
1 14 285.0350855596553
14 1 285.0350855596553
1 15 402.54813376787627
15 1 402.54813376787627
1 16 469.847847712427
16 1 469.847847712427
1 17 553.7093100174495
17 1 553.7093100174495
1 18 670.465509925753
18 1 670.465509925753
1 19 736.9810038257431
19 1 736.9810038257431
1 20 633.0908307660126
20 1 633.0908307660126
1 21 560.3159822814266
21 1 560.3159822814266
1 22 466.64976159856764
22 1 466.64976159856764
1 23 423.38280550820673
23 1 423.38280550820673
1 24 371.10241174101793
24 1 371.10241174101793
1 25 370.1580743412198
25 1 370.1580743412198
1 26 403.0731943456424
26 1 403.0731943456424
1 27 480.8003743758942
27 1 480.8003743758942
1 28 603.0961780678103
28 1 603.0961780678103
1 29 699.3060846296133
29 1 699.3060846296133
1 30 727.1595423289169
30 1 727.1595423289169
1 31 618.4504830623063
31 1 618.4504830623063
1 32 558.4639648177848
32 1 558.4639648177848
1 33 516.189887541397
33 1 516.189887541397
1 34 474.0516849458506
34 1 474.0516849458506
1 35 541.5311625382236
35 1 541.5311625382236
1 36 520.6495942570205
36 1 520.6495942570205
1 37 586.900332254123
37 1 586.900332254123
1 38 682.3584102214905
38 1 682.3584102214905
1 39 793.364985362979
39 1 793.364985362979
1 40 304.381339769704
40 1 304.381339769704
1 41 292.0273959751037
41 1 292.0273959751037
1 42 758.3488643098241
42 1 758.3488643098241
1 43 968.2819837216842
43 1 968.2819837216842
1 44 953.9585944892996
44 1 953.9585944892996
1 45 595.5098655773891
45 1 595.5098655773891
1 46 594.9689067505965
46 1 594.9689067505965
1 47 914.8404232433107
47 1 914.8404232433107
1 48 860.3092467246879
48 1 860.3092467246879
1 49 768.5844130607907
49 1 768.5844130607907
1 50 842.335443870196
50 1 842.335443870196
1 51 663.844108206136
51 1 663.844108206136
1 52 549.7381194714443
52 1 549.7381194714443
1 53 490.6526266107214
53 1 490.6526266107214
1 54 522.288234598483
54 1 522.288234598483
1 55 438.5897855627739
55 1 438.5897855627739
1 56 377.69034936042516
56 1 377.69034936042516
1 57 286.53097563788805
57 1 286.53097563788805
1 58 426.07159022868444
58 1 426.07159022868444
1 59 337.2135821701137
59 1 337.2135821701137
1 60 257.6606295109907
60 1 257.6606295109907
1 61 1193.0854956791654
61 1 1193.0854956791654
1 62 945.949258681458
62 1 945.949258681458
1 63 758.032321210646
63 1 758.032321210646
1 64 604.4145928086118
64 1 604.4145928086118
1 65 571.317774972913
65 1 571.317774972913
1 66 990.8183486391439
66 1 990.8183486391439
1 67 797.4139452003583
67 1 797.4139452003583
1 68 691.1591712478393
68 1 691.1591712478393
1 69 315.12695854210887
69 1 315.12695854210887
1 70 112.75194011634566
70 1 112.75194011634566
1 71 874.0120136474097
71 1 874.0120136474097
1 72 1193.9870183548899
72 1 1193.9870183548899
1 73 670.8710755428349
73 1 670.8710755428349
1 74 657.2199023158079
74 1 657.2199023158079
1 75 617.4479735167976
75 1 617.4479735167976
1 76 735.6663645974309
76 1 735.6663645974309
1 77 780.7329889277128
77 1 780.7329889277128
1 78 927.155866076465
78 1 927.155866076465
1 79 936.6205208087212
79 1 936.6205208087212
1 80 815.2214423087754
80 1 815.2214423087754
1 81 811.6008871360356
81 1 811.6008871360356
1 82 949.2170457803632
82 1 949.2170457803632
1 83 929.748890830207
83 1 929.748890830207
1 84 1087.9090035476313
84 1 1087.9090035476313
1 85 915.2404055765895
85 1 915.2404055765895
1 86 1051.5141463622826
86 1 1051.5141463622826
1 87 1249.5127050174399
87 1 1249.5127050174399
1 88 1311.600548947735
88 1 1311.600548947735
1 89 768.3501805817449
89 1 768.3501805817449
1 90 1170.5028833796182
90 1 1170.5028833796182
1 91 755.8902036671728
91 1 755.8902036671728
1 92 1345.2048171189397
92 1 1345.2048171189397
1 93 1321.9697424676558
93 1 1321.9697424676558
1 94 1275.3572048645822
94 1 1275.3572048645822
1 95 1794.017001034271
95 1 1794.017001034271
1 96 1088.8461783006817
96 1 1088.8461783006817
1 97 1223.7001266650257
97 1 1223.7001266650257
1 98 1345.5207170460067
98 1 1345.5207170460067
1 99 1409.6027809280174
99 1 1409.6027809280174
1 100 1021.7524161948431
100 1 1021.7524161948431
2 3 291.62475889402805
3 2 291.62475889402805
2 4 181.40011025354974
4 2 181.40011025354974
2 5 89.80534505250787
5 2 89.80534505250787
2 6 222.80035906613796
6 2 222.80035906613796
2 7 302.82833420933383
7 2 302.82833420933383
2 8 395.9217094325594
8 2 395.9217094325594
2 9 488.5417075337581
9 2 488.5417075337581
2 10 573.013961435496
10 2 573.013961435496
2 11 433.0819783828461
11 2 433.0819783828461
2 12 316.1154852265229
12 2 316.1154852265229
2 13 256.76643082770767
13 2 256.76643082770767
2 14 206.40009689920205
14 2 206.40009689920205
