location capacity coord_x coord_y
1 720.0 409154.0 435528.0
2 720.0 409151.0 435683.0
3 720.0 409277.0 435420.0
4 720.0 409260.0 435538.0
5 720.0 409240.0 435695.0
6 720.0 409213.0 435897.0
7 720.0 409199.0 435982.0
8 720.0 409178.0 436078.0
9 720.0 409174.0 436171.0
10 720.0 409147.0 436256.0
11 720.0 409469.0 435389.0
12 720.0 409378.0 435463.0
13 720.0 409378.0 435563.0
14 720.0 409351.0 435734.0
15 720.0 409328.0 435891.0
16 720.0 409275.0 435982.0
17 720.0 409289.0 436065.0
18 720.0 409272.0 436188.0
19 720.0 409208.0 436263.0
20 720.0 409754.0 435326.0
21 720.0 409609.0 435201.0
22 720.0 409565.0 435307.0
23 720.0 409577.0 435510.0
24 720.0 409515.0 435614.0
25 720.0 409478.0 435707.0
26 720.0 409442.0 435810.0
27 720.0 409442.0 435913.0
28 720.0 409408.0 436075.0
29 720.0 409344.0 436201.0
30 720.0 409398.0 436213.0
31 720.0 409638.0 435143.0
32 720.0 409683.0 435349.0
33 720.0 409670.0 435514.0
34 720.0 409620.0 435615.0
35 720.0 409688.0 435618.0
36 720.0 409624.0 435752.0
37 720.0 409570.0 435942.0
38 720.0 409541.0 436090.0
39 720.0 409512.0 436236.0
40 720.0 409216.0 435826.0
41 720.0 409158.0 435820.0
42 720.0 408777.0 434870.0
43 720.0 408731.0 434657.0
44 720.0 408808.0 434639.0
45 720.0 408840.0 435022.0
46 720.0 408932.0 434976.0
47 720.0 408897.0 434650.0
48 720.0 409050.0 434674.0
49 720.0 409033.0 434769.0
50 720.0 408906.0 434723.0
51 720.0 409262.0 434873.0
52 720.0 409090.0 434982.0
53 720.0 409020.0 435056.0
54 720.0 409262.0 435017.0
55 720.0 409210.0 435093.0
56 720.0 409109.0 435153.0
57 720.0 409192.0 435244.0
58 720.0 409298.0 435127.0
59 720.0 409302.0 435225.0
60 720.0 409264.0 435295.0
61 720.0 409372.0 434355.0
62 720.0 409426.0 434622.0
63 720.0 409452.0 434831.0
64 720.0 409553.0 435074.0
65 720.0 409434.0 435030.0
66 720.0 409479.0 434592.0
67 720.0 409517.0 434818.0
68 720.0 409539.0 434954.0
69 720.0 409038.0 435235.0
70 720.0 409167.0 435416.0
71 720.0 408778.0 434739.0
72 720.0 409411.0 434362.0
73 720.0 409822.0 435466.0
74 720.0 409811.0 435545.0
75 720.0 409765.0 435617.0
76 720.0 409812.0 435857.0
77 720.0 409792.0 435978.0
78 720.0 409837.0 436155.0
79 720.0 409711.0 436281.0
80 720.0 409969.0 435509.0
81 720.0 409944.0 435714.0
82 720.0 410041.0 435866.0
83 720.0 409946.0 436015.0
84 720.0 410015.0 436193.0
85 720.0 410067.0 435592.0
86 720.0 410073.0 436039.0
87 720.0 410113.0 436329.0
88 720.0 410204.0 436314.0
89 720.0 409645.0 436119.0
90 720.0 410120.0 436189.0
91 720.0 409875.0 435755.0
92 720.0 410180.0 436398.0
93 720.0 410244.0 436276.0
94 720.0 410224.0 436222.0
95 720.0 410435.0 436784.0
96 720.0 409573.0 436533.0
97 720.0 409575.0 436677.0
98 720.0 409553.0 436813.0
99 720.0 409546.0 436882.0
100 720.0 409701.0 436391.0
