customer weight coord_x coord_y
1 98.0 2830.0 40.0
2 76.0 2830.0 77.0
3 58.0 2830.0 114.0
4 12.0 2831.0 155.0
5 90.0 2830.0 194.0
6 34.0 2831.0 231.0
7 17.0 2831.0 269.0
8 79.0 2831.0 309.0
9 43.0 2830.0 347.0
10 45.0 2830.0 384.0
11 48.0 2792.0 35.0
12 35.0 2792.0 75.0
13 20.0 2790.0 115.0
14 24.0 2792.0 153.0
15 62.0 2791.0 191.0
16 26.0 2791.0 231.0
17 39.0 2790.0 271.0
18 12.0 2791.0 306.0
19 100.0 2791.0 345.0
20 42.0 2792.0 384.0
21 94.0 2800.0 460.0
22 68.0 2801.0 499.0
23 85.0 2801.0 538.0
24 36.0 2800.0 578.0
25 1.0 2802.0 620.0
26 68.0 2800.0 654.0
27 38.0 2800.0 694.0
28 37.0 2802.0 732.0
29 88.0 2800.0 772.0
30 52.0 2800.0 810.0
31 61.0 2762.0 459.0
32 45.0 2761.0 497.0
33 67.0 2761.0 540.0
34 45.0 2761.0 578.0
35 2.0 2762.0 591.0
36 16.0 2763.0 656.0
37 13.0 2762.0 694.0
38 93.0 2761.0 731.0
39 76.0 2762.0 770.0
40 64.0 2761.0 808.0
41 57.0 2801.0 946.0
42 62.0 2803.0 1034.0
43 81.0 2723.0 943.0
44 12.0 2724.0 1029.0
45 27.0 2702.0 1003.0
46 84.0 2800.0 1098.0
47 23.0 2799.0 1137.0
48 43.0 2831.0 1158.0
49 29.0 2801.0 1178.0
50 50.0 2800.0 1216.0
51 89.0 2829.0 1237.0
52 77.0 2801.0 1254.0
53 17.0 2800.0 1292.0
54 83.0 2800.0 1331.0
55 57.0 2801.0 1370.0
56 22.0 2799.0 1409.0
57 83.0 2804.0 1450.0
58 54.0 2759.0 1098.0
59 48.0 2762.0 1138.0
60 4.0 2762.0 1178.0
61 15.0 2761.0 1213.0
62 67.0 2763.0 1255.0
63 27.0 2761.0 1293.0
64 37.0 2763.0 1330.0
65 24.0 2761.0 1369.0
66 19.0 2759.0 1411.0
67 60.0 2761.0 1446.0
68 20.0 2762.0 617.0
69 47.0 2801.0 1507.0
70 89.0 2800.0 1548.0
71 15.0 2801.0 1581.0
72 85.0 2801.0 1619.0
73 41.0 2799.0 1656.0
74 82.0 2800.0 1698.0
75 69.0 2800.0 1738.0
76 84.0 2800.0 1781.0
77 63.0 2799.0 1820.0
78 51.0 2800.0 1856.0
79 99.0 2760.0 1506.0
80 2.0 2760.0 1543.0
81 43.0 2763.0 1586.0
82 22.0 2761.0 1621.0
83 52.0 2761.0 1659.0
84 17.0 2761.0 1698.0
85 4.0 2762.0 1737.0
86 26.0 2761.0 1775.0
87 37.0 2762.0 1821.0
88 68.0 2762.0 1853.0
89 18.0 2800.0 2067.0
90 27.0 2798.0 2102.0
91 73.0 2799.0 2143.0
92 46.0 2801.0 2183.0
93 55.0 2800.0 2221.0
94 79.0 2801.0 2262.0
95 43.0 2800.0 2299.0
96 64.0 2800.0 2337.0
97 40.0 2801.0 2376.0
98 91.0 2800.0 2414.0
99 22.0 2760.0 2066.0
100 38.0 2760.0 2105.0
101 31.0 2761.0 2144.0
102 61.0 2761.0 2184.0
103 38.0 2763.0 2222.0
104 14.0 2760.0 2259.0
105 70.0 2761.0 2297.0
106 86.0 2760.0 2338.0
107 85.0 2761.0 2372.0
108 22.0 2800.0 2411.0
109 76.0 2800.0 2491.0
110 71.0 2772.0 2512.0
111 45.0 2732.0 2491.0
112 86.0 2788.0 2167.0
113 68.0 2762.0 2676.0
114 39.0 2732.0 2618.0
115 45.0 2761.0 2903.0
116 34.0 2761.0 2983.0
117 81.0 2799.0 3041.0
118 65.0 2800.0 3083.0
119 73.0 2799.0 3117.0
120 78.0 2799.0 3085.0
121 48.0 2799.0 3195.0
122 39.0 2798.0 3234.0
123 69.0 2799.0 3274.0
124 7.0 2798.0 3312.0
125 27.0 2798.0 3350.0
126 50.0 2797.0 3389.0
127 53.0 2799.0 3427.0
128 56.0 2800.0 3464.0
129 17.0 2864.0 3474.0
130 23.0 2865.0 3515.0
131 51.0 2798.0 3563.0
132 64.0 2798.0 3796.0
133 83.0 2797.0 3794.0
134 5.0 2698.0 39.0
135 70.0 2697.0 116.0
136 86.0 2716.0 191.0
137 46.0 2696.0 540.0
138 61.0 2704.0 1437.0
139 65.0 2704.0 1583.0
140 11.0 2703.0 1680.0
141 54.0 2694.0 2221.0
142 86.0 2704.0 2317.0
143 70.0 2714.0 2345.0
144 76.0 2733.0 2374.0
145 50.0 2720.0 3100.0
146 18.0 2721.0 3147.0
147 95.0 2752.0 3198.0
148 11.0 2712.0 3194.0
149 85.0 2683.0 3196.0
150 56.0 2642.0 3195.0
151 67.0 2763.0 3292.0
152 51.0 2761.0 3332.0
153 67.0 2761.0 3369.0
154 46.0 2760.0 3409.0
155 57.0 2732.0 3467.0
156 14.0 2701.0 3621.0
157 57.0 2699.0 3852.0
158 95.0 2781.0 3940.0
159 94.0 2701.0 3940.0
160 10.0 2623.0 3945.0
161 46.0 2621.0 -5.0
162 17.0 2744.0 18.0
163 36.0 2649.0 25.0
164 6.0 2609.0 48.0
165 26.0 2659.0 94.0
166 69.0 2658.0 134.0
167 18.0 2659.0 171.0
168 66.0 2658.0 208.0
169 95.0 2657.0 248.0
170 62.0 2660.0 285.0
171 83.0 2659.0 325.0
172 19.0 2659.0 368.0
173 62.0 2545.0 92.0
174 19.0 2543.0 131.0
175 29.0 2543.0 170.0
176 48.0 2541.0 212.0
177 28.0 2538.0 248.0
178 13.0 2544.0 288.0
179 30.0 2541.0 246.0
180 13.0 2541.0 362.0
181 32.0 2571.0 270.0
182 43.0 2571.0 325.0
183 32.0 2485.0 36.0
184 52.0 2524.0 54.0
185 1.0 2494.0 249.0
186 41.0 2590.0 393.0
187 97.0 2641.0 411.0
188 40.0 2659.0 441.0
189 83.0 2660.0 500.0
190 18.0 2660.0 538.0
191 13.0 2658.0 577.0
192 49.0 2659.0 618.0
193 42.0 2660.0 656.0
194 84.0 2661.0 701.0
195 75.0 2658.0 733.0
196 54.0 2659.0 772.0
197 95.0 2582.0 439.0
198 25.0 2592.0 521.0
199 39.0 2581.0 770.0
200 50.0 2543.0 497.0
201 6.0 2542.0 536.0
202 23.0 2543.0 579.0
203 13.0 2542.0 615.0
204 57.0 2542.0 657.0
205 74.0 2543.0 691.0
206 86.0 2543.0 734.0
207 30.0 2541.0 771.0
208 9.0 2542.0 808.0
209 29.0 2543.0 847.0
210 18.0 2540.0 877.0
211 79.0 2617.0 847.0
212 88.0 2620.0 916.0
213 42.0 2570.0 1004.0
214 59.0 2529.0 1003.0
215 2.0 2656.0 1042.0
216 40.0 2658.0 1082.0
217 32.0 2656.0 1118.0
218 90.0 2657.0 1159.0
219 44.0 2656.0 1200.0
220 37.0 2657.0 1236.0
221 83.0 2657.0 1272.0
222 79.0 2657.0 1314.0
223 11.0 2616.0 1137.0
224 99.0 2617.0 1195.0
225 87.0 2624.0 1273.0
226 100.0 2598.0 1314.0
227 96.0 2558.0 1214.0
228 42.0 2542.0 1040.0
229 36.0 2540.0 1079.0
230 70.0 2541.0 1121.0
231 44.0 2540.0 1156.0
232 29.0 2539.0 1195.0
233 92.0 2539.0 1231.0
234 44.0 2540.0 1272.0
235 99.0 2540.0 1311.0
236 86.0 2501.0 1342.0
237 7.0 2540.0 1358.0
238 60.0 2540.0 1398.0
239 2.0 2512.0 1436.0
240 64.0 2628.0 1435.0
241 47.0 2643.0 1484.0
242 100.0 2667.0 1524.0
243 69.0 2666.0 1560.0
244 59.0 2665.0 1601.0
245 15.0 2667.0 1640.0
246 58.0 2665.0 1679.0
247 96.0 2665.0 1728.0
248 40.0 2666.0 1755.0
249 37.0 2666.0 1794.0
250 31.0 2665.0 1836.0
251 58.0 2667.0 1873.0
252 4.0 2646.0 1486.0
253 79.0 2617.0 1525.0
254 59.0 2628.0 1715.0
255 7.0 2618.0 1756.0
256 42.0 2548.0 1524.0
257 80.0 2550.0 1561.0
258 86.0 2552.0 1600.0
259 30.0 2550.0 1640.0
260 55.0 2550.0 1677.0
261 67.0 2551.0 1717.0
262 83.0 2551.0 1756.0
263 94.0 2551.0 1798.0
264 28.0 2549.0 1832.0
265 23.0 2550.0 1874.0
266 31.0 2579.0 1893.0
267 80.0 2665.0 1935.0
268 78.0 2647.0 1991.0
269 88.0 2667.0 2025.0
270 27.0 2667.0 2064.0
271 89.0 2667.0 2104.0
272 13.0 2665.0 2139.0
273 96.0 2666.0 2178.0
274 27.0 2665.0 2220.0
275 1.0 2665.0 2254.0
276 67.0 2548.0 2258.0
