location capacity coord_x coord_y
1 191.0 2830.0 40.0
2 191.0 2830.0 77.0
3 191.0 2830.0 114.0
4 191.0 2831.0 155.0
5 191.0 2830.0 194.0
6 191.0 2831.0 231.0
7 191.0 2831.0 269.0
8 191.0 2831.0 309.0
9 191.0 2830.0 347.0
10 191.0 2830.0 384.0
11 191.0 2792.0 35.0
12 191.0 2792.0 75.0
13 191.0 2790.0 115.0
14 191.0 2792.0 153.0
15 191.0 2791.0 191.0
16 191.0 2791.0 231.0
17 191.0 2790.0 271.0
18 191.0 2791.0 306.0
19 191.0 2791.0 345.0
20 191.0 2792.0 384.0
21 191.0 2800.0 460.0
22 191.0 2801.0 499.0
23 191.0 2801.0 538.0
24 191.0 2800.0 578.0
25 191.0 2802.0 620.0
26 191.0 2800.0 654.0
27 191.0 2800.0 694.0
28 191.0 2802.0 732.0
29 191.0 2800.0 772.0
30 191.0 2800.0 810.0
31 191.0 2762.0 459.0
32 191.0 2761.0 497.0
33 191.0 2761.0 540.0
34 191.0 2761.0 578.0
35 191.0 2762.0 591.0
36 191.0 2763.0 656.0
37 191.0 2762.0 694.0
38 191.0 2761.0 731.0
39 191.0 2762.0 770.0
40 191.0 2761.0 808.0
41 191.0 2801.0 946.0
42 191.0 2803.0 1034.0
43 191.0 2723.0 943.0
44 191.0 2724.0 1029.0
45 191.0 2702.0 1003.0
46 191.0 2800.0 1098.0
47 191.0 2799.0 1137.0
48 191.0 2831.0 1158.0
49 191.0 2801.0 1178.0
50 191.0 2800.0 1216.0
51 191.0 2829.0 1237.0
52 191.0 2801.0 1254.0
53 191.0 2800.0 1292.0
54 191.0 2800.0 1331.0
55 191.0 2801.0 1370.0
56 191.0 2799.0 1409.0
57 191.0 2804.0 1450.0
58 191.0 2759.0 1098.0
59 191.0 2762.0 1138.0
60 191.0 2762.0 1178.0
61 191.0 2761.0 1213.0
62 191.0 2763.0 1255.0
63 191.0 2761.0 1293.0
64 191.0 2763.0 1330.0
65 191.0 2761.0 1369.0
66 191.0 2759.0 1411.0
67 191.0 2761.0 1446.0
68 191.0 2762.0 617.0
69 191.0 2801.0 1507.0
70 191.0 2800.0 1548.0
71 191.0 2801.0 1581.0
72 191.0 2801.0 1619.0
73 191.0 2799.0 1656.0
74 191.0 2800.0 1698.0
75 191.0 2800.0 1738.0
76 191.0 2800.0 1781.0
77 191.0 2799.0 1820.0
78 191.0 2800.0 1856.0
79 191.0 2760.0 1506.0
80 191.0 2760.0 1543.0
81 191.0 2763.0 1586.0
82 191.0 2761.0 1621.0
83 191.0 2761.0 1659.0
84 191.0 2761.0 1698.0
85 191.0 2762.0 1737.0
86 191.0 2761.0 1775.0
87 191.0 2762.0 1821.0
88 191.0 2762.0 1853.0
89 191.0 2800.0 2067.0
90 191.0 2798.0 2102.0
91 191.0 2799.0 2143.0
92 191.0 2801.0 2183.0
93 191.0 2800.0 2221.0
94 191.0 2801.0 2262.0
95 191.0 2800.0 2299.0
96 191.0 2800.0 2337.0
97 191.0 2801.0 2376.0
98 191.0 2800.0 2414.0
99 191.0 2760.0 2066.0
100 191.0 2760.0 2105.0
101 191.0 2761.0 2144.0
102 191.0 2761.0 2184.0
103 191.0 2763.0 2222.0
104 191.0 2760.0 2259.0
105 191.0 2761.0 2297.0
106 191.0 2760.0 2338.0
107 191.0 2761.0 2372.0
108 191.0 2800.0 2411.0
109 191.0 2800.0 2491.0
110 191.0 2772.0 2512.0
111 191.0 2732.0 2491.0
112 191.0 2788.0 2167.0
113 191.0 2762.0 2676.0
114 191.0 2732.0 2618.0
115 191.0 2761.0 2903.0
116 191.0 2761.0 2983.0
117 191.0 2799.0 3041.0
118 191.0 2800.0 3083.0
119 191.0 2799.0 3117.0
120 191.0 2799.0 3085.0
121 191.0 2799.0 3195.0
122 191.0 2798.0 3234.0
123 191.0 2799.0 3274.0
124 191.0 2798.0 3312.0
125 191.0 2798.0 3350.0
126 191.0 2797.0 3389.0
127 191.0 2799.0 3427.0
128 191.0 2800.0 3464.0
129 191.0 2864.0 3474.0
130 191.0 2865.0 3515.0
131 191.0 2798.0 3563.0
132 191.0 2798.0 3796.0
133 191.0 2797.0 3794.0
134 191.0 2698.0 39.0
135 191.0 2697.0 116.0
136 191.0 2716.0 191.0
137 191.0 2696.0 540.0
138 191.0 2704.0 1437.0
139 191.0 2704.0 1583.0
140 191.0 2703.0 1680.0
141 191.0 2694.0 2221.0
142 191.0 2704.0 2317.0
143 191.0 2714.0 2345.0
144 191.0 2733.0 2374.0
145 191.0 2720.0 3100.0
146 191.0 2721.0 3147.0
147 191.0 2752.0 3198.0
148 191.0 2712.0 3194.0
149 191.0 2683.0 3196.0
150 191.0 2642.0 3195.0
151 191.0 2763.0 3292.0
152 191.0 2761.0 3332.0
153 191.0 2761.0 3369.0
154 191.0 2760.0 3409.0
155 191.0 2732.0 3467.0
156 191.0 2701.0 3621.0
157 191.0 2699.0 3852.0
158 191.0 2781.0 3940.0
159 191.0 2701.0 3940.0
160 191.0 2623.0 3945.0
161 191.0 2621.0 -5.0
162 191.0 2744.0 18.0
163 191.0 2649.0 25.0
164 191.0 2609.0 48.0
165 191.0 2659.0 94.0
166 191.0 2658.0 134.0
167 191.0 2659.0 171.0
168 191.0 2658.0 208.0
169 191.0 2657.0 248.0
170 191.0 2660.0 285.0
171 191.0 2659.0 325.0
172 191.0 2659.0 368.0
173 191.0 2545.0 92.0
174 191.0 2543.0 131.0
175 191.0 2543.0 170.0
176 191.0 2541.0 212.0
177 191.0 2538.0 248.0
178 191.0 2544.0 288.0
179 191.0 2541.0 246.0
180 191.0 2541.0 362.0
181 191.0 2571.0 270.0
182 191.0 2571.0 325.0
183 191.0 2485.0 36.0
184 191.0 2524.0 54.0
185 191.0 2494.0 249.0
186 191.0 2590.0 393.0
187 191.0 2641.0 411.0
188 191.0 2659.0 441.0
189 191.0 2660.0 500.0
190 191.0 2660.0 538.0
191 191.0 2658.0 577.0
192 191.0 2659.0 618.0
193 191.0 2660.0 656.0
194 191.0 2661.0 701.0
195 191.0 2658.0 733.0
196 191.0 2659.0 772.0
197 191.0 2582.0 439.0
198 191.0 2592.0 521.0
199 191.0 2581.0 770.0
200 191.0 2543.0 497.0
201 191.0 2542.0 536.0
202 191.0 2543.0 579.0
203 191.0 2542.0 615.0
204 191.0 2542.0 657.0
205 191.0 2543.0 691.0
206 191.0 2543.0 734.0
207 191.0 2541.0 771.0
208 191.0 2542.0 808.0
209 191.0 2543.0 847.0
210 191.0 2540.0 877.0
211 191.0 2617.0 847.0
212 191.0 2620.0 916.0
213 191.0 2570.0 1004.0
214 191.0 2529.0 1003.0
215 191.0 2656.0 1042.0
216 191.0 2658.0 1082.0
217 191.0 2656.0 1118.0
218 191.0 2657.0 1159.0
219 191.0 2656.0 1200.0
220 191.0 2657.0 1236.0
221 191.0 2657.0 1272.0
222 191.0 2657.0 1314.0
223 191.0 2616.0 1137.0
224 191.0 2617.0 1195.0
225 191.0 2624.0 1273.0
226 191.0 2598.0 1314.0
227 191.0 2558.0 1214.0
228 191.0 2542.0 1040.0
229 191.0 2540.0 1079.0
230 191.0 2541.0 1121.0
231 191.0 2540.0 1156.0
232 191.0 2539.0 1195.0
233 191.0 2539.0 1231.0
234 191.0 2540.0 1272.0
235 191.0 2540.0 1311.0
236 191.0 2501.0 1342.0
237 191.0 2540.0 1358.0
238 191.0 2540.0 1398.0
239 191.0 2512.0 1436.0
240 191.0 2628.0 1435.0
241 191.0 2643.0 1484.0
242 191.0 2667.0 1524.0
243 191.0 2666.0 1560.0
244 191.0 2665.0 1601.0
245 191.0 2667.0 1640.0
246 191.0 2665.0 1679.0
247 191.0 2665.0 1728.0
248 191.0 2666.0 1755.0
249 191.0 2666.0 1794.0
250 191.0 2665.0 1836.0
251 191.0 2667.0 1873.0
252 191.0 2646.0 1486.0
253 191.0 2617.0 1525.0
254 191.0 2628.0 1715.0
255 191.0 2618.0 1756.0
256 191.0 2548.0 1524.0
257 191.0 2550.0 1561.0
258 191.0 2552.0 1600.0
259 191.0 2550.0 1640.0
260 191.0 2550.0 1677.0
261 191.0 2551.0 1717.0
262 191.0 2551.0 1756.0
263 191.0 2551.0 1798.0
264 191.0 2549.0 1832.0
265 191.0 2550.0 1874.0
266 191.0 2579.0 1893.0
267 191.0 2665.0 1935.0
268 191.0 2647.0 1991.0
269 191.0 2667.0 2025.0
270 191.0 2667.0 2064.0
271 191.0 2667.0 2104.0
272 191.0 2665.0 2139.0
273 191.0 2666.0 2178.0
274 191.0 2665.0 2220.0
275 191.0 2665.0 2254.0
276 191.0 2548.0 2258.0
277 191.0 2549.0 2218.0
278 191.0 2549.0 2180.0
279 191.0 2550.0 2141.0
280 191.0 2549.0 2103.0
281 191.0 2548.0 2064.0
282 191.0 2548.0 2025.0
283 191.0 2538.0 1987.0
284 191.0 2590.0 2333.0
285 191.0 2666.0 2328.0
286 191.0 2667.0 2394.0
287 191.0 2667.0 2432.0
288 191.0 2666.0 2470.0
289 191.0 2666.0 2508.0
290 191.0 2665.0 2550.0
291 191.0 2665.0 2586.0
292 191.0 2666.0 2626.0
293 191.0 2549.0 2393.0
294 191.0 2548.0 2431.0
295 191.0 2549.0 2473.0
296 191.0 2548.0 2512.0
297 191.0 2546.0 2548.0
298 191.0 2550.0 2591.0
299 191.0 2548.0 2627.0
300 191.0 2687.0 2716.0
301 191.0 2686.0 2868.0
302 191.0 2647.0 2711.0
303 191.0 2645.0 2866.0
304 191.0 2643.0 2906.0
305 191.0 2645.0 2984.0
306 191.0 2604.0 2905.0
307 191.0 2605.0 3109.0
308 191.0 2605.0 3136.0
309 191.0 2606.0 3290.0
310 191.0 2606.0 3333.0
311 191.0 2606.0 3368.0
312 191.0 2604.0 3410.0
313 191.0 2568.0 3037.0
314 191.0 2568.0 3079.0
315 191.0 2568.0 3119.0
316 191.0 2567.0 3157.0
317 191.0 2566.0 3195.0
318 191.0 2567.0 3234.0
319 191.0 2568.0 3274.0
320 191.0 2566.0 3310.0
321 191.0 2568.0 3350.0
322 191.0 2566.0 3386.0
323 191.0 2567.0 3428.0
324 191.0 2568.0 3466.0
325 191.0 2352.0 89.0
326 191.0 2348.0 125.0
327 191.0 2349.0 168.0
328 191.0 2349.0 208.0
329 191.0 2350.0 244.0
330 191.0 2349.0 286.0
331 191.0 2350.0 322.0
332 191.0 2400.0 333.0
333 191.0 2466.0 323.0
334 191.0 2406.0 207.0
335 191.0 2378.0 168.0
336 191.0 2417.0 130.0
337 191.0 2397.0 70.0
338 191.0 2468.0 283.0
339 191.0 2467.0 242.0
340 191.0 2494.0 245.0
341 191.0 2467.0 208.0
342 191.0 2462.0 168.0
343 191.0 2465.0 129.0
344 191.0 2465.0 90.0
345 191.0 2421.0 383.0
346 191.0 2377.0 449.0
347 191.0 2458.0 392.0
348 191.0 2468.0 467.0
349 191.0 2507.0 561.0
350 191.0 2351.0 534.0
351 191.0 2352.0 574.0
352 191.0 2350.0 614.0
353 191.0 2350.0 652.0
354 191.0 2352.0 691.0
355 191.0 2350.0 727.0
356 191.0 2351.0 768.0
357 191.0 2467.0 765.0
358 191.0 2466.0 729.0
359 191.0 2466.0 692.0
360 191.0 2466.0 649.0
361 191.0 2466.0 613.0
362 191.0 2466.0 574.0
363 191.0 2467.0 540.0
364 191.0 2513.0 572.0
365 191.0 2350.0 827.0
366 191.0 2418.0 836.0
367 191.0 2438.0 875.0
368 191.0 2475.0 833.0
369 191.0 2495.0 941.0
370 191.0 2388.0 942.0
371 191.0 2348.0 940.0
372 191.0 2475.0 1008.0
373 191.0 2466.0 1038.0
374 191.0 2351.0 1040.0
375 191.0 2350.0 1075.0
376 191.0 2349.0 1114.0
377 191.0 2347.0 1152.0
378 191.0 2349.0 1192.0
379 191.0 2349.0 1232.0
380 191.0 2348.0 1270.0
381 191.0 2348.0 1307.0
382 191.0 2388.0 1209.0
383 191.0 2408.0 1116.0
384 191.0 2468.0 1310.0
385 191.0 2466.0 1269.0
386 191.0 2465.0 1232.0
387 191.0 2484.0 1212.0
388 191.0 2465.0 1190.0
389 191.0 2465.0 1158.0
390 191.0 2462.0 1112.0
391 191.0 2466.0 1075.0
392 191.0 2367.0 1354.0
393 191.0 2380.0 1433.0
394 191.0 2338.0 1452.0
395 191.0 2415.0 1482.0
396 191.0 2436.0 1431.0
397 191.0 2425.0 1394.0
398 191.0 2426.0 1358.0
399 191.0 2465.0 1471.0
400 191.0 2473.0 1373.0
401 191.0 2321.0 1522.0
402 191.0 2320.0 1557.0
403 191.0 2320.0 1598.0
