customer weight coord_x coord_y
1 18.0 36.49 7.49
2 74.0 57.06 9.51
3 84.0 30.22 48.14
4 89.0 5.15 -3.56
5 77.0 34.59 -106.37
6 74.0 57.12 -2.12
7 58.0 16.45 -99.45
8 22.0 5.36 -0.1
9 23.0 28.56 -13.36
10 53.0 8.59 38.48
11 98.0 12.5 45.02
12 88.0 -34.48 138.38
13 19.0 30.23 -9.33
14 23.0 56.18 12.51
15 41.0 36.4 -4.3
16 71.0 40.38 8.17
17 40.0 35.11 -3.5
18 60.0 41.55 8.48
19 83.0 -37.01 174.47
20 44.0 38.17 -0.34
21 44.0 36.42 3.13
22 11.0 36.11 37.14
23 28.0 35.14 -101.42
24 39.0 31.58 35.59
25 97.0 52.18 4.46
26 83.0 61.1 -149.59
27 100.0 39.57 32.41
28 3.0 51.11 4.28
29 37.0 17.08 -61.47
30 71.0 43.37 13.22
31 70.0 29.38 35.01
32 42.0 59.39 17.55
33 50.0 15.18 38.55
34 39.0 -25.14 -57.31
35 12.0 23.58 32.47
36 51.0 37.54 23.44
37 24.0 33.46 -84.31
38 41.0 12.3 -70.01
39 38.0 24.26 54.28
40 66.0 36.55 30.48
41 64.0 26.16 50.38
42 5.0 40.29 50.01
43 47.0 39.11 -76.4
44 71.0 10.48 -74.52
45 73.0 -16.11 -52.3
46 30.0 10.25 45.01
47 74.0 41.18 2.05
48 63.0 32.22 -64.42
49 2.0 41.56 -72.41
50 72.0 40.39 17.57
51 72.0 44.49 20.19
52 71.0 9.21 34.31
53 75.0 32.06 20.16
54 60.0 52.29 13.24
55 82.0 48.27 -4.25
56 7.0 -19.48 3.45
57 94.0 33.49 35.29
58 57.0 54.39 -6.14
59 10.0 35.48 -101.22
60 99.0 4.24 18.31
61 98.0 13.04 -59.3
62 13.0 60.17 5.13
63 4.0 44.48 -68.5
64 47.0 33.14 44.14
65 54.0 45.4 9.24
66 22.0 33.34 -86.45
67 7.0 52.27 -1.45
68 94.0 42.33 9.29
69 17.0 45.48 -108.37
70 74.0 43.28 -1.32
71 31.0 13.21 -16.4
72 98.0 -3.19 29.19
73 85.0 13.55 100.36
74 10.0 12.38 -8.02
75 2.0 55.44 9.09
76 48.0 44.32 11.18
77 50.0 12.57 77.4
78 59.0 -15.41 34.58
79 68.0 27.13 56.22
80 32.0 -27.25 153.05
81 32.0 44.5 -0.43
82 56.0 4.42 -74.09
83 8.0 50.47 -1.51
84 5.0 19.05 72.52
85 16.0 67.16 14.22
86 11.0 42.22 -71.0
87 37.0 53.03 8.48
88 44.0 41.08 16.47
89 5.0 46.55 7.3
90 35.0 51.31 -2.35
91 96.0 50.54 4.29
92 19.0 -15.52 -47.55
93 19.0 47.35 7.32
94 30.0 48.1 16.13
95 15.0 47.27 19.15
96 32.0 -34.49 -58.32
97 3.0 42.55 -78.38
98 11.0 44.3 26.06
99 61.0 49.27 2.07
100 25.0 -4.15 15.15
101 49.0 39.15 9.04
102 65.0 30.08 31.24
103 94.0 23.11 113.16
104 62.0 33.33 -7.4
105 44.0 -11.54 22.45
106 49.0 4.49 -52.22
107 66.0 52.13 0.11
108 9.0 -35.19 149.12
109 53.0 10.36 -66.59
110 95.0 22.39 88.27
111 32.0 52.5 -1.19
112 62.0 49.01 2.33
113 32.0 43.33 6.57
114 55.0 45.4 -0.19
115 77.0 39.37 19.55
116 68.0 50.52 7.09
117 62.0 41.59 -87.54
118 83.0 41.48 12.36
119 61.0 9.34 -13.37
120 56.0 41.25 -81.51
121 97.0 3.26 -76.25
122 70.0 42.31 8.48
123 61.0 -28.02 145.37
124 17.0 7.11 79.53
125 52.0 40.04 -83.04
126 67.0 33.22 -7.35
127 89.0 48.07 7.22
128 18.0 44.22 28.29
