customer weight coord_x coord_y
1 14.0 5639.0 6909.0
2 88.0 5652.0 6142.0
3 47.0 5654.0 6101.0
4 12.0 5659.0 6910.0
5 82.0 5659.0 6920.0
6 96.0 5661.0 6182.0
7 88.0 5663.0 6830.0
8 13.0 5669.0 6213.0
9 87.0 5670.0 6425.0
10 41.0 5671.0 6870.0
11 23.0 5673.0 6132.0
12 45.0 5682.0 6840.0
13 18.0 5690.0 6891.0
14 9.0 5694.0 6801.0
15 4.0 5698.0 6265.0
16 53.0 5698.0 6952.0
17 24.0 5701.0 6184.0
18 19.0 5701.0 6407.0
19 50.0 5712.0 6154.0
20 38.0 5716.0 6296.0
21 35.0 5720.0 6438.0
22 65.0 5722.0 6397.0
23 28.0 5722.0 6873.0
24 8.0 5730.0 6458.0
25 86.0 5731.0 6893.0
26 82.0 5736.0 6317.0
27 57.0 5737.0 6064.0
28 30.0 5738.0 6034.0
29 95.0 5738.0 6267.0
30 62.0 5740.0 5984.0
31 71.0 5741.0 6206.0
32 41.0 5741.0 6418.0
33 65.0 5744.0 6368.0
34 33.0 5744.0 6823.0
35 84.0 5746.0 6783.0
36 80.0 5748.0 6490.0
37 19.0 5748.0 6965.0
38 59.0 5749.0 6944.0
39 42.0 5750.0 6227.0
40 27.0 5756.0 6308.0
41 16.0 5758.0 6733.0
42 9.0 5761.0 6440.0
43 21.0 5762.0 6187.0
44 48.0 5763.0 6389.0
45 54.0 5774.0 6127.0
46 77.0 5776.0 6319.0
47 10.0 5776.0 6774.0
48 78.0 5777.0 6289.0
49 28.0 5779.0 6026.0
50 44.0 5780.0 6916.0
51 48.0 5783.0 6168.0
52 56.0 5784.0 6137.0
53 67.0 5788.0 6744.0
54 100.0 5789.0 6249.0
55 3.0 5790.0 5996.0
56 97.0 5797.0 6077.0
57 77.0 5799.0 6482.0
58 98.0 5799.0 6957.0
59 52.0 5800.0 6472.0
60 77.0 5802.0 6411.0
61 48.0 5804.0 6836.0
62 56.0 5805.0 6350.0
63 56.0 5806.0 6563.0
64 15.0 5808.0 6047.0
65 87.0 5810.0 6229.0
66 18.0 5813.0 6159.0
67 23.0 5817.0 6311.0
68 47.0 5818.0 6988.0
69 85.0 5820.0 6472.0
70 69.0 5822.0 6200.0
71 44.0 5822.0 6432.0
72 11.0 5822.0 6877.0
73 44.0 5825.0 6594.0
74 8.0 5827.0 6089.0
75 14.0 5829.0 6726.0
76 99.0 5833.0 6392.0
77 6.0 5833.0 6635.0
78 59.0 5838.0 6281.0
79 22.0 5840.0 6948.0
80 48.0 5841.0 6686.0
81 93.0 5842.0 6665.0
82 10.0 5844.0 6160.0
83 77.0 5846.0 6807.0
84 2.0 5847.0 6544.0
85 27.0 5847.0 6999.0
86 32.0 5848.0 6049.0
87 61.0 5850.0 6251.0
88 11.0 5851.0 6919.0
89 71.0 5853.0 6413.0
90 58.0 5855.0 6120.0
91 12.0 5859.0 6272.0
92 13.0 5860.0 6009.0
93 74.0 5860.0 6484.0
94 15.0 5861.0 6687.0
95 90.0 5863.0 6869.0
96 99.0 5864.0 6616.0
97 88.0 5867.0 6090.0
98 43.0 5867.0 7010.0
99 27.0 5872.0 6909.0
100 24.0 5873.0 6171.0
101 23.0 5874.0 6151.0
102 5.0 5876.0 6333.0
103 5.0 5878.0 6768.0
104 42.0 5879.0 6738.0
105 82.0 5879.0 6970.0
106 94.0 5884.0 6394.0
107 51.0 5890.0 6253.0
108 78.0 5890.0 6718.0
109 43.0 5891.0 6000.0
110 29.0 5892.0 6668.0
111 4.0 5893.0 6880.0
112 13.0 5895.0 6840.0
113 94.0 5896.0 6122.0
114 87.0 5897.0 6324.0
115 67.0 5898.0 6304.0
116 99.0 5900.0 6496.0
117 60.0 5902.0 5971.0
118 36.0 5902.0 6911.0
119 77.0 5905.0 6365.0
120 3.0 5905.0 6618.0
121 46.0 5906.0 7042.0
122 69.0 5908.0 6759.0
123 96.0 5908.0 7002.0
124 71.0 5909.0 6042.0
125 9.0 5910.0 6264.0
126 39.0 5911.0 6941.0
127 17.0 5912.0 6456.0
128 53.0 5913.0 6891.0
129 73.0 5914.0 6163.0
130 42.0 5917.0 6568.0
131 75.0 5920.0 6022.0
132 63.0 5928.0 6083.0
133 21.0 5932.0 6225.0
134 29.0 5939.0 6983.0
135 3.0 5940.0 6275.0
136 23.0 5940.0 6953.0
137 75.0 5941.0 6245.0
138 59.0 5944.0 6185.0
139 37.0 5945.0 5922.0
140 3.0 5945.0 6144.0
