location capacity coord_x coord_y
1 655.0 36.49 7.49
2 655.0 57.06 9.51
3 655.0 30.22 48.14
4 655.0 5.15 -3.56
5 655.0 34.59 -106.37
6 655.0 57.12 -2.12
7 655.0 16.45 -99.45
8 655.0 5.36 -0.1
9 655.0 28.56 -13.36
10 655.0 8.59 38.48
11 655.0 12.5 45.02
12 655.0 -34.48 138.38
13 655.0 30.23 -9.33
14 655.0 56.18 12.51
15 655.0 36.4 -4.3
16 655.0 40.38 8.17
17 655.0 35.11 -3.5
18 655.0 41.55 8.48
19 655.0 -37.01 174.47
20 655.0 38.17 -0.34
21 655.0 36.42 3.13
22 655.0 36.11 37.14
23 655.0 35.14 -101.42
24 655.0 31.58 35.59
25 655.0 52.18 4.46
26 655.0 61.1 -149.59
27 655.0 39.57 32.41
28 655.0 51.11 4.28
29 655.0 17.08 -61.47
30 655.0 43.37 13.22
31 655.0 29.38 35.01
32 655.0 59.39 17.55
33 655.0 15.18 38.55
34 655.0 -25.14 -57.31
35 655.0 23.58 32.47
36 655.0 37.54 23.44
37 655.0 33.46 -84.31
38 655.0 12.3 -70.01
39 655.0 24.26 54.28
40 655.0 36.55 30.48
41 655.0 26.16 50.38
42 655.0 40.29 50.01
43 655.0 39.11 -76.4
44 655.0 10.48 -74.52
45 655.0 -16.11 -52.3
46 655.0 10.25 45.01
47 655.0 41.18 2.05
48 655.0 32.22 -64.42
49 655.0 41.56 -72.41
50 655.0 40.39 17.57
51 655.0 44.49 20.19
52 655.0 9.21 34.31
53 655.0 32.06 20.16
54 655.0 52.29 13.24
55 655.0 48.27 -4.25
56 655.0 -19.48 3.45
57 655.0 33.49 35.29
58 655.0 54.39 -6.14
59 655.0 35.48 -101.22
60 655.0 4.24 18.31
61 655.0 13.04 -59.3
62 655.0 60.17 5.13
63 655.0 44.48 -68.5
64 655.0 33.14 44.14
65 655.0 45.4 9.24
66 655.0 33.34 -86.45
67 655.0 52.27 -1.45
68 655.0 42.33 9.29
69 655.0 45.48 -108.37
70 655.0 43.28 -1.32
71 655.0 13.21 -16.4
72 655.0 -3.19 29.19
73 655.0 13.55 100.36
74 655.0 12.38 -8.02
75 655.0 55.44 9.09
76 655.0 44.32 11.18
77 655.0 12.57 77.4
78 655.0 -15.41 34.58
79 655.0 27.13 56.22
80 655.0 -27.25 153.05
81 655.0 44.5 -0.43
82 655.0 4.42 -74.09
83 655.0 50.47 -1.51
84 655.0 19.05 72.52
85 655.0 67.16 14.22
86 655.0 42.22 -71.0
87 655.0 53.03 8.48
88 655.0 41.08 16.47
89 655.0 46.55 7.3
90 655.0 51.31 -2.35
91 655.0 50.54 4.29
92 655.0 -15.52 -47.55
93 655.0 47.35 7.32
94 655.0 48.1 16.13
95 655.0 47.27 19.15
96 655.0 -34.49 -58.32
97 655.0 42.55 -78.38
98 655.0 44.3 26.06
99 655.0 49.27 2.07
100 655.0 -4.15 15.15
101 655.0 39.15 9.04
102 655.0 30.08 31.24
103 655.0 23.11 113.16
104 655.0 33.33 -7.4
105 655.0 -11.54 22.45
106 655.0 4.49 -52.22
107 655.0 52.13 0.11
108 655.0 -35.19 149.12
109 655.0 10.36 -66.59
110 655.0 22.39 88.27
111 655.0 52.5 -1.19
112 655.0 49.01 2.33
113 655.0 43.33 6.57
114 655.0 45.4 -0.19
115 655.0 39.37 19.55
116 655.0 50.52 7.09
117 655.0 41.59 -87.54
118 655.0 41.48 12.36
119 655.0 9.34 -13.37
120 655.0 41.25 -81.51
121 655.0 3.26 -76.25
122 655.0 42.31 8.48
123 655.0 -28.02 145.37
124 655.0 7.11 79.53
125 655.0 40.04 -83.04
126 655.0 33.22 -7.35
127 655.0 48.07 7.22
128 655.0 44.22 28.29
129 655.0 45.4 -0.19
130 655.0 6.21 2.23
131 655.0 55.37 12.39
132 655.0 -33.58 18.36
133 655.0 37.28 15.04
134 655.0 10.27 -75.31
135 655.0 -26.25 146.14
136 655.0 39.0 17.05
137 655.0 12.12 -68.57
138 655.0 39.09 -84.2
139 655.0 39.03 -84.2
140 655.0 51.24 -3.12
141 655.0 29.11 -81.03
142 655.0 23.46 90.23
143 655.0 14.45 42.59
144 655.0 32.5 -96.51
145 655.0 33.25 36.31
146 655.0 -6.53 39.12
147 655.0 42.34 18.16
148 655.0 -29.58 30.57
149 655.0 38.51 -77.02
150 655.0 28.34 77.07
151 655.0 39.46 -104.53
152 655.0 32.46 -96.24
153 655.0 26.16 50.1
154 655.0 47.16 5.05
155 655.0 33.52 10.47
156 655.0 14.45 -17.3
157 655.0 4.01 9.43
158 655.0 19.08 30.26
159 655.0 25.16 51.34
160 655.0 49.22 0.1
161 655.0 -8.45 115.1
162 655.0 51.08 13.46
163 655.0 -12.25 130.52
164 655.0 42.14 -83.32
165 655.0 42.13 -83.21
166 655.0 53.26 -6.15
167 655.0 51.17 6.45
168 655.0 25.15 55.2
169 655.0 0.03 32.26
170 655.0 45.32 4.18
171 655.0 55.57 -3.22
172 655.0 51.27 5.23
173 655.0 31.48 -106.16
174 655.0 52.5 -1.19
175 655.0 48.19 6.04
176 655.0 40.07 33.0
177 655.0 40.09 82.4
178 655.0 40.42 -74.1
179 655.0 50.44 -3.25
180 655.0 -34.49 -58.32
181 655.0 64.49 -147.51
182 655.0 37.01 -7.58
183 655.0 -11.35 27.31
184 655.0 59.54 10.37
185 655.0 41.49 12.15
186 655.0 14.35 -61.0
187 655.0 33.56 45.8
188 655.0 -4.23 15.26
189 655.0 43.49 11.12
190 655.0 8.37 -13.12
191 655.0 41.26 15.32
192 655.0 50.02 8.34
193 655.0 44.12 12.04
194 655.0 -21.13 27.29
195 655.0 28.27 -13.52
196 655.0 53.29 -1.0
197 655.0 -19.27 29.52
198 655.0 54.23 18.28
199 655.0 60.12 11.05
200 655.0 24.57 10.1
201 655.0 -22.5 -43.15
202 655.0 55.52 -4.26
203 655.0 45.22 5.2
204 655.0 7.09 41.43
205 655.0 44.25 8.5
206 655.0 57.4 18.18
207 655.0 41.54 2.46
208 655.0 37.11 -3.47
209 655.0 47.0 15.26
210 655.0 51.09 -0.11
211 655.0 14.34 -90.32
212 655.0 46.14 6.07
213 655.0 -2.09 -79.53
214 655.0 52.28 9.42
215 655.0 53.38 10.0
216 655.0 60.19 24.58
217 655.0 35.2 25.11
218 655.0 30.2 120.51
219 655.0 22.19 114.12
220 655.0 31.4 6.09
221 655.0 35.33 139.46
222 655.0 21.2 -157.55
223 655.0 29.59 -95.28
224 655.0 38.57 -77.27
225 655.0 43.06 -78.57
226 655.0 38.52 1.22
227 655.0 47.34 -97.27
228 655.0 50.21 30.55
229 655.0 -25.44 -54.28
230 655.0 39.44 -86.17
231 655.0 40.59 28.49
232 655.0 38.17 27.1
233 655.0 21.3 39.12
234 655.0 49.13 -2.12
235 655.0 40.38 -73.46
236 655.0 11.33 43.1
237 655.0 -6.09 106.51
238 655.0 -26.08 28.15
239 655.0 -3.22 36.38
240 655.0 45.28 -73.44
241 655.0 12.03 8.31
242 655.0 34.34 69.12
243 655.0 63.59 -22.37
244 655.0 -1.58 30.08
245 655.0 22.34 120.17
246 655.0 24.54 67.09
247 655.0 -6.18 155.43
248 655.0 17.56 -76.48
249 655.0 50.05 19.47
250 655.0 15.36 32.33
251 655.0 27.42 85.22
252 655.0 3.08 101.33
253 655.0 29.13 47.58
254 655.0 -8.51 13.14
255 655.0 10.36 -66.59
256 655.0 36.04 -115.09
257 655.0 33.56 -118.24
258 655.0 53.52 -1.39
259 655.0 48.58 2.27
260 655.0 0.27 9.25
261 655.0 34.52 33.38
262 655.0 43.11 0.0
263 655.0 59.49 30.17
264 655.0 36.51 -2.22
265 655.0 51.24 12.25
266 655.0 51.25 12.14
267 655.0 6.1 1.15
268 655.0 40.46 -73.52
269 655.0 33.57 -118.24
270 655.0 50.38 5.27
271 655.0 51.09 -0.11
272 655.0 51.28 -0.27
273 655.0 50.34 3.05
274 655.0 -12.01 -77.07
275 655.0 45.27 9.16
276 655.0 38.46 -9.08
277 655.0 46.13 14.28
278 655.0 35.3 12.37
279 655.0 48.14 14.11
280 655.0 51.28 -0.27
281 655.0 6.35 3.2
282 655.0 27.56 -15.23
283 655.0 -16.3 -68.11
284 655.0 53.21 -2.53
285 655.0 6.1 1.15
286 655.0 51.53 -0.22
287 655.0 -25.55 32.34
288 655.0 -15.2 28.27
289 655.0 4.27 114.0
290 655.0 49.37 6.12
291 655.0 -17.49 25.49
292 655.0 25.41 32.43
293 655.0 45.44 4.56
294 655.0 13.0 80.11
295 655.0 40.29 -3.34
296 655.0 31.52 -4.13
297 655.0 53.21 -2.16
298 655.0 -3.04 -60.0
299 655.0 10.34 -71.44
300 655.0 -4.02 39.36
301 655.0 46.22 15.47
302 655.0 39.18 -94.44
303 655.0 28.32 -81.2
304 655.0 23.36 58.17
305 655.0 44.25 8.5
306 655.0 -37.44 144.54
307 655.0 24.31 39.42
308 655.0 -37.41 144.51
309 655.0 19.26 -99.04
310 655.0 12.07 -86.11
311 655.0 2.01 45.19
312 655.0 25.48 -80.17
313 655.0 20.56 -89.41
314 655.0 45.27 9.16
315 655.0 35.45 10.45
316 655.0 39.07 -94.36
317 655.0 35.52 14.29
318 655.0 4.11 73.32
319 655.0 47.45 7.26
320 655.0 55.33 13.22
321 655.0 54.31 -1.25
322 655.0 14.31 121.01
323 655.0 55.58 37.25
324 655.0 43.35 3.58
325 655.0 -25.55 32.34
326 655.0 -8.58 125.13
327 655.0 43.26 5.13
328 655.0 -20.26 57.41
329 655.0 51.21 1.21
330 655.0 44.53 -93.13
331 655.0 53.52 27.33
332 655.0 50.55 5.47
333 655.0 29.59 -90.16
334 655.0 -26.31 31.19
335 655.0 48.08 11.42
336 655.0 -34.5 -56.02
337 655.0 45.38 8.43
338 655.0 49.05 6.08
339 655.0 -17.45 177.27
340 655.0 40.53 14.18
341 655.0 25.02 -77.28
342 655.0 -1.19 36.56
343 655.0 43.4 7.13
344 655.0 55.02 -1.41
345 655.0 45.56 6.06
346 655.0 12.08 15.02
347 655.0 32.56 129.56
348 655.0 35.09 36.17
349 655.0 13.29 2.1
350 655.0 18.06 -15.57
351 655.0 -13.0 28.39
352 655.0 58.35 16.15
353 655.0 35.45 140.23
354 655.0 47.09 -1.36
355 655.0 49.3 11.05
356 655.0 52.41 1.17
357 655.0 40.38 -73.46
358 655.0 55.28 10.2
359 655.0 46.26 30.41
360 655.0 26.21 127.46
361 655.0 35.26 -97.46
362 655.0 40.54 9.31
363 655.0 41.07 -95.55
364 655.0 41.14 -8.41
365 655.0 41.59 -87.54
366 655.0 51.5 -8.29
367 655.0 28.26 -81.19
368 655.0 35.38 -0.37
369 655.0 48.43 2.23
370 655.0 34.47 135.27
371 655.0 60.12 11.05
372 655.0 51.12 2.52
373 655.0 44.34 26.06
374 655.0 12.21 -1.31
375 655.0 43.26 -5.5
376 655.0 18.34 -72.17
377 655.0 48.43 2.23
378 655.0 40.05 116.36
379 655.0 -31.56 115.58
380 655.0 4.52 7.02
381 655.0 37.08 -76.3
382 655.0 39.52 -75.15
383 655.0 33.26 -112.01
384 655.0 55.52 -4.26
385 655.0 46.35 0.18
386 655.0 40.3 -80.14
387 655.0 -5.15 39.49
388 655.0 39.33 2.44
389 655.0 38.1 13.06
390 655.0 11.33 104.51
391 655.0 36.49 11.58
392 655.0 -9.27 147.13
393 655.0 10.36 -61.21
394 655.0 9.05 -79.23
395 655.0 50.06 14.16
396 655.0 43.41 10.24
397 655.0 42.26 14.11
398 655.0 16.16 -61.32
399 655.0 9.03 -79.24
400 655.0 43.23 -0.25
401 655.0 45.39 12.12
402 655.0 31.37 -8.03
403 655.0 34.03 -6.45
404 655.0 -8.08 -34.55
405 655.0 38.04 15.39
406 655.0 64.08 -21.57
407 655.0 16.54 96.09
408 655.0 49.19 4.03
409 655.0 36.23 28.07
410 655.0 -29.43 -53.42
411 655.0 -22.5 -43.15
412 655.0 45.13 14.35
413 655.0 44.01 12.37
414 655.0 48.04 -1.44
415 655.0 6.14 -10.22
416 655.0 41.49 12.15
417 655.0 14.1 145.15
418 655.0 -32.55 -60.47
419 655.0 51.57 4.26
420 655.0 24.42 46.44
421 655.0 33.37 73.06
422 655.0 6.3 -58.15
423 655.0 15.29 44.13
424 655.0 13.42 -89.07
425 655.0 32.44 -117.11
426 655.0 -23.0 -47.08
427 655.0 29.32 -98.28
428 655.0 -17.56 31.06
429 655.0 48.31 -24.8
430 655.0 -33.23 -70.47
431 655.0 42.54 -8.25
432 655.0 33.14 44.14
433 655.0 18.26 -69.4
434 655.0 47.27 -122.18
435 655.0 27.0 14.27
436 655.0 37.33 126.48
437 655.0 51.34 0.42
438 655.0 -4.4 55.31
439 655.0 37.37 -122.23
440 655.0 31.12 121.2
441 655.0 25.21 55.24
442 655.0 16.45 -22.57
443 655.0 1.21 103.54
444 655.0 37.22 -121.56
445 655.0 43.49 18.2
446 655.0 9.58 -84.16
447 655.0 9.59 -84.12
448 655.0 18.26 -66.01
449 655.0 40.31 22.58
450 655.0 41.58 21.38
451 655.0 40.53 -111.57
452 655.0 36.58 -25.1
453 655.0 52.42 -8.55
454 655.0 42.42 23.24
455 655.0 43.32 16.18
456 655.0 -12.54 -38.2
457 655.0 38.45 -90.22
458 655.0 51.33 0.14
459 655.0 59.39 17.55
460 655.0 48.41 9.13
461 655.0 38.54 16.15
462 655.0 58.53 5.38
463 655.0 55.58 37.25
464 655.0 37.26 -5.54
465 655.0 48.32 7.38
466 655.0 52.22 13.3
467 655.0 -33.56 151.1
468 655.0 29.33 52.36
469 655.0 47.48 13.0
470 655.0 40.31 17.24
471 655.0 41.19 69.24
472 655.0 28.29 -16.2
473 655.0 38.31 -28.43
474 655.0 43.11 0.0
475 655.0 28.29 -16.2
476 655.0 14.02 -87.14
477 655.0 52.29 13.24
478 655.0 35.41 51.19
479 655.0 41.2 19.47
480 655.0 32.4 13.09
481 655.0 43.37 1.23
482 655.0 32.01 34.53
483 655.0 22.49 5.27
484 655.0 0.23 6.43
485 655.0 35.43 -5.55
486 655.0 -18.48 47.29
487 655.0 33.56 8.06
488 655.0 -24.42 -53.42
489 655.0 25.04 121.33
490 655.0 37.55 12.29
491 655.0 51.23 -2.43
492 655.0 45.12 7.39
493 655.0 45.5 13.28
494 655.0 45.39 12.12
495 655.0 47.26 0.43
496 655.0 36.18 -95.52
497 655.0 36.51 10.14
498 655.0 52.34 13.18
499 655.0 35.33 139.46
500 655.0 35.54 -83.53
501 655.0 40.62 13.11
502 655.0 -0.08 -78.29
503 655.0 12.41 101.01
504 655.0 13.45 -60.57
505 655.0 44.55 4.58
506 655.0 43.14 27.49
507 655.0 45.3 12.21
508 655.0 -23.0 -47.08
509 655.0 48.07 16.33
510 655.0 39.29 -0.29
511 655.0 41.42 -4.51
512 655.0 45.24 10.53
513 655.0 38.57 -77.27
514 655.0 52.1 20.58
515 655.0 36.45 -6.04
516 655.0 53.19 -113.35
517 655.0 44.53 -63.31
518 655.0 45.41 -74.02
519 655.0 45.19 -75.4
520 655.0 46.48 -71.24
521 655.0 42.16 -82.58
522 655.0 48.57 -54.34
523 655.0 45.28 -73.44
524 655.0 49.11 -123.1
525 655.0 49.55 -97.14
526 655.0 51.07 -114.01
527 655.0 47.37 -52.45
528 655.0 43.41 -79.38
529 655.0 44.06 15.21
530 655.0 45.45 16.04
531 655.0 41.4 -1.03
532 655.0 -6.13 39.13
533 655.0 47.28 8.33
534 655.0 51.33 0.14
535 655.0 24.58 91.53
