location capacity coord_x coord_y
1 1122.0 5639.0 6909.0
2 1122.0 5652.0 6142.0
3 1122.0 5654.0 6101.0
4 1122.0 5659.0 6910.0
5 1122.0 5659.0 6920.0
6 1122.0 5661.0 6182.0
7 1122.0 5663.0 6830.0
8 1122.0 5669.0 6213.0
9 1122.0 5670.0 6425.0
10 1122.0 5671.0 6870.0
11 1122.0 5673.0 6132.0
12 1122.0 5682.0 6840.0
13 1122.0 5690.0 6891.0
14 1122.0 5694.0 6801.0
15 1122.0 5698.0 6265.0
16 1122.0 5698.0 6952.0
17 1122.0 5701.0 6184.0
18 1122.0 5701.0 6407.0
19 1122.0 5712.0 6154.0
20 1122.0 5716.0 6296.0
21 1122.0 5720.0 6438.0
22 1122.0 5722.0 6397.0
23 1122.0 5722.0 6873.0
24 1122.0 5730.0 6458.0
25 1122.0 5731.0 6893.0
26 1122.0 5736.0 6317.0
27 1122.0 5737.0 6064.0
28 1122.0 5738.0 6034.0
29 1122.0 5738.0 6267.0
30 1122.0 5740.0 5984.0
31 1122.0 5741.0 6206.0
32 1122.0 5741.0 6418.0
33 1122.0 5744.0 6368.0
34 1122.0 5744.0 6823.0
35 1122.0 5746.0 6783.0
36 1122.0 5748.0 6490.0
37 1122.0 5748.0 6965.0
38 1122.0 5749.0 6944.0
39 1122.0 5750.0 6227.0
40 1122.0 5756.0 6308.0
41 1122.0 5758.0 6733.0
42 1122.0 5761.0 6440.0
43 1122.0 5762.0 6187.0
44 1122.0 5763.0 6389.0
45 1122.0 5774.0 6127.0
46 1122.0 5776.0 6319.0
47 1122.0 5776.0 6774.0
48 1122.0 5777.0 6289.0
49 1122.0 5779.0 6026.0
50 1122.0 5780.0 6916.0
51 1122.0 5783.0 6168.0
52 1122.0 5784.0 6137.0
53 1122.0 5788.0 6744.0
54 1122.0 5789.0 6249.0
55 1122.0 5790.0 5996.0
56 1122.0 5797.0 6077.0
57 1122.0 5799.0 6482.0
58 1122.0 5799.0 6957.0
59 1122.0 5800.0 6472.0
60 1122.0 5802.0 6411.0
61 1122.0 5804.0 6836.0
62 1122.0 5805.0 6350.0
63 1122.0 5806.0 6563.0
64 1122.0 5808.0 6047.0
65 1122.0 5810.0 6229.0
66 1122.0 5813.0 6159.0
67 1122.0 5817.0 6311.0
68 1122.0 5818.0 6988.0
69 1122.0 5820.0 6472.0
70 1122.0 5822.0 6200.0
71 1122.0 5822.0 6432.0
72 1122.0 5822.0 6877.0
73 1122.0 5825.0 6594.0
74 1122.0 5827.0 6089.0
75 1122.0 5829.0 6726.0
76 1122.0 5833.0 6392.0
77 1122.0 5833.0 6635.0
78 1122.0 5838.0 6281.0
79 1122.0 5840.0 6948.0
80 1122.0 5841.0 6686.0
81 1122.0 5842.0 6665.0
82 1122.0 5844.0 6160.0
83 1122.0 5846.0 6807.0
84 1122.0 5847.0 6544.0
85 1122.0 5847.0 6999.0
86 1122.0 5848.0 6049.0
87 1122.0 5850.0 6251.0
88 1122.0 5851.0 6919.0
89 1122.0 5853.0 6413.0
90 1122.0 5855.0 6120.0
91 1122.0 5859.0 6272.0
92 1122.0 5860.0 6009.0
93 1122.0 5860.0 6484.0
94 1122.0 5861.0 6687.0
95 1122.0 5863.0 6869.0
96 1122.0 5864.0 6616.0
97 1122.0 5867.0 6090.0
98 1122.0 5867.0 7010.0
99 1122.0 5872.0 6909.0
100 1122.0 5873.0 6171.0
101 1122.0 5874.0 6151.0
102 1122.0 5876.0 6333.0
103 1122.0 5878.0 6768.0
104 1122.0 5879.0 6738.0
105 1122.0 5879.0 6970.0
106 1122.0 5884.0 6394.0
107 1122.0 5890.0 6253.0
108 1122.0 5890.0 6718.0
109 1122.0 5891.0 6000.0
110 1122.0 5892.0 6668.0
111 1122.0 5893.0 6880.0
112 1122.0 5895.0 6840.0
113 1122.0 5896.0 6122.0
114 1122.0 5897.0 6324.0
115 1122.0 5898.0 6304.0
116 1122.0 5900.0 6496.0
117 1122.0 5902.0 5971.0
118 1122.0 5902.0 6911.0
119 1122.0 5905.0 6365.0
120 1122.0 5905.0 6618.0
121 1122.0 5906.0 7042.0
122 1122.0 5908.0 6759.0
123 1122.0 5908.0 7002.0
124 1122.0 5909.0 6042.0
125 1122.0 5910.0 6264.0
126 1122.0 5911.0 6941.0
127 1122.0 5912.0 6456.0
128 1122.0 5913.0 6891.0
129 1122.0 5914.0 6163.0
130 1122.0 5917.0 6568.0
131 1122.0 5920.0 6022.0
132 1122.0 5928.0 6083.0
133 1122.0 5932.0 6225.0
134 1122.0 5939.0 6983.0
135 1122.0 5940.0 6275.0
136 1122.0 5940.0 6953.0
137 1122.0 5941.0 6245.0
138 1122.0 5944.0 6185.0
139 1122.0 5945.0 5922.0
140 1122.0 5945.0 6144.0
141 1122.0 5946.0 6367.0
142 1122.0 5947.0 7034.0
143 1122.0 5949.0 6296.0
144 1122.0 5949.0 6529.0
145 1122.0 5953.0 6195.0
146 1122.0 5956.0 6832.0
147 1122.0 5957.0 6114.0
148 1122.0 5959.0 6064.0
149 1122.0 5961.0 6479.0
150 1122.0 5961.0 6944.0
151 1122.0 5962.0 6923.0
152 1122.0 5963.0 6438.0
153 1122.0 5963.0 6671.0
154 1122.0 5964.0 6418.0
155 1122.0 5964.0 6651.0
156 1122.0 5965.0 7095.0
157 1122.0 5966.0 6610.0
158 1122.0 5968.0 7025.0
159 1122.0 5973.0 6894.0
160 1122.0 5975.0 6388.0
161 1122.0 5975.0 6398.0
162 1122.0 5977.0 5873.0
163 1122.0 5977.0 6803.0
164 1122.0 5978.0 6783.0
165 1122.0 5980.0 6742.0
166 1122.0 5981.0 6712.0
167 1122.0 5981.0 6945.0
168 1122.0 5982.0 6004.0
169 1122.0 5984.0 5964.0
170 1122.0 5984.0 7117.0
171 1122.0 5986.0 6844.0
172 1122.0 5986.0 7076.0
173 1122.0 5989.0 5833.0
174 1122.0 5990.0 6975.0
