location capacity coord_x coord_y
1 3710.0 63.0 71.0
2 3710.0 94.0 71.0
3 3710.0 142.0 370.0
4 3710.0 173.0 1276.0
5 3710.0 205.0 1213.0
6 3710.0 213.0 69.0
7 3710.0 244.0 69.0
8 3710.0 276.0 630.0
9 3710.0 283.0 732.0
10 3710.0 362.0 69.0
11 3710.0 394.0 69.0
12 3710.0 449.0 370.0
13 3710.0 480.0 1276.0
14 3710.0 512.0 1213.0
15 3710.0 528.0 157.0
16 3710.0 583.0 630.0
17 3710.0 591.0 732.0
18 3710.0 638.0 654.0
19 3710.0 638.0 496.0
20 3710.0 638.0 314.0
21 3710.0 638.0 142.0
22 3710.0 669.0 142.0
23 3710.0 677.0 315.0
24 3710.0 677.0 496.0
25 3710.0 677.0 654.0
26 3710.0 709.0 654.0
27 3710.0 709.0 496.0
28 3710.0 709.0 315.0
29 3710.0 701.0 142.0
30 3710.0 764.0 220.0
31 3710.0 811.0 189.0
32 3710.0 843.0 173.0
33 3710.0 858.0 370.0
34 3710.0 890.0 1276.0
35 3710.0 921.0 1213.0
36 3710.0 992.0 630.0
37 3710.0 1000.0 732.0
38 3710.0 1197.0 1276.0
39 3710.0 1228.0 1213.0
40 3710.0 1276.0 205.0
41 3710.0 1299.0 630.0
42 3710.0 1307.0 732.0
43 3710.0 1362.0 654.0
44 3710.0 1362.0 496.0
45 3710.0 1362.0 291.0
46 3710.0 1425.0 654.0
47 3710.0 1425.0 496.0
48 3710.0 1425.0 291.0
49 3710.0 1417.0 173.0
50 3710.0 1488.0 291.0
51 3710.0 1488.0 496.0
52 3710.0 1488.0 654.0
53 3710.0 1551.0 654.0
54 3710.0 1551.0 496.0
55 3710.0 1551.0 291.0
56 3710.0 1614.0 291.0
57 3710.0 1614.0 496.0
58 3710.0 1614.0 654.0
59 3710.0 1732.0 189.0
60 3710.0 1811.0 1276.0
61 3710.0 1843.0 1213.0
62 3710.0 1913.0 630.0
63 3710.0 1921.0 732.0
64 3710.0 2087.0 370.0
65 3710.0 2118.0 1276.0
66 3710.0 2150.0 1213.0
67 3710.0 2189.0 205.0
68 3710.0 2220.0 189.0
69 3710.0 2220.0 630.0
70 3710.0 2228.0 732.0
71 3710.0 2244.0 142.0
72 3710.0 2276.0 315.0
73 3710.0 2276.0 496.0
74 3710.0 2276.0 654.0
75 3710.0 2315.0 654.0
76 3710.0 2315.0 496.0
77 3710.0 2315.0 315.0
78 3710.0 2331.0 142.0
79 3710.0 2346.0 315.0
80 3710.0 2346.0 496.0
81 3710.0 2346.0 654.0
82 3710.0 2362.0 142.0
83 3710.0 2402.0 157.0
84 3710.0 2402.0 220.0
85 3710.0 2480.0 142.0
86 3710.0 2496.0 370.0
87 3710.0 2528.0 1276.0
88 3710.0 2559.0 1213.0
89 3710.0 2630.0 630.0
90 3710.0 2638.0 732.0
91 3710.0 2756.0 69.0
92 3710.0 2787.0 69.0
93 3710.0 2803.0 370.0
94 3710.0 2835.0 1276.0
95 3710.0 2866.0 1213.0
96 3710.0 2906.0 69.0
97 3710.0 2937.0 69.0
98 3710.0 2937.0 630.0
99 3710.0 2945.0 732.0
100 3710.0 3016.0 1276.0
101 3710.0 3055.0 69.0
102 3710.0 3087.0 69.0
103 3710.0 606.0 220.0
104 3710.0 1165.0 370.0
105 3710.0 1780.0 370.0
106 3710.0 63.0 1402.0
107 3710.0 94.0 1402.0
108 3710.0 142.0 1701.0
109 3710.0 173.0 2607.0
110 3710.0 205.0 2544.0
111 3710.0 213.0 1400.0
112 3710.0 244.0 1400.0
113 3710.0 276.0 1961.0
114 3710.0 283.0 2063.0
115 3710.0 362.0 1400.0
116 3710.0 394.0 1400.0
117 3710.0 449.0 1701.0
118 3710.0 480.0 2607.0
119 3710.0 512.0 2544.0
120 3710.0 528.0 1488.0
121 3710.0 583.0 1961.0
122 3710.0 591.0 2063.0
123 3710.0 638.0 1985.0
124 3710.0 638.0 1827.0
125 3710.0 638.0 1645.0
126 3710.0 638.0 1473.0
127 3710.0 669.0 1473.0
128 3710.0 677.0 1646.0
129 3710.0 677.0 1827.0
130 3710.0 677.0 1985.0
