location capacity coord_x coord_y
1 1016.0 1639.0 2156.0
2 1016.0 1875.0 2925.0
3 1016.0 2150.0 2925.0
4 1016.0 2425.0 2925.0
5 1016.0 2525.0 2675.0
6 1016.0 2525.0 2575.0
7 1016.0 2525.0 2375.0
8 1016.0 2525.0 2275.0
9 1016.0 2525.0 2175.0
10 1016.0 2786.0 2148.0
11 1016.0 2786.0 2249.0
12 1016.0 2786.0 2352.0
13 1016.0 2785.0 2451.0
14 1016.0 2785.0 2552.0
15 1016.0 2787.0 2651.0
16 1016.0 2925.0 2925.0
17 1016.0 3198.0 2925.0
18 1016.0 3475.0 2925.0
19 1016.0 3725.0 2925.0
20 1016.0 3675.0 2675.0
21 1016.0 3675.0 2575.0
22 1016.0 3675.0 2375.0
23 1016.0 3675.0 2275.0
24 1016.0 3675.0 2175.0
25 1016.0 4189.0 2156.0
26 1016.0 4190.0 2256.0
27 1016.0 4190.0 2355.0
28 1016.0 4189.0 2456.0
29 1016.0 4189.0 2556.0
30 1016.0 4190.0 2656.0
31 1016.0 4275.0 2975.0
32 1016.0 4425.0 2925.0
33 1016.0 4700.0 2925.0
34 1016.0 4975.0 2925.0
35 1016.0 5075.0 2675.0
36 1016.0 5075.0 2575.0
37 1016.0 5075.0 2375.0
38 1016.0 5075.0 2275.0
39 1016.0 5075.0 2175.0
40 1016.0 5336.0 2148.0
41 1016.0 5336.0 2249.0
42 1016.0 5336.0 2352.0
43 1016.0 5335.0 2451.0
44 1016.0 5335.0 2552.0
45 1016.0 5337.0 2651.0
46 1016.0 5475.0 2925.0
47 1016.0 5748.0 2925.0
48 1016.0 6025.0 2925.0
49 1016.0 6275.0 2925.0
50 1016.0 6225.0 2675.0
51 1016.0 6225.0 2575.0
52 1016.0 6225.0 2375.0
53 1016.0 6225.0 2275.0
54 1016.0 6225.0 2175.0
55 1016.0 6739.0 2156.0
56 1016.0 6740.0 2256.0
57 1016.0 6740.0 2355.0
58 1016.0 6739.0 2456.0
59 1016.0 6739.0 2556.0
60 1016.0 6740.0 2656.0
61 1016.0 6825.0 2975.0
62 1016.0 6975.0 2925.0
63 1016.0 7250.0 2925.0
64 1016.0 7525.0 2925.0
65 1016.0 7625.0 2675.0
66 1016.0 7625.0 2575.0
67 1016.0 7625.0 2375.0
68 1016.0 7625.0 2275.0
69 1016.0 7625.0 2175.0
70 1016.0 7886.0 2148.0
71 1016.0 7886.0 2249.0
72 1016.0 7886.0 2352.0
73 1016.0 7885.0 2451.0
74 1016.0 7885.0 2552.0
75 1016.0 7887.0 2651.0
76 1016.0 8025.0 2925.0
77 1016.0 8298.0 2925.0
78 1016.0 8575.0 2925.0
79 1016.0 8825.0 2925.0
80 1016.0 8775.0 2675.0
81 1016.0 8775.0 2575.0
82 1016.0 8775.0 2375.0
83 1016.0 8775.0 2275.0
84 1016.0 8775.0 2175.0
85 1016.0 9289.0 2156.0
86 1016.0 9290.0 2256.0
87 1016.0 9290.0 2355.0
88 1016.0 9289.0 2456.0
89 1016.0 9289.0 2556.0
