location capacity coord_x coord_y
1 1629.0 15440.0 8888.0
2 1629.0 15440.0 9328.0
3 1629.0 15440.0 9768.0
4 1629.0 15440.0 11264.0
5 1629.0 15440.0 13288.0
6 1629.0 15440.0 14058.0
7 1629.0 15536.0 8228.0
8 1629.0 15616.0 8228.0
9 1629.0 15824.0 8228.0
10 1629.0 16048.0 8228.0
11 1629.0 16176.0 8228.0
12 1629.0 16384.0 8228.0
13 1629.0 16512.0 8228.0
14 1629.0 16624.0 8228.0
15 1629.0 16704.0 8228.0
16 1629.0 16784.0 8228.0
17 1629.0 16880.0 8228.0
18 1629.0 17024.0 8228.0
19 1629.0 17312.0 8228.0
20 1629.0 17440.0 8228.0
21 1629.0 17600.0 8228.0
22 1629.0 17872.0 8228.0
23 1629.0 17936.0 4400.0
24 1629.0 6320.0 10626.0
25 1629.0 6320.0 12012.0
26 1629.0 6432.0 9680.0
27 1629.0 6480.0 4180.0
28 1629.0 6480.0 4796.0
29 1629.0 6480.0 5544.0
30 1629.0 6480.0 6732.0
31 1629.0 1232.0 5918.0
32 1629.0 1232.0 7304.0
33 1629.0 1232.0 12012.0
34 1629.0 1232.0 14432.0
35 1629.0 1456.0 5588.0
36 1629.0 1520.0 4730.0
37 1629.0 4272.0 11154.0
38 1629.0 4272.0 11858.0
39 1629.0 4304.0 10296.0
40 1629.0 4416.0 10296.0
41 1629.0 4496.0 10296.0
42 1629.0 4528.0 5544.0
43 1629.0 4528.0 7040.0
44 1629.0 4592.0 10296.0
45 1629.0 4704.0 10296.0
46 1629.0 4784.0 10296.0
47 1629.0 4880.0 10296.0
48 1629.0 4944.0 10296.0
49 1629.0 5120.0 10296.0
50 1629.0 5200.0 10296.0
51 1629.0 5360.0 10296.0
52 1629.0 5504.0 10296.0
53 1629.0 5616.0 10296.0
54 1629.0 5648.0 7942.0
55 1629.0 5648.0 9020.0
56 1629.0 5680.0 6952.0
57 1629.0 5808.0 6952.0
58 1629.0 5952.0 6952.0
59 1629.0 6096.0 6952.0
60 1629.0 6160.0 6952.0
61 1629.0 6240.0 6952.0
62 1629.0 5648.0 14322.0
63 1629.0 6288.0 4180.0
64 1629.0 6288.0 4796.0
65 1629.0 6288.0 5544.0
66 1629.0 6288.0 8052.0
67 1629.0 6688.0 9020.0
68 1629.0 6800.0 9020.0
69 1629.0 6912.0 9020.0
70 1629.0 7072.0 9020.0
71 1629.0 7120.0 5280.0
72 1629.0 7120.0 6732.0
73 1629.0 7120.0 7172.0
74 1629.0 7120.0 7942.0
75 1629.0 18432.0 4422.0
76 1629.0 18720.0 4422.0
