location capacity coord_x coord_y
1 592.0 605.61 796.6
2 592.0 681.8 1025.2
3 592.0 605.61 1152.21
4 592.0 605.61 1253.81
5 592.0 656.41 1736.41
6 592.0 808.81 2041.19
7 592.0 726.25 1825.29
8 592.0 758.01 1863.4
9 592.0 783.4 1736.41
10 592.0 808.81 1736.41
11 592.0 758.01 1101.41
12 592.0 758.01 796.6
13 592.0 758.01 821.99
14 592.0 872.3 733.11
15 592.0 885.0 2066.6
16 592.0 872.3 1787.21
17 592.0 935.8 1965.0
18 592.0 910.39 707.7
19 592.0 935.8 1812.6
20 592.0 935.8 1761.8
21 592.0 935.8 1177.6
22 592.0 986.6 1380.8
23 592.0 1011.99 898.2
24 592.0 986.6 1203.01
25 592.0 986.6 1152.21
26 592.0 986.6 821.99
27 592.0 1011.99 796.6
28 592.0 986.6 923.59
29 592.0 1062.79 1126.8
30 592.0 1113.59 1431.6
31 592.0 1139.0 1482.4
32 592.0 1189.8 949.0
33 592.0 1189.8 1253.81
34 592.0 1240.61 1507.79
35 592.0 1291.41 1355.39
36 592.0 1266.0 1253.81
37 592.0 1189.8 1101.41
38 592.0 1189.8 1380.8
39 592.0 1113.59 1152.21
40 592.0 1113.59 821.99
41 592.0 1189.8 707.7
42 592.0 1151.7 733.11
43 592.0 1113.59 923.59
44 592.0 1113.59 1101.41
45 592.0 1113.59 1228.4
46 592.0 1113.59 949.0
47 592.0 1113.59 1406.19
48 592.0 1139.0 860.1
49 592.0 1189.8 733.11
50 592.0 1240.61 1711.0
51 592.0 1266.0 1736.41
52 592.0 1291.41 1863.4
53 592.0 1278.69 2047.56
54 592.0 1285.06 2053.91
55 592.0 1291.41 2041.19
56 592.0 1329.49 1958.65
57 592.0 1291.41 1965.0
58 592.0 1323.14 1952.3
59 592.0 1316.8 1787.21
60 592.0 1342.21 1863.4
61 592.0 1329.49 1945.96
62 592.0 1335.86 1952.3
63 592.0 1164.39 2244.39
64 592.0 1164.39 2091.99
65 592.0 1189.8 1584.0
66 592.0 1215.2 1711.0
67 592.0 1164.39 1634.8
68 592.0 1164.39 1787.21
69 592.0 1189.8 1863.4
70 592.0 1189.8 2244.39
71 592.0 1266.0 2168.2
72 592.0 1278.69 2060.25
73 592.0 1272.34 2053.91
74 592.0 1240.61 2041.19
75 592.0 1227.89 1958.65
76 592.0 1234.26 1952.3
77 592.0 1240.61 1965.0
78 592.0 1291.41 1609.39
79 592.0 1291.41 1076.0
80 592.0 1266.0 707.7
81 592.0 1189.8 847.4
82 592.0 1139.0 1533.2
83 592.0 1113.59 2028.5
84 592.0 1088.2 2244.39
85 592.0 1088.2 2079.3
86 592.0 999.3 2180.9
87 592.0 1011.99 1736.41
88 592.0 1062.79 1685.61
89 592.0 1037.4 1634.8
90 592.0 1113.59 1863.4
91 592.0 1062.79 771.19
92 592.0 1062.79 821.99
93 592.0 1024.71 1279.2
94 592.0 986.6 1507.79
95 592.0 1037.4 872.79
96 592.0 1037.4 1482.4
97 592.0 1011.99 1609.39
98 592.0 961.19 1711.0
99 592.0 999.3 733.11
100 592.0 1011.99 1901.5
101 592.0 1037.4 1914.2
102 592.0 1062.79 1736.41
103 592.0 1062.79 1609.39
104 592.0 1240.61 2244.39
105 592.0 1342.21 1939.61
106 592.0 1291.41 2168.2
107 592.0 1316.8 1584.0
108 592.0 1266.0 1685.61
109 592.0 1215.2 1787.21
110 592.0 1189.8 1965.0
111 592.0 1215.2 2041.19
112 592.0 1240.61 1863.4
113 592.0 1227.89 1945.96
114 592.0 1221.54 1952.3
115 592.0 1189.8 2091.99
116 592.0 1215.2 2168.2
117 592.0 1367.6 1634.8
118 592.0 1494.61 2244.39
119 592.0 1520.0 2028.5
120 592.0 1570.8 1812.6
121 592.0 1596.19 1812.6
122 592.0 1570.8 2244.39
