customer,weight,coord_x,coord_y,id_cust,fid
5,275.0,488861.72591274,5390061.79565943,6,187
6,435.5,488861.72591274,5385061.79565943,7,188
10,1775.0,493861.72591274,5385061.79565943,11,256
13,173.0,498861.72591274,5405061.79565943,14,320
21,364.0,508861.72591274,5410061.79565943,27,455
36,12793.5,518861.72591274,5435061.79565943,50,586
59,3263.0,523861.72591274,5410061.79565943,75,659
64,20.0,523861.72591274,5385061.79565943,80,664
68,10603.5,528861.72591274,5510061.79565943,85,707
71,3012.0,528861.72591274,5495061.79565943,88,710
74,2964.0,528861.72591274,5480061.79565943,91,713
75,3720.5,528861.72591274,5450061.79565943,92,719
85,95.0,528861.72591274,5400061.79565943,102,729
91,242.5,533861.72591274,5510061.79565943,109,775
96,17673.0,533861.72591274,5485061.79565943,114,780
106,2985.5,533861.72591274,5420061.79565943,124,793
125,13842.5,538861.72591274,5445061.79565943,146,856
136,3.0,538861.72591274,5365061.79565943,162,872
140,3230.5,543861.72591274,5490061.79565943,166,915
147,18807.5,543861.72591274,5455061.79565943,173,922
183,1944.0,548861.72591274,5400061.79565943,210,1001
187,15427.5,548861.72591274,5380061.79565943,214,1005
191,800.5,553861.72591274,5490061.79565943,218,1051
195,9476.0,553861.72591274,5470061.79565943,222,1055
215,535.0,558861.72591274,5510061.79565943,242,1115
224,896.0,558861.72591274,5465061.79565943,251,1124
238,31315.5,558861.72591274,5375061.79565943,266,1142
254,7860.0,563861.72591274,5440061.79565943,282,1197
260,16730.0,563861.72591274,5410061.79565943,288,1203
265,5816.5,563861.72591274,5365061.79565943,293,1212
288,91.5,568861.72591274,5395061.79565943,316,1274
291,249.5,573861.72591274,5510061.79565943,319,1319
293,510.5,573861.72591274,5500061.79565943,321,1321
298,1762.0,573861.72591274,5475061.79565943,326,1326
306,93.0,573861.72591274,5430061.79565943,335,1335
310,6470.0,573861.72591274,5410061.79565943,339,1339
340,6306.0,578861.72591274,5370061.79565943,370,1415
341,5649.5,578861.72591274,5365061.79565943,371,1416
350,518.0,583861.72591274,5450061.79565943,382,1467
361,8441.5,583861.72591274,5395061.79565943,393,1478
419,57.5,598861.72591274,5490061.79565943,453,1663
421,700.5,598861.72591274,5480061.79565943,455,1665
427,1400.0,598861.72591274,5450061.79565943,461,1671
431,886.5,598861.72591274,5430061.79565943,465,1675
435,392.5,598861.72591274,5410061.79565943,469,1679
447,64775.5,598861.72591274,5350061.79565943,481,1691
467,28810.5,603861.72591274,5395061.79565943,501,1750
475,66096.5,603861.72591274,5355061.79565943,509,1758
477,2270.5,603861.72591274,5345061.79565943,511,1760
478,43.0,608861.72591274,5535061.79565943,513,1790
480,397.0,608861.72591274,5525061.79565943,515,1792
502,17777.0,608861.72591274,5380061.79565943,537,1821
507,23789.5,608861.72591274,5355061.79565943,542,1826
528,8437.5,613861.72591274,5415061.79565943,563,1882
531,50.0,613861.72591274,5400061.79565943,566,1885
538,740.5,613861.72591274,5365061.79565943,573,1892
554,466.5,618861.72591274,5450061.79565943,589,1943
558,1281.5,618861.72591274,5430061.79565943,593,1947
569,3497.0,618861.72591274,5375061.79565943,604,1958
575,2640.0,618861.72591274,5345061.79565943,610,1964
582,141.0,623861.72591274,5490061.79565943,617,2003
616,86.0,628861.72591274,5550061.79565943,651,2059
619,32.0,628861.72591274,5530061.79565943,654,2063
622,46.0,628861.72591274,5515061.79565943,657,2066
