customer,weight,coord_x,coord_y,id_cust,fid
10,1775.0,493861.72591274,5385061.79565943,11,256
17,30.0,503861.72591274,5410061.79565943,20,387
37,268.0,518861.72591274,5430061.79565943,51,587
59,3263.0,523861.72591274,5410061.79565943,75,659
68,10603.5,528861.72591274,5510061.79565943,85,707
76,637.5,528861.72591274,5445061.79565943,93,720
89,30.0,528861.72591274,5380061.79565943,106,733
96,17673.0,533861.72591274,5485061.79565943,114,780
110,97.5,533861.72591274,5400061.79565943,128,797
127,4279.0,538861.72591274,5435061.79565943,148,858
141,2141.0,543861.72591274,5485061.79565943,167,916
147,18807.5,543861.72591274,5455061.79565943,173,922
175,4680.5,548861.72591274,5440061.79565943,202,993
183,1944.0,548861.72591274,5400061.79565943,210,1001
195,9476.0,553861.72591274,5470061.79565943,222,1055
211,28028.0,553861.72591274,5390061.79565943,238,1071
216,911.5,558861.72591274,5505061.79565943,243,1116
226,4871.0,558861.72591274,5455061.79565943,253,1126
255,4782.0,563861.72591274,5435061.79565943,283,1198
260,16730.0,563861.72591274,5410061.79565943,288,1203
271,3514.0,568861.72591274,5480061.79565943,299,1257
285,21758.0,568861.72591274,5410061.79565943,313,1271
310,6470.0,573861.72591274,5410061.79565943,339,1339
323,509.5,578861.72591274,5465061.79565943,353,1396
327,818.5,578861.72591274,5445061.79565943,357,1400
331,3696.5,578861.72591274,5425061.79565943,361,1404
340,6306.0,578861.72591274,5370061.79565943,370,1415
341,5649.5,578861.72591274,5365061.79565943,371,1416
344,480.0,583861.72591274,5480061.79565943,376,1461
361,8441.5,583861.72591274,5395061.79565943,393,1478
367,1171.0,583861.72591274,5365061.79565943,399,1484
381,2069.5,588861.72591274,5425061.79565943,414,1540
411,4797.0,593861.72591274,5400061.79565943,445,1613
427,1400.0,598861.72591274,5450061.79565943,461,1671
428,7561.0,598861.72591274,5445061.79565943,462,1672
433,201.0,598861.72591274,5420061.79565943,467,1677
447,64775.5,598861.72591274,5350061.79565943,481,1691
449,182.0,603861.72591274,5485061.79565943,483,1732
467,28810.5,603861.72591274,5395061.79565943,501,1750
475,66096.5,603861.72591274,5355061.79565943,509,1758
477,2270.5,603861.72591274,5345061.79565943,511,1760
480,397.0,608861.72591274,5525061.79565943,515,1792
500,11691.0,608861.72591274,5390061.79565943,535,1819
502,17777.0,608861.72591274,5380061.79565943,537,1821
507,23789.5,608861.72591274,5355061.79565943,542,1826
527,8837.0,613861.72591274,5420061.79565943,562,1881
538,740.5,613861.72591274,5365061.79565943,573,1892
555,79.5,618861.72591274,5445061.79565943,590,1944
558,1281.5,618861.72591274,5430061.79565943,593,1947
575,2640.0,618861.72591274,5345061.79565943,610,1964
581,1.0,623861.72591274,5495061.79565943,616,2002
611,2696.5,623861.72591274,5345061.79565943,646,2032
626,648.5,628861.72591274,5470061.79565943,662,2075
637,35.5,628861.72591274,5415061.79565943,673,2086
641,60.0,628861.72591274,5395061.79565943,677,2090
653,108.0,633861.72591274,5560061.79565943,689,2125
659,1093.5,633861.72591274,5530061.79565943,695,2131
686,229.5,633861.72591274,5385061.79565943,724,2160
692,4795.5,633861.72591274,5355061.79565943,730,2166
695,11486.0,633861.72591274,5340061.79565943,733,2169
705,288.0,638861.72591274,5520061.79565943,744,2201
