Location,X,Y,Cluster_Label
1,2830.0,40.0,6
2,2830.0,77.0,6
3,2830.0,114.0,6
4,2831.0,155.0,6
5,2830.0,194.0,6
6,2831.0,231.0,6
7,2831.0,269.0,6
8,2831.0,309.0,6
9,2830.0,347.0,6
10,2830.0,384.0,6
11,2792.0,35.0,6
12,2792.0,75.0,6
13,2790.0,115.0,6
14,2792.0,153.0,6
15,2791.0,191.0,6
16,2791.0,231.0,6
17,2790.0,271.0,6
18,2791.0,306.0,6
19,2791.0,345.0,6
20,2792.0,384.0,6
21,2800.0,460.0,6
22,2801.0,499.0,6
23,2801.0,538.0,6
24,2800.0,578.0,6
25,2802.0,620.0,6
26,2800.0,654.0,6
27,2800.0,694.0,6
28,2802.0,732.0,6
29,2800.0,772.0,6
30,2800.0,810.0,6
31,2762.0,459.0,6
32,2761.0,497.0,6
33,2761.0,540.0,6
34,2761.0,578.0,6
35,2762.0,591.0,6
36,2763.0,656.0,6
37,2762.0,694.0,6
38,2761.0,731.0,6
39,2762.0,770.0,6
40,2761.0,808.0,6
41,2801.0,946.0,6
42,2803.0,1034.0,1
43,2723.0,943.0,6
44,2724.0,1029.0,1
45,2702.0,1003.0,6
46,2800.0,1098.0,1
47,2799.0,1137.0,1
48,2831.0,1158.0,1
49,2801.0,1178.0,1
50,2800.0,1216.0,1
51,2829.0,1237.0,1
52,2801.0,1254.0,1
53,2800.0,1292.0,1
54,2800.0,1331.0,1
55,2801.0,1370.0,1
56,2799.0,1409.0,1
57,2804.0,1450.0,1
58,2759.0,1098.0,1
59,2762.0,1138.0,1
60,2762.0,1178.0,1
61,2761.0,1213.0,1
62,2763.0,1255.0,1
63,2761.0,1293.0,1
64,2763.0,1330.0,1
65,2761.0,1369.0,1
66,2759.0,1411.0,1
67,2761.0,1446.0,1
68,2762.0,617.0,6
69,2801.0,1507.0,1
70,2800.0,1548.0,1
71,2801.0,1581.0,1
72,2801.0,1619.0,1
73,2799.0,1656.0,1
74,2800.0,1698.0,1
75,2800.0,1738.0,1
76,2800.0,1781.0,1
77,2799.0,1820.0,1
78,2800.0,1856.0,1
79,2760.0,1506.0,1
80,2760.0,1543.0,1
81,2763.0,1586.0,1
82,2761.0,1621.0,1
83,2761.0,1659.0,1
84,2761.0,1698.0,1
85,2762.0,1737.0,1
86,2761.0,1775.0,1
87,2762.0,1821.0,1
88,2762.0,1853.0,1
89,2800.0,2067.0,1
90,2798.0,2102.0,1
91,2799.0,2143.0,1
92,2801.0,2183.0,8
93,2800.0,2221.0,8
94,2801.0,2262.0,8
95,2800.0,2299.0,8
96,2800.0,2337.0,8
97,2801.0,2376.0,8
98,2800.0,2414.0,8
99,2760.0,2066.0,1
100,2760.0,2105.0,1
101,2761.0,2144.0,1
102,2761.0,2184.0,8
103,2763.0,2222.0,8
104,2760.0,2259.0,8
105,2761.0,2297.0,8
106,2760.0,2338.0,8
107,2761.0,2372.0,8
108,2800.0,2411.0,8
109,2800.0,2491.0,8
110,2772.0,2512.0,8
111,2732.0,2491.0,8
112,2788.0,2167.0,1
113,2762.0,2676.0,8
114,2732.0,2618.0,8
115,2761.0,2903.0,8
116,2761.0,2983.0,8
117,2799.0,3041.0,8
118,2800.0,3083.0,8
119,2799.0,3117.0,8
120,2799.0,3085.0,8
121,2799.0,3195.0,8
122,2798.0,3234.0,8
123,2799.0,3274.0,8
124,2798.0,3312.0,8
125,2798.0,3350.0,8
126,2797.0,3389.0,8
127,2799.0,3427.0,8
128,2800.0,3464.0,8
129,2864.0,3474.0,8
130,2865.0,3515.0,8
131,2798.0,3563.0,8
132,2798.0,3796.0,8
133,2797.0,3794.0,8
134,2698.0,39.0,6
135,2697.0,116.0,6
136,2716.0,191.0,6
137,2696.0,540.0,6
138,2704.0,1437.0,1
139,2704.0,1583.0,1
140,2703.0,1680.0,1
141,2694.0,2221.0,8
142,2704.0,2317.0,8
143,2714.0,2345.0,8
144,2733.0,2374.0,8
145,2720.0,3100.0,8
146,2721.0,3147.0,8
147,2752.0,3198.0,8
148,2712.0,3194.0,8
149,2683.0,3196.0,8
150,2642.0,3195.0,8
151,2763.0,3292.0,8
152,2761.0,3332.0,8
153,2761.0,3369.0,8
154,2760.0,3409.0,8
155,2732.0,3467.0,8
156,2701.0,3621.0,8
157,2699.0,3852.0,8
158,2781.0,3940.0,8
159,2701.0,3940.0,8
160,2623.0,3945.0,8
161,2621.0,-5.0,6
162,2744.0,18.0,6
163,2649.0,25.0,6
164,2609.0,48.0,6
165,2659.0,94.0,6
166,2658.0,134.0,6
167,2659.0,171.0,6
168,2658.0,208.0,6
169,2657.0,248.0,6
170,2660.0,285.0,6
171,2659.0,325.0,6
172,2659.0,368.0,6
173,2545.0,92.0,6
174,2543.0,131.0,6
175,2543.0,170.0,6
176,2541.0,212.0,6
177,2538.0,248.0,6
178,2544.0,288.0,6
179,2541.0,246.0,6
180,2541.0,362.0,6
181,2571.0,270.0,6
182,2571.0,325.0,6
183,2485.0,36.0,6
184,2524.0,54.0,6
185,2494.0,249.0,6
186,2590.0,393.0,6
187,2641.0,411.0,6
188,2659.0,441.0,6
189,2660.0,500.0,6
190,2660.0,538.0,6
191,2658.0,577.0,6
192,2659.0,618.0,6
193,2660.0,656.0,6
194,2661.0,701.0,6
195,2658.0,733.0,6
196,2659.0,772.0,6
197,2582.0,439.0,6
198,2592.0,521.0,6
199,2581.0,770.0,6
200,2543.0,497.0,6
201,2542.0,536.0,6
202,2543.0,579.0,6
203,2542.0,615.0,6
204,2542.0,657.0,6
205,2543.0,691.0,6
206,2543.0,734.0,6
207,2541.0,771.0,6
208,2542.0,808.0,6
209,2543.0,847.0,6
210,2540.0,877.0,6
211,2617.0,847.0,6
