customer weight coord_x coord_y fid
0 11.0 3859533.886436741 2284448.02565863 51
2 112.0 3863163.4464930035 2284172.9068417875 119
3 9.0 3862907.6775098583 2280569.8083928735 120
4 81.0 3867046.895480905 2287501.326508147 186
5 275.0 3866793.1929584406 2283899.9628205085 187
6 435.5 3866539.454011817 2280296.7433784697 188
7 70.0 3870926.4334927956 2290830.30487284 253
8 13.0 3870674.79708294 2287230.6773964143 254
9 31.0 3870423.1243511913 2283629.193650924 255
10 1775.0 3870171.41548966 2280025.854182249 256
11 384.5 3875301.091492338 2301350.0457820706 318
12 97.0 3875051.593843763 2297755.871139296 319
13 173.0 3874802.0595994466 2294159.8386413683 320
14 89.5 3874552.4889489603 2290561.9488237323 321
15 5.0 3874302.882082206 2286962.20222535 322
18 71.0 3878921.2418335346 2301084.217408897 386
19 30.0 3878673.772879341 2297489.924520336 387
20 31.0 3878426.2676298236 2293893.7738067163 388
21 8.0 3878178.7262730156 2290295.7658036365 389
25 1555.0 3882541.5724186627 2300820.559217449 454
26 364.0 3882296.1322065615 2297226.149050722 455
27 52.0 3882050.6559994915 2293629.881088786 456
28 14.0 3881805.143983947 2290031.755867394 457
34 33370.5 3886162.081767908 2300559.0712622134 522
35 526.0 3885918.670345217 2296964.5447849096 523
36 175.0 3885675.2232278488 2293368.1605420015 524
37 59.0 3885431.7406007596 2289769.9190693977 525
39 6.0 3884944.669558853 2282567.8665963407 527
44 1803.5 3894602.707662793 2371801.670898788 570
45 1086.0 3894362.070990788 2368244.2909848327 571
46 2342.5 3894121.395323096 2364685.0433470276 572
47 305.5 3891230.3104051687 2321828.5624821084 584
48 396.0 3890989.1440193467 2318245.0781395203 585
49 12793.5 3890747.9411452888 2314659.7329181437 586
50 268.0 3890506.7019644943 2311072.527332985 587
51 258.0 3890265.4266587826 2307483.4619025327 588
52 1769.0 3890024.1154102907 2303892.5371487755 589
53 6385.0 3889782.7684014766 2300299.7535972293 590
54 1725.5 3889541.385815119 2296705.111776903 591
55 27.0 3889299.967834314 2293108.6122203358 592
56 47.0 3889058.514642479 2289510.255463587 593
57 23.0 3888817.0264233514 2285910.0420462377 594
58 8.0 3888575.5033609867 2282307.9725113977 595
60 13.5 3888092.353444375 2275098.2672794075 597
61 8.0 3887850.7269598404 2271490.6326861847 598
63 895.5 3898183.0578252263 2371546.816971192 638
64 167.0 3897944.4437136776 2367989.322130858 639
65 1245.0 3897705.7909368235 2364429.9595928043 640
66 2767.5 3897467.0996702085 2360868.7298236648 641
67 1593.5 3894839.0059354985 2321572.102016993 652
68 116.0 3894599.8665993595 2317988.5031273603 653
69 369.0 3894360.69108433 2314403.0433871527 654
70 1642.0 3894121.4795703874 2310815.7233115304 655
71 1375.5 3893882.2322378242 2307226.54341913 656
72 2181.5 3893642.9492672505 2303635.50423209 657
73 436.5 3893403.6308395937 2300042.6062760786 658
74 3263.0 3893164.2771360977 2296447.850080256 659
75 24.0 3892924.8883383237 2292851.236177311 660
76 48.5 3892685.4646281498 2289252.7651034547 661
77 1031.5 3892446.006187771 2285652.4373984197 662
78 351.0 3892206.5131996996 2282050.2536054663 663
79 20.0 3891966.9858467653 2278446.214271403 664
80 32.0 3891727.4243121156 2274840.319946575 665
81 1791.5 3891487.8287792136 2271232.5711848685 666
83 1728.0 3901763.581377124 2371294.114041499 706
84 10603.5 3901526.989873362 2367736.505246884 707
85 1332.0 3901290.3600346185 2364177.0287804604 708
86 1056.5 3901053.692034953 2360615.68510901 709
87 3012.0 3900816.9860487366 2357052.4747027513 710
88 3522.0 3900580.2422506553 2353487.398035339 711
89 924.0 3900343.46081571 2349920.4555838755 712
90 2964.0 3900106.6419192133 2346351.6478289147 713
91 3812.5 3898684.9517047526 2324899.6572722145 719
92 637.5 3898447.8755125375 2321317.8061388405 720
93 4125.5 3898210.763272579 2317734.09367109 721
94 98.5 3897973.615163016 2314148.5203807456 722
95 1135.0 3897736.4313623025 2310561.0867831134 723
96 56.0 3897499.212049206 2306971.793396981 724
97 819.0 3897261.9574028067 2303380.640744636 725
98 246.5 3897024.667602503 2299787.6293518962 726
99 1125.0 3896787.342828004 2296192.75974807 727
100 124.5 3896549.983259335 2292596.0324659976 728
101 95.0 3896312.589076835 2288997.4480420398 729
102 55.0 3896075.1604611576 2285397.0070160776 730
103 91.0 3895837.697593271 2281794.7099315226 731
104 69.0 3895600.2006544564 2278190.557335335 732
105 30.0 3895362.6698263125 2274584.549778008 733
106 282.5 3895125.1052907496 2270976.6878135796 734
108 242.5 3905109.7079976844 2367485.8403861676 775
109 299.5 3904875.1011439203 2363926.250963225 776
110 1366.5 3904640.456458013 2360364.7943610935 777
111 1141.0 3904405.7741128476 2356801.4710501386 778
112 3658.0 3904171.0542816194 2353236.281504158 779
113 17673.0 3903936.2971378337 2349669.226200404 780
114 709.5 3903701.5028553084 2346100.3056195723 781
115 1851.5 3903466.6716081724 2342529.52024582 782
116 50897.0 3902526.9804669744 2328227.7406256474 786
117 5379.5 3902291.9670196003 2324647.6386707057 787
118 770.5 3902056.9176589213 2321065.6749005155 788
119 2861.5 3901821.832561245 2317481.8498235457 789
120 839.0 3901586.7119031902 2313896.163951725 790
121 2005.5 3901351.5558616878 2310308.6178005086 791
122 804.0 3901116.3646139787 2306719.2118888306 792
123 2985.5 3900881.138337617 2303127.9467391265 793
124 234.5 3900645.8772104676 2299534.8228773633 794
125 11746.5 3900410.581410707 2295939.8408329976 795
126 1273.0 3900175.2511168243 2292343.001139016 796
127 97.5 3899939.8865076187 2288744.3043319304 797
128 15.0 3899704.4877622025 2285143.7509517698 798
132 1568.0 3898762.5550115756 2270722.982624751 802
133 6394.5 3898526.988282693 2267113.1546034818 803
135 423.5 3908227.3914664444 2360116.057632657 845
136 2859.0 3907994.732808679 2356552.6223883852 846
137 1875.0 3907762.0369905937 2352987.320934997 847
138 6132.0 3907529.304184201 2349420.1537498864 848
139 392.0 3907296.5345618217 2345851.1213138946 849
140 1388.5 3907063.728296086 2342280.224111324 850
141 4067.5 3906830.8855599314 2338707.462629915 851
142 17474.0 3906365.0913696606 2331556.3487989325 853
143 24536.0 3906132.1402629633 2327977.9974422036 854
144 1944.0 3905899.1533806846 2324397.7837923337 855
145 13842.5 3905666.1308973054 2320815.708354431 856
146 4098.5 3905433.072987616 2317231.77163711 857
147 4279.0 3905199.979826715 2313645.9741524444 858
148 2351.5 3904966.851590009 2310058.3164160377 859
149 14.0 3904733.6884532147 2306468.7989469697 860
150 1092.5 3904500.4905923563 2302877.4222678235 861
151 1365.0 3904267.258183769 2299284.1869047107 862
152 150.5 3904033.9914040947 2295689.0933872364 863
153 21.0 3903800.6904302854 2292092.1422485365 864
157 6.0 3902867.1481435522 2277685.772267485 868
160 170.0 3902166.641106694 2266861.5164072295 871
162 1908.5 3912045.0935068876 2363431.1545247007 912
163 787.0 3911814.4955873173 2359869.4749759845 913
164 578.0 3911583.8606628994 2356305.9287697487 914
165 3230.5 3911353.188903847 2352740.516380081 915
166 2141.0 3911122.4804806784 2349173.238284519 916
167 7175.0 3910891.7355642193 2345604.0949640484 917
168 556.0 3910660.9543256005 2342033.086903115 918
169 5384.5 3910430.1369362567 2338460.214589603 919
170 19658.0 3910199.2835679315 2334885.4785148753 920
171 11847.0 3909968.394392673 2331308.8791737696 921
172 18807.5 3909737.4695828343 2327730.4170645825 922
173 1907.5 3909506.5093110763 2324150.0926890904 923
174 5132.5 3909275.513750363 2320567.906552547 924
175 983.0 3909044.4830739684 2316983.859163712 925
176 337.0 3908813.4174554697 2313397.9510348043 926
177 289.5 3908582.317068751 2309810.1826815708 927
178 5.0 3908351.182088002 2306220.5546232387 928
179 404.5 3908120.0126877204 2302629.067382535 929
180 824.0 3907888.8090427076 2299035.7214857186 930
181 68.5 3907657.5713280737 2295440.517462539 931
182 107.0 3907426.2997192326 2291843.455846277 932
183 74.0 3907194.9943919075 2288244.5371737364 933
184 5.5 3906963.6555221244 2284643.76198524 934
185 33.0 3906732.2832862185 2281041.1308246437 935
186 29.0 3906500.87786083 2277436.6442393484 936
188 190.5 3915630.3418155196 2363186.836007586 980
189 1123.5 3915401.767347722 2359625.0464429064 981
190 26.0 3915173.1562021957 2356061.3902460285 982
191 1304.0 3914944.5085476628 2352495.8678911817 983
192 1048.0 3914715.8245531493 2348928.479856045 984
193 1801.0 3914487.104387983 2345359.226621748 985
