customer weight coord_x coord_y id_grid2km fid x_LAMB93 y_LAMB93 x_WGS84 y_WGS84
1 5.0 4053261.8335087886 2445677.8259544666 25 509 983606.8 6447458 6.604732348670304 45.06810850517621
2 29.0 4027133.1369221727 2446058.903907312 30 635 957606.8 6445458 6.273608548300039 45.0603107090567
3 103.5 4029129.308954155 2445876.271808631 31 636 959606.8 6445458 6.298994641472139 45.05956146794543
4 1.0 4047095.2314379886 2444234.3760662386 39 645 977606.8 6445458 6.527438148389323 45.05255804024507
5 51.0 4026955.294920652 2444068.831955972 47 774 957606.8 6443458 6.272555818243724 45.042318434325644
6 274.5 4028951.470461408 2443886.2057687314 48 775 959606.8 6443458 6.2979337666586135 45.04156943757532
7 95.0 4030947.654453227 2443703.6193945906 49 776 961606.8 6443458 6.323311033387351 45.04081465856124
8 145.5 4032943.8468407895 2443521.0728305965 50 777 963606.8 6443458 6.348687613215302 45.04005409752096
9 3.0 4034940.047568764 2443338.5660737148 51 778 965606.8 6443458 6.374063500928676 45.03928775469379
10 1.0 4038932.473824557 2442973.671968908 53 780 969606.8 6443458 6.42481317916084 45.03773772464502
11 1.0 4046917.423985053 2442244.3613050813 57 784 977606.8 6443458 6.526304000939484 45.034568293835434
12 32.0 4032766.0353227183 2441531.0515384385 68 916 963606.8 6441458 6.347611142978966 45.0220626376751
13 3.0 4034762.239382756 2441348.550585583 69 917 965606.8 6441458 6.372978893134964 45.021296544769946
14 7.0 4036758.451715873 2441166.089394053 70 918 967606.8 6441458 6.398345946634899 45.02052467220081
15 39.5 4040750.900979675 2440801.286282421 72 920 971606.8 6441458 6.4490779428391525 45.01896358904349
16 5.5 4042747.137799491 2440618.944355884 73 921 973606.8 6441458 6.474442875131932 45.01817437894626
17 3.0 4048735.8963451134 2440072.1570535684 76 924 979606.8 6441458 6.550533346322136 45.01577207756418
18 98.5 4052728.4415591727 2439707.8308821013 78 926 983606.8 6441458 6.601256670351036 45.014141653256786
19 198.5 4054724.725854776 2439525.727394783 79 927 985606.8 6441458 6.626617219733522 45.0133177748536
20 12.0 4042569.362138285 2438628.985053711 94 1060 973606.8 6439458 6.473326441352348 45.000184264970336
21 52.0 4056543.263862415 2437353.742721917 101 1067 987606.8 6439458 6.650803698802575 44.99449985947311
22 78.0 4042391.605823517 2436639.059386476 111 1199 973606.8 6437458 6.472210724361515 44.98219423016941
23 52.5 4044387.856815052 2436456.76845327 112 1200 975606.8 6437458 6.497558686480407 44.981399759777794
24 2.0 4056365.528216728 2435363.855593266 118 1206 987606.8 6437458 6.64963113033604 44.9765116781799
25 578.0 4044210.122725087 2434466.8823132925 129 1339 975606.8 6435458 6.4964355670342115 44.96341006494127
26 171.5 4046206.384524694 2434284.636651791 130 1340 977606.8 6435458 6.521774689999773 44.96261008081505
27 5.0 4048202.654227785 2434102.430604447 131 1341 979606.8 6435458 6.54711308717873 44.96180432414708
28 2.0 4056187.810961492 2433374.0024869624 135 1345 987606.8 6435458 6.648459314304972 44.958523577147304
29 6.0 4058184.1193467663 2433191.9944576663 136 1346 989606.8 6435458 6.673794004766201 44.957688961603516
30 507.0 4048024.944781983 2432112.5898201857 148 1480 979606.8 6433458 6.545974463683325 44.943815235428154
31 292.0 4050021.225004244 2431930.4289316656 149 1481 981606.8 6433458 6.571304018616369 44.94300397107442
32 287.5 4052017.513006254 2431748.30760799 150 1482 983606.8 6433458 6.596632838097716 44.942186936564845
33 266.5 4058006.4231332378 2431202.1809903663 153 1485 989606.8 6433458 6.67261483203523 44.93970121467563
34 258.0 4061999.067760907 2430838.29433642 155 1487 993606.8 6433458 6.723265722457891 44.93801522072185
35 25.0 4063995.401270241 2430656.4103254774 156 1488 995606.8 6433458 6.7485900204793206 44.93716357072796
36 17.0 4047847.254348781 2430122.783448604 164 1619 979606.8 6431458 6.544836570458772 44.925826230803146
37 111.5 4049843.537101737 2429940.628129504 165 1620 981606.8 6431458 6.5701580193003615 44.92501523096018
38 792.0 4051839.827622064 2429758.5123329214 166 1621 983606.8 6431458 6.595478733397059 44.92419846283858
39 348.0 4053836.125853959 2429576.4360553394 167 1622 985606.8 6431458 6.620798707573725 44.923375926694725
40 120.0 4057828.745229162 2429212.402042776 169 1624 989606.8 6431458 6.671436415470971 44.92171355137483
41 18.0 4059825.066260794 2429030.4443004536 170 1625 991606.8 6431458 6.696754138845854 44.92087371272055
42 34.0 4061821.3947806414 2428848.5260624546 171 1626 993606.8 6431458 6.722071101609326 44.92002810708756
43 11.0 4051662.1609988296 2427768.7517510103 182 1760 983606.8 6429458 6.594325368616585 44.90621007475099
44 2723.0 4053658.4615960345 2427586.6809796016 183 1761 985606.8 6429458 6.61963724329459 44.90538780677887
45 951.0 4055654.7698365096 2427404.6496813595 184 1762 987606.8 6429458 6.644948373594125 44.9045597729189
46 299.0 4057651.085664367 2427222.6578526683 185 1763 989606.8 6429458 6.670258754346824 44.90372597343089
47 2.0 4039506.85961235 2426872.245809123 193 1893 971606.8 6427458 6.441334733284903 44.89303271482215
48 25.0 4051484.513166185 2425779.0261000334 199 1899 983606.8 6427458 6.593172743045445 44.88822177403112
49 5527.0 4053480.815988186 2425596.9608561606 200 1900 985606.8 6427458 6.618476523394074 44.88739977413747
50 2026.0 4055477.126440994 2425414.9350432814 201 1901 987606.8 6427458 6.643779560079108 44.88657201023157
51 1.0 4059469.770015233 2425051.001695979 203 1903 991606.8 6427458 6.6943833818055785 44.88489919142326
52 108.0 4041325.4758564783 2424700.225047353 212 2033 973606.8 6425458 6.4655314364223955 44.874255780933325
53 78.0 4043321.741831486 2424517.968356116 213 2034 975606.8 6425458 6.490830764944865 44.873462863540816
54 3.0 4049310.586921743 2423971.4347050423 216 2037 981606.8 6425458 6.566724426999885 44.87104953192071
55 871.5 4051306.8841537433 2423789.335617674 217 2038 983606.8 6425458 6.592020855973704 44.8702335624074
56 1696.0 4053303.1890600873 2423607.275922704 218 2039 985606.8 6425458 6.617316547157307 44.86941183049908
57 14.0 4057295.821671837 2423243.274695733 220 2041 989606.8 6425458 6.6679056955171 44.86775108052985
58 5.0 4059292.149265226 2423061.3331564832 221 2042 991606.8 6425458 6.693199142377202 44.86691206298967
59 157.5 4061288.484308925 2422879.430995116 222 2043 993606.8 6425458 6.718491830814919 44.86606728409593
60 43.5 4041147.855789525 2422710.541488384 234 2172 973606.8 6423458 6.464420717692367 44.85626634879275
61 250.5 4043144.123769817 2422528.2905779714 235 2173 975606.8 6423458 6.489711958717887 44.85547368991848
62 402.5 4049132.974802772 2421981.774016575 238 2176 981606.8 6423458 6.565581362432243 44.85306114510326
63 161.0 4051129.2739910986 2421799.6805415326 239 2177 983606.8 6423458 6.590869706692332 44.852245441607714
64 20.5 4061110.883741063 2420889.803349565 244 2182 993606.8 6423458 6.717300268685193 44.84808052149836
65 221.5 4040970.255303836 2420720.8934673606 269 2311 973606.8 6421458 6.463310710258658 44.838277009659
66 391.0 4042966.5251490055 2420538.6483588284 270 2312 975606.8 6421458 6.488593868946185 44.83748460921321
67 135.5 4044962.802868045 2420356.442572061 271 2313 977606.8 6421458 6.513876311866113 44.8366864491093
68 10.0 4048955.381703523 2419992.148950604 273 2315 981606.8 6421458 6.564439029791446 44.83507285092956
69 161.0 4050951.682707824 2419810.0611091657 274 2316 983606.8 6421458 6.589719294493204 44.83425741335939
70 2.0 4052947.99136172 2419628.012576005 275 2317 985606.8 6421458 6.614998822820084 44.83343621714244
71 25.0 4078900.674430901 2417264.9570199777 288 2330 1011606.8 6421458 6.943563339159703 44.82223674899824
72 202.0 4042788.945998371 2418549.0419362085 308 2451 975606.8 6419458 6.487476494942228 44.81949562315148
73 75.0 4044785.2254298143 2418366.8419303303 309 2452 977606.8 6419458 6.512750861364851 44.81869772326013
74 330.5 4046781.512666894 2418184.681200903 310 2453 979606.8 6419458 6.5380245075582915 44.81789406583448
75 45.0 4048777.8076534905 2418002.5597445937 311 2454 981606.8 6419458 6.563297428375197 44.81708465112629
76 98.0 4050774.110333473 2417820.4775580307 312 2455 983606.8 6419458 6.588569618669104 44.816269479389156
77 9.5 4078723.124193171 2415275.448234996 326 2469 1011606.8 6419458 6.942300698021391 44.80425273329247
78 2.0 4080719.535529033 2415093.9546489944 327 2470 1013606.8 6419458 6.967561313519027 44.803351237768
79 27.0 4012668.144669204 2419297.094823384 334 2575 945606.8 6417458 6.107282564803992 44.8127804850468
80 26.0 4014664.3020385024 2419114.3117433777 335 2576 947606.8 6417458 6.132559035276744 44.81206920916839
81 10.0 4016660.468042361 2418931.5679406966 336 2577 949606.8 6417458 6.157834863450022 44.81135217407011
82 78.0 4018656.642624794 2418748.8634128813 337 2578 951606.8 6417458 6.183110044168804 44.8106293799766
83 2.0 4020652.825729804 2418566.198157424 338 2579 953606.8 6417458 6.208384572278863 44.80990082711435
84 266.5 4048600.252682149 2416013.006635968 352 2593 981606.8 6417458 6.562156557482094 44.79909654741957
85 2.0 4056585.515068381 2415284.93592628 356 2597 989606.8 6417458 6.66320861127155 44.795802395057244
86 95.0 4060578.191223708 2414921.135868011 358 2599 993606.8 6417458 6.713730156443022 44.79412079309148
87 15.0 4062574.5403450434 2414739.294650254 359 2600 995606.8 6417458 6.738989790617586 44.7932713615791
88 203.5 4072556.394136784 2413830.676522564 364 2605 1005606.8 6417458 6.865276372000562 44.7889379094139
89 227.5 4076549.1850884296 2413467.5035793786 366 2607 1009606.8 6417458 6.915785500326284 44.78716426280578
90 6.0 4078545.59093203 2413285.975871693 367 2608 1011606.8 6417458 6.941038864492159 44.78626881223158
91 66.0 4002509.9180730334 2418221.940065084 370 2709 935606.8 6415458 5.979936275311367 44.79825686961373
92 8.0 4004506.0330933696 2418038.967227721 371 2710 937606.8 6415458 6.005207800958794 44.79757461569284
93 26.0 4006502.1570169833 2417856.033636909 372 2711 939606.8 6415458 6.030478710685009 44.796886603331174
94 46.0 4010494.4313501073 2417490.2841862803 374 2713 943606.8 6415458 6.081018661758675 44.795493304149474
95 42.0 4012490.58164762 2417307.4683219865 375 2714 945606.8 6415458 6.106287692800476 44.79478801776591
96 648.5 4046426.4188770857 2414205.5998610766 392 2731 979606.8 6415458 6.535759630378747 44.781917428598526
97 1321.5 4048422.716818951 2414023.48986204 393 2732 981606.8 6415458 6.5610164164116345 44.781108541534934
98 7.0 4060400.663546077 2412931.6526502287 399 2738 993606.8 6415458 6.712541641308444 44.77613440917279
99 108.5 4062397.0139878704 2412749.816878764 400 2739 995606.8 6415458 6.737793215661905 44.775285254537614
100 17.0 4064393.371704408 2412568.0202680808 401 2740 997606.8 6415458 6.7630440249612755 44.77443034844093
101 3.0 4070382.4879389103 2412022.86536224 404 2743 1003606.8 6415458 6.8387918112462485 44.77183112406635
102 96.5 4072378.8741907794 2411841.2253559222 405 2744 1005606.8 6415458 6.8640395090454 44.7709532148171
103 67.5 4078368.074677805 2411296.5401671664 408 2747 1011606.8 6415458 6.939777837798049 44.7682849875421
104 10.0 4082360.909214304 2410933.612358068 410 2749 1015606.8 6415458 6.990266035195803 44.76647742254009
105 62.0 4002332.369210209 2416232.316764092 412 2848 935606.8 6413458 5.978982402960643 44.78026337231259
106 95.0 4004328.485753321 2416049.350610733 413 2849 937606.8 6413458 6.004245854792799 44.77958134086544
107 295.5 4006324.611188698 2415866.423661812 414 2850 939606.8 6413458 6.029508691294439 44.77889355285235
108 33.0 4008320.745460302 2415683.535915186 415 2851 941606.8 6413458 6.054770907316516 44.778200008488724
109 5.0 4044252.609387661 2412398.2572848094 433 2869 977606.8 6413458 6.509378828475177 44.76473213028861
110 224.5 4046248.900884059 2412216.113898723 434 2870 979606.8 6413458 6.534628278115898 44.76392925857595
111 461.0 4048245.2000933313 2412034.009660065 435 2871 981606.8 6413458 6.559877004464207 44.7631206351974
112 76.5 4050241.506959175 2411851.9445654675 436 2872 983606.8 6413458 6.585125002388349 44.76230626040599
113 2.0 4052237.821425277 2411669.918611549 437 2873 985606.8 6413458 6.610372266757459 44.761486134456604
114 95.0 4062219.505787725 2410760.3758288454 442 2878 995606.8 6413458 6.73659740576047 44.75729924638467
115 7.0 4064215.864672029 2410578.5846442515 443 2879 997606.8 6413458 6.761840161101954 44.75644461893934
116 153.5 4066212.230762019 2410396.832574891 444 2880 999606.8 6413458 6.787082146997847 44.75558424217007
117 85.0 4068208.604001273 2410215.119616912 445 2881 1001606.8 6413458 6.812323358324642 44.75471811634604
118 1.0 4080186.990410029 2409125.6629843903 451 2887 1013606.8 6413458 6.963754073538174 44.74940064654984
119 2.0 4000158.733751145 2414425.728413479 454 2986 933606.8 6411458 5.952773148028372 44.76294603236822
120 81.0 4002154.842739335 2414242.729799638 455 2987 935606.8 6411458 5.978029140790754 44.76226997822279
121 105.0 4004150.960664871 2414059.770350242 456 2988 937606.8 6411458 6.003284523957446 44.76158816917215
122 40.0 4006147.0874716695 2413876.850063213 457 2989 939606.8 6411458 6.028539292383561 44.760900605429754
123 5.0 4042078.8246832886 2410590.978958808 475 3007 975606.8 6411458 6.48301414288395 44.74754065985024
124 17.0 4044075.1095621777 2410408.8022871315 476 3008 977606.8 6411458 6.508256254750641 44.74674379990631
125 94.0 4046071.4021980967 2410226.6647243537 477 3009 979606.8 6411458 6.533497649145608 44.7459411899163
126 195.5 4048067.7025347017 2410044.566267212 478 3010 981606.8 6411458 6.558738320941098 44.745132830131325
127 108.5 4050064.0105156335 2409862.506912358 479 3011 983606.8 6411458 6.583978265010242 44.74431872080427
128 2.0 4054056.6491849874 2409498.505495925 481 3013 987606.8 6411458 6.634455949466494 44.742673254544364
129 25.0 4062042.015774428 2408770.9717375664 485 3017 995606.8 6411458 6.735402360180334 44.73931333884515
130 38.0 4070027.498354866 2408044.063215773 489 3021 1003606.8 6411458 6.836336553486735 44.735861459633185
131 4.0 4072023.8867000137 2407862.43374979 490 3022 1005606.8 6411458 6.861568154451984 44.73498412254538
132 13.0 3995989.03496845 2412802.272328175 499 3123 929606.8 6409458 5.9013308957734765 44.7462869302274
133 46.5 4001977.3386884616 2412253.1794091696 502 3126 935606.8 6409458 5.977076488216683 44.74427668906683
134 170.5 4003973.4578561257 2412070.2266836623 503 3127 937606.8 6409458 6.002323807862793 44.74359510233553
135 138.0 4005969.585894065 2411887.3130785176 504 3128 939606.8 6409458 6.027570513357516 44.742907762786004
136 29.0 4007965.7227461273 2411704.438591628 505 3129 941606.8 6409458 6.052816599561632 44.742214670633366
137 2.0 4011958.022667958 2411338.8069638526 507 3131 945606.8 6409458 6.103306893544964 44.74081122938815
138 3.0 4023935.128128944 2410242.85068078 513 3137 957606.8 6409458 6.2547623782795245 44.736462866104475
139 6.0 4037908.7950019 2408966.013864326 520 3144 971606.8 6409458 6.431430085455571 44.73112812772704
140 1.0 4041901.343322624 2408601.5550790178 522 3146 975606.8 6409458 6.481900337436454 44.72955217288386
141 185.0 4047890.224172456 2408055.159920594 525 3149 981606.8 6409458 6.557600365144477 44.727145128060606
142 50.5 4049886.533128475 2407873.1063266657 526 3150 983606.8 6409458 6.582832260484605 44.72633128410586
143 1.0 4059868.1904146094 2406963.424145351 531 3155 993606.8 6409458 6.708980652537251 44.72217585822272
144 4.0 4061864.543977779 2406781.6048419047 532 3156 995606.8 6409458 6.734208078189487 44.72132753364332
145 22.0 4063860.904777777 2406599.824574198 533 3157 997606.8 6409458 6.759434740983666 44.720473463211036
146 128.0 4069850.0300334767 2406054.7179473564 536 3160 1003606.8 6409458 6.835110101075596 44.71787677947601
147 94.0 4071846.419215455 2405873.093784204 537 3161 1005606.8 6409458 6.860333661299991 44.71699972832024
148 32.0 4073842.8153515263 2405691.508637322 538 3162 1007606.8 6409458 6.885556433102287 44.71611693266455
149 27.5 3993815.465724108 2410995.840580965 548 3261 927606.8 6407458 5.875161366675089 44.72895145083356
150 56.0 3995811.549994634 2410812.738265747 549 3262 929606.8 6407458 5.9004030308343145 44.72829309223945
151 10.0 3997807.64334917 2410629.675036778 550 3263 931606.8 6407458 5.9256441019752994 44.727628981858125
152 10.0 4001799.857085618 2410263.665830033 552 3265 935606.8 6407458 5.976124444654149 44.726283506566716
153 118.0 4003795.977355176 2410080.719848345 553 3266 937606.8 6407458 6.001363705919653 44.72560214207761
154 88.0 4005792.1064840304 2409897.8129450697 554 3267 939606.8 6407458 6.026602353622205 44.72491502664318
155 119.5 4007788.244415975 2409714.945118098 555 3268 941606.8 6407458 6.05184038262749 44.724222160478384
156 94.0 4009784.3910947903 2409532.116365284 556 3269 943606.8 6407458 6.077077787801951 44.72352354379999
157 48.0 4023757.6580338646 2408253.4089782247 563 3276 957606.8 6407458 6.253721725703151 44.71847223125358
158 46.5 4047712.7650359655 2406065.790857229 575 3288 981606.8 6407458 6.556463136377418 44.709157530708474
159 87.0 4049709.074827126 2405883.7430453864 576 3289 983606.8 6407458 6.58168698810962 44.70834395203409
160 406.0 4051705.392181682 2405701.734249073 577 3290 985606.8 6407458 6.606910108392241 44.707524627811516
161 2.0 4061687.090427558 2404792.2753788074 582 3295 995606.8 6407458 6.733014559056849 44.703341832502936
162 1.0 4063683.451975599 2404610.500601856 583 3296 997606.8 6407458 6.758233183251861 44.70248804043246
163 10.5 4069672.579399199 2404065.410197985 586 3299 1003606.8 6407458 6.833884431975808 44.699892202990604
164 150.0 4071668.9692782136 2403883.791359429 587 3300 1005606.8 6407458 6.859099956570259 44.699015437667875
165 23.0 3993638.00264193 2409006.33657632 598 3400 927606.8 6405458 5.8742421503015585 44.71095750677543
166 37.0 3995634.087917464 2408823.241192549 599 3401 929606.8 6405458 5.899475758913515 44.71029936285606
167 102.0 3997630.1822662703 2408640.184853078 600 3402 931606.8 6405458 5.924708775075309 44.709635469022274
168 40.5 4003618.519190089 2408091.250081569 603 3405 937606.8 6405458 6.000404217539589 44.70760929011982
169 90.5 4005614.6492696935 2407908.349900116 604 3406 939606.8 6405458 6.025634812584285 44.706922398722746
170 108.5 4007610.788141367 2407725.48875308 605 3407 941606.8 6405458 6.050864789524299 44.70622975846743
171 42.0 4009606.9357488328 2407542.666638328 606 3408 943606.8 6405458 6.076094143230968 44.705531369570465
172 30.0 4011603.092035803 2407359.8835536432 607 3409 945606.8 6405458 6.101322868576395 44.70482723225025
173 28.0 4023580.208873545 2406264.0045462707 613 3415 957606.8 6405458 6.252681737998189 44.70048170389656
174 93.0 4027572.648035122 2405899.023675113 615 3417 961606.8 6405458 6.303129435243795 44.698987217250085
175 145.0 4029568.8799026506 2405716.591752355 616 3418 963606.8 6405458 6.328352274711484 44.698231354243916
176 6.0 4031565.119886128 2405534.198834457 617 3419 965606.8 6405458 6.353574434582245 44.69746974509695
177 5.0 4047535.325154583 2404076.4593140646 625 3427 981606.8 6405458 6.55532663394387 44.69117003979767
178 35.0 4049531.6356409993 2403894.41730546 626 3428 983606.8 6405458 6.58054244718437 44.69035672631175
179 137.0 4051527.95367855 2403712.414270787 627 3429 985606.8 6405458 6.605757529675313 44.68953766914631
180 74.5 4053524.2792106834 2403530.4502066304 628 3430 987606.8 6405458 6.630971876306242 44.688712868557296
181 3.0 3991464.485602808 2407199.997215318 642 3538 925606.8 6403458 5.848097376292812 44.693615854188074
182 123.0 3993460.562624378 2407016.8697784767 643 3539 927606.8 6403458 5.873323521245206 44.692963673116964
