customer weight coord_x coord_y id_grid2km fid x_LAMB93 y_LAMB93 customer_old
1 968.2809888295077 4053261.8335087886 2445677.8259544666 0 509 983606.8 6447458.0 1
2 968.2809888295077 4027133.1369221727 2446058.903907312 1 635 957606.8 6445458.0 2
3 968.2809888295077 4029129.308954155 2445876.271808631 2 636 959606.8 6445458.0 3
4 968.2809888295077 4026955.294920652 2444068.831955972 3 774 957606.8 6443458.0 5
5 968.2809888295077 4028951.470461408 2443886.2057687314 4 775 959606.8 6443458.0 6
6 968.2809888295077 4030947.654453227 2443703.6193945906 5 776 961606.8 6443458.0 7
7 968.2809888295077 4032943.8468407895 2443521.0728305965 6 777 963606.8 6443458.0 8
8 968.2809888295077 4046917.423985053 2442244.3613050813 7 784 977606.8 6443458.0 11
9 968.2809888295077 4032766.0353227183 2441531.0515384385 8 916 963606.8 6441458.0 12
10 968.2809888295077 4034762.239382756 2441348.550585583 9 917 965606.8 6441458.0 13
11 968.2809888295077 4036758.451715873 2441166.089394053 10 918 967606.8 6441458.0 14
12 968.2809888295077 4040750.900979675 2440801.286282421 11 920 971606.8 6441458.0 15
13 968.2809888295077 4042747.137799491 2440618.944355884 12 921 973606.8 6441458.0 16
14 968.2809888295077 4048735.8963451134 2440072.1570535684 13 924 979606.8 6441458.0 17
15 968.2809888295077 4052728.4415591727 2439707.8308821013 14 926 983606.8 6441458.0 18
16 968.2809888295077 4054724.725854776 2439525.727394783 15 927 985606.8 6441458.0 19
17 968.2809888295077 4042569.362138285 2438628.985053711 16 1060 973606.8 6439458.0 20
18 968.2809888295077 4056543.263862415 2437353.742721917 17 1067 987606.8 6439458.0 21
19 968.2809888295077 4042391.605823517 2436639.059386476 18 1199 973606.8 6437458.0 22
20 968.2809888295077 4044387.856815052 2436456.76845327 19 1200 975606.8 6437458.0 23
21 968.2809888295077 4056365.528216728 2435363.855593266 20 1206 987606.8 6437458.0 24
22 968.2809888295077 4044210.122725087 2434466.8823132925 21 1339 975606.8 6435458.0 25
23 968.2809888295077 4046206.384524694 2434284.636651791 22 1340 977606.8 6435458.0 26
24 968.2809888295077 4048202.654227785 2434102.430604447 23 1341 979606.8 6435458.0 27
25 968.2809888295077 4058184.1193467663 2433191.9944576663 24 1346 989606.8 6435458.0 29
26 968.2809888295077 4048024.944781983 2432112.5898201857 25 1480 979606.8 6433458.0 30
27 968.2809888295077 4050021.225004244 2431930.4289316656 26 1481 981606.8 6433458.0 31
28 968.2809888295077 4052017.513006254 2431748.30760799 27 1482 983606.8 6433458.0 32
29 968.2809888295077 4058006.4231332378 2431202.1809903663 28 1485 989606.8 6433458.0 33
30 968.2809888295077 4061999.067760907 2430838.29433642 29 1487 993606.8 6433458.0 34
31 968.2809888295077 4063995.401270241 2430656.4103254774 30 1488 995606.8 6433458.0 35
32 968.2809888295077 4047847.254348781 2430122.783448604 31 1619 979606.8 6431458.0 36
33 968.2809888295077 4049843.537101737 2429940.628129504 32 1620 981606.8 6431458.0 37
34 968.2809888295077 4051839.827622064 2429758.5123329214 33 1621 983606.8 6431458.0 38
35 968.2809888295077 4053836.125853959 2429576.4360553394 34 1622 985606.8 6431458.0 39
36 968.2809888295077 4057828.745229162 2429212.402042776 35 1624 989606.8 6431458.0 40
37 968.2809888295077 4059825.066260794 2429030.4443004536 36 1625 991606.8 6431458.0 41
38 968.2809888295077 4061821.3947806414 2428848.5260624546 37 1626 993606.8 6431458.0 42
39 968.2809888295077 4051662.1609988296 2427768.7517510103 38 1760 983606.8 6429458.0 43
40 968.2809888295077 4053658.4615960345 2427586.6809796016 39 1761 985606.8 6429458.0 44
41 968.2809888295077 4055654.7698365096 2427404.6496813595 40 1762 987606.8 6429458.0 45
42 968.2809888295077 4057651.085664367 2427222.6578526683 41 1763 989606.8 6429458.0 46
43 968.2809888295077 4039506.85961235 2426872.245809123 42 1893 971606.8 6427458.0 47
44 968.2809888295077 4051484.513166185 2425779.0261000334 43 1899 983606.8 6427458.0 48
45 968.2809888295077 4053480.815988186 2425596.9608561606 44 1900 985606.8 6427458.0 49
46 968.2809888295077 4055477.126440994 2425414.9350432814 45 1901 987606.8 6427458.0 50
47 968.2809888295077 4041325.4758564783 2424700.225047353 46 2033 973606.8 6425458.0 52
48 968.2809888295077 4043321.741831486 2424517.9683561157 47 2034 975606.8 6425458.0 53
49 968.2809888295077 4049310.586921743 2423971.4347050423 48 2037 981606.8 6425458.0 54
50 968.2809888295077 4051306.8841537433 2423789.335617674 49 2038 983606.8 6425458.0 55
51 968.2809888295077 4053303.1890600873 2423607.275922704 50 2039 985606.8 6425458.0 56
52 968.2809888295077 4057295.821671837 2423243.274695733 51 2041 989606.8 6425458.0 57
53 968.2809888295077 4059292.149265226 2423061.3331564832 52 2042 991606.8 6425458.0 58
54 968.2809888295077 4061288.484308925 2422879.430995116 53 2043 993606.8 6425458.0 59
55 968.2809888295077 4041147.855789525 2422710.541488384 54 2172 973606.8 6423458.0 60
56 968.2809888295077 4043144.123769817 2422528.2905779714 55 2173 975606.8 6423458.0 61
57 968.2809888295077 4049132.974802772 2421981.774016575 56 2176 981606.8 6423458.0 62
58 968.2809888295077 4051129.2739910986 2421799.6805415326 57 2177 983606.8 6423458.0 63
59 968.2809888295077 4061110.883741063 2420889.803349565 58 2182 993606.8 6423458.0 64
60 968.2809888295077 4040970.255303836 2420720.8934673606 59 2311 973606.8 6421458.0 65
61 968.2809888295077 4042966.5251490055 2420538.6483588284 60 2312 975606.8 6421458.0 66
62 968.2809888295077 4044962.802868045 2420356.442572061 61 2313 977606.8 6421458.0 67
63 968.2809888295077 4048955.381703523 2419992.148950604 62 2315 981606.8 6421458.0 68
64 968.2809888295077 4050951.682707824 2419810.0611091657 63 2316 983606.8 6421458.0 69
65 968.2809888295077 4052947.99136172 2419628.012576005 64 2317 985606.8 6421458.0 70
66 968.2809888295077 4078900.674430901 2417264.9570199777 65 2330 1011606.8 6421458.0 71
67 968.2809888295077 4042788.945998371 2418549.0419362085 66 2451 975606.8 6419458.0 72
68 968.2809888295077 4044785.2254298143 2418366.8419303303 67 2452 977606.8 6419458.0 73
69 968.2809888295077 4046781.512666894 2418184.681200903 68 2453 979606.8 6419458.0 74
70 968.2809888295077 4048777.8076534905 2418002.5597445937 69 2454 981606.8 6419458.0 75
71 968.2809888295077 4050774.110333473 2417820.4775580307 70 2455 983606.8 6419458.0 76
72 968.2809888295077 4078723.124193171 2415275.448234996 71 2469 1011606.8 6419458.0 77
73 968.2809888295077 4012668.144669204 2419297.094823384 72 2575 945606.8 6417458.0 79
74 968.2809888295077 4014664.3020385024 2419114.3117433777 73 2576 947606.8 6417458.0 80
75 968.2809888295077 4016660.468042361 2418931.5679406966 74 2577 949606.8 6417458.0 81
76 968.2809888295077 4018656.642624794 2418748.8634128813 75 2578 951606.8 6417458.0 82
77 968.2809888295077 4020652.825729804 2418566.198157424 76 2579 953606.8 6417458.0 83
78 968.2809888295077 4048600.252682149 2416013.006635968 77 2593 981606.8 6417458.0 84
79 968.2809888295077 4056585.515068381 2415284.93592628 78 2597 989606.8 6417458.0 85
80 968.2809888295077 4060578.191223708 2414921.135868011 79 2599 993606.8 6417458.0 86
81 968.2809888295077 4062574.5403450434 2414739.294650254 80 2600 995606.8 6417458.0 87
82 968.2809888295077 4072556.394136784 2413830.676522564 81 2605 1005606.8 6417458.0 88
83 968.2809888295077 4076549.1850884296 2413467.5035793786 82 2607 1009606.8 6417458.0 89
84 968.2809888295077 4078545.59093203 2413285.975871693 83 2608 1011606.8 6417458.0 90
85 968.2809888295077 4002509.9180730334 2418221.940065084 84 2709 935606.8 6415458.0 91
86 968.2809888295077 4004506.0330933696 2418038.967227721 85 2710 937606.8 6415458.0 92
87 968.2809888295077 4006502.1570169833 2417856.033636909 86 2711 939606.8 6415458.0 93
88 968.2809888295077 4010494.4313501073 2417490.2841862803 87 2713 943606.8 6415458.0 94
89 968.2809888295077 4012490.58164762 2417307.4683219865 88 2714 945606.8 6415458.0 95
90 968.2809888295077 4046426.4188770857 2414205.5998610766 89 2731 979606.8 6415458.0 96
91 968.2809888295077 4048422.716818951 2414023.48986204 90 2732 981606.8 6415458.0 97
92 968.2809888295077 4060400.663546077 2412931.6526502287 91 2738 993606.8 6415458.0 98
93 968.2809888295077 4062397.0139878704 2412749.816878764 92 2739 995606.8 6415458.0 99
94 968.2809888295077 4064393.371704408 2412568.0202680808 93 2740 997606.8 6415458.0 100
95 968.2809888295077 4070382.4879389103 2412022.86536224 94 2743 1003606.8 6415458.0 101
96 968.2809888295077 4072378.8741907794 2411841.2253559222 95 2744 1005606.8 6415458.0 102
97 968.2809888295077 4078368.074677805 2411296.5401671664 96 2747 1011606.8 6415458.0 103
98 968.2809888295077 4082360.909214304 2410933.612358068 97 2749 1015606.8 6415458.0 104
99 968.2809888295077 4002332.369210209 2416232.316764092 98 2848 935606.8 6413458.0 105
100 968.2809888295077 4004328.485753321 2416049.350610733 99 2849 937606.8 6413458.0 106
101 968.2809888295077 4006324.611188698 2415866.4236618117 100 2850 939606.8 6413458.0 107
102 968.2809888295077 4008320.745460302 2415683.535915186 101 2851 941606.8 6413458.0 108
