customer weight coord_x coord_y id_grid2km fid
1 117524.29085066756 4053261.8335087886 2445677.8259544666 0 509.0
2 48059.02550576265 4027133.1369221727 2446058.903907312 1 635.0
3 95782.46739035481 4029129.308954155 2445876.271808631 2 636.0
4 53112.5162390288 4047095.2314379886 2444234.3760662386 3 645.0
5 70743.98107847055 4026955.294920652 2444068.831955972 4 774.0
6 55295.89709908048 4028951.470461408 2443886.2057687314 5 775.0
7 84907.058312822 4030947.654453227 2443703.6193945906 6 776.0
8 192427.43161509236 4032943.8468407895 2443521.0728305965 7 777.0
9 56033.09566201917 4034940.047568764 2443338.5660737148 8 778.0
10 68878.38300253998 4038932.473824557 2442973.671968908 9 780.0
11 111168.86635848432 4046917.423985053 2442244.3613050813 10 784.0
12 49788.92897767043 4032766.0353227183 2441531.0515384385 11 916.0
13 110567.56491242607 4034762.239382756 2441348.550585583 12 917.0
14 47101.08186520614 4036758.451715873 2441166.089394053 13 918.0
15 157589.67797041353 4040750.900979675 2440801.286282421 14 920.0
16 69009.12687193154 4042747.137799491 2440618.944355884 15 921.0
17 92127.48374900143 4048735.8963451134 2440072.1570535684 16 924.0
18 45493.72970091783 4052728.4415591727 2439707.8308821013 17 926.0
19 69257.89037646401 4054724.725854776 2439525.727394783 18 927.0
20 125203.32043803114 4042569.362138285 2438628.985053711 19 1060.0
21 58070.6626369077 4056543.263862415 2437353.742721917 20 1067.0
22 55973.22290139835 4042391.605823517 2436639.059386476 21 1199.0
23 129094.1046837919 4044387.856815052 2436456.76845327 22 1200.0
24 207750.07891500805 4056365.528216728 2435363.855593266 23 1206.0
25 113319.72947270735 4044210.122725087 2434466.8823132925 24 1339.0
26 30944.548511509547 4046206.384524694 2434284.636651791 25 1340.0
27 106124.95454604019 4048202.654227785 2434102.430604447 26 1341.0
28 69879.431605452 4056187.810961492 2433374.0024869624 27 1345.0
29 157628.38997123105 4058184.1193467663 2433191.9944576663 28 1346.0
30 166018.63311493897 4048024.944781983 2432112.5898201857 29 1480.0
31 62183.34408255872 4050021.225004244 2431930.4289316656 30 1481.0
32 85799.75897342722 4052017.513006254 2431748.30760799 31 1482.0
33 144527.7602448765 4058006.4231332378 2431202.1809903663 32 1485.0
34 128032.28132012972 4061999.067760907 2430838.29433642 33 1487.0
35 58230.89779553788 4063995.401270241 2430656.4103254774 34 1488.0
36 62196.326395157914 4047847.254348781 2430122.783448604 35 1619.0
37 23509.9416540287 4049843.537101737 2429940.628129504 36 1620.0
