location subarea NOM_EPCI
1 13 "CC du Briançonnais"
2 13 "CC du Briançonnais"
3 13 "CC du Briançonnais"
4 13 "CC du Briançonnais"
5 13 "CC du Briançonnais"
6 13 "CC du Briançonnais"
7 13 "CC du Briançonnais"
8 13 "CC du Briançonnais"
9 13 "CC du Briançonnais"
10 13 "CC du Briançonnais"
11 13 "CC du Briançonnais"
12 13 "CC du Briançonnais"
13 13 "CC du Briançonnais"
14 13 "CC du Briançonnais"
15 13 "CC du Briançonnais"
16 13 "CC du Briançonnais"
17 13 "CC du Briançonnais"
18 13 "CC du Briançonnais"
19 13 "CC du Briançonnais"
20 13 "CC du Briançonnais"
21 13 "CC du Briançonnais"
22 13 "CC du Briançonnais"
23 13 "CC du Briançonnais"
24 13 "CC du Briançonnais"
25 13 "CC du Briançonnais"
26 13 "CC du Briançonnais"
27 13 "CC du Briançonnais"
28 13 "CC du Briançonnais"
29 13 "CC du Briançonnais"
30 13 "CC du Briançonnais"
31 13 "CC du Briançonnais"
32 13 "CC du Briançonnais"
33 13 "CC du Briançonnais"
34 13 "CC du Briançonnais"
35 13 "CC du Briançonnais"
36 13 "CC du Briançonnais"
37 13 "CC du Briançonnais"
38 13 "CC du Briançonnais"
39 13 "CC du Briançonnais"
40 13 "CC du Briançonnais"
41 13 "CC du Briançonnais"
42 13 "CC du Briançonnais"
43 13 "CC du Briançonnais"
44 13 "CC du Briançonnais"
45 13 "CC du Briançonnais"
46 13 "CC du Briançonnais"
47 15 "CC du Pays des Ecrins"
48 13 "CC du Briançonnais"
49 13 "CC du Briançonnais"
50 13 "CC du Briançonnais"
51 13 "CC du Briançonnais"
52 15 "CC du Pays des Ecrins"
53 15 "CC du Pays des Ecrins"
54 15 "CC du Pays des Ecrins"
55 13 "CC du Briançonnais"
56 13 "CC du Briançonnais"
57 13 "CC du Briançonnais"
58 13 "CC du Briançonnais"
59 13 "CC du Briançonnais"
60 15 "CC du Pays des Ecrins"
61 15 "CC du Pays des Ecrins"
62 15 "CC du Pays des Ecrins"
63 15 "CC du Pays des Ecrins"
64 13 "CC du Briançonnais"
65 15 "CC du Pays des Ecrins"
66 15 "CC du Pays des Ecrins"
67 15 "CC du Pays des Ecrins"
68 15 "CC du Pays des Ecrins"
69 15 "CC du Pays des Ecrins"
70 15 "CC du Pays des Ecrins"
71 39 "CC du Guillestrois et du Queyras"
72 15 "CC du Pays des Ecrins"
73 15 "CC du Pays des Ecrins"
74 15 "CC du Pays des Ecrins"
75 15 "CC du Pays des Ecrins"
76 15 "CC du Pays des Ecrins"
77 39 "CC du Guillestrois et du Queyras"
78 39 "CC du Guillestrois et du Queyras"
79 7 "CC Champsaur-Valgaudemar"
80 7 "CC Champsaur-Valgaudemar"
81 7 "CC Champsaur-Valgaudemar"
82 7 "CC Champsaur-Valgaudemar"
83 7 "CC Champsaur-Valgaudemar"
84 15 "CC du Pays des Ecrins"
85 13 "CC du Briançonnais"
86 39 "CC du Guillestrois et du Queyras"
87 39 "CC du Guillestrois et du Queyras"
88 39 "CC du Guillestrois et du Queyras"
89 39 "CC du Guillestrois et du Queyras"
90 39 "CC du Guillestrois et du Queyras"
91 7 "CC Champsaur-Valgaudemar"
92 7 "CC Champsaur-Valgaudemar"
93 7 "CC Champsaur-Valgaudemar"
94 7 "CC Champsaur-Valgaudemar"
95 7 "CC Champsaur-Valgaudemar"
96 15 "CC du Pays des Ecrins"
97 15 "CC du Pays des Ecrins"
98 39 "CC du Guillestrois et du Queyras"
99 39 "CC du Guillestrois et du Queyras"
100 39 "CC du Guillestrois et du Queyras"
101 39 "CC du Guillestrois et du Queyras"
102 39 "CC du Guillestrois et du Queyras"
103 39 "CC du Guillestrois et du Queyras"
104 39 "CC du Guillestrois et du Queyras"
105 7 "CC Champsaur-Valgaudemar"
106 7 "CC Champsaur-Valgaudemar"
107 7 "CC Champsaur-Valgaudemar"
108 7 "CC Champsaur-Valgaudemar"
109 15 "CC du Pays des Ecrins"
110 15 "CC du Pays des Ecrins"
111 15 "CC du Pays des Ecrins"
112 15 "CC du Pays des Ecrins"
113 15 "CC du Pays des Ecrins"
114 39 "CC du Guillestrois et du Queyras"
115 39 "CC du Guillestrois et du Queyras"
116 39 "CC du Guillestrois et du Queyras"
117 39 "CC du Guillestrois et du Queyras"
118 39 "CC du Guillestrois et du Queyras"
119 7 "CC Champsaur-Valgaudemar"
120 7 "CC Champsaur-Valgaudemar"
121 7 "CC Champsaur-Valgaudemar"
122 7 "CC Champsaur-Valgaudemar"
123 15 "CC du Pays des Ecrins"
124 15 "CC du Pays des Ecrins"
125 15 "CC du Pays des Ecrins"
126 15 "CC du Pays des Ecrins"
