location subarea NOM_EPCI
1 13 "CC du Briançonnais"
2 13 "CC du Briançonnais"
3 13 "CC du Briançonnais"
4 13 "CC du Briançonnais"
5 13 "CC du Briançonnais"
6 13 "CC du Briançonnais"
7 13 "CC du Briançonnais"
8 13 "CC du Briançonnais"
9 13 "CC du Briançonnais"
10 13 "CC du Briançonnais"
11 13 "CC du Briançonnais"
12 13 "CC du Briançonnais"
13 13 "CC du Briançonnais"
14 13 "CC du Briançonnais"
15 13 "CC du Briançonnais"
16 13 "CC du Briançonnais"
17 13 "CC du Briançonnais"
18 13 "CC du Briançonnais"
19 13 "CC du Briançonnais"
20 13 "CC du Briançonnais"
21 13 "CC du Briançonnais"
22 13 "CC du Briançonnais"
23 13 "CC du Briançonnais"
24 13 "CC du Briançonnais"
25 13 "CC du Briançonnais"
26 13 "CC du Briançonnais"
27 13 "CC du Briançonnais"
28 13 "CC du Briançonnais"
29 13 "CC du Briançonnais"
30 13 "CC du Briançonnais"
31 13 "CC du Briançonnais"
32 13 "CC du Briançonnais"
33 13 "CC du Briançonnais"
34 13 "CC du Briançonnais"
35 13 "CC du Briançonnais"
36 13 "CC du Briançonnais"
37 13 "CC du Briançonnais"
38 13 "CC du Briançonnais"
39 13 "CC du Briançonnais"
40 13 "CC du Briançonnais"
41 13 "CC du Briançonnais"
42 13 "CC du Briançonnais"
43 15 "CC du Pays des Ecrins"
44 13 "CC du Briançonnais"
45 13 "CC du Briançonnais"
46 13 "CC du Briançonnais"
47 15 "CC du Pays des Ecrins"
48 15 "CC du Pays des Ecrins"
49 15 "CC du Pays des Ecrins"
50 13 "CC du Briançonnais"
51 13 "CC du Briançonnais"
52 13 "CC du Briançonnais"
53 13 "CC du Briançonnais"
54 13 "CC du Briançonnais"
55 15 "CC du Pays des Ecrins"
56 15 "CC du Pays des Ecrins"
57 15 "CC du Pays des Ecrins"
58 15 "CC du Pays des Ecrins"
59 13 "CC du Briançonnais"
60 15 "CC du Pays des Ecrins"
61 15 "CC du Pays des Ecrins"
62 15 "CC du Pays des Ecrins"
63 15 "CC du Pays des Ecrins"
64 15 "CC du Pays des Ecrins"
65 15 "CC du Pays des Ecrins"
66 39 "CC du Guillestrois et du Queyras"
67 15 "CC du Pays des Ecrins"
68 15 "CC du Pays des Ecrins"
69 15 "CC du Pays des Ecrins"
70 15 "CC du Pays des Ecrins"
71 15 "CC du Pays des Ecrins"
72 39 "CC du Guillestrois et du Queyras"
73 7 "CC Champsaur-Valgaudemar"
74 7 "CC Champsaur-Valgaudemar"
75 7 "CC Champsaur-Valgaudemar"
76 7 "CC Champsaur-Valgaudemar"
77 7 "CC Champsaur-Valgaudemar"
78 15 "CC du Pays des Ecrins"
79 13 "CC du Briançonnais"
80 39 "CC du Guillestrois et du Queyras"
81 39 "CC du Guillestrois et du Queyras"
82 39 "CC du Guillestrois et du Queyras"
83 39 "CC du Guillestrois et du Queyras"
84 39 "CC du Guillestrois et du Queyras"
85 7 "CC Champsaur-Valgaudemar"
86 7 "CC Champsaur-Valgaudemar"
87 7 "CC Champsaur-Valgaudemar"
88 7 "CC Champsaur-Valgaudemar"
89 7 "CC Champsaur-Valgaudemar"
90 15 "CC du Pays des Ecrins"
91 15 "CC du Pays des Ecrins"
92 39 "CC du Guillestrois et du Queyras"
93 39 "CC du Guillestrois et du Queyras"
94 39 "CC du Guillestrois et du Queyras"
95 39 "CC du Guillestrois et du Queyras"
96 39 "CC du Guillestrois et du Queyras"
97 39 "CC du Guillestrois et du Queyras"
98 39 "CC du Guillestrois et du Queyras"
99 7 "CC Champsaur-Valgaudemar"
100 7 "CC Champsaur-Valgaudemar"
101 7 "CC Champsaur-Valgaudemar"
102 7 "CC Champsaur-Valgaudemar"
103 15 "CC du Pays des Ecrins"
104 15 "CC du Pays des Ecrins"
105 15 "CC du Pays des Ecrins"
106 15 "CC du Pays des Ecrins"
107 15 "CC du Pays des Ecrins"
108 39 "CC du Guillestrois et du Queyras"
109 39 "CC du Guillestrois et du Queyras"
110 39 "CC du Guillestrois et du Queyras"
111 39 "CC du Guillestrois et du Queyras"
112 39 "CC du Guillestrois et du Queyras"
113 7 "CC Champsaur-Valgaudemar"
114 7 "CC Champsaur-Valgaudemar"
115 7 "CC Champsaur-Valgaudemar"
116 7 "CC Champsaur-Valgaudemar"
117 15 "CC du Pays des Ecrins"
118 15 "CC du Pays des Ecrins"
119 15 "CC du Pays des Ecrins"
120 15 "CC du Pays des Ecrins"
121 15 "CC du Pays des Ecrins"
122 39 "CC du Guillestrois et du Queyras"
123 39 "CC du Guillestrois et du Queyras"
124 39 "CC du Guillestrois et du Queyras"
125 5 "CC Buëch-Dévoluy"
