location subarea codearondo
1 2 105
2 2 105
3 2 105
4 2 105
5 2 105
6 2 105
7 2 105
8 2 105
9 2 105
10 2 105
11 2 105
12 2 105
13 2 105
14 2 105
15 2 105
16 2 105
17 2 105
18 2 105
19 2 105
20 2 105
21 2 105
22 2 105
23 2 105
24 2 105
25 2 105
26 2 105
27 2 105
28 2 105
29 2 105
30 2 105
31 2 105
32 2 105
33 2 105
34 2 105
35 2 105
36 2 105
37 2 105
38 2 105
39 2 105
40 2 105
41 2 105
42 2 105
43 2 105
44 2 105
45 2 105
46 2 105
47 2 105
48 2 105
49 2 105
50 2 105
51 2 105
52 2 105
53 2 105
54 2 105
55 2 105
56 2 105
57 2 105
58 2 105
59 2 105
60 2 105
61 2 105
62 2 105
63 2 105
64 2 105
65 2 105
66 2 105
67 2 105
68 2 105
69 2 105
70 2 105
71 2 105
72 2 105
73 2 105
74 2 105
75 2 105
76 2 105
77 2 105
78 2 105
79 8 205
80 8 205
81 8 205
82 8 205
83 8 205
84 2 105
85 2 105
86 2 105
87 2 105
88 2 105
89 2 105
90 2 105
91 8 205
92 8 205
93 8 205
94 8 205
95 8 205
96 2 105
97 2 105
98 2 105
99 2 105
100 2 105
101 2 105
102 2 105
103 2 105
104 2 105
105 8 205
106 8 205
107 8 205
108 8 205
109 2 105
110 2 105
111 2 105
112 2 105
113 2 105
114 2 105
115 2 105
116 2 105
117 2 105
118 2 105
119 8 205
120 8 205
121 8 205
122 8 205
123 2 105
124 2 105
125 2 105
126 2 105
127 2 105
128 2 105
129 2 105
130 2 105
131 2 105
132 8 205
133 8 205
134 8 205
135 8 205
136 8 205
137 8 205
138 8 205
139 2 105
140 2 105
141 2 105
142 2 105
143 2 105
144 2 105
145 2 105
146 2 105
147 2 105
148 2 105
149 8 205
150 8 205
151 8 205
152 8 205
153 8 205
154 8 205
155 8 205
156 8 205
157 8 205
158 2 105
159 2 105
160 2 105
161 2 105
162 2 105
163 2 105
164 2 105
165 8 205
166 8 205
167 8 205
168 8 205
169 8 205
170 8 205
171 8 205
172 8 205
173 8 205
174 8 205
175 8 205
176 8 205
177 2 105
178 2 105
179 2 105
180 2 105
181 8 205
182 8 205
183 8 205
184 8 205
185 8 205
186 8 205
187 8 205
188 8 205
189 8 205
190 8 205
191 8 205
192 8 205
193 8 205
194 8 205
195 8 205
196 8 205
197 8 205
198 8 205
199 8 205
200 2 105
201 2 105
202 2 105
203 2 105
204 2 105
205 2 105
206 2 105
207 2 105
208 8 205
209 8 205
210 8 205
211 8 205
212 8 205
213 8 205
214 8 205
215 8 205
216 8 205
217 8 205
218 8 205
219 8 205
220 8 205
221 8 205
222 8 205
223 8 205
224 2 105
225 2 105
226 2 105
227 2 105
228 2 105
229 2 105
230 8 205
231 8 205
232 8 205
233 8 205
234 8 205
235 8 205
236 8 205
237 8 205
238 8 205
239 8 205
240 2 105
241 2 105
242 2 105
243 2 105
244 2 105
245 8 205
246 8 205
247 8 205
248 8 205
249 8 205
250 8 205
251 8 205
252 8 205
253 8 205
254 8 205
255 8 205
256 8 205
257 8 205
258 2 105
259 2 105
260 8 205
261 8 205
262 8 205
263 8 205
264 8 205
265 8 205
266 8 205
267 8 205
268 8 205
269 8 205
270 8 205
271 8 205
272 8 205
273 2 105
274 2 105
275 1 104
276 1 104
277 8 205
278 8 205
279 8 205
280 8 205
281 8 205
282 8 205
283 8 205
284 8 205
285 8 205
286 8 205
287 8 205
288 8 205
289 8 205
290 8 205
291 2 105
292 1 104
293 8 205
294 8 205
295 8 205
296 8 205
297 8 205
298 8 205
299 8 205
300 8 205
301 8 205
302 8 205
303 8 205
304 8 205
305 8 205
306 8 205
307 8 205
308 8 205
309 8 205
310 8 205
311 8 205
312 8 205
313 8 205
314 8 205
315 8 205
316 8 205
317 8 205
318 8 205
319 2 105
320 8 205
321 8 205
322 8 205
323 8 205
324 8 205
325 8 205
326 8 205
327 8 205
328 8 205
329 8 205
330 8 205
331 8 205
332 8 205
333 8 205
334 8 205
335 8 205
336 8 205
337 8 205
338 8 205
339 8 205
340 8 205
341 8 205
342 8 205
343 8 205
344 8 205
345 8 205
346 8 205
347 8 205
348 8 205
349 8 205
350 8 205
351 8 205
352 8 205
353 8 205
354 8 205
355 2 105
356 8 205
357 8 205
358 8 205
359 8 205
360 8 205
361 8 205
362 8 205
363 8 205
364 8 205
365 8 205
366 8 205
367 8 205
368 8 205
369 8 205
370 8 205
371 8 205
372 8 205
373 8 205
374 8 205
375 8 205
376 8 205
377 8 205
378 8 205
379 8 205
380 8 205
381 8 205
382 8 205
383 8 205
384 8 205
385 8 205
386 8 205
387 8 205
388 8 205
389 8 205
390 1 104
391 1 104
392 1 104
393 1 104
394 8 205
395 8 205
396 8 205
397 8 205
398 8 205
399 8 205
400 8 205
401 8 205
402 8 205
403 8 205
404 8 205
405 8 205
406 8 205
407 8 205
408 8 205
409 8 205
410 8 205
411 8 205
412 8 205
413 8 205
414 8 205
415 8 205
416 8 205
417 8 205
418 8 205
419 8 205
420 8 205
421 8 205
422 8 205
423 8 205
424 1 104
425 8 205
426 8 205
427 8 205
428 8 205
429 8 205
430 8 205
431 8 205
