location subarea codearondo
1 2 105
2 2 105
3 2 105
4 2 105
5 2 105
6 2 105
7 2 105
8 2 105
9 2 105
10 2 105
11 2 105
12 2 105
13 2 105
14 2 105
15 2 105
16 2 105
17 2 105
18 2 105
19 2 105
20 2 105
21 2 105
22 2 105
23 2 105
24 2 105
25 2 105
26 2 105
27 2 105
28 2 105
29 2 105
30 2 105
31 2 105
32 2 105
33 2 105
34 2 105
35 2 105
36 2 105
37 2 105
38 2 105
39 2 105
40 2 105
41 2 105
42 2 105
43 2 105
44 2 105
45 2 105
46 2 105
47 2 105
48 2 105
49 2 105
50 2 105
51 2 105
52 2 105
53 2 105
54 2 105
55 2 105
56 2 105
57 2 105
58 2 105
59 2 105
60 2 105
61 2 105
62 2 105
63 2 105
64 2 105
65 2 105
66 2 105
67 2 105
68 2 105
69 2 105
70 2 105
71 2 105
72 2 105
73 8 205
74 8 205
75 8 205
76 8 205
77 8 205
78 2 105
79 2 105
80 2 105
81 2 105
82 2 105
83 2 105
84 2 105
85 8 205
86 8 205
87 8 205
88 8 205
89 8 205
90 2 105
91 2 105
92 2 105
93 2 105
94 2 105
95 2 105
96 2 105
97 2 105
98 2 105
99 8 205
100 8 205
101 8 205
102 8 205
103 2 105
104 2 105
105 2 105
106 2 105
107 2 105
108 2 105
109 2 105
110 2 105
111 2 105
112 2 105
113 8 205
114 8 205
115 8 205
116 8 205
117 2 105
118 2 105
119 2 105
120 2 105
121 2 105
122 2 105
123 2 105
124 2 105
125 8 205
126 8 205
127 8 205
128 8 205
129 8 205
130 8 205
131 8 205
132 2 105
133 2 105
134 2 105
135 2 105
136 2 105
137 2 105
138 2 105
139 2 105
140 2 105
141 2 105
142 8 205
143 8 205
144 8 205
145 8 205
146 8 205
147 8 205
148 8 205
149 8 205
150 8 205
151 2 105
152 2 105
153 2 105
154 2 105
155 2 105
156 8 205
157 8 205
158 8 205
159 8 205
160 8 205
161 8 205
162 8 205
163 8 205
164 8 205
165 8 205
166 8 205
167 8 205
168 2 105
169 2 105
170 2 105
171 8 205
172 8 205
173 8 205
174 8 205
175 8 205
176 8 205
177 8 205
178 8 205
179 8 205
180 8 205
181 8 205
182 8 205
183 8 205
184 8 205
185 8 205
186 8 205
187 8 205
188 8 205
189 8 205
190 2 105
191 2 105
192 2 105
193 2 105
194 2 105
195 2 105
196 2 105
197 2 105
198 8 205
199 8 205
200 8 205
201 8 205
202 8 205
203 8 205
204 8 205
205 8 205
206 8 205
207 8 205
208 8 205
209 8 205
210 8 205
211 8 205
212 8 205
213 8 205
214 2 105
215 2 105
216 2 105
217 2 105
218 2 105
219 2 105
220 8 205
221 8 205
222 8 205
223 8 205
224 8 205
225 8 205
226 8 205
227 8 205
228 8 205
229 8 205
230 2 105
231 2 105
232 2 105
233 2 105
234 2 105
235 8 205
236 8 205
237 8 205
238 8 205
239 8 205
240 8 205
241 8 205
242 8 205
243 8 205
244 8 205
245 8 205
246 8 205
247 2 105
248 2 105
249 8 205
250 8 205
251 8 205
252 8 205
253 8 205
254 8 205
255 8 205
256 8 205
257 8 205
258 8 205
259 8 205
260 8 205
261 8 205
262 2 105
263 2 105
264 1 104
265 1 104
266 8 205
267 8 205
268 8 205
269 8 205
270 8 205
271 8 205
272 8 205
273 8 205
274 8 205
275 8 205
276 8 205
277 8 205
278 8 205
279 8 205
280 2 105
281 1 104
282 8 205
283 8 205
284 8 205
285 8 205
286 8 205
287 8 205
288 8 205
289 8 205
290 8 205
291 8 205
292 8 205
293 8 205
294 8 205
295 8 205
296 8 205
297 8 205
298 8 205
299 8 205
300 8 205
301 8 205
302 8 205
303 8 205
304 8 205
305 8 205
306 8 205
307 8 205
308 2 105
309 8 205
310 8 205
311 8 205
312 8 205
313 8 205
314 8 205
315 8 205
316 8 205
317 8 205
318 8 205
319 8 205
320 8 205
321 8 205
322 8 205
323 8 205
324 8 205
325 8 205
326 8 205
327 8 205
328 8 205
329 8 205
330 8 205
331 8 205
332 8 205
333 8 205
334 8 205
335 8 205
336 8 205
337 8 205
338 8 205
339 8 205
340 8 205
341 8 205
342 8 205
343 2 105
344 8 205
345 8 205
346 8 205
347 8 205
348 8 205
349 8 205
350 8 205
351 8 205
352 8 205
353 8 205
354 8 205
355 8 205
356 8 205
357 8 205
358 8 205
359 8 205
360 8 205
361 8 205
362 8 205
363 8 205
364 8 205
365 8 205
366 8 205
367 8 205
368 8 205
369 8 205
370 8 205
371 8 205
372 8 205
373 8 205
374 8 205
375 8 205
376 8 205
377 8 205
378 1 104
379 1 104
380 1 104
381 1 104
382 8 205
383 8 205
384 8 205
385 8 205
386 8 205
387 8 205
388 8 205
389 8 205
390 8 205
391 8 205
392 8 205
393 8 205
394 8 205
395 8 205
396 8 205
397 8 205
398 8 205
399 8 205
400 8 205
401 8 205
402 8 205
403 8 205
404 8 205
405 8 205
406 8 205
407 8 205
408 8 205
409 8 205
410 8 205
411 1 104
412 8 205
413 8 205
414 8 205
415 8 205
416 8 205
417 8 205
418 8 205
419 8 205
420 8 205
421 8 205
422 8 205
423 8 205
424 8 205
425 8 205
426 8 205
427 8 205
428 8 205
429 8 205
430 8 205
431 8 205
